[00:00:00] 欢迎大家来到呃这个学期的第一次hacking day
[00:00:03] 我说过我们每个呃月就呃每以每四次课
[00:50:33] 我们应该可以训练一个呃更大的模型
[00:50:35] 然后结果我们甚至都不知道
[00:50:37] 比如说我们的每一个那个神经网络里面的
[00:50:39] 激活函数用哪一个更好
[00:50:41] 呃等等的时候就这么试着试着试着
[00:50:44] 人类就造出智能的机器了
[00:50:45] 所以我觉得这是一个很有意思的
[00:50:47] 很有意思的事情
[00:50:48] 人类人类运气还是还是挺不错的
[00:50:51] 呃一方面说是运气挺不错
[00:50:53] 另一方面这也是历史的必然
[00:50:54] 因为呃刚才的两个例子
[00:50:56] 刚才两个例子
[00:50:58] 呃象棋和围棋的例子
[00:51:00] 象棋围棋的例子告诉我们所谓的智能没有智能
[00:51:04] 都是算力
[00:51:06] 然后你只要相信这一点
[00:51:07] 你你你就觉得这件事情是实际上是情理之中的
[00:51:10] 当然呃他们的这些很多的研究者
[00:51:14] 做了很多的好的研究
[00:51:16] 比如说他们发现呃在上下文长度比较长的时候
[00:51:19] 就是在在你要看很多很多信息的时候
[00:51:23] transformer就这样的
[00:51:25] 你们今天看到的这个大圆模型的价格会比
[00:51:28] 像之前上一代上一个版本的LSTM那种模型
[00:51:32] 它的效果要要好很多
[00:51:34] 所以所以transformer现在现在活下来了
[00:51:36] 但是没有人
[00:51:37] 人类知道是不是还存在一个
[00:51:39] 比现在的模型要好得多的
[00:51:42] 用更少的参数就可以得到更强智能的模型
[00:51:45] 很有可能存在
[00:51:46] 但是我们也不知道
[00:51:47] 这个就跟我们呃和生物的进化还很像
[00:51:51] 人类人类也许就是highly sub optimode
[00:51:53] 因为我们带了我们带了从从海洋生物
[00:51:57] 从藻类到海洋生物到老鼠
[00:52:01] 所有的这个基因1.1.1点
[00:52:03] 虽然老鼠不是我们祖先
[00:52:04] 这个就带了很多其他在在进化过程中
[00:52:09] 中间物种的基因
[00:52:10] 然后到了到了我们今天今天这个样子
[00:52:12] 但如果如果有一个机会
[00:52:13] 我们可以从零开始设计人类的话
[00:52:15] 也许我们可以得到一个更高效的
[00:52:18] 高效的多的人类
[00:52:20] 所以模型也许也是在未来
[00:52:22] 我们我们觉得人类已经运气已经足够好了
[00:52:24] 我们造出了智能的机器
[00:52:26] 也许后面我们可以把
[00:52:28] 把制造更强的模型这件事儿也交给机器
[00:52:33] 然后机器就去就去试他开一个工作区
[00:52:36] 然后再去试各种各样的网络的设计
[00:52:39] 然后直到设计出一个更好的呃大便模型
[00:52:42] 所以呃我讲这么多故事
[00:52:46] 其实是告诉大家古法编程的时代已经过去了
[00:52:50] 我我的我我读我上大学的时候是一个
[00:52:54] 大家特别觉得算法是一个很厉害的时时代
[00:52:58] 为什么呢
[00:52:59] 因为嗯那时候计算机
[00:53:02] 科学可以说刚刚到达一个新的高度
[00:53:05] 就PC
[00:53:06] 大家全世界的人
[00:53:07] 每个人都有一台电脑了
[00:53:08] 然后可能移动手机
[00:53:09] 智能手机开始开始普及了
[00:53:12] 那这个时候我们需要很多的软件工程师
[00:53:14] 去把一个物理世界里面真实存在的一个需求
[00:53:18] 建模成一个算法问题
[00:53:19] 因为那时候还没有这么强大的AI模型
[00:53:21] 所以所以所有都是古法手工编程
[00:53:24] 但这古法手工编程是一个非常呃值钱的技能
[00:53:29] 你有这个技能
[00:53:30] 你就可以把比如说把现实世界里面
[00:53:32] 一个地图的查询翻译成一个最短路径
[00:53:35] 然后你的算法能力
[00:53:36] 可以让这个算法运行的很快
[00:53:38] 比如说你要去什么
[00:53:40] 拍一张照片
[00:53:41] 然后照片你要把里面的
[00:53:43] 前景和背景给分离开来
[00:53:45] 分割开来
[00:53:45] 那你可能需要写一个写一个数值型的算法
[00:53:48] 去解决这个问题
[00:53:49] 然后这是你的智力能做到的
[00:53:52] 然后你就可以给社社会带来价值
[00:53:54] 但是今天我觉得这些这个世界已经变了
[00:53:56] 然后我仿照jim green
[00:53:58] jim green在2006年的时候说了一句
[00:53:59] 非常非常有有有号召力的话
[00:54:03] 这叫叫tapis stead
[00:54:05] Disk is tape a flashes
[00:54:07] This ram
[00:54:08] localities sk
[00:54:09] 他讲的是存储系统
[00:54:11] 就你们看到今天今天你们的手机
[00:54:12] 对我们每一部
[00:54:14] 手机里面都是闪存
[00:54:16] 都是flash
[00:54:17] 你们的电脑
[00:54:18] 也都是都是flash
[00:54:19] 然后然后你你看到
[00:54:21] 我我第一节课的时候讲早期的计算机的时候
[00:54:24] 他们还在用这种磁性的存储
[00:54:26] tape磁带机
[00:54:28] tape ste磁带已经死了
[00:54:30] 磁盘就是磁带
[00:54:32] Flash is disk ram locality
[00:54:34] 你你全你的
[00:54:36] 系统越来越快以后
[00:54:38] 你的内存的性能变得非常的呃重要
[00:54:41] 然后我觉得今天这个时代变成什么呢
[00:54:43] 变成呃我叫它heuristics is stead
[00:54:45] 你们你们学的你们学的很多
[00:54:47] 包括你们可能现在上一些什么科研实践课
[00:54:50] 他会给你看一些论文
[00:54:51] 要讲讲
[00:54:52] 讲一点这种怎么用启发式的算法
[00:54:55] 把一个呃非常小的问题
[00:54:57] 从一个不怎么好的方案变成一个稍微好一点
[00:55:00] 但仍然不怎么好的方案
[00:55:01] 这样的这样东西
[00:55:02] 但这种这样的范式在今天已经死掉了
[00:55:05] 因为智能变得很便宜
[00:55:07] 那么这就意味着你你可以在一个设计就AI
[00:55:13] 当你给他一个工作区以后
[00:55:14] 他可以在一个设计空间里面探索
[00:55:17] 你你只需要把你需要解决的问题告诉他
[00:55:20] 我想要解决
[00:55:21] 想设计一个好的神经网络
[00:55:22] 然后剩下的
[00:55:23] 它可以在一个设计空间里面里面探索
[00:55:26] 你需要的是
[00:55:28] 这个回到前面那个RICHARDSUTTON的the the bitter lesson
[00:55:32] The bitter lesson
[00:55:33] 他说的是
[00:55:34] 我们只要能够做出一个
[00:55:37] 能够承载复杂性的东西
[00:55:40] 比如说像农家
[00:55:43] 一个一个可以扩展的生态
[00:55:44] 有点这个这个故事
[00:55:45] 其实有一点点操作系统的呃味道
[00:55:47] 虽然这个故事不是本身原来不是这样讲的
[00:55:49] 当你做出了一个机制
[00:55:52] 然后这个机制可以无限的扩展的时候
[00:55:54] 你能够吸引人
[00:55:56] 别人往你的这个设施上面插东西
[00:55:59] 你甚至可以吸引AI网往你的底座里面插东西
[00:56:03] 然后随着插进去的东西越来越多
[00:56:05] 你就可以解决越来越多的问题
[00:56:07] 那这就是一个呃今天意义上比较好的一个好
[00:56:12] 你做出来比较值得值得做的东西
[00:56:14] 所以我我我呃这个给大家灌点鸡汤
[00:56:17] 就呃这是我自己对量变引起质变的理解
[00:56:21] 呃从象棋就人类的智能就是算力
[00:56:25] 围棋人类的智能就是算力大语言模型
[00:56:27] 智能就是就是就是算力
[00:56:29] 然后在这个意义上量变引起质变
[00:56:33] 不是呃不是说
[00:56:35] 因为我我觉得有
[00:56:37] 我听过很多人会有有一种狡辩
[00:56:39] 当然这个狡辩
[00:56:40] 一种一定程度上是是给你一定的心理安慰
[00:56:43] 呃比如说大家未来可能会走上研究的道路
[00:56:46] 然后你们的呃的导师可能可能会说
[00:56:49] 你呃量变引起质变
[00:56:51] 所以你在任何地方做一些微小的东西
[00:56:53] 都是有意义的
[00:56:53] 这导师可能是在鼓励你
[00:56:55] 但这句话其实是不对的
[00:56:56] 因为你呃你你只有找到那个量变
[00:56:59] 能引起质变的那个那件事
[00:57:02] 你的量变才能引起质变
[00:57:04] 否则你的量变是在原地原地踏步
[00:57:07] 呃有一种有一种什么呢
[00:57:09] 我们现在在现在在现在已经是高铁时代了
[00:57:14] 那我们计算机世界的古法手工编程
[00:57:17] 那可能理解成是怎么样造一个更好的马车
[00:57:20] 你给马车
[00:57:21] 在你把马车再再再造快一点
[00:57:24] 你是你是你对高铁是没有任何帮助的
[00:57:27] 对所以所以我们要找到那种能走量的图
[00:57:30] 你看到GENTICAI龙虾
[00:57:33] agent的skills
[00:57:33] 都是这种能够承载一个世界的呃平台
[00:57:37] 以往没有SCALABILITY的高级智能
[00:57:40] 现在现在可以做
[00:57:41] 所以你们你们在今天这个时代
[00:57:43] 可以大胆的去去想
[00:57:44] 做一件以前呃可能觉得很疯狂的事情
[00:57:48] 比如说你们可想如果想要毁掉全世界的话
[00:57:50] 你们就可以这样
[00:57:51] 这个哼
[00:57:52] 你可以把把所有的这个呃学位论文都扒下来
[00:57:57] 然后让AI去
[00:57:59] 首先让AI去读
[00:58:00] 那我觉得这种里面有逻辑明显
[00:58:02] 逻辑错误的论文就非常非常多了
[00:58:04] 明显逻辑就他整个结论就不对
[00:58:07] 你都不需要去验证
[00:58:08] 他实验的那个那个就不可能对的那个论文好
[00:58:10] 他们就先死了
[00:58:11] 然后然后剩下的一部分呢
[00:58:13] 你还可以让AI尝试去复现那个实验结果
[00:58:16] 当实验结果有点误差
[00:58:17] 我觉得还是可以可以可以接受的
[00:58:18] 但很多实验是一点也复现不出来的
[00:58:21] 然后他也死了
[00:58:22] 这个哈
[00:58:23] 呃所以我觉得我们的时代在面临很大的
[00:58:26] 很大的巨变
[00:58:27] 在这个时候你们可以把视野放得好
[00:58:30] 那接下来我就就在就真正进入
[00:58:33] 我今天要讲的技术部分的内容
[00:58:35] 就是我们怎么样用好呃大圆模型的能力
[00:58:39] 刚才我我已经科普过
[00:58:43] 大模型是怎么工作的了
[00:58:45] 大模型怎么工作
[00:58:46] 然后大模型工作的时候
[00:58:48] 它在context里面有一个
[00:58:52] 他为了能够吐出下一个token
[00:58:54] 它里面有个非常重要的机制叫self attention
[00:58:56] 叫注意力
[00:58:57] 这和人也是很像的
[00:58:58] 你你们看题的时候
[00:59:00] 尤其是你们看体检的时候
[00:59:02] 那些难的数学题的时候
[00:59:03] 你会发现那个体检里面有一个惊人的注意力
[00:59:06] 注意到什么
[00:59:07] 然后这个题就解出来了
[00:59:08] 然后他说的都对
[00:59:09] 但是你注意不到这个注意力
[00:59:11] 说明这个注意力
[00:59:12] 人类somehow是可以训练的
[00:59:14] 是可以训练
[00:59:14] 他是从这个问题的结构里面
[00:59:17] 因为我喜这儿有一个词
[00:59:18] 这有个词这个词
[00:59:19] 所以他可以想到某一个呃某一个注意力
[00:59:21] 然后对太难的注意力也需要需要去去推理
[00:59:25] 去尝试像reasoning model一样去呃去尝试
[00:59:28] 所以所以因为注意力机制的存在
[00:59:32] 你的提示词工程
[00:59:34] 就是你怎么样让大圆模型更好地遵循
[00:59:36] 你的提示词
[00:59:37] 实际上是attention engineering
[00:59:39] 一定程度attention ering
[00:59:40] 你希望的是让大模型能够更好的看到
[00:59:43] 你想让他看到的东西
[00:59:44] 并且引导他做出正确的事情
[00:59:47] 这也是为什么
[00:59:48] 比如说你们想要用AI去写一个小说
[00:59:52] 比如说如果你们想让AI写一个小说
[00:59:54] 他可能写的不尽如你人意
[00:59:56] 是因为你只让他写一个小说
[00:59:58] 所以他所有的tension都要让你写一个
[01:00:01] 入党申请书
[01:00:02] 你们都会用它的
[01:00:04] 因为当你说写一个入党申请书的时候
[01:00:06] 他所有的tension都在入党申请书这这几个字上
[01:00:09] 那么AI作为一个看过世界上所有书的人
[01:00:13] 他会非常的乐意的
[01:00:15] 以一个非常中庸
[01:00:17] 平庸的平均的方式
[01:00:19] 来写一个非常好的入党申请书
[01:00:21] 但可能不是你要的
[01:00:22] 那这个时候你就需要在上下文里面注入
[01:00:24] 你个性化的地方
[01:00:25] 你是一个什么样的人
[01:00:27] 你希望这个东西
[01:00:28] 就是你要给他提供足够的呃信息
[01:00:31] 使得他的self attention可以注意到你给他提供的
[01:00:35] 那些信信息
[01:00:36] 然后对于今天的AI来说
[01:00:38] 适当的时候我们还是需要帮他分解问题
[01:00:40] 虽然理论上说AI今天像比如说coco它有plan mode
[01:00:44] 他他会做规划
[01:00:46] 我我今天也也也一会
[01:00:48] 那个例子里面也有一个呃规划
[01:00:50] 但是分解问题依然是呃很重要的
[01:00:53] 所以这个能力我觉得是今天AI时代
[01:00:55] 你们分解问题的能力
[01:00:57] 是你们最需要的能力
[01:00:59] 可以把一个呃可能是一个比较crazy的想法
[01:01:03] 而这个crazy的想法
[01:01:04] 如果你直接让让AI去做的话
[01:01:06] 他会给你一个平庸的答案
[01:01:08] 但如果你能把这个问题以你独特的视角去分解
[01:01:12] 你就可能能直接得到一个可以用的
[01:01:14] 甚至是产品级的
[01:01:16] 呃产品级的东西
[01:01:18] 而所谓的分解
[01:01:21] 所谓的分解其实就是构建一个呃合适的抽象
[01:01:26] 所以这其实是操作系统课的
[01:01:28] 内容我讲过
[01:01:29] 在操作系统或者计算机系统领域
[01:01:31] 有很多经典的抽象
[01:01:32] 其中两个一个是在CISCO上面
[01:01:38] CISE考上面我有一个巨大无比的应用生态
[01:01:42] 用用生态
[01:01:43] 你看到你原神也在你的操作系统上运行
[01:01:45] 那steam也在你的操作系统运运行steam os
[01:01:49] steam os它是一个LINUXLINUX
[01:01:53] 就是你看到的
[01:01:54] 就我们上课时候讲的这些LINUX的system call
[01:01:56] 跟我跟我那个树莓派
[01:01:58] 我我那个MM2cs call
[01:02:01] 我查看cs cos的首页
[01:02:04] 是手册
[01:02:05] 你看到的就是就是这些cs cos
[01:02:07] 它支持了你
[01:02:08] 你每天打开你的那个呃steam deck对哈
[01:02:12] 打开你的steam机器的时候
[01:02:14] 它上面所有的应用程序
[01:02:16] 然后它底下可以有
[01:02:18] 操作系统的实现
[01:02:19] 一个也是一个非常复杂高性能的
[01:02:22] 实现千万行级的代码
[01:02:24] 但是cs call这层非常小
[01:02:26] 相对来说是相对来说啊非常小
[01:02:29] 以及你需要用的那部分可能啊就非常少
[01:02:32] 这是一个非常经典的抽象
[01:02:34] 然后就是因为有了这样一个抽象
[01:02:36] 你看如果咳
[01:02:38] 如果我们问让大圆模型去实现一个操作系统
[01:02:41] 它可能就就实现实现实现它就垮掉了
[01:02:44] 但如果你非常仔细的想一个这样的抽象层
[01:02:49] 它可能有创新性的
[01:02:51] 你设计好了
[01:02:52] 你脑袋里面有一个呃非常粗犷的想法
[01:02:55] 说我以后操作系统的CISCO不应该长这样
[01:02:58] 应该是另一套
[01:02:59] 你只你带着这个AI就可能会设设计实现出
[01:03:03] 下一代的爆火的操作系统
[01:03:04] 然后同样的比如说指令集也是的
[01:03:08] 指令集底下是硬件
[01:03:10] 上面是整个os application
[01:03:14] 指令集的上面是整个计算机世界
[01:03:17] 不仅仅是啊操作系统
[01:03:19] 但这个抽象其实也是非常经典的
[01:03:21] Risk risk
[01:03:22] Five
[01:03:23] risk reduce的经典的指定几
[01:03:27] 然后这是
[01:03:28] 当然这是呃一个生态里面的一个中间中间层
[01:03:32] 你们在一个应用程序里面也是可以实现这样的
[01:03:37] 呃复杂性的分解的
[01:03:38] 我应该应该说过
[01:03:39] 你们在呃在写程序的时候
[01:03:43] 会把各种各样的功能都呃封装成函数
[01:03:47] 封装函数
[01:03:47] 比如说你要
[01:03:49] 你现在想要为同学们提供某一种服务
[01:03:52] 对
[01:03:53] 比如说什么呃送送外卖
[01:03:55] 你们想想开一个小小的校园内的服务
[01:03:59] 比如什么送去洗衣服
[01:04:00] whatever这种你想挣点钱的这种服务
[01:04:02] 那你首先要做实现的第一个功能
[01:04:04] 就是register user
[01:04:06] 你需要注册用户
[01:04:08] 注册用户
[01:04:09] 那你会写一个函数叫叫register user
[01:04:11] 那呃在呃在你需要的时候
[01:04:14] 你会直接调用这个这个函数
[01:04:16] 但当你实现一个函数的时候
[01:04:19] 实现一个函数的时候
[01:04:20] 你就有好几个地方可能会调用它
[01:04:23] 这是一个function call是吧
[01:04:25] 他会调到这个function的实际的实际的实现上
[01:04:30] 然后这也这其实也带来了一些维护代码的负担
[01:04:34] 尤其是如果当你这个地方改了
[01:04:36] 比如说这个诶你突然发现这个参数要改了
[01:04:39] 比如说呃你之前上一个版本的时候
[01:04:43] 你你的性别只支持了男和女
[01:04:46] 后来你发现被人投诉了
[01:04:48] 你你这个性我们这个世界是多元性别的
[01:04:51] 那呃你投诉人家要改
[01:04:53] 改了以后
[01:04:53] 你可能会break这个
[01:04:55] 因为这很多时候
[01:04:56] 这些跨有点跨这个模块边界的调用是函数调用
[01:05:00] 软件工程师就要去收拾这样的
[01:05:04] 呃这样的这样的代码
[01:05:06] 就不是说
[01:05:06] 这这个reer user不应该被实现成一个函数
[01:05:10] 而是在你呃设计和实现系统的时候
[01:05:13] 你不可避免的会有系统和系
[01:05:15] subsystem和sub system系之间的这种关联关系
[01:05:20] 而呃所谓的系统设计它有意思的地方
[01:05:24] 或者是一种呃如果你让AI就去做一个平均
[01:05:28] 就是一个平庸的平均的解决方案的话
[01:05:31] 可能不是对你最合适的
[01:05:33] 就是子系统和子系统之间的交互
[01:05:37] 比如说呃我你们看到的这个
[01:05:42] 我上课的web learning
[01:05:43] 我就做了一个比较反常规的
[01:05:47] 比较反常规的设计和实现
[01:05:49] 因为如果让你们实现一个上课的系统的话
[01:05:52] 或者说如果我现在就让AI
[01:05:54] 去实现一个上课的系统的话
[01:05:55] 那么我的这个东西
[01:05:57] 肯定是内存里的一个数据结构
[01:06:00] 内存里的一个数据结构
[01:06:01] 然后我的这个也是一个内存里的数据结构
[01:06:03] 我可能整个就是一个浏览器的对
[01:06:05] 就是一个网页
[01:06:06] 我的AI很
[01:06:07] 我觉得很大概率会把它实现成
[01:06:09] 是一个前端的网页
[01:06:10] 然后前端网页
[01:06:11] 所以网页有有一个有个左边栏
[01:06:14] 有一个右边栏
[01:06:14] 然后我在网页上面点一个
[01:06:16] 比如说点一个这个按钮或这个东西
[01:06:19] 反正是可以点击的
[01:06:20] 好点击以后
[01:06:21] 它就会把一个事件传递给到另外一个一个地方
[01:06:24] 但这就给我比如说像导出就导出lecture notes
[01:06:28] 什么带来一些小小的麻烦
[01:06:30] 所以我做了一个呃不太常规的设计
[01:06:33] 我我把这个子系统之间的接口变成了文件系统
[01:06:37] 当然这也跟我是教操系统有关系
[01:06:39] 我要我我为了向大家展示这个unix philosophy
[01:06:42] 我的呃我的这个前端的显示
[01:06:46] 前端的显示
[01:06:48] 当我点击这个事件的时候
[01:06:49] 点击的时候
[01:06:52] 当我点击的时候
[01:06:53] 我所有播放过的页面都在
[01:06:56] 都在这里对
[01:06:57] 比如说世界变了
[01:06:58] 就你们看到的
[01:07:00] 展示在屏幕上的
[01:07:02] 就是就是就是这个这个页面
[01:07:05] 而没有我没有用
[01:07:06] 我没有用函数调用
[01:07:09] 对
[01:07:09] 就正常情况我完全是可以用函数调用的形式
[01:07:11] 把把这个HTML页面
[01:07:14] 直接传给另外一个一个子系统
[01:07:16] 但我没有我把它放到了放到这里
[01:07:19] 然后我就把前端和后端彻底解耦
[01:07:22] 解开了
[01:07:23] 我这个播放器
[01:07:25] 我现在这个上课的这个播放器
[01:07:27] 它比如说我现在按一个vs code的话
[01:07:29] 它可以
[01:07:31] 我我调出vs code的话
[01:07:32] 它可以
[01:07:33] 可以在另外一个地方打开一个vs code
[01:07:36] 但我在切切换到一个呃slide的时候
[01:07:40] 我就是写一个文件
[01:07:42] 这时候我就完全不用管
[01:07:44] 是谁来用这个文件
[01:07:46] 我可以一个网页来显示这个文件
[01:07:48] 也可以不是网页
[01:07:49] 是一个另外的程序来显示这个文件
[01:07:51] 这样我中间的接口就变成了我这里有个目录
[01:07:55] 然后我这里有一个日志
[01:07:57] 我在03:26分的时候
[01:07:59] 切换到了这个slide show
[01:08:01] 然后我通过读取这个
[01:08:02] 另外由另外一个系统来读取这个格式的日志
[01:08:06] 相当于我为这个日志的格式做了一个约定
[01:08:09] 这是我和其他sub system的protocol
[01:08:11] 然后他只要遵循这个格式
[01:08:13] 它就可以正确的呃显示幻灯片
[01:08:16] 所以我的si show
[01:08:18] 我的整个整个幻灯片的播放器
[01:08:22] 就我写的
[01:08:23] 实际上就只有这几行
[01:08:25] 这幻灯片的忘记完全是完全是
[01:08:27] 这是300行的AI generate13代码
[01:08:31] 但我完全不用管
[01:08:32] 因为所有的复杂性都被隔离了
[01:08:34] 它不会就这个东西不会
[01:08:37] 这个程序是一个独立运行的程序
[01:08:39] 它不会污染到我
[01:08:40] 任何一个其他系统的任何一个部分
[01:08:43] 他干的事情只是读取我的解析
[01:08:46] 我的日志
[01:08:47] 然后并且在终端里面把它呃打印出来
[01:08:50] 这是一个
[01:08:51] 这是一个可可能的一个比较比较典型的呃设计
[01:08:56] 这样我把几个subsystem的协议给分解开
[01:08:59] 这样可以让AI去分别的实现
[01:09:01] 甚至甚至让AIA证的
[01:09:03] 可以并行的实现好几个工具
[01:09:05] 你想的我现在有一个前端
[01:09:06] 有好几个
[01:09:07] 我有好几个后端工具
[01:09:08] 我甚至可以开几个AI程序并行并行实行它
[01:09:11] 但如果我是一个monolithic的库
[01:09:14] 所有东西都是以函数调用调来调去调来调去的
[01:09:17] 我要启动并行AH就有一定的风险
[01:09:19] 当两个agent t同时改了同一个文件的时候
[01:09:21] 还要处理这种修改的冲突
[01:09:23] 如果你的项目的架构做的好一些的话
[01:09:27] 你就有呃有机会去更好的维护这个呃这个项目
[01:09:31] 所以我觉得这可能是现在现在AI还做的
[01:09:33] 不够好的地方
[01:09:34] 但我也觉得呃算力就是智能
[01:09:37] 所以AI没有道理做不了这件事
[01:09:39] 当AI能真正能做这件事的时候
[01:09:42] 呃我觉得人就我们的末日就真正来了
[01:09:44] 但至少现在AI好像还还做这件事情
[01:09:46] 还不太擅长呃对所以今天我还有一点时间呢
[01:09:51] 我就呃准备啊准备
[01:09:55] 准备做好翻车的准备
[01:09:57] 我要web code一个os kernel全部交给AI
[01:10:01] 测试一下国产模型的能力
[01:10:04] 当然这个国产模型的呃测试是从诶
[01:10:08] 我先说了一句话
[01:10:09] 然后让GPT5.4
[01:10:10] 让GPT5.4
[01:10:12] 给我生成了一个小的分解的任务
[01:10:15] 因为我我暂时觉得国产模型也许
[01:10:18] 可能还需要一些时间才能呃做好分解
[01:10:22] 它给了我一个看起来像呃还不错的分解
[01:10:26] 我要做一个Rest five的呃操作系统内核
[01:10:30] 注意
[01:10:30] 我现在我现在已经彻底假装我完全不知道
[01:10:34] 没有任何RESEARFIVE的概念
[01:10:35] 没有任何操作系统的概念
[01:10:36] 我现在已经我我现在已经变把我自己的智力
[01:10:40] 就把我和操作系统相关的knowledge全部都清空了
[01:10:43] 我我跟我跟这个GPT5.4聊天的时候
[01:10:47] 完全没有用任何我自己的操作系统的知识
[01:10:51] 这都是他写的
[01:10:51] 他说他要他要启动我们的呃内核
[01:10:55] 他要初始化一个呃minimal的runtime environment
[01:10:59] 然后要创建多个内核线程
[01:11:01] 要做线程的切换
[01:11:03] 还要展示调度
[01:11:05] 然后他还解下煞有介事的写了一些这个
[01:11:08] Working style
[01:11:09] 还有呃还有你看他有个sink think step by step的prompt
[01:11:14] 对
[01:11:15] 你看他对于每一步以后
[01:11:16] 因为我说了
[01:11:17] 我要在上课的时候做这件事
[01:11:18] 他说我要把每一他的每一件事做
[01:11:22] 每件事情都要解释解释好
[01:11:24] 还要解释怎么测试诶
[01:11:27] 然后还有一些
[01:11:29] 这也是从我自己的自然语言的prompt
[01:11:31] 里面导出来
[01:11:32] 比如说keep the design tiny and explicit
[01:11:34] 然后你看他就开始分解问题了
[01:11:36] 他还挺聪明的
[01:11:37] 我虽然我只说实现一个操作系统
[01:11:39] 没有说任何细节
[01:11:40] 但是他已经开始
[01:11:42] What to avoid
[01:11:44] 除非我我问了structure
[01:11:47] Your help around your short plan
[01:11:49] Next
[01:11:50] Called the change a minimal tests or demo preferred mindset
[01:12:00] 呵然后我就下课了
[01:12:03] 这个没关系
[01:12:04] 随时随时准备好翻车
[01:12:06] 我现在呃现在就就已经做好快进的准备哈
[01:12:10] 呃可以看一下他思考的过程
[01:12:15] self tension还是在工作的
[01:12:17] 让我先创建必要的文件结构
[01:12:19] 你看它有一个他就得到了一个呃plan list诶
[01:12:25] 他开始掉了豆包系的2.0克了
[01:12:28] 无论如何
[01:12:29] 就当测试一下这个模型怎么样了
[01:12:31] 反正出了问题
[01:12:32] 我还可以用一点诶
[01:12:34] 他要开始写文件
[01:12:35] 你看他想开始写文件
[01:12:37] 他开开始写一些make fire
[01:12:39] link链接的编译的脚本
[01:12:42] 链接的脚本
[01:12:43] 还有一些目录结构等等
[01:12:44] 呃我就yes
[01:12:47] 写文件我都允许创建source和include目录
[01:12:50] 你看他就跟人一样
[01:12:52] 如果就如果是我来写一个操作系统
[01:12:55] 我也会这样做
[01:12:56] 所以这就是AI可怕的地方
[01:12:59] 我作为一个有有操作系统
[01:13:00] 有一些这个编程知识的人
[01:13:03] 我也做不了
[01:13:05] 更好
[01:13:07] 让我们来瞧一瞧
[01:13:09] 工工整整
[01:13:11] 有一种
[01:13:12] 你们回到学计算机系统基础的时候了
[01:13:16] 工工整整的代码
[01:13:19] 你看kernel
[01:13:21] 然后他写了一个很长的kernel点h thread点H好
[01:13:25] 我们接着看
[01:13:26] 你看他
[01:13:27] 他他知道他知道编程里面什么样的东西是
[01:13:30] Best practice
[01:13:31] 那他会先写一两个呃注释
[01:13:34] 然后他他很聪明的
[01:13:37] 如果你们仔细读过计算机系统基础的那个
[01:13:41] 框架代码的时候
[01:13:42] 我们也才是在做一样的事情
[01:13:44] 但我们的框架代码就
[01:13:47] 你们也还
[01:13:47] 有同学是做那个有attract machine的版本的吗
[01:13:50] 有同学做aftract machine
[01:13:52] 我觉得
[01:13:53] 所以我觉得我我们作为人类
[01:13:54] 还是有一定的智力上的呃优势的
[01:13:59] 至少相比现在AI我们的那个我们的那个make fire
[01:14:02] 有个make HTML
[01:14:03] 有同学发现过那个彩蛋吗
[01:14:05] 我用了我用了
[01:14:07] 然后我就用了井号是注释的这个这个特性
[01:14:11] 然后我就把它组织成了几层的结构
[01:14:13] 把把MAFI组成了一个文档
[01:14:15] 而AI好像现在还不太会会玩这个
[01:14:17] 还玩不了这个花火
[01:14:25] 啊我看出他的意图了
[01:14:27] 他想他想写一个实现一个操作系统
[01:14:30] 里面有两个线程
[01:14:31] 一个线程是STAD1
[01:14:34] 然后一个线程是12.2
[01:14:37] 现在我需要创建线程管理和上下文切换的代码
[01:14:41] 让我继续
[01:14:45] 唉还写了一段汇编
[01:14:47] 也就是说在人类世界里面
[01:14:49] 只要一个东西是well known的
[01:14:50] 别人做过的
[01:14:51] 他不管是不管是这个
[01:14:54] 就像像它现在的大模型
[01:14:56] 完全是用他记忆里面对操作系统的理解
[01:14:58] 去去写这个代码
[01:15:00] 还是你如果找到了某一个文档
[01:15:02] 有一个人说我
[01:15:03] 我我要实现一种什么什么样的操作系统
[01:15:06] 我我呃就像如如果我直接让AI去写
[01:15:10] 它一般不会做出这样的设计
[01:15:12] 但我只要有一个比如技术文档
[01:15:13] 我说我要用文件系统做这个解耦
[01:15:15] 然后这个系统大概是怎么设计的
[01:15:17] 那self attention就能看到我的意图
[01:15:20] 然后就可以把这件事情给呃做对诶
[01:15:23] 你看他开始编译了
[01:15:26] 就跟我们一样
[01:15:27] 就你们你们在做计算机系统基础实验的时候
[01:15:30] 也是
[01:15:31] 改改
[01:15:32] 然后make
[01:15:34] 错了啊错了
[01:15:35] 你看他他是他
[01:15:37] 为什么呢
[01:15:38] Cast a pointer from integer of different size
[01:15:45] 哎你看他思考以后觉得需要修复
[01:15:54] 以往如果我自己
[01:15:56] 比如说我在给你们做那个框架代码的时候
[01:15:58] 也会遇到这样的问题
[01:15:59] 遇到过这样的问题
[01:16:00] 我能干的唯一的事情就是查手册
[01:16:02] 因为在大语言模型之前
[01:16:04] 有的唯一的东西就是互联网以及所有的手册
[01:16:08] 那我人我作为人
[01:16:10] 我就要充当一个人肉索引者
[01:16:27] 其实对大家来说
[01:16:29] 尤其你们未来要去真正做产品的时候
[01:16:33] 观察OGAAI是怎么工作的
