[00:00:00] 好今天我们来讲和生成式软件工程里面非常关系特别大的一个
[00:54:55] 有很多的案例
[00:54:57] 然后关于上下文工程
[00:54:59] 我来讲一两个呃具体的案例
[00:55:02] 当然这这不能算是AI耿耿同学了
[00:55:05] 这个比如说如果你们想要在上下文里面放下一篇论文
[00:55:11] 并且读它
[00:55:12] 我现在假装
[00:55:15] 假装我好
[00:55:20] 现在有一个PDF
[00:55:21] 我把它放到临时目录下
[00:55:24] 这样就这样
[00:55:25] 我的我的agents.md等等
[00:55:26] 就不会不会污染它
[00:55:31] 假装的这是我自己的paper
[00:55:43] 看一眼
[00:55:45] 哎不要用这个
[00:55:50] promise好
[00:55:52] 这是这是我们最近的一个额论文的journal extension
[00:55:59] 诶我我我把他故意改成了匿名的匿名版本
[00:56:05] 不重要不重要
[00:56:07] 我来我我来演示一下
[00:56:10] 如果如果你们想要来读这个论文
[00:56:14] 你们会怎么读呢
[00:56:18] 我想要读一读paper点PDF
[00:56:21] 帮我做个总结好
[00:56:24] 那这这个一定是大家最常见的呃方式
[00:56:30] 那你们觉得这样读论文会有什么问题呢
[00:56:33] 根据刚才的这个推论
[00:56:36] 根据这个self attention就是我的每一个next token prediction的时候
[00:56:40] 他都有一个注意力
[00:56:41] 注意力会注意到这个之前的东西
[00:56:44] 是因为我的论文是一个非常逻辑自洽的东西
[00:56:49] 论文论论文已经我已经反复修改过了
[00:56:51] 假设它不是一个AI slop
[00:56:53] 因为他是一个非常逻辑自洽的东西
[00:56:56] 所以他在上下文里面的这个注意力的污染是极强的
[00:57:01] 他说A所以B所以C所以D所有都是这种扣起来的
[00:57:06] 然后扣起来以后
[00:57:06] 这个模型非常容易就哦接受了这个因为看起来正确嘛
[00:57:10] 就是他会判断这些都是正确的
[00:57:12] 所以我下面要也要做什么
[00:57:15] 所以你基本上你们所有对论文的这个
[00:57:22] 论文的总结都是这个作者的观点对
[00:57:26] 就你们你们去看
[00:57:27] 不管是这个不限于论文
[00:57:29] 就是你们任何一个你们不太明白的项目
[00:57:31] 你们想要读的教科书的某一章
[00:57:33] 就不管是你们想想去学一个计算机系统基础里面的链接和加载
[00:57:37] 那个可能你在上课的时候没有看完全看明白
[00:57:41] 它都是一样的
[00:57:42] 他注意力会被一个逻辑很强的东西给污染
[00:57:47] 然后你来回来回来回就是这个呃呃车轱辘话
[00:57:54] 然后这个基本上就是就是就是就是我们的论文里面原样写
[00:58:00] 要写的话
[00:58:00] 当然这也是总结嘛
[00:58:01] 就总结这个呃总结OK好总结
[00:58:06] 那如果换一个
[00:58:11] 啊不确定
[00:58:16] 对嗯然后他会有一种就是呃AI模型
[00:58:22] 会有一种这种墙头草
[00:58:23] 然后你你说它好
[00:58:24] 他马上就说他好
[00:58:25] 然后就说他不好
[00:58:26] 他马上就说它不好
[00:58:27] 然后呃来回摇摆
[00:58:30] 然后有有的时候你你你就算是你想要纠正它
[00:58:34] 比如说
[00:58:39] 呃对吧
[00:58:40] 我可能不能完完全全信任做
[00:58:43] 作者虽然大概率也是也是成成熟的
[00:58:48] 呃也是诚实的
[00:58:50] 假设我先呃城市的也有用代码实现可以运行
[00:58:58] 我我们都有RT fc都都都可以运行的
[00:59:00] 我们不是那种论文不开源的那种那种作者
[00:59:03] 嗯呃还是想评估一下研究贡献
[00:59:09] 然后
[00:59:11] 然后就就你们你们会会问这样的
[00:59:14] 会不断的问这样的提示词
[00:59:16] 然后你发现来回绕来绕去
[00:59:18] 绕来绕去
[00:59:19] AI可能会揪到一些
[00:59:20] 实验做的还可以再再增加一点
[00:59:22] 这种就就AIAI最喜欢的就是在这种不重要的点上面疯狂的发力
[00:59:27] 因为它可能只能呃只能看到他他在干什么
[00:59:32] 为什么他开了chrome dev tools
[00:59:38] 啊不用不用不用不用
[00:59:42] 不要因
[00:59:48] 啊当然对于实际上就是对于实际如果真的用ChatGPT读去读的话
[00:59:53] 那那肯定还是最好是做一个额交叉的验证好
[00:59:57] 那么你们觉得怎么样怎么样来抵抗AI的这种
[01:00:04] 就是或者说一个已有的东西对上下文的污染呢
[01:00:08] 你们觉得我我自己的
[01:00:11] 这既然这是我自己的个人经验
[01:00:13] 我希望的是我想要把AI和我人和
[01:00:16] 就是和我
[01:00:19] 比如说我有一个一个对象
[01:00:22] 这个对象可能是一篇论文
[01:00:25] 那这个这个论文我希望的是AI和我能够对齐
[01:00:31] 就是他能够站在我的立场上去理解这个这个paper
[01:00:37] 而不是站在他的立场上去
[01:00:40] 去理理理解理解这个paper
[01:00:42] 所以你看他他就开始去看这个这个这个stack RT
[01:00:46] 这个东西是不是是不是对的
[01:00:47] 这这这还用看吗
[01:00:48] 我敢写这个paper会糊一个糊一个不存在的例子
[01:00:52] 对吧哈
[01:00:52] 我一个不存在的例子去去那个嘛不呃呃不可
[01:00:57] 就就你很明显他就他就他就跑偏了
[01:01:01] 所以所以一般来说呃我我会这样提示他
[01:01:04] 就如果我读一篇paper或者呃如果允许我用AI来来来审稿的话
[01:01:09] 我会我我会这样
[01:01:12] 我说嗯应该这样
[01:01:15] 我们站在人类已知的
[01:01:22] 已知的知识边界
[01:01:28] 看这个问题
[01:01:29] 这不是一个额完全老老的问题
[01:01:34] 相关的东西是什么
[01:01:38] 我先要问他相关就是人类历史上相关的已经解决的东西
[01:01:42] 东西是什么
[01:01:43] 解决到什么程度
[01:01:45] 然后这个工作试图解决哪些不一样增量的问题
[01:01:53] 这是一个非常好的grounding
[01:01:55] 就说我我我先要我先要让他和我站在一个平齐的位置上
[01:02:02] 先达成共识
[01:02:03] 然后同样的你们呃我我我是review paper的时候
[01:02:07] 我会我会这样写prompt
[01:02:08] 对你们来说
[01:02:09] 你们需要对齐的是AI和你
[01:02:12] 因为你你们是学生
[01:02:13] 你们比如说计算机系统基础这个课你还不了解
[01:02:16] 那你会说好
[01:02:17] 我计算机系统基础我学到什么程度了
[01:02:20] 我的编程水平是什么
[01:02:21] 这也可能是你你就要维护一个数据库或者一个memory一样的东西
[01:02:24] H4点MD你要告诉AI你学到什么程度了
[01:02:28] 然后从这个基础上
[01:02:30] 你让他把用你学过的知识去把这个东西全部refresh一下
[01:02:39] 然后你看他他他是墙头草
[01:02:43] 然后好他他就可以开始找到一些呃
[01:02:49] 已已有工作的工作边界
[01:02:52] 那这些都是非常重要的
[01:02:54] 相关工作也是我们非常熟知的
[01:02:57] 熟知的
[01:02:58] 相关工作嗯
[01:03:01] 然后然后比如说我我我再再比如说软件的
[01:03:05] 因为我们做了一个软件状态的可视化好
[01:03:09] 那这是这个问题
[01:03:12] paper要解决的
[01:03:14] 就比如说你们会回到链接和加载
[01:03:17] 你们知道为什么
[01:03:18] 你们可以问他为什么我们需要链接从你已有的知识
[01:03:22] 已有的知识在你的已有的概念里面
[01:03:24] 我有一个点CPP
[01:03:26] 然后我有一个程序可以把它变成点ex e
[01:03:29] 这这不就完完就结束了吗
[01:03:31] 啊这这不就结了嘛
[01:03:33] 然后你你就回到你你和AI能够对齐的一个知识点上
[01:03:38] 比如说说我说这个软件可视化支持paper要解决的
[01:03:43] 那为什么说现在的呃工作都有一个无法实际使用的痛点
[01:03:55] 这个文章可能只
[01:04:04] 怎么能往前
[01:04:08] 是不是
[01:04:13] 然后你可以如果你觉得这个步子迈的太大
[01:04:15] 比如说如果像GPT-5.6
[01:04:17] 如果我用一个一线模型去读paper的话
[01:04:19] 他基本上就能够把相相关的知识给整理足够好
[01:04:22] flash可能我还不会不会特别的信任他
[01:04:24] 呃但就你看到在你合适的上下文工程下
[01:04:31] 你确实可以大幅提高AI和你协作的这个对齐的程度
[01:04:36] 它不再是自说自话
[01:04:38] 你一定要把你你的知识忘了它
[01:04:41] 然后然后接下来我们就相当于是想让想想让AI去做什么
[01:04:46] 就做一步推理
[01:04:49] I1步推理
[01:04:50] 然后这个一步推理就是AI最擅长的
[01:04:54] 因为我们训练了这个chain of thought
[01:04:55] Chain of salt
[01:04:56] 每次都是根据过去所有的事实
[01:04:58] 你的paper也好
[01:05:00] 你的教科书内容也好
[01:05:01] 你你已有的东西好
[01:05:03] 基于所有的这些向后让他往后推一步
[01:05:07] 这步是可以verify的
[01:05:08] 就推理最重要的就是它可以VERIF
[01:05:12] 这是一个明确的VERIFI的信号
[01:05:14] 和能够通过测试一样
[01:05:15] 虽然它不是严格的通过测试
[01:05:17] 而是一个呃你相信AI有人类的知识
[01:05:22] 他能够站在人类的公平面上面往后推
[01:05:26] 然后呃
[01:05:28] 他会审视合理性
[01:05:30] 所以还是有一些合理性的
[01:05:33] 然后呃他批评我们的实验
[01:05:36] 就这种东西的实验就是很难很难做
[01:05:37] 所以呃所以看到人类和和AI还是有有点不一样的
[01:05:42] 就是这个这个paper已经accept了
[01:05:44] 所以人类的review还是还是认为它可以的
[01:05:47] 呃就是因为他看到这个事情是就是他做了一件件新的合理的事情
[01:05:53] 然后当然实验本身他他肯定我总是可以用实验不够好来reject一个paper
[01:06:00] 但是我我几乎不会用
[01:06:01] 因为实验不够好
[01:06:02] Reject paper
[01:06:03] 而我reject paper大部分是因为他们在这个就是呃在这个逻辑上面断开了
[01:06:10] 就是如果我站在
[01:06:12] 当然在这个可能也是我作为一个审稿人比较可怕的地方
[01:06:15] 我就站在人类
[01:06:16] 因为当我审稿的时候
[01:06:18] 我就是站在人类的这个立场上
[01:06:20] 你有没有给人类提供新的知识
[01:06:22] 那么呃我站在人类立场上说
[01:06:24] 好好
[01:06:24] 我我应该还可以帮我找这个related work
[01:06:27] 那好那那如果你做的这个问题也不新
[01:06:31] 你做的ABC也不行
[01:06:33] 结果也就那样
[01:06:35] 甚至你的就是你的逻辑链条是有问题的
[01:06:38] 比如说呃我我昨天才reject了一篇一篇paper
[01:06:43] 这大概大概是这样的
[01:06:45] 他说我要做
[01:06:46] 我我不能说它是什么
[01:06:48] 呃大概说我要做一件事情A然后我要做这件事情
[01:06:52] A里面分成两个部分
[01:06:54] A1和A2
[01:06:56] 嗯好
[01:06:57] 他说我们要做一件事情
[01:06:58] AA很重要
[01:06:59] 这没问题也很重要
[01:07:00] 然后分成A1和A2
[01:07:02] 然后A2呢是一个大家没有很好的研究的东西
[01:07:06] 然后那么我们在A2上面做了一个A2撇
[01:07:09] 然后这个A2撇有一些什么样
[01:07:11] 什么样什么样的
[01:07:11] 这是个非常标准的标准的
[01:07:15] Road map
[01:07:16] 但是
[01:07:19] 它里面有一个很大的问题
[01:07:21] 它优化的是性能
[01:07:23] 然后优化的性能的话呃A1我我估算
[01:07:28] 可能占99%
[01:07:29] A2占1%
[01:07:31] 也就是说他优化A2这个故事可能是成立的
[01:07:34] OK就是他确实优化了A2
[01:07:35] 他那个实验做的可能也是也是没有问题的
[01:07:38] 但是他对整件事情在这个意义上不成立
[01:07:41] 是因为我为什么你你应该去优化A1
[01:07:44] 就是你你优化A2的10%
[01:07:46] 这10%就像noise一样
[01:07:48] 当然我我可能你可能说哈
[01:07:51] 如果他的这个所有的东西都是成立的
[01:07:53] 他作为一个学生的作业
[01:07:54] 所以我觉得也是蛮可惜的
[01:07:55] 因为呃author肯定是学生嘛
[01:07:58] author肯定是学生
[01:07:59] 然后学生学生是肯定是老老师说我要老老师肯定是做这个的
[01:08:04] 你要这样理解
[01:08:05] 老师肯定是做A的
[01:08:07] 老板肯定是做A的
[01:08:08] 然后他可能被分到了A2
[01:08:10] 或者分到了就是自己去想做一个A2
[01:08:13] 然后这个A2做的也不是特别的
[01:08:15] 如果这个东西做的特别漂亮
[01:08:16] 我觉得也挺好的
[01:08:17] 他也也是说他为了做A2
[01:08:19] 那为了做这个那额
[01:08:21] 那我就做XYZ
[01:08:23] 就从A1里面搬了一些
[01:08:24] 实际上大概是他从A1里面搬了一些XYZ到A2里
[01:08:28] 然后说A2这个效果也可以也可以变得好一点
[01:08:31] 然后呢那个question就是那OKGPT也知道这件事
[01:08:35] 那为什么为什么要发篇paper呢
[01:08:37] 就其实我的center question是呃
[01:08:40] 就这这些东西都摆到台面上
[01:08:42] 那你你为什么要为了这个写一篇paper
[01:08:46] 所以说现在我觉得是是
[01:08:50] 发表和评审的体系很快就要学术界很快就要崩溃了
[01:08:54] 这个即将你们要读研的
[01:08:56] 同学我我我非常认为
[01:08:58] 这个发表的呃体系就马上就要就要崩溃了
[01:09:01] 因为
[01:09:05] 我们的AI slop开始大量的涌入这个community
[01:09:12] 然后如果我们用AI发文章写文章
[01:09:16] 用AI审文章
[01:09:17] AI写文章的时候
[01:09:18] 他就会被这个上下文里面的故事给污染
[01:09:20] 就如果如果他不能像我一样
[01:09:23] 很多轮的去去理解这个工作在呃整个这个世界上的意义
[01:09:29] 那它就呃最后最后就就是就是也没有人读文章了
[01:09:34] 人人都用AI读文章
[01:09:35] 然后最后就变成了一个呃完全的呃完全的slop
[01:09:40] 因为你看这是GPT-5.6给我写的
[01:09:44] 审稿就如果让他来审稿
[01:09:46] 他会他会怎么做
[01:09:47] 然后你会发现GPT-5.6做的并不好
[01:09:51] 他还是你看他还是一个非常原始的说
[01:09:55] 呃论文论文写什么
[01:09:59] 论文写的什么
[01:10:00] 然后然后我们要去建立它的claim是不是成立
[01:10:03] 就是他的逻辑
[01:10:04] 他更多验证的是这个论文的逻辑
[01:10:07] 有没有没有必上的
[01:10:09] 是不是不是不是应该in bi的paper
[01:10:10] 当然我我会倾向于如果每个人都AI写的话
[01:10:12] 他应该不是invalid paper
[01:10:14] 每篇paper都是都是valid paper
[01:10:16] 但你真的要读它吗
[01:10:18] 就是
[01:10:19] 就就真的要
[01:10:21] 尤其是你们作为同学
[01:10:23] 在你们很快就要进入研究生阶段去读论文的时候
[01:10:26] 当有一天有一个人发表了一篇什么样的文章
[01:10:30] 在EC上
[01:10:31] 然后你会说哦这是一个顶会的论文
[01:10:33] triple AI上面这是一个顶会的论文
[01:10:35] 那你今天决定花一个小时去读一下
[01:10:38] 然后你读完以后发现是一个这样的东西的时候
[01:10:40] 你是
[01:10:42] 就是就是其实其实他不需要
[01:10:44] 就是你可能不要去投top top conference
[01:10:47] 你你需要publish的话
[01:10:49] 你可以你可以让他publish
[01:10:50] 但是可能不要让大家去去读它比较好
[01:10:54] 然后这就引申出了呃可能比如说我是怎么学习的
[01:11:00] 就是呃这节课虽然是讲PROMAINING
[01:11:03] 通过这个例子可以告诉大家我们是怎么学习的
[01:11:08] 我们学习的过程就是增加这个我的这个世界的过程
[01:11:16] 所以我现在还读配文
[01:11:18] 所以我还在学习不断增加
[01:11:20] 然后我学习的方法就是去对齐过去的我
[01:11:25] 对齐过去的我
[01:11:27] 然后对齐过去的
[01:11:27] 我说如果我读到一篇好的paper1篇
[01:11:31] 哪怕是可能几十年以前的
[01:11:33] 甚至是另外领域的一个一一个
[01:11:36] 不管是博客文章
[01:11:38] 任何任何东西也好
[01:11:39] 我觉得很有启发
[01:11:40] 我会试图去想
[01:11:41] 为什么我以前诶不知道就他的盲区在哪里
[01:11:45] 哪些前置知识我不知道
[01:11:47] 那首先在我的这个心里面就多了一些
[01:11:51] 我已经知道的一些fact
[01:11:53] 这个世界上有一种有个学科叫什么
[01:11:56] 我我读过很多
[01:11:57] 看跟凯美尔赛是没有没有关系的
[01:12:00] 呃paper我很喜欢
[01:12:02] 就是我做了factory以后
[01:12:03] 我才我才读的
[01:12:04] 有呃有有一套很厚的那个叫自然科
[01:12:08] 自然的那个百年科学经典
[01:12:10] 大概是把nature那个magazine从171890年开始
[01:12:14] 到到某一个时代的这个paper都就特别好的paper都都收集了
[01:12:19] 然后就看了很多
[01:12:20] 这个闻所未闻的
[01:12:22] 就是有有些事情你们可能知道
[01:12:23] 比如说呃有一个基因
[01:12:26] 就大家生物有一个这个家谱数
[01:12:29] 然后最终会追到一个这个共同的祖先卢卡
[01:12:33] 然后这个加谱数是怎么算出来的
[01:12:35] 对
[01:12:36] 这是个很很好很好的问题
[01:12:37] 然而然然后这里面就涉及到你需要知道一些一些fact
[01:12:41] 比如说这个家谱数
[01:12:43] 你的你的线粒线粒体是母系单遗传的
[01:12:46] 所以他靠这个突变就可以往上追溯
[01:12:50] 这是一个很有意思的fact
[01:12:51] 然而这个fact有它又是怎么样用一些已知的这些东西
[01:12:56] 把更多的东西推出来
[01:12:57] 然后你的这个圈就不断的在你的这些圈就不断的在往外往外长
[01:13:02] 无论你学任何东西都是啊都是都都是这样的
[01:13:06] 然后你你你在AI的帮助下就可以
[01:13:09] 呃非常快的去扩展你的你你你的边界对
[01:13:14] 所以所以一定程度上你们还是需要自己
[01:13:17] 就我我给你们讲是没有用的
[01:13:18] 讲你们就听个故事
[01:13:19] 哎这这故事挺fancy的
[01:13:20] 结束了
[01:13:22] 实践非常的重要
[01:13:23] 因为你们只有在在阅读的时候失败
[01:13:26] 你今天今天你去读一个什么资料的时候
[01:13:29] AI解释了半天
[01:13:30] 你还没有懂
[01:13:32] 这是非常这是非常正常非常正常正常
[01:13:35] 有的时候也是在我AI要我
[01:13:36] 我经常纠正他
[01:13:37] 你你这样读说人话
[01:13:39] 我经常会说说人话
[01:13:42] 要慢慢才能一起在多轮对话里面
[01:13:45] 先和他同步好我的共识
[01:13:48] 然后再去把这个推理的picture给呃给给给建建建出来对
[01:13:54] 所以你看到我们从这个呃遵循指令
[01:13:57] 一个写一个藏头诗这样的一个短程的任务
[01:14:01] 你只要把WIREFIRE写清楚
[01:14:04] 就就完成了
[01:14:05] 然后到这个VERIFIRE其实可以是非常非常不tribute的
[01:14:10] 这是有没有按照你的思维的方式去重构你逻辑的这个
[01:14:17] 或者扩展你你逻辑思维的边界
[01:14:20] 这是我的玩法
[01:14:21] 或者说我学习东西的玩法
[01:14:24] 在一个混沌状态下面经历了若干次三观尽毁
[01:14:28] 我我觉得就每个同学可能都会都会在这个年纪的时候
[01:14:32] 你们这现在就是你们的世界观可以重塑的时候
[01:14:36] 然后再在看了某一本书以后
[01:14:38] 你就突然间就觉得三观尽毁
[01:14:41] 就过去
[01:14:41] 所有的东西你都都就就重新组织了
[01:14:45] 就你以前知道的所有的fact都会都不会变的
[01:14:47] 但是他们以一个重新的方式链接起来
[01:14:50] 然后你下一次的时候就会带上这个啊这个新的理解
[01:14:54] 所以我觉得这是一个很有意思的啊事情
[01:14:56] 你们有你们有无限的时间
[01:14:58] 你们有无限的啊可能性
[01:15:01] 可以把自己蒸馏成一个skill
[01:15:04] 我说我说我失败很重要
[01:15:05] 然后从呃从你失败的过程当中
[01:15:08] 可以蒸馏出那个慢慢越来越成功的
[01:15:11] Skill
[01:15:12] 这个就是这个就是我我自己啊蒸馏出来的
[01:15:17] 关于我自己的skill
[01:15:19] 对好
[01:15:21] 这是用好大模型
[01:15:23] 遵循指令的能力
[01:15:28] 好那么现在已经知道遵循指令了
[01:15:33] 我们就可以看怎么样去
[01:15:38] 怎么样去处理
[01:15:40] 真正这种long horizon的认为
[01:15:42] 就是说像什么计算机系统基础的pa作业
[01:15:47] 可能这种有明确WIFI的都不能算是这种真正long horizon的东西
[01:15:52] long horizon多多少少就是带一点未知
[01:15:56] 你从一个你从一个初始的状态出发
[01:15:59] 你大概可能有一个intent
[01:16:01] 但是你的specification和你的implementation其实都不太清楚的时候
[01:16:06] 你最终的目标是交付一个高质量的implementation
[01:16:09] 那你你你就不应该让AI去画一下子
[01:16:15] 一下子向向后坐坐
[01:16:18] 这个因为我们的模型它的self attention
[01:16:24] 它的反馈信号是强化学习给的
[01:16:26] 所以他有一种着急的执念
[01:16:28] 是赶快通过WIFI满足你的要求就结束
[01:16:32] 对
[01:16:33] 他其实有一个平衡
[01:16:34] 因为如果他做的planning太多太长
[01:16:37] 他会做不完
[01:16:38] 上下文满了
[01:16:39] 人人会不满意
[01:16:41] 所以所以在目前阶段
[01:16:42] 它最好还是一个就帮我把PA2做了
[01:16:46] 这个是他最能力最最擅长的
[01:16:50] 事情好
[01:16:51] 你也你也你也是你也是
[01:16:54] 你也是非常开心的
[01:16:55] 所以这就导致了一个什么呢
[01:16:58] 很有意思的观察
[01:16:59] 你们你们会就像我刚才在codex里面呃跑一把
[01:17:05] 从零开始做产品看起来是不难的
[01:17:07] 就你做一个小的proof of concept AI马上就能给你一个
[01:17:11] 你说做一个不管是个人主页还是一个产品
[01:17:15] 就是你们你们应该都试过吧
[01:17:16] 就做一个极品飞车嘛
[01:17:17] 就就这么说
[01:17:18] 刚才那个极品飞车one shot说给我一个极品飞车
[01:17:22] 然后我就能跑
[01:17:23] 我就真的能跑了
[01:17:24] 但是在你往把他往后维护的时候
[01:17:27] 加一个功能
[01:17:28] 加一个功能
[01:17:28] 加一个功能的时候
[01:17:29] 你会观察到AI从某个时间点开始翻车
[01:17:33] 就随着某个时间点开始
[01:17:35] 它的cos就会越来越大
[01:17:37] 越来越大越来越大
[01:17:38] 这个在软件工程里面已经已经是就无数次了
[01:17:42] 呃人月神话里面就是就是讲的讲的讲的讲的这件事情
[01:17:45] 但是有里面有个悖论
[01:17:48] 反而你在一个大型的复杂软件系统里面
[01:17:51] 这个AI就像砍瓜切菜
[01:17:53] 就我我我觉得我我们hack这种比较大的系统
[01:17:55] 像LINUX内核这种
[01:17:57] 现在的内核已经不比我那个时候的内核了
[01:18:00] 我觉得呃我我以前上操系统课
[01:18:03] 我都会说我很幸运
[01:18:04] 我在呃零几年的时候
[01:18:07] LINUX还2.6的时代
[01:18:09] 而甚至是2.6.2几的时代接触了LINUX内核
[01:18:12] 那个时候源代码我还看得懂
[01:18:14] 今天如果你打开一个LINUX内核源代码
[01:18:17] 立马就是劝退
[01:18:19] 为什么我想要看这样一个函数
[01:18:22] 比如说你要学文件了
[01:18:23] 你想看文件是怎么打开的
[01:18:25] 然后第一个就是一个函数调用
[01:18:26] 点进去又是一个函数调用
[01:18:28] 点进去又是一个函数调用
[01:18:29] 然后点点了十层
[01:18:31] 最后是一个X等于Y
[01:18:33] 你马上就崩溃了
[01:18:34] 因为
[01:18:36] 这个大型的软件系统被经过了长时间的演化
[01:18:40] 他被迫为了为了能够维维护下去
[01:18:43] 它变成了现在这个样子
[01:18:44] 结果恰好导致的是在大型复杂的软件系统里面
[01:18:48] AI游刃有余
[01:18:50] 为什么呢
[01:18:51] 跟刚才我们说这个上下文污染正好是反过来的
[01:18:56] 我们说一个论文放进去以后
[01:18:58] 这个他就把上下文就就整个就扭过去了
[01:19:01] 就就整个就扭过去了
[01:19:02] 而如果是一个由人类维护的特别高质量的代码
[01:19:07] 这个上下文会迅速地看到里面那些好的东西
[01:19:11] 他会照着写
[01:19:12] 他会照着学
[01:19:13] 他的注意也能注意到
[01:19:15] 比如说如果我要写一个功能
[01:19:17] 这个功能很有可能在内核里面已经有几个地方实现过类似的了
[01:19:22] 他无敌的注意力机制
[01:19:24] 能够马上就找到那几个地方是怎么实现的
[01:19:26] 它应该调哪个help
[01:19:28] 按照什么样的顺序上锁
[01:19:30] 这些对人类来说都是巨大的心智负担
[01:19:32] 尤其是你在不了解那个subsystem的时候
[01:19:35] 那个该上什么锁
[01:19:36] 你根本就不知道
[01:19:37] 但是self attention可以在加载了几十个文件以后
[01:19:41] 那不就是这三个都是这样写的
[01:19:44] 我就把这三个加起来就就可以了
[01:19:46] 所以越强的像我们LINUX内核
[01:19:48] 那我们前面在hack这个android runtime的时候
[01:19:51] 改那个justin time的编译器
[01:19:52] 这个是一个非常非常痛苦的事情
[01:19:55] 在呃在我手上为了改编译器死掉的同学
[01:19:59] 就是最终决定不再做这个方向的同学都不在少数
[01:20:02] 啊哈嗯就唉这实在是实在是太恐怖了
[01:20:05] 这个这个放弃了
[01:20:07] 不愿意再再写代码了
[01:20:08] 但AI就就就特别特别特别擅长让他做一个小游戏
[01:20:11] 就可以就会就会翻车
[01:20:13] 非常非常有意思
[01:20:14] 你可以看到这就是呃我记得我今天讲prompt ineering上下文工程
[01:20:18] 这都是上下文和今天的模型结构带来的
[01:20:22] 它是有一个逻辑的推理的关系的
[01:20:25] 然后随着模新一代模型的发布
[01:20:29] 我今天上课所有东西可能都又没有用了
[01:20:31] 然后我们再去想新的模型
[01:20:33] 它是怎么训练的
[01:20:34] 它是呃他的personality是什么
[01:20:37] 我们应该怎么样更好的和他相处
[01:20:39] 但是基本上我觉得这点不会变
[01:20:41] 就是他不会套开倒车
[01:20:42] 在大型
[01:20:43] 在无论是什么模型
[01:20:45] 在大型复杂的维护的好的软件系统里面
[01:20:47] 他永远可以看到他该看到的东西
[01:20:49] 并且做对
[01:20:50] 因为我们的模型永远是可以满足指定的
[01:20:54] 听指令是不可能倒开倒车的
[01:20:57] 所以这点他还是可以很好的
[01:21:00] 很好相信他
[01:21:01] 相信他的
[01:21:01] 所以我我我觉得呃我有个我有个歪招
[01:21:05] 但我但我没有实验过
[01:21:07] 我觉得这可能是一个是一个比较好的research对吧
[01:21:11] 我们有没有可能去收集一个人类经验
[01:21:14] 比如说人类历史上面的
[01:21:16] 比如说最好的20个项目
[01:21:18] 或者在在每每一每一个领域
[01:21:21] 找到最好的十个或者20个项目
[01:21:24] 然后把他的经验就是好的设计经验全部都呃提取出来哎
[01:21:28] 你就想那不就是我第一节课拿的那个
[01:21:30] the philosophy of software design吗
[01:21:32] 就那里面就是这就是人提炼出来的
[01:21:35] 你这个类类结构应该怎么写
[01:21:37] 什么时候应该封装
[01:21:39] 什么时候应该把它这个做成继承关系
[01:21:41] 就这就都是这种碎碎念的
[01:21:43] 这呃这些从啊他说这个系统里面这样写的
[01:21:46] 所以它它符合这个需求是是好的
[01:21:49] 然后如果我们能把这些切片切出来
[01:21:52] 甚至是你直接啊就就以污染上下文的形式
[01:21:57] 你先把一个相近的和你相近的一个好的代码放进来
[01:22:02] 然后你再把你的需求放进来
[01:22:06] 然后因为你你就赌嘛
[01:22:08] 这个self attention还是可以终于在某一个token的时候能够看到你
[01:22:12] 我实际上是满足这个需求
[01:22:13] 而不是做做这个
[01:22:14] 虽然它会污染上下文
[01:22:16] 但是他会把他会把你的这个东西给好的经验给给给带过来
[01:22:22] 那这样是不是可以可能可以让AI slop延缓一点
[01:22:27] 能够更大概率做出一个可以长期维护的东西
[01:22:30] 我不知道
[01:22:30] 但是呃也许也也也许需要一些呃比较好的微调
[01:22:35] 比如说这个项目不要把所有代码都放进去
[01:22:38] 而是我们能够能不能把它做一个像这个the philosophy of software design那样
[01:22:43] 做一个精简
[01:22:46] 做一个总结
[01:22:47] 把里面好的模式提取出来
[01:22:48] 以文档的形式放进来等等
[01:22:51] 然后但这也也其实呃没有那么容易
[01:22:54] 因为不同的设计是会打架的
[01:22:59] 你的软件我的软件可以设计成是一个完全松耦合的方式来发消息
[01:23:03] 但我也可以设计成另外的一种
[01:23:08] 比如说就是有一个统一的gateway
[01:23:10] 然后我把这个所有的所有的这个函数的这个全部都统一在里面
[01:23:15] 然后查表就是就这两种事
[01:23:17] 是不能呃不能同时有的
[01:23:21] 他只能选一个
[01:23:22] 那也许我们要要要有一个更好的方法
[01:23:25] 比如说呃把好几个软件的设计都放进来
[01:23:28] 然后由AI多轮的迭代收敛到一个好的结构
[01:23:32] 放到我们的代码库里
[01:23:34] 这样
[01:23:34] 但但我觉得这就是一个可能还不错的方向
[01:23:37] 嗯而且这个这个是新的
[01:23:40] 比嗯比刚才我们看的那种说是吧
[01:23:42] 我有A问题
[01:23:43] 然后分成A1和A2
[01:23:44] 然后A2里面做一个什么什么什么排列组合的东西
[01:23:47] 看起来有要要要有有趣一些
[01:23:49] 对啊好
[01:23:52] 所以核心的观点就是这节课的观点
[01:23:57] 我们今天还没有这种超能力的AI
[01:24:00] 你还是需要有概念
[01:24:02] 知道上下文里面有什么
[01:24:05] 上下文里面的每一个东西都会对AI产生什么样的结果
[01:24:09] 那这唯一的途径就是第一你要对你玩的东西有概念
[01:24:15] 你还是得学处理器
[01:24:17] 操作系统
[01:24:18] 编译器数据库
[01:24:19] 这里有很多设计的智慧
