[00:00:00] 好我们继续讲生成式软件工程
[00:52:34] 从上从上到下
[00:52:35] 你们只要是呃computer science或者software相关的
[00:52:39] 你们一定在软件工程课上面见过
[00:52:43] 见过这样的图
[00:52:44] 然后这个图来自哪里呢
[00:52:46] 这个图就来自这个
[00:52:48] WINSTONROYCE的这一篇经典的呃文章
[00:52:51] 当然你看我
[00:52:52] 我读文章的方式
[00:52:53] 和你们读文章的方式有些不一样
[00:52:55] 这个是是呃我昨天在备课的时候
[00:52:59] 我需要这篇文章
[00:53:00] 我就直接找到了这篇文章的链接
[00:53:02] 然后直接和我的agent说入库这个paper
[00:53:06] 然后你我就得到了这个
[00:53:08] 这是一个文字文字整理版的
[00:53:11] 我我记得我给大家可能展示过一次
[00:53:13] 呃啊read space
[00:53:17] 我可能没有在这个课
[00:53:18] 好像没有在这个课上展示过
[00:53:19] 比如说这个article70对吧
[00:53:25] 他是个这样的
[00:53:26] 我我暗夜切割
[00:53:27] 就我的AI梗同学
[00:53:28] 然后会把所有的图片
[00:53:30] markdown的图片都直接嵌入嵌入进来
[00:53:33] 然后我有一些工具
[00:53:34] 比如说我有一个命令行的工具可以去
[00:53:40] 我有一个命令行的工具可以去唉
[00:53:43] 这个有点宽
[00:53:44] 可以可以去打印文本
[00:53:46] 也可以去提取图片等等
[00:53:47] 也有一个这个类似于less的工具
[00:53:50] 这是web code的
[00:53:50] 就我什么也没有说
[00:53:52] 来帮我
[00:53:55] 帮我去解去去
[00:53:57] 直接在命令行里面读读论文
[00:54:00] 然后瀑布模型就来自来自这里
[00:54:04] 瀑布模型
[00:54:05] 然后实际上啊实际上呃有意思
[00:54:09] 最有意思的是我们都讲
[00:54:12] 比如说软件工程学
[00:54:13] 学软件工程师都学瀑布模型
[00:54:14] 可实际上这篇文章是批判瀑布模型的
[00:54:18] 所以你还得就是这种还得还得去去原文
[00:54:23] 就当一个东西好多次
[00:54:26] 这个经过了消化以后
[00:54:28] 你得到的东西可能就不是那个东西了
[00:54:30] 因为其实在那个时代对
[00:54:33] 1970年大家真的是只什么也没有
[00:54:36] 只能从first principle去思考
[00:54:38] 这个呃in space好
[00:54:49] 啧我我直接让他帮我读这个
[00:54:54] 对我有一个rise scale
[00:54:58] 试一下
[00:55:06] 需要一点点的时间
[00:55:07] 没事我们我们继续读
[00:55:09] 如果你看到这
[00:55:10] 那这就是一个经典的瀑布模型
[00:55:12] 你看啊需求到系统的需求
[00:55:16] 软件的需求分析设计代码测试
[00:55:19] 然后去上线
[00:55:22] 上上线
[00:55:23] 因为哎我有一个这个
[00:55:26] 但这个我还没还可以继续
[00:55:28] 继续调啊哈
[00:55:30] 你看他说后被称为瀑布模型的原始出处
[00:55:33] 也是被误读最严重的一天
[00:55:35] 所以应该是一个最早可能有一两个article它错误的
[00:55:39] 就没有没有描述所有的这个文章里面的
[00:55:43] 呃观点
[00:55:46] 然后我给了一个呃
[00:55:48] 他我还可以重述
[00:55:50] 在现代意义上重重述
[00:55:52] 说一个程序小到能被践踏的人
[00:55:55] 自己用两步就够了
[00:55:57] 所以你看这就是你们的online judge
[00:56:01] 如果你站在今天的
[00:56:03] 就是你站在今天你做的所有的软件的practice
[00:56:06] 你依然很能够很好的对上对上这个文章里面
[00:56:11] 当时他们的一些思考
[00:56:13] 这个这个OK没问题
[00:56:15] 但是但是啊这个很容易失败
[00:56:20] 如果啊如果你把这样的一个流程
[00:56:22] 扩展到这样的一个瀑布
[00:56:24] 瀑布模型是因为测他他的观点
[00:56:28] 因为测试是整个链条上第一个物理事件
[00:56:31] 就你在你在设计的时候
[00:56:34] 你你有报告
[00:56:34] 然后你在这个program真正被写出来之前
[00:56:37] 它都是不能运行的
[00:56:39] 这是一个first principle
[00:56:41] 也就是说当这种不能运行的东西在的时候
[00:56:44] 你都会随便做做
[00:56:46] 这就是人
[00:56:47] 文档反正文档文档你我就你叫我写文档哈
[00:56:51] 我就写一个
[00:56:52] 你们你想想你们写这个实验文档的时候
[00:56:57] 你们对它的正确性有guarantee吗
[00:57:01] 当然有同学会认真一点
[00:57:03] 或者说我有个best effort guarantee
[00:57:05] 但实际上你是没有guarantee的
[00:57:06] 你你文档或者先写就写了
[00:57:08] 然后写的就放在那
[00:57:09] 然后可能你代码改了
[00:57:11] 设计改了
[00:57:11] 文档不一致
[00:57:12] 也就放在那
[00:57:13] 所以这些东西是没有这个一个很强的这个约束
[00:57:17] 在很强约束下做的
[00:57:18] 然而只有在你测试的时候
[00:57:21] 这个程序才真正跑起来
[00:57:23] 你才真正知道他的行为是什么
[00:57:25] 虽然你可能在这个呃呃编码的时候
[00:57:29] 就已经感觉到可能有一些有有一些不对了
[00:57:32] 但是但是一旦你的
[00:57:35] 比如说你的从intent到specification到implementation
[00:57:40] 发生了漂移
[00:57:41] 你到测试的时候再发现的时候
[00:57:44] 就意味着你要回头去
[00:57:46] 这我记得应该也有一个图的
[00:57:48] 你要回头去这个回到前面去修改
[00:57:51] 那这个就会带来成本
[00:57:53] 所以就是超期或者超支的源头
[00:57:57] 你看到你看这些图
[00:58:00] 就如果你真的读过原文
[00:58:02] 读过原文
[00:58:03] 他很好理解
[00:58:04] 而且非常的就你站在今
[00:58:07] 尤其你今天有今天的软件工程实践以后
[00:58:09] 去理解它其实非常的非常的舒服
[00:58:12] 既然风险最终都在测试的地方爆炸
[00:58:15] 那所有的补救的本质
[00:58:17] 都是把发现问题的时间点提前
[00:58:21] 就非常自然的一个想法
[00:58:24] 设计先行文档做两遍
[00:58:26] Doing it twice
[00:58:27] 这个是它里面的一个
[00:58:30] 一个非常非常经典的观点
[00:58:35] 对应该是对这个词
[00:58:38] 你看他用了
[00:58:39] 我我这里总总结了一下叫preliminary pilot program
[00:58:46] 他说我们先要做一个不完备
[00:58:49] 但是能够体现这个系统功能的设计
[00:58:53] 然后再把这个这个东西可能会失败
[00:58:56] 但它迭代的成本会变得很低
[00:58:58] 迭代成本变得很低
[00:58:59] 他就可以去reflect到这个系统的设计上
[00:59:03] 然后你看这是什么
[00:59:04] 这就是minimum viable product对吧
[00:59:07] 然后然后他他有各种各样的模型
[00:59:09] 他后面应该在论文的最后可能是这个对
[00:59:12] 就是就是他所想的一个suffer development model
[00:59:17] 然后你就算是在今天这个呃web coding的时代
[00:59:20] 你回去它还是提供了很多的软件工程的智慧
[00:59:25] 即便他在那个时候是在
[00:59:27] 比如说像航天器的任务规划
[00:59:30] 把人送上月球
[00:59:31] 在这些背景下写的
[00:59:35] 写的程序
[00:59:36] 瀑布模型
[00:59:37] 它他先提出的这个瀑布模型
[00:59:39] 然后说了
[00:59:40] 这个瀑布模型在软件工程中是怎么失败的
[00:59:43] 他分析了一个具体的失败
[00:59:44] 然后这个流程在今天开发软件时
[00:59:48] 也是完全一样的
[00:59:48] 因为你总是从空的项目开始
[00:59:51] 不管你是用什么样的版本控制工具
[00:59:53] 你都需要经历先想清楚你要干什么
[00:59:57] 然后再大概想想我价格应该怎么做
[01:00:00] 再去写代码
[01:00:01] 不管这个写代码的是软件工程师还是AI
[01:00:05] 这个流程依然是成立的
[01:00:07] 所以他的这个都是成立的
[01:00:10] 所以你你看到了这个在现在AI的时代
[01:00:15] 每个人都可以阅读一手的信息
[01:00:17] 你可以直接回到这个历史的背景上
[01:00:19] 而且AI既知道过去
[01:00:20] 又知道现在你还有那个历史的原文
[01:00:23] 然后你你会发现有些东西你在书上读不懂的
[01:00:26] 就你两页纸
[01:00:27] 那个书看起来不长
[01:00:28] 两页纸
[01:00:29] 讲瀑布模型读了两遍还没搞懂
[01:00:32] 然后你回去看这个原文
[01:00:33] 马上就看懂了
[01:00:35] 所以知识的压缩就是过去过去
[01:00:39] 比如说像我上学的时候或者再早的时候
[01:00:42] 这个如果你要查证一个知识网络
[01:00:45] 是几乎不可能的事情
[01:00:46] 你要去图书馆翻很多的资料
[01:00:48] 图书馆的索引机制建的也不好
[01:00:50] 虽然图书馆确实也有索引机制
[01:00:52] 如果你要找到那个精确的资料
[01:00:54] 你要花去无穷多的时间
[01:00:56] 所以你你那个时候
[01:00:57] 你是不可能通过一手资料来学习的
[01:01:00] 你必须要经过教科书做知识的有损压缩
[01:01:03] 那有经验的人会
[01:01:05] 所以大家就是有的教科书写的好
[01:01:07] 有的教科书是防自学的
[01:01:08] 教科书写的好的人
[01:01:09] 他就可以
[01:01:11] 他读过一手的信息
[01:01:12] 他也他可能也能共情
[01:01:14] 我觉得好的
[01:01:15] 好的老师可以共情学生
[01:01:16] 他知道学生想要什么
[01:01:18] 学生什么地方会不明白
[01:01:19] 所以他把这一手的信息做一个压缩
[01:01:21] 同时对于阅读者的损失是是很小的
[01:01:25] 但今天这些东西也都不要了
[01:01:27] 因为你可以直接就就说我作为一个
[01:01:31] 我作为一个老师
[01:01:33] 我觉得我不需要再做压缩
[01:01:35] 因为我做压缩对每个人的压缩都是有损的
[01:01:39] 而且对不同人压缩损失了不同的部分
[01:01:41] 如果我一对一的教学
[01:01:43] 我就可以做最合适你的压缩
[01:01:45] 但不需要你现在直接对着你的圆
[01:01:50] 我只要把这个知识的脉络
[01:01:52] 把知识拆解开来
[01:01:53] 拆解成很多的
[01:01:54] 这个我我好像有一次课的时候讲过我
[01:01:56] 我我怎么理解这个世界的知识
[01:01:59] 把知识拆成一个一个的发现的点
[01:02:01] 然后把这个你只需要把这个点和它的原文拿到
[01:02:05] 然后做一个属于你自己的压缩就就可以了
[01:02:09] 所以有些有些东西
[01:02:10] 比如说我们花了很大的代价呃去去
[01:02:14] 比如说我我的
[01:02:16] 我们有很多这个导师
[01:02:17] 老师也在这个这个计划里去去建设
[01:02:21] 这个呃比较先进的课程
[01:02:23] 然后很然后我觉得比较比较有趣的一件事
[01:02:27] 是这样的
[01:02:29] 这这个其实是个很好的计划
[01:02:30] 因为呃在在查证知识网络非常费时的时候
[01:02:35] 如果有有真正的专家能能够帮你做好的压缩
[01:02:39] 那这种毫无疑问是有有价值的
[01:02:41] 但是在AI的时代就是AI是摧毁性的对对一
[01:02:45] 整个领域
[01:02:47] 你可能在里面投入了这个百万千万
[01:02:51] 甚至上亿的人民币
[01:02:52] 但最后都是一个模型
[01:02:53] 就把你轮子就碾就碾掉了
[01:02:55] 一个可能是个DeepSeek这样的
[01:02:57] flash这样的模型刚才在帮我
[01:03:00] 嗯你有任何的问题我都可以直接问他
[01:03:07] 比如说你能了解一下
[01:03:11] 解释一下这个瀑布模型在软件工程里
[01:03:17] 到底是为什么怎么误读了
[01:03:21] 你你会产生疑问产生疑问
[01:03:26] 然后你就直直接跟他跟他对话
[01:03:28] 然后他可以在这个过程当中
[01:03:30] 注意找到更多的原文
[01:03:33] 找到甚至找到这个整个误读的链
[01:03:36] 怎么样
[01:03:36] 这个教材一级一级一级一级一级
[01:03:38] 最后最后到一个你你手上拿的这个软件工程
[01:03:41] 干水教材上面是怎么一步一步的啊对吧
[01:03:49] 曲解这个诶他他有一呵
[01:03:59] 哼这个解释还挺挺make sense的
[01:04:02] 虽然可能也许你也许选择不相信AI再去追问
[01:04:05] 或者用一个更好的模型让它联网更好
[01:04:07] 瀑布好话好背好
[01:04:08] 出题可以作为第一个模型讲
[01:04:10] 然后而且这个每一个新方法都说这个
[01:04:14] 瀑布是这个史上最好用的反派
[01:04:16] 哎他说的很对
[01:04:17] 就就就真的是这样
[01:04:19] 因为本身他就是错的
[01:04:21] 本身这个1970年的文案已经告诉你
[01:04:23] 不能瀑布
[01:04:23] 就1970年就告诉你要要要做MVP呵
[01:04:28] 呃而且确实不成熟
[01:04:31] 虚构
[01:04:31] 在在在这里对
[01:04:34] 挺好的
[01:04:35] 有有有意思嗯对这是这是关于这个这个文章
[01:04:42] 当当然我已经带着大家读过这个文章了
[01:04:44] 所以这几页就AI生成的
[01:04:46] 也也也不那么重要了
[01:04:48] 里面文章告诉我们叫do it twice
[01:04:50] 一个很重要的工程理解
[01:04:52] 但今天就是做
[01:04:54] 做MVP
[01:04:55] 那其实你也可以在不同的各种各样的
[01:04:58] 现在的软件开发的背景下去去了解
[01:05:02] 比如说那如果我们用TDD叫test driven development
[01:05:07] 叫叫这个测试驱动开发
[01:05:10] 去去理解这个工作
[01:05:14] 如何解释
[01:05:15] 如何用这个工作来解释TDD
[01:05:19] 他都是互相的
[01:05:20] 我我们今天的概念
[01:05:23] 就今天正确的practice可以映射到过去
[01:05:26] 然后过去正确的这个first principle
[01:05:28] 也可以用来映射到今天
[01:05:30] 我们来看看这个
[01:05:32] 一个700币的小模型是是什么样的
[01:05:37] 说rose他讲了一件事
[01:05:39] 他说缺陷被发现的时间
[01:05:42] 越晚它带来的反攻代价就越大
[01:05:45] 显然这个事是成立的
[01:05:47] 就跟你呃你们做OJ都会出现这个事
[01:05:50] 你们一开始的时候脑子一热
[01:05:52] 想一个算法
[01:05:52] 这个算法不对的
[01:05:54] 然后就去写代码了
[01:05:55] 写代码写完以后发现样例不对
[01:05:57] 然后你对着样例跑了你的那个算法
[01:05:59] 你发现哎呀完了我这个算法整个就错了
[01:06:02] 这就是呵
[01:06:04] 这就是一个典型的瀑布模型的失败
[01:06:06] 然后你在TDD的意义上
[01:06:09] 你看设计先行
[01:06:11] 那你设计先行的时候
[01:06:13] 你就干脆你就先把测试用例定好
[01:06:16] 你输入这个它就应该经历这个流程
[01:06:19] 输出这个
[01:06:20] 然后你马上就对
[01:06:21] 还有一些敏捷开发等等的概念
[01:06:23] 就就可以用上了
[01:06:24] 所以实际上实际上这个
[01:06:30] 现在做的事情不完全颠覆过去的经验
[01:06:33] 这些老的东西我一直说这个我我很喜欢这些
[01:06:37] 很多图灵奖的工作
[01:06:39] 他为什么能得图灵奖
[01:06:40] 就是因为他确实是在一个
[01:06:42] 完全大家不知道的情况下
[01:06:44] 确立了一个first principle
[01:06:46] 告诉大家这件事情应该这么做
[01:06:48] 不仅是图一讲
[01:06:48] 就这个就这个奠定了软件工程基础的
[01:06:52] 这个rise的这个
[01:06:54] 瀑布我们叫它瀑布模型
[01:06:56] 开玩笑叫瀑布模型的paper
[01:06:58] 不是瀑模型
[01:06:59] Managing the development of large sofer systems
[01:07:01] 这样的一个经典的文章
[01:07:03] 他就给我们很多的启发
[01:07:05] 在它上面长出了这个世界的很多分支
[01:07:08] 当然也有更多好玩的是
[01:07:09] 你有一天发现他一开始有个地方方向想错了
[01:07:12] 然后把全人类都带歪了
[01:07:14] 如果全人类从某一点开始
[01:07:17] 呃这个能够换一个方向
[01:07:20] 那这个全人类
[01:07:22] 也许就立即快速走上了正确的道路
[01:07:24] 比如说直流电和交流电
[01:07:26] 爱迪生和这个特斯拉OK
[01:07:29] 这是three twice
[01:07:31] 然后你也可以用敏捷开发去理解这个
[01:07:34] 呃do do it twice
[01:07:36] 你你不需要把把pilot理解成一个完整的流水
[01:07:40] 而是所谓的敏捷就是你的第一个版本
[01:07:44] 你不是doing it twice
[01:07:45] 你是你是doing it
[01:07:46] Infinite many times
[01:07:47] 你你上来第一个版本
[01:07:50] 哪怕它只有一个hello word
[01:07:51] 它只是
[01:07:52] 打印一个你的流
[01:07:54] 或者说就是每个模块都自报一下家门
[01:07:56] 能把这个模块串起来
[01:07:58] 这也是一个好的product
[01:08:00] 然后在在这个意义上不断的把软件向后
[01:08:04] 向后向后演进
[01:08:06] 让关键假设尽早遇到证据
[01:08:09] 你你一开始不确定的东西
[01:08:11] 立即因为你有一个原型了
[01:08:14] 有一个敏捷的原型了
[01:08:15] 你就可以立即验证它
[01:08:16] 所以你看这个first principle
[01:08:18] 在这么多年软件工程发展的实践当中
[01:08:22] 都还是存在的
[01:08:23] 所以说AI第一个AI来的很焦虑
[01:08:26] 就是AI确实学会了AI
[01:08:27] 也许他品味有一天也学会了
[01:08:30] 就他可以从这些论文里面学到这个品味
[01:08:32] 那呃我们很焦虑AI能帮我们做事
[01:08:35] 但是呃我们仍然
[01:08:37] 或者说现在人类还有一种傲慢
[01:08:40] 觉得我们还是希望能够理解AI到底做了什么
[01:08:43] 能够判断AI到底做的对不对
[01:08:45] 就真的到那一天
[01:08:46] AI做的所有东西都是都是远超人类
[01:08:49] 都是对的
[01:08:49] 然后就只有人会犯错误
[01:08:51] AI不会犯错误的时候
[01:08:52] 那
[01:08:53] 那就那就我们就没有
[01:08:54] 我们就不要去理解它了
[01:08:55] 我们也理解
[01:08:56] 可能也放弃就去放弃理解它
[01:08:58] 但至少在今天
[01:08:59] 这AI虽然财政能力在增长
[01:09:01] 但我们还是呃至少能驾驭
[01:09:05] 能理解AI的人能活下来
[01:09:07] 那大家在这个斩杀线上上升的基础上
[01:09:09] 你就知道呃我们怎么样用好AI怎么样
[01:09:13] 去理解这个里面的软件工程的啊智慧
[01:09:16] 那我是怎么理解这个啊rose的这个pilot的model呢
[01:09:21] 我因为我是一个caputer science的人
[01:09:25] 我们往前一点
[01:09:27] 对坎贝尔3141点
[01:09:28] 然后呃我说
[01:09:32] 我把这个ROIS的模型理解成一种data dependency
[01:09:39] 然后修改是有代价的
[01:09:42] 这样可以吗
[01:09:44] 你就可以跟他跟他聊
[01:09:45] 当然这是我自己的理解
[01:09:47] 我觉得还是还是自洽的
[01:09:48] 你看这个呃瀑布的模型
[01:09:51] 他说从需求分析到系统设计
[01:09:53] 到系统实现到测试验证到交付维护
[01:09:55] 你可以把它想象成每一个过程
[01:09:57] 都想象成是一个program
[01:09:59] 就人嘛
[01:09:59] 我现在把人想象成程序
[01:10:01] 人和程序就是等价的
[01:10:03] 我的人脑人
[01:10:04] 我就神经网络
[01:10:04] 然后我可以我可以做chain of thought
[01:10:07] 我也学会了
[01:10:08] 我先学会了语言
[01:10:09] 我学会了说话
[01:10:10] 然后你们在内心
[01:10:12] 我不知道你们是怎么样的
[01:10:13] 至少我自己在想问题的时候
[01:10:15] 我还是会对齐到语言上
[01:10:17] 我哪怕不说话
[01:10:18] 我依然会说
[01:10:19] OK我要我要这样或者怎么样怎么样
[01:10:21] 这样会有什么样的后果
[01:10:22] 我还是用语言来对齐
[01:10:23] 我的我的内脑内的这个思维链的思考思考的
[01:10:27] 所以CHAS是一个我觉得很有意思的呃机制
[01:10:30] 然后这就是一个如果你把它产生程序和artifact
[01:10:34] 那就是一个data dependency graph
[01:10:36] 他是一个有向无环图
[01:10:38] 如果我在就我可以把这个稍微展开一点
[01:10:40] 比如说我在做需求的时候
[01:10:42] 我我需求里面有好几个点
[01:10:44] 这些当然也有之间可能也有相互的关联
[01:10:46] 那有些可能是没有关联的
[01:10:47] 那我在做设计的时候
[01:10:49] 我的这个设计可能就和这些需求的点是关联的
[01:10:52] 我做的这个设计
[01:10:53] 然后我做这个设计又是关联的
[01:10:56] 又是关联的
[01:10:57] 然后这个关联关系会传递
[01:11:00] 关联关系会传递
[01:11:03] 诶然后我有一个这样的这个data
[01:11:06] Flow graph
[01:11:08] 那就意味着如果我这种一烫头下来一旦发现
[01:11:14] 所以你看跟这跟这个跟rose的解释
[01:11:16] 又是又是一样的
[01:11:18] 如果一旦发现这个test错了
[01:11:21] 然后错了
[01:11:22] 如果我们一路往上追溯
[01:11:24] 发现这个这几个design错了
[01:11:27] 那就惨了
[01:11:28] 所有依赖他的东西全部都毁掉了
[01:11:31] 所以这就解释了为什么cos的很高对
[01:11:36] 所以你看你可以用自己的每一个人
[01:11:38] 就我相信每一个人对这个模型的理解
[01:11:41] 都是都可以是不一样的
[01:11:44] 也就是为什么我们非常需要这个呃一个
[01:11:49] 非常非常需要一个呃个性化的教学
[01:11:52] 每一个人都有自己的diversity
[01:11:55] 他成长的经历不同
[01:11:56] 然后我我我就觉得
[01:11:57] 因为我我是做还算是一个做过一点PL的
[01:12:01] 操作系统人
[01:12:02] 所以我就用会很自然的用我在camera science里面
[01:12:04] 习得的概念去解释这个解解释这个世界
[01:12:08] 这个这基本就是软件工程后来真正采用的
[01:12:12] 形式法方式
[01:12:13] 这也是一个first principle
[01:12:15] 然后他解释了这个啊
[01:12:17] 解释了这个
[01:12:21] 解释了这个这个模型
[01:12:22] 那如果我们知道
[01:12:26] 如果我们知道这个data dependency
[01:12:29] 一旦这个改
[01:12:31] 如果这个触及到它上游的东西需要修改
[01:12:34] 那我们应该怎么办呢
[01:12:37] 那我们很自然的
[01:12:39] 我们可以把它割小嘛
[01:12:41] MVP就来了
[01:12:42] 我们不要一次性的产生大量的DEFEN性
[01:12:45] 而是我们我们从一个这个宽度优先
[01:12:48] 这是一个breakfast
[01:12:50] 你的一个用breakfast search的方式构建软件
[01:12:53] 先做第一层再做第二层
[01:12:54] 再做第三层
[01:12:55] 我们变成一个def search
[01:12:59] 这不就是敏捷开发吗
[01:13:00] 这不就是敏捷开发吗
[01:13:02] 这个我们先做一个minimal viable product
[01:13:07] 把一些重要的优先级最高的这个dependency
[01:13:11] 流程走通哎
[01:13:13] 走通了以后
[01:13:14] 在不断的向右扩展扩展
[01:13:15] 扩展一个DFS
[01:13:16] 一个一个迭代的
[01:13:19] 这就这就对了嘛
[01:13:21] 这就这就对了
[01:13:21] 这就所以这就是软件软件工程
[01:13:23] 没有什么
[01:13:25] 没有什么真正真正真正困难的
[01:13:27] 这个我们越早能够得到反馈
[01:13:31] 我们就越能把这个路线上面的不确定性
[01:13:34] 这个gap
[01:13:35] 因为我们每一个每一个阶段这个瀑布模型
[01:13:38] 所以pom模型里面其实有inside的
[01:13:40] pom模型里面它它
[01:13:42] 比如说前期的阶段
[01:13:43] 比如说需求阶段
[01:13:44] 它就对应的我们要把intent确定
[01:13:48] 要把intent的确定
[01:13:49] 然后在设计设计阶段
[01:13:52] 我们要把spec基本上确定
[01:13:53] 当然可能比如说说这个SPA spec
[01:13:56] 也会在是这个需求的阶段
[01:13:58] 也会也会稍微做一点
[01:14:00] 然后最后到到这个编码测试的时候
[01:14:03] 才是implementation
[01:14:04] 然后因为我们知道这个东西是有gap的
[01:14:07] 然后这个gap就意味着
[01:14:09] 每一个intact都会拆成好多个小点
[01:14:11] 而且会对后面产生dependency
[01:14:13] 所以我们应该
[01:14:15] 做这个MVP或者应该做敏捷开发
[01:14:19] 或者应该做TDD
[01:14:21] 它是显然是一个正确的啊事情对
[01:14:24] 所以所以我觉得是阅读这些经典的著作
[01:14:28] 是啊真的是非常有启发性的
[01:14:31] 也是一个非常值得大家学习的
[01:14:34] 学习方式
[01:14:35] 因为一般经典来说
[01:14:37] 经典都是里记录了一个领域
[01:14:39] 最初遇到的也是最重要的那个根本性的问题
[01:14:43] 然后他在方向上找到一个出路
[01:14:45] 尽管可能我在
[01:14:47] 我在事后我也可以援引其他的概念
[01:14:50] 比它解决的好
[01:14:51] 就比如说我我就很喜欢这个data data dependency
[01:14:54] 一会你会看到data dependency
[01:14:55] 在整个这个那软件工程的发展历史上
[01:14:59] 都是可以
[01:15:00] 你都可以去往这个方向啊去思考
[01:15:02] 然后去导出更多的啊概念
[01:15:05] 这样对好
[01:15:07] 那么这是软件工程的
[01:15:11] 相当于我觉得这个有点像起点了
[01:15:13] 就是你你是你学软件工程
[01:15:15] 这个这个first principle
[01:15:16] 是这个就是它开发就这个软件到底是什么
[01:15:19] 你你当然可以用定义说是代码和数据
[01:15:22] 但当你从这个视角看的时候
[01:15:24] 你就能继续往后推出更多的东西
[01:15:27] 然后在现在
[01:15:30] 经历了几十年的发展
[01:15:32] 软件工程变成什么呢
[01:15:34] 为了解决这里的问题
[01:15:36] 他为每一个阶段都创建了方法和工具
[01:15:41] 然而这些方法和工具可以减少你反攻的概率
[01:15:46] 比如说呃我不知道这边有没有软件的
[01:15:49] 软软件的同学
[01:15:50] 软件同学
[01:15:50] 你们学软工课的时候
[01:15:52] 这个在设计阶段它应该是个ISO标准的
[01:15:55] 但但其实我我对这个印象已经不深了
[01:15:57] 所以我我不是做这个方面的软件工程的
[01:16:00] 比如说这个地方它有一个checklist
[01:16:04] 你很烦
[01:16:05] 你上那个软件工程课的时候
[01:16:07] 你老师让你写一个文档
[01:16:08] 然后他大概有个非常长的checklist
[01:16:10] 说这个有没有做到这个有没有做到
[01:16:12] 这个有没有做到有没有沟通过
[01:16:14] 然后然后你就觉得nonsense
[01:16:17] 因为你是做OJ题的
[01:16:18] 你你觉得这个checklist的nonsense
[01:16:20] 但checklist实际上是有用的
[01:16:23] 它减少了你费用的概率
[01:16:25] 比如说这个checklist最后总有一个
[01:16:27] 你是不是和这个客户最后沟通过
[01:16:30] 然后你在学习
[01:16:31] 你在上学的时候会觉得诶这个
[01:16:33] 很讨厌
[01:16:35] 但是当你真的和客户沟通过
[01:16:37] 并且给他打勾的时候
[01:16:38] 实际上你大幅减少了这个intent的
[01:16:41] 不符合客户要求的概率
[01:16:45] 这就是一个方法
[01:16:46] 这也是一种工具
[01:16:47] 这是一个
[01:16:48] 一个有人文关怀的工具
[01:16:49] 它没有没有任何的代码
[01:16:51] 然后当然
[01:16:52] 我们现在比如说当我们说
[01:16:54] 比如说现在我们做软件工程研究的时候
[01:16:56] 更多时候说哈是当我们有了代码以后
[01:17:01] 当我们比如说有代码
[01:17:02] 有的代码后能不能做自动的测试
[01:17:05] 无穷多的这个灌水的paper
[01:17:07] 然后有了代码以后
[01:17:08] 里面有没有这个bad smile
[01:17:11] bad smell这个你们你们都知道
[01:17:13] 就比如说你你如果看到一个代码
[01:17:15] 它在等号左右从来不写空格
[01:17:19] 你会认为这个代码是不好的代码
[01:17:21] 这个这个呃规定在AI时代之前都都成立
[01:17:28] 但是我发现这个在GP6发
[01:17:30] 这个学会省token以后
[01:17:32] 这件事情变了
[01:17:33] 他会写出这个极为无法理解的代码
[01:17:36] 然后把很多的语句放到一行里
[01:17:38] 然后那个代码就是对的
[01:17:39] 然后我不知道他是怎么弄对的
[01:17:41] 但是反正它是对的
[01:17:42] 然后呃也许我们永远不应该去读那样的呃代码
[01:17:47] 嗯这是个有意思的观察
[01:17:50] 但至少我们知道的是什么
[01:17:51] 是软件工程
[01:17:52] 当有了这样的一个起点
[01:17:54] 为了把这个大的工程系统性的工程扶起来
[01:17:57] 软件工程里面还有很多很多的细小的点
[01:18:01] 你们如果去读研究生
[01:18:02] 如果要选这个
[01:18:03] 比如说软件工程方向
[01:18:04] 你们大概率会在这个里面
[01:18:06] 那个非常小的一点
[01:18:08] 比如说针对这个软件开发流程当中
[01:18:11] 编码的这个过程当中
[01:18:14] 这个java代码的这一种类型的
[01:18:17] bad smell的一个什么样更好的检测
[01:18:20] 去做一个什么东西
[01:18:22] 当然你你在就你在做深的过程中
[01:18:25] 你你不要忘记去看这个树林
[01:18:28] 去看这些经典的东西
[01:18:31] 你就会有更好的认知
[01:18:32] 就是对人来说是深度和广度都是
[01:18:36] 你要在深度里面训练
[01:18:38] 你才有更长的思维链
[01:18:39] 你在广度里面训练
[01:18:40] 才有更好的对整个这个世界的啊感觉
[01:18:44] 然后还有意思
[01:18:46] 你就会发现所谓的软件工程
[01:18:48] 为了在每一个阶段创建方法学和工具
[01:18:51] 它就需要在不同的阶段用不同的语言
[01:18:54] 比如说在checklist的时候
[01:18:56] 你你是不太可能
[01:18:58] 尤其是在大圆模型时代之前
[01:19:00] 你是不太可能用一个呃编程语言
[01:19:03] 去做一个checklist的
[01:19:05] 虽然今天我们都用markdown
[01:19:06] 但那个时候真的就是一个doc x的文档
[01:19:08] 然后你把这个文档打印出来
[01:19:10] 然后要存档
[01:19:11] 你可能是手写的
[01:19:12] 跟客户沟通的那个呃哪个哪个记录
[01:19:16] 然后你到这个编程的时候又有编程语言
[01:19:18] 然后在编程语言和之前
[01:19:21] 你想马上就看到了一个gap
[01:19:24] 那个时候没有大语言模型这种万能的编译器
[01:19:27] 你只要有自然语言
[01:19:27] 就可以把它编译成任何一种语言
[01:19:29] 它在不同的阶段你会发现
[01:19:32] 马上你就发现有些在有些比如在设计阶段
[01:19:39] 我们没有一个语言来帮助你做设计
[01:19:42] 再比如说在1970年的时候
