[00:00:00] 好的在前几次课的时候
[00:52:22] 编译不过的代码相当于让仓库处于坏状态
[00:52:26] 而且你看他还有更多的
[00:52:28] 这是我都没有想到
[00:52:30] 这就是我我知道
[00:52:31] 但是我在上课的时候
[00:52:32] 即兴的时候
[00:52:33] 我是想不到他的
[00:52:35] 呃如果真的有人要去这个git by sect
[00:52:37] 还有git
[00:52:38] 还有一个很有意思的功能叫git blame
[00:52:40] 我很喜欢这个功能
[00:52:44] 哎比如说hello
[00:52:46] 点C对
[00:52:47] 然后他会告诉你每一行代码都是在哪一次提交
[00:52:52] 哪一个地方改的
[00:52:54] 也就是说
[00:52:55] 当我有一个
[00:52:56] 就哪怕是一个线性的这样的历史的时候
[00:52:59] 我都可以干很多有趣的事情
[00:53:02] 你看一下子AI agent的一句话
[00:53:05] 就把git给打开了
[00:53:07] 我我们可以做二分查找
[00:53:10] 大家都知道二分查找吗
[00:53:11] 你们可能会在保研的时候或者工作面试的时候
[00:53:14] 去去要手写一个二分查找
[00:53:17] 二分查找是说如果你你有一个很长的数组
[00:53:21] 你你也可以把这个git提交的历史
[00:53:24] 想象成是一个很长的数组
[00:53:25] 然后呃你现在在当前的版本上发现一个bug
[00:53:31] 然后但这个bug可能不是由我的代码引起的
[00:53:34] 可能是过去的某一个地方引起的
[00:53:36] 你这时候有一个测试用例
[00:53:37] 或者有一个任何一个能够检查出这个bug的东西
[00:53:41] 你就可以对整个的git历史记录做二分查找
[00:53:44] 因为本质上
[00:53:46] 这个git的历史是有一些是有一些提交是OK的
[00:53:50] 有些提交是不OK的
[00:53:52] 然后应该是呃在某一刻引入了一个bug以后
[00:53:57] 这个从某一个时刻开始
[00:53:59] 这些提交就都不能通过了
[00:54:01] 但是在这个之前的这个每一个提交
[00:54:04] 应该都是都是OK的
[00:54:06] 所以这不就是一个在所有的前缀都是零
[00:54:10] 后缀都是一的数组里面找第一个一嘛
[00:54:14] 就是二分查找能能能找的事情你可以做
[00:54:17] 做做二二分
[00:54:18] 然后你还可以get blame
[00:54:21] 你可以知道是谁
[00:54:22] 但你知道错了以后
[00:54:25] 知道错了以后
[00:54:25] 你可以知道是谁改了这一行代码
[00:54:28] 然后呃发生了什么对
[00:54:31] 然后对他有他有很多软件工程的实践
[00:54:38] 所以软软件工程
[00:54:40] 我一直觉得可能不需要在课上讲那么多的
[00:54:44] 东西
[00:54:44] 你你要把时间留给你们
[00:54:46] 你们自己在实践当中由agent来告诉你啊
[00:54:50] 每次提交的代码应该能够通过构建和测试
[00:54:53] 这是这其实是一个非常基础的要求
[00:54:57] 大家也会觉得OK应该是是这样的
[00:55:00] 但是当你反复的强化潜移默化以后就OK了对
[00:55:05] 然后他他又说A证的MD是是可以
[00:55:08] 可以提交
[00:55:08] 这是符合这个best practist
[00:55:10] 我就不不再这个
[00:55:13] 不再做了
[00:55:14] 所以好好消息是
[00:55:16] 我我以前啊在呃LM之前
[00:55:21] 一般来说有新同学进组
[00:55:23] 都会有一些这个高血压时刻
[00:55:25] 就是使用git的best practice
[00:55:27] 因为比如说我们要做一个研究项目哈
[00:55:29] 你欢迎你加入这个研究项目
[00:55:30] 你你去开一个git repo吧
[00:55:33] 然后你你大概你第一周
[00:55:35] 可能会有一个非常简单的任务
[00:55:37] 搭一个架子
[00:55:37] 然后把一两个东西跑起来
[00:55:40] 然后一般来说我都会在打开那个git项目
[00:55:44] 以后
[00:55:45] 进入一个高血压环节
[00:55:47] 比如说我唯一看到比如说dist或者log
[00:55:50] 会在这个会被会被交上来吧
[00:55:53] log log也是生成的文件
[00:55:54] 所以它它不应该叫
[00:55:56] 然后个人的配置
[00:55:58] 比如说vs code
[00:55:59] 你个人的设置
[00:56:00] 然后甚至这个vs code里面会有你的那个什么C盘
[00:56:04] 下的什么东西的那样的一个硬编码的路径
[00:56:07] 显然在任何一个其他地方都是没有办法
[00:56:09] 额办法复现的
[00:56:11] 然后当然更高血压的是
[00:56:14] 我可以在审稿的时候
[00:56:15] 看到一些可以处于active状态的APIKE
[00:56:18] 然后然后然后我当我发现这个APIKE是deep
[00:56:21] pk的时候
[00:56:22] 我就知道这应该是一个中国兄弟呵呃呵
[00:56:25] 然后以及呃你没有Mac的同学
[00:56:28] 不经意之间会提交上来这个点ds store
[00:56:31] 这这是这是git的一个一个特性
[00:56:34] 如果啊这是没有一个node
[00:56:36] 没有一个NO对
[00:56:37] 然后我可以
[00:56:41] 在苹果系统上
[00:56:43] 你会就是如果你用final去打开一个目录
[00:56:48] 它会自动留下那个一些索引
[00:56:50] 大概是你把哪些子目录展开啦
[00:56:52] 这些这些放在一个叫点DS杠store的文件里
[00:56:55] 但这个文件因为是点开头的
[00:56:57] 所以它是默认是隐藏的诶
[00:56:59] 你看我的ls s还贴
[00:57:01] 还很贴心的给他一个苹果的图标
[00:57:05] 哈哈苹果图标
[00:57:06] 所以你是看不到的
[00:57:08] 然后你看不到的时候
[00:57:09] 你会get艾特点
[00:57:10] 然后get它的点就糟糕了
[00:57:12] 你看这个点d store会被git追踪
[00:57:17] 当然这也是合理的
[00:57:18] 因为因为点有可能是一些
[00:57:20] 比如说点配置文件
[00:57:22] 点GITHUB
[00:57:23] workflow这些
[00:57:24] 约定俗成的东西
[00:57:25] 所以它默认带点的都会放进来
[00:57:28] 但这个临时文件就呃就有一点糟糕
[00:57:31] 因为你你你可能会经常的变
[00:57:32] 然后它它它就不应该被呃被被提交进来
[00:57:36] 但又有一些就这个规则又又比较复杂
[00:57:39] 比如说不是所有的generated fire都不应该提交
[00:57:44] 比如说你可能有个package lock点JSON
[00:57:46] 然后你可能会generate一个header
[00:57:48] 然后这header确实是确实是可以粘在的
[00:57:50] 但是你把它放进来就可以方便编译
[00:57:53] 就别人可能在不需要下载很多依赖的情况下
[00:57:57] 依然可以编译这个项目
[00:57:58] 你可能用另外一套工具链去生成了这个header
[00:58:01] 然后这个header
[00:58:04] 但是你你可以在一个没有这个工具链的
[00:58:06] 另外一个地方去去编译它
[00:58:08] 所以所以也没有绝对的呃规则
[00:58:10] 我们看过很多软件工
[00:58:11] 因为我自己是做软件工程研究的嘛
[00:58:13] 哦我一个非常标准的软件工程研究
[00:58:16] 就是比如说去研究你的git的这个项目
[00:58:20] 满不满足这些best practice
[00:58:22] 然后然后在不满足的时候给你一个啊warning
[00:58:25] 那那比如说像ds store这种东西
[00:58:27] 它就需要一个规则
[00:58:29] 然后然后然后是好多好多规则
[00:58:32] 然后最后做一个小工具
[00:58:33] 在git
[00:58:34] git提交之前告诉你OK不OK
[00:58:36] 然后但所有这些东西都被大模型杀死了
[00:58:38] 因为大模型可以如此耐心的给你检查
[00:58:41] 还还给你个emoji
[00:58:43] 让你开开心下
[00:58:44] 缓和你的情绪
[00:58:46] 有的时候就比如说呃我作为导师
[00:58:51] 我今天把学生叫到办公室
[00:58:53] 然后说哎
[00:58:54] 这个我肯定第一个我我肯定高血压了
[00:58:57] 第二个我还得装作nice一点
[00:58:59] 我会说好
[00:59:01] 你你提交的这个项目不太符合软件工程的实践
[00:59:04] 然后这样这样这样
[00:59:05] 然后然后同学生在在听的时候
[00:59:07] 他也他也觉得我不满意
[00:59:09] 就不管怎么样
[00:59:10] 我在纠正他
[00:59:11] 就无论我的情绪多么正常
[00:59:14] 我我只是告诉他一个
[00:59:16] 我教授他一个知识
[00:59:17] 这个时候学生总是有压力的
[00:59:20] 对
[00:59:20] 毕竟是老板批评我了
[00:59:21] 这个我做了一件我不该做的事
[00:59:23] 然后这个suppose可能是应该应该知道的
[00:59:26] 所以AI你看真的解放了这个同学们啊
[00:59:31] 那个那个你无法控制的力量
[00:59:33] 哈哈啊OK
[00:59:36] 而且真的我觉得AI很强
[00:59:38] 我我最近在一个更严肃的
[00:59:40] 就一个更严肃的项目
[00:59:42] 我希望把每一个细节都做好的时候
[00:59:44] 我我我面临一个选择
[00:59:46] 这大概是我们在在在git提交之前
[00:59:51] 我们有有一个机制叫hook hook
[00:59:56] 大家用过吗
[00:59:57] 各种各样的hook钩子
[00:59:58] 你可以hook程序的一个函数调用
[01:00:00] 然后在这个函数调用结束的时候干一件事
[01:00:02] 你也可以在你的agent里面加入一个hook
[01:00:05] 在某件事发生的时候
[01:00:07] 干一件事
[01:00:08] 比如说我有一个hook会在agent完成
[01:00:12] 需要我输入的时候
[01:00:14] 他会播放一个声音叮一声
[01:00:17] 然后你现在也可以直接就是你
[01:00:20] 你你可以直接让让他说说说什么啊
[01:00:24] 帮我配置一个一个全局的hook
[01:00:27] 在agent需要输入的时候叮一声
[01:00:35] 提醒完全没问题
[01:00:37] 你在你在任何一个啊cloud code
[01:00:39] 你的codex
[01:00:40] 你的派他都支持这样的呃钩子
[01:00:43] 然后我可以在git的PRCOMMITTED的hook
[01:00:45] 上面做一些检查
[01:00:47] 因为因为这个可能
[01:00:48] 这个项目的工程标准会更高一些
[01:00:51] 那么呃我就我就面临一个
[01:00:54] 我应该选上面还是应该选下面
[01:00:57] 也就是说我要给我的各种规则
[01:00:59] 可能有我有几十个这样的checking rules
[01:01:03] 然后我要给这个规则命名
[01:01:05] 那我应该选这个大写还是小写呢
[01:01:09] 然后从首先从使用的角度上来看
[01:01:11] 都没有问题
[01:01:12] 就是两个都是好的
[01:01:13] 只要你只要我这里没有title
[01:01:15] 我这句话里没有type
[01:01:16] 就是呃就是OK的
[01:01:17] 但到底是大写还是小写诶
[01:01:22] 两难的问题
[01:01:23] 然后你再在学习和生活的过程中
[01:01:27] 你又面临无穷多这样两难的问题
[01:01:30] 如果你的每一个问题都稍微问一句
[01:01:34] 那就这个
[01:01:37] 你你就会有很多很多的长进和呃和知识
[01:01:41] 我看一下
[01:01:45] 诶他在他在处理呢
[01:01:58] 他说好了
[01:02:02] 有声音吗
[01:02:06] 没有
[01:02:08] 诶我好像听到声音了
[01:02:11] 很轻的一声
[01:02:12] 再来一次
[01:02:19] 没有
[01:02:22] 但他你看他他意识到这个
[01:02:27] 意意识到我和我的意图了
[01:02:29] 然后你让他修修就行了
[01:02:30] 我就我就不让他
[01:02:32] 不让他修了
[01:02:33] 在在这里面
[01:02:35] AI给了
[01:02:37] 就我让GGPT解释一下
[01:02:39] 然后然后嗯你看他这个tyle check
[01:02:42] 它说它是一个固定规则的呃标识
[01:02:45] 然后他还从这个RFC里面给了这个
[01:02:48] 一些一些一些引用
[01:02:51] 这个就是他他分析我的心理
[01:02:54] 为什么我会觉得这个全大写会更强一点
[01:02:56] 然后如果你们能在学习的过程中
[01:02:58] 比如在学习git过程中多问几句
[01:03:00] 把每一个细节都做好
[01:03:01] 那你们一定会成为这个
[01:03:04] A lot better person
[01:03:05] 这样对好
[01:03:10] 行那么接下来你就要开始学习git了
[01:03:14] 首先你呃A振弦点MD也有了
[01:03:18] AAHCMD也有了
[01:03:20] 那么接下来就是要想要学一学
[01:03:24] git到底是怎么工作的
[01:03:26] git的底层原理
[01:03:27] 当然我我我可能会推荐大家去看
[01:03:30] 我在操作系统课上面
[01:03:32] 讲git的那
[01:03:34] 那一段我我就没有必要再讲一遍了
[01:03:37] 呃我我就讲一个讲一个头
[01:03:40] 讲一讲一头是什么呢
[01:03:41] 是
[01:03:44] get是一个持久化的数据结构
[01:03:47] 所以它就是一个数据结构
[01:03:48] 那get持久化的是什么呢
[01:03:51] 目录数
[01:03:52] 因为我们说就是快照不停的版本
[01:03:55] 版本一版本二版版本三版本四
[01:03:57] 那你就从这个最基础的想法出发
[01:04:00] 你就知道如果我要存一个目录数
[01:04:02] 比如说杠啊
[01:04:05] 比如说hi
[01:04:06] 比如说A点TXT
[01:04:09] 那么B点TXT
[01:04:11] 还想有一个B点TXT好
[01:04:14] 那有可能是呃在这里面还有一个
[01:04:18] 比如说还有一个目录叫D
[01:04:19] 然后D里面有无穷多个文件
[01:04:24] 啊这个太多了
[01:04:25] 这个呃doesn't matter好
[01:04:27] 那我现在有一个很大的
[01:04:29] 相当于我有个非常大的项目数
[01:04:31] 那我今天这个已经快到了
[01:04:34] 比如说这就是这就是一个V1
[01:04:37] 我现在要创建V2
[01:04:40] 我要创建V2
[01:04:42] 我需要把这个所有的文件都复制一份吗
[01:04:47] 我不需要
[01:04:48] 比如说我现在改的是B点TXT好
[01:04:51] 我现在这个B点TXT改了
[01:04:53] 那我肯定是需要再创建一个B点TXT的
[01:04:58] 新版本
[01:05:00] 新版本
[01:05:01] 然后那如果我想要以最小的代价记下一整棵树
[01:05:08] 我应该怎么办呢
[01:05:10] 我应该把它到根的路线路径
[01:05:14] 反正我要
[01:05:17] 我要再复制一份
[01:05:18] 但是根里面的这个A点TX
[01:05:22] 我就可以用一个指针指过来
[01:05:25] A点这个根下的亥我不能指向这
[01:05:27] 因为指向这就意味着我要用旧的B点TXT
[01:05:29] 所以他到根的路径都要复制一份
[01:05:31] 那我有一个指针指到这里
[01:05:33] 然后以及我的这个D我也可以有一个指针指向
[01:05:36] 这里虽然不太好看
[01:05:40] 但这就是VR
[01:05:42] 所以即便你的项目很大
[01:05:45] 里面有100万个文件
[01:05:47] 你只要首先目录本身就不可能很深
[01:05:51] 没有人会去想建一个1000层深的目录
[01:05:55] 你你也没有必要从这个渐进式披露的角度
[01:05:57] 你没有必要去建一个巨深无比的目录
[01:06:00] 它只要呃你你每一集索引都是指数级的增加
[01:06:05] 所以你很快就能把所有的类给分完
[01:06:07] 那么你只需要创建一个非常小的增量
[01:06:12] 你就得到了一个版本的快照
[01:06:15] 版本的快照
[01:06:16] 所以在git里面
[01:06:18] 在git里面它底层大家看到点
[01:06:21] Get it
[01:06:24] uh是开始在点git里面有各种各样的objects
[01:06:32] 有各种各样的objects
[01:06:33] 然后这个objects他就是个普通的文件
[01:06:37] 你看是带hash索引的
[01:06:39] 然后就是这种节点
[01:06:41] 各种节点目录的节点文件的节点
[01:06:44] 然后甚至有commit的节点
[01:06:46] Commit object
[01:06:47] 它有commit object
[01:06:49] 然后它有tree object
[01:06:52] 然后他还有blob object3大类型的对象
[01:06:57] blob就是就是就是binary
[01:06:59] 就是字节
[01:07:00] 字节的
[01:07:01] 字节的序列
[01:07:02] 然后它就是一个数据结构
[01:07:03] 然后这个数据结构可以不断的向后生长
[01:07:06] 向后生长
[01:07:06] 向向后生长
[01:07:07] 然后这就解决问题了
[01:07:08] 其实就解决问题了
[01:07:10] 所以你们如果从first principle
[01:07:12] 就一个大学生想要设计出一个这样的东西
[01:07:15] 是完全完全有可能的
[01:07:18] 对完完全有可能的
[01:07:20] 下一个
[01:07:23] 你能不能就这这是这是纸面上的讲解
[01:07:28] 我我讲完以后
[01:07:29] 你有没有觉得有点不踏实
[01:07:32] 我们的git真的是这样实现的吗
[01:07:35] 老师上课说这个commit object true object
[01:07:37] Blob objects
[01:07:38] 真的有这样吗
[01:07:40] 然后如果发生分叉
[01:07:43] 首先因为我可以这样创建快照
[01:07:46] 我也可以从这个V1版本
[01:07:48] 创建一个另外的一个tree
[01:07:50] 比如说到这一个是V1的一撇
[01:07:55] 然后我的这个世界就分叉了
[01:07:57] 分叉以后合并到底会发生什么
[01:08:00] 你你就自然而然的想
[01:08:03] 想想象这些问题
[01:08:05] 那么根据计算机科学定律
[01:08:09] 你想要的东西就一定有人做
[01:08:12] 所以
[01:08:16] 所以所以我开一个浏览器
[01:08:24] 一个
[01:08:30] 我以前上课的时候也会用用这个
[01:08:38] 说了他是就我相信这是这是这是古法
[01:08:43] 这古法编程的巅峰之作之一了
[01:08:47] 他以可视化的方式展示了
[01:08:54] 展示了这个git是怎么工作的
[01:08:57] 比如说
[01:08:59] 他甚至模拟了各种各样的命令
[01:09:01] 你看git status
[01:09:02] 它都它都有
[01:09:04] 现在有一个改了的好
[01:09:10] 好他不需要as好
[01:09:13] Git commit
[01:09:14] 看到右边动画了吗
[01:09:18] 它就多出了一个版本
[01:09:20] 然后你看他还可以get check out
[01:09:22] 我点这个版本的时候
[01:09:26] 他可以看到版本的变化
[01:09:28] 他用这个方式来教你这个git是怎么工作的
[01:09:33] 然后到今天
[01:09:38] 呃呃到今天我觉得就可以直接
[01:09:44] web coding这些东西了
[01:09:46] 虽然
[01:09:46] 虽然呃可能web coding的质量还并没有那么好
[01:09:54] 啧我做了一个
[01:09:57] 我就直接web coding了一个
[01:10:02] 可视化整个git repo的呃工具
[01:10:11] 你看他甚至还有一些这个未提交的
[01:10:14] 未提交的代码
[01:10:16] 你看GP6虽然他有视觉能力
[01:10:19] 但是呃一便直出
[01:10:21] 还是还是有一些还是产生了一些slop的
[01:10:25] 我给他这样的一个提示词
[01:10:28] 实现一个git v命令行工具
[01:10:31] 把一个真实的git report
[01:10:34] 你可以使用git命令
[01:10:36] 然后把里面主要概念彻底完整的可视化展示
[01:10:40] 任何对象之前都从文件系统里的真实文件
[01:10:42] 注意这是和刚才你看到那个learn git brunting
[01:10:47] 点JS点OG不一样的地方
[01:10:49] 它是模拟出来的
[01:10:50] 他建了一个git的模型
[01:10:52] 但是你今天你是有办法
[01:10:54] 在真正的就在live的这个get get repo上面
[01:10:59] 直接看到它发生什么
[01:11:00] 我从真实的文件原始的BS出发
[01:11:03] 展示一步一步如何解析
[01:11:05] 解析成了什么
[01:11:06] 然后我要求他呃它可视化
[01:11:09] 并且我让它持续监听目录中git的变化
[01:11:12] 然后在发生变化后
[01:11:14] 用动画效果来展示repo发生的变化
[01:11:16] 一会儿嗯
[01:11:28] 嘶
[01:11:31] 我有点
[01:11:36] 我先来把它把它删掉
[01:11:38] 你看啊
[01:11:43] 我直接删除哎
[01:11:46] 你看右边的文件没有了
[01:11:48] 看到吧
[01:11:49] 右边的右边的文件没有了
[01:11:51] 然后我们来看一下这棵树
[01:11:53] 这是这是main main分支
[01:11:55] 它就像我画的这个一样
[01:11:59] 你看最早的一次提交是一个
[01:12:02] I did some cool stuffs
[01:12:03] 里面有一个空的hello点C
[01:12:06] 空的hello点C
[01:12:07] 然后这个空的hello点C
[01:12:08] 你看到他的这个文件是来自于杠tap下的
[01:12:13] hello下的一个object
[01:12:14] 这真的是一个blob object
[01:12:16] 然后你能看到它的字节序列
[01:12:19] 看到这个字节序列以后
[01:12:20] 他会帮你解压缩
[01:12:22] 然后你发现对于很小的文件来说
[01:12:24] 这个压缩反而是浪费
[01:12:26] 对他31字节
[01:12:29] 解压出了一个23字节的东西
[01:12:30] 但这不要紧
[01:12:31] 这是一个呃blog
[01:12:32] 你看blob15这个文本
[01:12:35] 这是一个blob object
[01:12:36] 大小是15
[01:12:38] 然后int main
[01:12:40] 然后all你就可以看到这个
[01:12:44] 然后除了这样的VLOG以外
[01:12:46] 还有这个hello的一个二进制文件
[01:12:51] 你看blog158
[01:12:52] 这是7FERF一个可执行文件的额头
[01:12:57] 然后你你也能够看到它
[01:12:59] 以及它也有tree object
[01:13:02] 然后true object
[01:13:04] 同样你也可以看到他的磁盘上面的原始的数据
[01:13:07] 52字节解压出43字节
[01:13:09] 然后你看这个tree是这样的
[01:13:14] 644644代表这个文件访问的权限
[01:13:17] 然后他有hello点C真的是一个
[01:13:19] 你看以文本的形式解压完了以后
[01:13:21] 就以文本的形式存储到hello点C
[01:13:24] 然后你看他的树的结构
[01:13:27] by词object
[01:13:31] Mode 644name hello
[01:13:33] 点C
[01:13:35] True object
[01:13:36] 然后这个trie object指向了
[01:13:40] 看到这个杠在这个版本里面的这个杠
[01:13:42] 他就有两个文件
[01:13:44] 一个755
[01:13:45] 一个644对吧啊951个hello
[01:13:49] 一个hello点i see
[01:13:51] Hello
[01:13:52] 是可以执行的
[01:13:53] 然后这个指针链接指向了
[01:13:56] 我可可以把它拖拖过来
[01:13:57] 一点链接指向这里
[01:13:58] 指向它
[01:13:59] 这里指向它
[01:14:00] 这个视觉效果不完美
[01:14:01] 是因为我没有调
[01:14:02] 就是one shot直出
[01:14:04] 没有没有改
[01:14:05] 我可能稍微第二个prompt
[01:14:06] 让它去掉了一点东西
[01:14:09] 就这些所有的问题都都都没有修
[01:14:11] OK好
[01:14:14] 然后我们可以在这里各种各样的
[01:14:19] 探索git的方方面面
[01:14:22] 比如说比如说呃我来把它拖过来一点
[01:14:29] 嗯好你现在可以创建分支
[01:14:34] 我我可以让他创建
[01:14:49] 当你可以讲清楚一点
[01:14:51] 我让他创建两个分支
[01:14:59] 然后你就直接看到动画效果了
[01:15:02] 就是左右是实时同步的
[01:15:05] 实时同步的
[01:15:10] 啊没关系
[01:15:11] 你看这里有个东西叫a rapes
[01:15:15] 是heads下的A
[01:15:17] 然后你的什么是一个分支
[01:15:20] 分支就是一个文件叫refs
[01:15:23] 还有它就是指针
[01:15:23] 所谓的分支就是指向这些东西的指针
[01:15:26] 然后head是指向指针的指针
[01:15:29] 它在磁盘上是这些字节
[01:15:31] 然后这个字节就是一个tout
[01:15:34] 指向了一个tree object
[01:15:35] 这个东西就是一个trial object
[01:15:38] 我们来看A
[01:15:42] 你看A就是一个就是一棵树
[01:15:45] 然后树里面有一个杠
[01:15:48] 然后杠里面包括了新的这个新的hello点C
[01:15:52] 你看他是int main void的
[01:15:53] 然后同样的BB
[01:15:56] 然后B
[01:15:59] 也是也是这样的
[01:16:01] 它指向了这样的一个他改过的带二个C
[01:16:04] 二个V的视觉
[01:16:06] 视觉效果不是很好
[01:16:07] 但我相信我跟他对话几轮以后
[01:16:08] 应该就能就就能搞定了
[01:16:10] 你就得到了一个近乎完美的git the visualization好
[01:16:13] 我现在你说我说
[01:16:23] 我可以让他给我展示merge conflict的状态
[01:16:26] 这时候底下就很正常的
[01:16:30] 很正常
[01:16:31] 你在两个开发者在开发的时候
[01:16:34] 你在假设两个开发者在开发的时候
[01:16:37] 一个人做了这个修改
[01:16:39] 就他们你想你和你的团队成员
[01:16:41] 每个人都对这个代码不爽
[01:16:43] 你们两个都重构了
[01:16:45] 那就会进入冲突
[01:16:46] 就会进入这个状态
[01:16:47] A在这
[01:16:48] B在那
[01:16:48] 然后当你把那个A拉到本地的时候
[01:16:51] 你就会看到这个冲突状态
[01:16:52] 你就知道你看冲突现场hello hello的内容是这样的
[01:16:57] 然后你可以看到
[01:16:58] 现在未提交的区域
[01:17:00] 在未提交的区域
[01:17:05] 你看在index里面有有好几个
[01:17:08] 你看hello点C
[01:17:11] 这是你看不到的
[01:17:13] 这是他还知道git
[01:17:16] 悄悄的在这里面留了三个版本
[01:17:19] 叫贝斯
[01:17:20] 叫hours
[01:17:21] 叫theirs
[01:17:21] 然后这里但是他给你看到那个hello点C
[01:17:24] 是这个是这样的
[01:17:27] 一个有尖括号的这个
[01:17:30] 然后你可以让他resolve
[01:17:36] 诶你看那些临时文件没有了
[01:17:41] 哎这个merge
[01:17:46] 创建了一个这样的commit object
[01:17:49] 它的tree是这个
[01:17:51] 它有两个parent
[01:17:53] 他有两个泰伦
[01:17:54] 然后他有offer
[01:17:56] 然后你看到这个指指向的关系被正确的保留
[01:18:01] 保留下来了
[01:18:02] 你看他的TRIOFF
[01:18:03] 就是选的是选的是这个这个版本好
[01:18:08] 我就不再展示了
[01:18:09] 所以看到呃玩coding很好用
[01:18:14] ww coding很好用
[01:18:14] 我觉得就你们这么大的时候
[01:18:17] 这么年大年纪
[01:18:17] 尤其是你们有时间的时候
[01:18:19] 你们最大的乐趣就是web口的一个这个
[01:18:23] 然后web code完了以后就各种调
[01:18:24] 然后跟着他学习
[01:18:26] 很快你的知识就爆炸式的啊增长
[01:18:31] 然后我再举一个例子
[01:18:32] 再举个例子
[01:18:32] 你们做cs
[01:18:34] 你们上cs上那个SICP的时候
[01:18:38] 有没有用过这个官方
[01:18:40] 这应该是官方的吧
[01:18:41] 这个code点cs6161A打到
[01:18:44] 你们用过吗
[01:18:47] 这是一个Python ide
[01:18:49] 我放大一点
[01:18:53] 这还是很好用的
[01:18:54] 你看这是一个如假包换的Python id
[01:18:56] 你可以运行它
[01:19:00] 可能他在加载一个呃Python的RUNTIME库到本地
[01:19:05] 但是呃可能可能他这个库在
[01:19:10] 我我这里访问出起来并没有很快的地方
[01:19:13] 但这是就这是一个ID完
[01:19:15] 就基本上完整功能的ID
[01:19:17] 然后它可以呃
[01:19:19] 你看他cs
[01:19:20] OK他需要我log
[01:19:23] OK没问题
[01:19:24] 他可以完成
[01:19:26] 作业好
[01:19:31] 最近因为我们有一个小项目
[01:19:36] 所以我们也被迫外部扣得了一个这个玩意
[01:19:41] 类似的东西
[01:19:43] 嗯然后你已经看到这里面有slop
[01:19:45] 这些slop都是就是我直接让AI
[01:19:48] 就是一句话去去去生成的
[01:19:52] 他可能也不是一个呃IDE级别的东西
[01:19:56] 但是啊但是我觉得效果还是不错的
[01:20:04] 在架构设计上我稍微做了一点
[01:20:07] 就我我稍微做了一点自己的把控
[01:20:10] 我把了关
[01:20:11] 所以这个系统的架构还算比较好
[01:20:13] 它可以它既可以作为一个网页的应用
[01:20:17] 呃去教大家编程
[01:20:18] 也可以作为一个呃就是electron的像vs code一样
[01:20:22] 一个EXE双击就能打开的
[01:20:24] 然后它可以可视化任何呃任何程序
[01:20:29] 比如说啊因为我们要给小朋友
[01:20:34] 给这个34年的小朋友教Python
[01:20:37] 这是一个这是一个很有挑战性的事情
[01:20:39] 因为呃第一节课如果你教他们拍charm的话
[01:20:43] 就就全全完蛋了
[01:20:44] 所以所以我要要做一个极简的界面
[01:20:48] 整个都是web的
[01:20:49] 就是都是AI is lap哈
[01:20:50] 呃我也我也不再管控它的代码质量
[01:20:53] 但我对它的架构其实有有把控
[01:20:55] 我会得到一个什么呢
[01:20:56] 我第一节课要给小朋友讲Python
[01:20:58] 我就要给他一个印象
[01:21:00] Python很好玩
[01:21:02] Python很好玩
[01:21:03] 然后Python很好玩
[01:21:04] 我就说好
[01:21:05] 我可以把一个整数变成一个字符串
[01:21:09] 这个是你们熟悉的哎
[01:21:11] 你有没有想到
[01:21:13] 我把一个unique code字符的块块编码成一个整数
[01:21:16] 然后再把它decode回来
[01:21:18] 然后然后我还可以hello乘以十对
[01:21:23] 我就可以打印打印十份
[01:21:25] OK这是
[01:21:27] 这是这是上的第一第一节课
[01:21:29] 然后如果你这样讲
[01:21:32] 汉诺塔
[01:21:33] 我有debug
[01:21:34] 这是我的调试器
[01:21:36] 你每次都可以
[01:21:38] 就你看我在递归之前
[01:21:39] 我会只告诉你这个它应该怎么移动
[01:21:45] 然后我可以往后播放
[01:21:47] 它就会真的移过去
[01:21:49] 我可以换一个多一点的
[01:21:51] 然后呃我可以往前拖
[01:21:55] 也可以往后拖
[01:21:58] 就看起来看起来就是一个不错的可视化
[01:22:02] 这也是外部的
[01:22:04] 这也是完全外部的
[01:22:06] 上课的额负担就轻多了
[01:22:09] 负担就轻多了
[01:22:11] 但这还不是我们真正觉得好玩的
[01:22:16] 你想34年级的小朋友能编什么程序呢
[01:22:20] 3434年级小朋友能编什么程序呢
[01:22:22] 就这种就让我玩
[01:22:25] 就我给他一个API
[01:22:27] 给他一个世界
[01:22:28] 然后他就可以可以可以玩起来
[01:22:30] 我也可以调试他
[01:22:31] 这是一个flat完全flat的程序
[01:22:38] 嗯比如说对你可以看这个程序运行的过程
[01:22:45] 对
[01:22:46] 一个ZXY的
[01:22:50] 循环
[01:22:52] 然后你就可以看到这个方块在从上往下掉
[01:22:55] 每一次都是真实的
[01:22:57] 我可以往前走
[01:22:58] 往后退
[01:22:59] 然后这个视觉效果你显然我就稍微调了一下
[01:23:01] 所以你看起来就不那么slop了
[01:23:04] 看起来
[01:23:05] 包括你看这左边这个坐标轴是坐标轴
[01:23:08] 也是正确的
[01:23:09] 我还骂了一下AI第一第一版
[01:23:11] 它实现的坐标轴
[01:23:13] 不符合我的预期
[01:23:16] 最后还可以play
[01:23:18] 你看这动画是平滑的
[01:23:19] 我在左右拖的时候
[01:23:21] 它是它是平滑的平滑动画
[01:23:24] 然后然后你想我我我们的快乐来自于哪里
[01:23:28] 你们刚开始学编程的时候
