[00:00:00] 呃上课之前我先在告诉大家一下
[00:48:34] 哪一些是共享变量
[00:48:36] 哪些是共享数据结构
[00:48:37] 它真的能跟你做对
[00:48:38] 所以这还是还是件很离谱的事情
[00:48:40] 以前让你们要受很多苦的
[00:48:41] 我
[00:48:42] 我我觉得应该有很多同学
[00:48:43] 偷偷让AI帮你们修代码了
[00:48:45] 反正他一下就修了
[00:48:46] 然后他修了以后也就是加一行代码
[00:48:48] 加一个lock
[00:48:49] 加一个unlock
[00:48:49] 然后那代码就神奇般的对呵对了
[00:48:53] 曾经我们要花很大的代价才知道
[00:48:56] 但是AI很清醒
[00:48:57] 他大脑很清醒
[00:48:58] 以前我们呃我觉得这也很有意思
[00:49:01] 以前我们要花很长时间
[00:49:03] 给同学建立这些概念
[00:49:04] 什么是data race
[00:49:06] 在什么时候会啊发生data race
[00:49:08] 我们呃如果一门课讲的像百度百科一样
[00:49:11] 它最大的问题就是你们不make sense
[00:49:14] 他说的每句话都对
[00:49:15] 但是你不理解它背后的
[00:49:18] 比如说我现在要讲说哎
[00:49:19] 你们遇到的都是这种情况
[00:49:21] 上错了所忘记上锁
[00:49:23] 但是在实际当中他们是怎么发生的
[00:49:26] 只有你自己被这个死锁
[00:49:28] 或者被这种数据性人坑过
[00:49:30] 你才知道
[00:49:31] 在那种地方会有一些犄角旮旯的SAM加加你
[00:49:35] 你你确实是很对人来说确实很容易忘记
[00:49:39] 然后我们以前的办法就是让你们做实验
[00:49:42] 做实验的时候
[00:49:43] 你们会体会到很多有趣的data arrace
[00:49:45] 可以说是曾经呃操作系统系统课埋下了一个我
[00:49:50] 我在操作系统课里埋了一个最高光时刻的bug
[00:49:53] 这个bug是和操作系统的代码联动的
[00:49:55] 和框架代码联动的
[00:49:57] 也就是说你的当我们说data race
[00:50:00] 它是一个定义
[00:50:01] 它这个定义是很简单的
[00:50:02] 你也能够想象这是一个bug
[00:50:04] 但是当我们说内存它是D
[00:50:08] 可以是地址空间里面的任何一个指针
[00:50:10] 它可以是一个全局变量
[00:50:12] 可以是一个堆区分配出来的新的内存
[00:50:14] 可以用的内存可以是一个占的内存
[00:50:17] 站上也有可能发生data race
[00:50:18] 而所谓的内存访问
[00:50:20] 也不是你你你自己写一个共享
[00:50:22] 不仅仅是你自己写一个共享数据结构
[00:50:24] OK那个东西是内存访问
[00:50:26] 那个肯定是内存访问
[00:50:27] 你你会想办法把那个内存访问的所给呃加好
[00:50:31] AI也能帮你加好
[00:50:32] 但是你的内存访问可能发生在别人写的代码里
[00:50:36] 可能发生在库函数里
[00:50:38] 就你你写的代码和别人的代码发生RASE
[00:50:41] 甚至可能是一条return指令
[00:50:42] 所以我我我曾经我以前上操作系统课的时候
[00:50:46] 有一个lab
[00:50:47] 那个lab平平无奇
[00:50:49] 平平无奇
[00:50:50] 大概说你要实现一个操作系统内核
[00:50:52] 当然是要在多处理器上正确的
[00:50:54] 但是在多处理器上正确
[00:50:56] 一旦同学们发现
[00:50:57] 你允许把一个先进程或者你理解成线程
[00:51:02] T 1t2
[00:51:03] 把一个线程从一个CPU移到另外一个CPU的时候
[00:51:09] 怎么都做不对
[00:51:10] 它会发生非常神奇的奇神秘的重启
[00:51:14] 当然AI应该是能够把这个bug给呃给找出来的
[00:51:17] 这个bug是怎么发生的呢
[00:51:19] 发生的是我那段代码
[00:51:21] 我那个X86的代码
[00:51:22] 在中断返回的时候会借用借用这个线程的栈
[00:51:27] 中断返回的时候会借用这个线程站
[00:51:29] 因为最终呃你你们做过
[00:51:31] 如果做过X86的EMU的话
[00:51:33] 你知道的它有一个艾瑞有一条i return指令
[00:51:36] 它reon five
[00:51:36] 这不一样
[00:51:37] 它有条i return指令
[00:51:38] 会从呃会从站上面把
[00:51:41] 像PC啊什么的给给pop出来
[00:51:43] 然后这样才能回到操作系统
[00:51:45] 或者回到别的地方去去执行好这条指令
[00:51:48] 这条指令在这条指令执行完之前
[00:51:51] 执行之前
[00:51:53] 这个线程其实已经
[00:51:54] 数据结构已经被挪到CPU了
[00:51:56] 所以你就算是那个数据结构并发的数据结构
[00:51:58] 你上了锁
[00:51:59] 这个时候CPU2上这个线程已经开始
[00:52:01] 已经开始执行了
[00:52:03] 然后开始执行
[00:52:04] 就意味着这个线程可以用这个站了
[00:52:06] 然后这就形成了一个栈和栈的data race
[00:52:09] 然后这个一部分代码是由同学写的
[00:52:11] 一部分代码是由这个我的框架代码完成的
[00:52:15] 然后这个data rise
[00:52:16] 他们呃会会有会吃非常多的苦头
[00:52:20] 然后我一般会在课上会讲这个例子
[00:52:22] 然后这个例子也非常难解决
[00:52:24] 我需要一个同步
[00:52:26] 我需要等到这个艾瑞特指令执行类完了以后
[00:52:29] T1才能在另外一个CPU上提起来
[00:52:32] 但这件事情是办不到的
[00:52:34] 因为你在i return之前
[00:52:35] 你不能持有任何锁
[00:52:37] 这是一条指令
[00:52:40] 这是一条指令
[00:52:44] 然后再release1把锁
[00:52:46] 当我把这个数据结构在另外一个CPU上面
[00:52:49] 把它添上去的时候
[00:52:51] 这个就已经可以
[00:52:53] 已经它就直接就可以运行了
[00:52:55] 然后就在这个解决这个bug的时候
[00:52:57] 你们就会发明一种呃很有趣的同步方法
[00:53:01] 叫read copy update
[00:53:02] 那要等到一个正确解决方法是
[00:53:04] 我可以等到这个线CPU上
[00:53:06] 完成了一次完整的线程调度以后
[00:53:09] 这个T1才能调度在另外一个CPU上记起来
[00:53:14] 然后这也是LINUX内核里面
[00:53:15] 现在一个非常到处都有的一个LINUX内核
[00:53:18] 大概花了可能有10年的时间
[00:53:20] 把呃很多的锁迁移到了这样的一个
[00:53:24] 几乎在读的时候可以无锁的这样的一个read
[00:53:27] copy update的啊机制
[00:53:29] 一个非常非常有趣的一个小故事
[00:53:31] 但这只是告诉你这个复杂性
[00:53:33] 不要把一个简单的定义
[00:53:35] 不管是死锁的四个必要条件
[00:53:37] 还是比如说data race这样定义
[00:53:39] 想象的太简单
[00:53:40] 在实际中呃有无数的坑在在在等着
[00:53:44] 大家好
[00:53:45] 这是这是data race
[00:53:47] 所以呢
[00:53:47] 所以这个本质软件工程的本质就是哈里森林
[00:53:52] 哈里斯坦业的本质是是软件工程
[00:53:55] 再一次我们对于呃data race这样的bug
[00:53:59] 同样也是可以写一个程序来检查的
[00:54:02] 但这个写这个程序就比你们要写一个LOCKTAP
[00:54:07] 这样的程序要复杂了
[00:54:08] 因为LOCKTAP你只需要看锁就可以了
[00:54:10] 但是data race不一样
[00:54:13] 还记得我刚才那个例子吗
[00:54:14] 我们说lock a sum加加
[00:54:17] 然后你这就是sum加
[00:54:18] 这是内存访问
[00:54:19] 然后你你如果这里有一个lock a some加加
[00:54:24] 我这里unlock
[00:54:25] 它就不是一个data race
[00:54:28] 但如果我这里不是A
[00:54:29] 我上的是B
[00:54:30] 这里没有happens before
[00:54:32] 它就是一个data race
[00:54:34] 像这种偶发的data race
[00:54:35] 它在时间上面可能已经隔了很长时间了
[00:54:39] 它中间可能各自已经执行了非常多条指令了
[00:54:42] 但我们依然想把这样的data rise给找到
[00:54:44] 那怎么办呢
[00:54:45] 你不仅需要打印所有lock unlock的日志
[00:54:49] 你还需要打印所有read和write的日志
[00:54:52] 这个就麻烦了呃但是啊在理论上说
[00:54:55] 你你也也能想到
[00:54:56] 如果你想要检测data race
[00:54:58] 你就把所有的每一个线程的这个
[00:55:01] 所有发生的事件都记录下来
[00:55:04] 然后记录下来以后
[00:55:05] 你你就知道
[00:55:06] 比如说这里有
[00:55:07] 你看这里有个lock b
[00:55:09] 这里有个unlock b
[00:55:10] 然后这里有一个呃read sum
[00:55:13] 然后这里有个write some
[00:55:14] 然后这里也有一个
[00:55:16] 比如说有一个read some
[00:55:18] 然后呢你你还可以为每一个锁像LOCKTAP一样
[00:55:22] 你可以记录下锁同一把锁上的这样的顺序
[00:55:27] 比如说lock b
[00:55:28] 如果这两个都是lock b的话
[00:55:30] 你就知道这有一个happens before
[00:55:31] 然后这就变成了data race的检测
[00:55:33] 就变成了你现在有一个图
[00:55:36] 你每一个程序里面的事件都是按顺序发生的
[00:55:39] 每一个事件就是一个节点
[00:55:41] 然后然后有有每个线程都是一个total order全序
[00:55:45] 然后在县城之间
[00:55:47] 一个锁的unlock会happen before下一次它的lock
[00:55:51] 然后这个它的unlock又会happen before
[00:55:54] 下一次的另外一个线程的lock lock b好
[00:55:58] 那如果在这样的一个图里面
[00:56:00] 我能够找到两个
[00:56:02] 一个write
[00:56:03] 一个read或者两个write
[00:56:05] 它满足它没有一个happens before的关系
[00:56:08] 我就找到了一个data race
[00:56:10] 然后这就是你们现在现在可以用的stress sitizer
[00:56:14] 我我这里有一个呃这样的程序
[00:56:18] 这样的程序我
[00:56:26] 这个瑞士点C我故意买了一个
[00:56:28] 和你们平时写代码的时候有可能会一样的
[00:56:33] 在一条路径上面漏掉一个呃lock
[00:56:36] 然后你看我在有1/10的概率
[00:56:39] 我在这里会有一个没有保护的SAM
[00:56:42] 加加对
[00:56:43] 其他的SAM大家都是log保护的
[00:56:45] 所以你你可以看到它运行多次
[00:56:49] 它的结果
[00:56:51] 是是不一样的
[00:56:53] 然后这时候我们说软件工程就是honeys engineering
[00:56:58] 如果我们能够记录下所有的这些事件
[00:57:01] 并且我们可以检查这个是不是有没有happen before
[00:57:05] 关系的
[00:57:05] read write或者write write的
[00:57:08] Data race
[00:57:08] 那我们就可以把这个问题提前给找到
[00:57:12] 那么我也可以让AI
[00:57:20] 就一句话
[00:57:20] 因为我知道我知道世界上有一种工具
[00:57:23] 你甚至都不需要知道这个fire sanitizer的名字
[00:57:26] 你你可以说compile ron c with a race detector
[00:57:28] 去看它有没有
[00:57:30] data race这样的这样的bug
[00:57:33] 然后AI就可以就可以知道他
[00:57:34] 他要给你一个叫F3DTX等于12的flag
[00:57:38] 对它
[00:57:38] 它是因为它的环境变量和我的环境变量
[00:57:40] 隔开了我
[00:57:41] 我现在我这里是有有有环境变量的
[00:57:45] 对他已经编译成功了
[00:57:48] 他开始运行了
[00:57:50] 然后运行了以后
[00:57:51] 他就他他发现我的我的树莓派不支持
[00:57:55] 不支持T3
[00:57:56] 我来看看他怎么解决我
[00:57:58] 我没有我我之前没有试过
[00:58:00] 我们来看看DPC4这个V4呃pro的表现
[00:58:05] 他试图去关闭address space
[00:58:09] Layout randomization
[00:58:10] 再试一次
[00:58:13] 唉还是不行
[00:58:15] 尝试用QE没有用户模式绕过
[00:58:20] 你看这就他就会AI就会给你惊喜
[00:58:23] 诶
[00:58:25] 还是一个unsupported
[00:58:28] 但没关系
[00:58:29] 这个程序在你们的X86上可以正常运行
[00:58:31] 并且它可以啊直接找到一个呃data race
[00:58:35] 就他就是一个真正的专家
[00:58:37] 他对这些东西了解比我还要好
[00:58:40] 因为我我本身我对arm经验其实不是很多
[00:58:42] 他真的就什么都知道
[00:58:44] 然后他会带着你1.1.1点解决问题的时候
[00:58:46] 你会知道很多关于我这台树莓派的
[00:58:49] 比如说
[00:58:49] 如果你们是一个呃别的机器的话
[00:58:52] 它的它的知识
[00:58:54] 这就是我觉得是未来更现代的
[00:58:58] 学学习方法
[00:58:59] 你不管最后他他是成功还是不成功
[00:59:02] 他是甚至是有可能会去
[00:59:04] 比如说去搜索
[00:59:05] 搜索互联网
[00:59:06] 我相信这个问题应该是可以呃可以解决的
[00:59:09] 你看他想他开始做我想的事情了
[00:59:13] 他试图用用clown来clown来编译
[00:59:16] 他说CN的SR3它的运行时可能处理的更好
[00:59:21] 我也想过要这样尝试
[00:59:22] 所以他真的就是就是一个非常棒的老师
[00:59:25] 特别特别棒的老师
[00:59:27] 我真的是没有预想到他会做这样的尝试
[00:59:31] 他去试图试图去改变这个叶的大小
[00:59:34] 来使得这个sch sentier
[00:59:35] 他的这个err message能够消掉
[00:59:37] 就他真的智力非常高
[00:59:39] 一个非常非常好的problem Sol server
[00:59:43] 诶
[00:59:43] 他把它跑起来了
[00:59:45] 但是但是这个跑是不成功的
[00:59:48] 他是一个segmentation
[00:59:51] fault他还试图去用static来啊来编译
[00:59:57] 但我们就不尝试了
[00:59:58] 在这个过程中
[00:59:59] 他真的有可能会在很长很长的上下文下
[01:00:02] 把这个问题给给解决掉
[01:00:03] 这就是今天agent特的能力
[01:00:05] 哎呦我我不再尝试了
[01:00:06] 因为我我不花去上课的时间
[01:00:09] 这就是呃A证能力以及harness engineering的能力
[01:00:13] 然后我也让他
[01:00:15] 我我也拍脑袋有了一个想法
[01:00:16] 就是如果我要在上课的时候展示一个
[01:00:20] Stratoscientier
[01:00:21] 但是我今天我在数学派上那个编译
[01:00:23] 编译q mi的时候
[01:00:25] 我直接把我这个系统编译死机了
[01:00:27] 可能是过热了
[01:00:28] 我不确定它它怎么样
[01:00:29] 我我最后没有编译完
[01:00:30] 所以我那个代码也没有办法演示了
[01:00:32] 我们实际上是可以用q email去模拟执行解释
[01:00:36] 相当于你们用ne mu去模拟解释
[01:00:38] 执行你的任何一个程序
[01:00:40] 然后我就可以把memory access的trace给得到
[01:00:43] 再用比如说IDPRELOAD这样的机制
[01:00:45] 把lolock unlock的序列得到
[01:00:47] 我就可以非常容易的得到这张这张图
[01:00:50] AI也能做到
[01:00:51] 所以呃曾经啊曾经我觉得把程序当成分析对象
[01:00:55] 我们不管说做一个LOCKTAP
[01:00:56] 我们去把acquire和release的序列给打出来
[01:00:59] 还是
[01:01:00] 我说我用我用这样的方式来做程序分析
[01:01:03] 都是少数人的看家本领
[01:01:05] 只有这个system programmm才有的看家本领
[01:01:07] 但是现在我觉得家底都被抄了
[01:01:09] 就你只要知道你有个概念
[01:01:11] 这件事情是能做的
[01:01:13] AI就可以带着你把它把它做出来
[01:01:16] 呃曾经啊我们这个12SENTIERLOCKTAP
[01:01:19] 其实内LINUX内核里面也有
[01:01:21] LINUX内核里面还有address and tor
[01:01:22] 它可以检测那个你的memory error
[01:01:25] 有很多很多无穷多的bug
[01:01:27] 都是由这个dress and sentic给给逮到了
[01:01:30] 然后我们曾经是无数的开发者
[01:01:32] 一砖一瓦的加到这种大型现项目里面的东西
[01:01:35] 现在你只需要一个很多很多的agent一起协作
[01:01:37] 然后就可以把它搞定了
[01:01:40] 这个时代发生了很大的变化
[01:01:41] 呃也让harness and jin变得更容易了
[01:01:44] 你们需要的是有我有
[01:01:46] 我觉得有一天这个AI也会有能力
[01:01:48] 他说他自己要做自己的harness engineering
[01:01:50] 他就能把一个更复杂的项目给维护好
[01:01:53] 呃我觉得这是一个很可怕的事情
[01:01:55] 就是我们都没饭碗了
[01:01:56] 程序员都没有饭碗了
[01:01:57] 然后那呃我们被解放了以后
[01:02:00] 但是我觉得在座的各位都是你
[01:02:03] 你你们是第一天像我你们模型发布第一天
[01:02:07] 你们开始用的这些这些同学们
[01:02:09] 你们会比别人站得更前
[01:02:12] 然后你们会第一天吃到这个时代的红利
[01:02:15] 就是这个AI能力的红利
[01:02:16] 然后你们又能知道这个AI的边界在哪里
[01:02:18] 然后你能为他的下一次发布在做好准备
[01:02:22] 然后你就能在这个时代里面找到自己的位置
[01:02:25] 我是这样
[01:02:26] 我是这样理解的
[01:02:27] OK好
[01:02:28] 这是这是哈里森命运河和并发并发bug
[01:02:31] 稍微扯出去一点
[01:02:32] 因为今天本来就是讲一些比较实际的东西
[01:02:36] 在这有个故事
[01:02:38] 我们都说race condition是undefined behavior
[01:02:41] 当然这个undefined behavior
[01:02:42] 和那个C里面的不太一样
[01:02:44] 我今天有一个伤人性命的并发bug的例子
[01:02:48] 叫killed by a machine
[01:02:50] 有一个DEREK25的事故
[01:02:52] 大概1985~81987年的时候
[01:02:54] 有一个呃放射线的治疗仪
[01:02:57] 它能够发射这个高能的X射线
[01:03:00] 然后这最终他是这样的
[01:03:02] 它有一个它有很多束光
[01:03:04] 最后会聚焦在一个地方
[01:03:05] 然后相当于它可以去精准的选择
[01:03:08] 你身体里面的任何一个位置
[01:03:09] 就你身体里面的任何位置
[01:03:11] 在不伤害你其他组织细胞的时候
[01:03:14] 把里面那个位置给烧穿
[01:03:15] 就就烧就是硬烧
[01:03:17] 然后这这个治疗仪有一个事件驱动的并发bug
[01:03:22] 导致了至少六个人死亡
[01:03:24] 所以这个是一个非常有名的呃并发的bug
[01:03:27] 这个图不太好
[01:03:29] 他是这样的
[01:03:30] 这个呃呃SACC25有两个模式
[01:03:33] 有一个模式是低剂量照射的模式
[01:03:36] 相当于它它以很低的剂量先帮助你定位
[01:03:40] 然后他可以可以可以可以拍片
[01:03:43] 然后还有一个是高质量模式
[01:03:44] 就真正灼烧的烧烧你的模式
[01:03:46] 但烧的时候呢
[01:03:47] 它里面有一个这个反射镜
[01:03:50] 有一个beam flattenner
[01:03:51] 有一个反射镜
[01:03:52] 然后这个反射镜
[01:03:54] 呃我不确定它是什么
[01:03:55] 我它会以一个机械的方式
[01:03:57] 会移到这个射线源的下面
[01:03:59] 这样这样
[01:04:01] 它可以控制进入人体的辐射剂量
[01:04:03] 但如果在没有这个反射镜的时候
[01:04:08] 你就你就呃按照那个患者的说法
[01:04:12] 是他们在接受这个治疗的时候
[01:04:14] 瞬间感觉到很强的灼烧感
[01:04:16] 然后可能也没有太久
[01:04:17] 但是他们逐渐就因为接受了过量的这个照射
[01:04:21] 然后导致这个呃最终最终死亡
[01:04:24] 我web code的一个模拟器
[01:04:28] 没有一行代码是我写的
[01:04:31] 跟刚才那个图是一样的
[01:04:32] 就是在在上面有一个呃呃有一个射线源
[01:04:36] 然后这个射线有两个模式
[01:04:38] 一个是electron的模式
[01:04:39] 一个是x ray的模式
[01:04:40] x ray就是呃比较高能量的模式
[01:04:43] 然后你看到我在x ray模式的时候
[01:04:48] 那个beam flattenner就会呃往人的那个位置
[01:04:52] patient那个位置移动
[01:04:53] 然后当然如果我进入这个electron的模式的话
[01:04:56] 这个being flattner就会撤走
[01:04:58] 就是因为就因为它在高能模式下
[01:05:01] 需要一个额外的部件
[01:05:03] 然后这个部件的移动是异步的
[01:05:05] 你看到了我在移动这个部件移动的时候
[01:05:08] 我依然是可以
[01:05:10] 比如说我可以啊啊对我现在是election mod
[01:05:14] 我可以beam on
[01:05:15] 我be on
[01:05:16] 我我BM的话它变绿了
[01:05:18] 然后呃相当于现在在低剂量模式下开始照射
[01:05:21] 然后我beam off它就可以
[01:05:23] 它就它就它就关掉了
[01:05:24] 好现在现在是OK的
[01:05:26] 就就我现在在electron mode
[01:05:27] 我先做一个扫描
[01:05:29] 然后我进入XREMODE
[01:05:30] XREMODE好
[01:05:32] 然后进入XREMODE以后
[01:05:34] 这个就来了
[01:05:35] 然后这个bug是怎么产生的呢
[01:05:38] 我在这个时候很快的进入低低能量的模式
[01:05:43] 然后我再这个时候再进入高能量的模式
[01:05:47] 这时候那个板那个护板在往边flatter
[01:05:50] 往边上移的时候又回来了
[01:05:52] 然后再回来的时候回来还没有到位的时候
[01:05:56] 这个时候系统会有一个提示
[01:05:59] 现在很危险
[01:06:00] 对不对
[01:06:00] 因为我已经切换到高能模式了
[01:06:02] 但是我的这个FLANTERN还在往这往这移动
[01:06:05] 然后就在这个时候系统会有一个猫function54
[01:06:08] 然后它会有一个treatment post
[01:06:11] 然后但是这个操作员
[01:06:13] 你们知道那些软件系统一天到晚都出错
[01:06:16] 所以操作员做的最常见的事情就是continue
[01:06:18] 然后如果这个时候这个彬彬FRANTENNER不在
[01:06:22] 还没有到位的时候
[01:06:24] 没遮住的时候
[01:06:25] 就发生这个非常严重的呃事故
[01:06:28] 比如说我我我再来一次
[01:06:29] 比如说我现在写election mode
[01:06:31] 然后XREMODE好
[01:06:33] fly flatten那过来了
[01:06:36] 然后我迅速切换到election mode
[01:06:39] 再切换到XREMODE
[01:06:40] 然后我再continue continue的时候
[01:06:42] 他就直接开始照射了
[01:06:44] 这个FTER还在动
[01:06:46] 然后patient就直接接受了过量的疫苗
[01:06:49] 然后呃就变成了杀人的呃并发bug
[01:06:54] 然后这样的并发bug就是软件定义一切
[01:06:56] 带来的悲剧后果
[01:06:57] 因为我我们是现实中的状态
[01:06:59] 没有被完整的建模在
[01:07:02] 没有完整建模在软件系统里
[01:07:04] 我们说软什么是软件
[01:07:05] 软件就是物理世界里面各种各样的需求和过程
[01:07:08] 在信息世界里的一个投影
[01:07:10] 然后你现在的投影是有损的
[01:07:13] 因为我们我们就用了几个变量嘛
[01:07:15] 它有一个flattened的状态
[01:07:17] 它有一个这个射线照射的状态
[01:07:19] 这些变量
[01:07:20] 但是这个FLATTENNER到底在哪里
[01:07:23] 我们在编程的时候没有完整的把它考虑在系统
[01:07:26] 系统的程序当中
[01:07:28] 这就危险了
[01:07:29] 这个时候就有了刚才那个呃他确实检测了吧
[01:07:32] 错误猫function54
[01:07:34] 但是那个操作员下意识按下continue
[01:07:37] 就造成了惨剧
[01:07:39] 在更早的产品里面
[01:07:40] 如果发生这个move function54的话
[01:07:43] 它只有电互锁电路实现的
[01:07:45] Assertion failure
[01:07:49] 然后这个时候就直接停机了
[01:07:50] 停机你必须重启才能工作
[01:07:52] 所以在上一个版本它它还是硬件定义的时候
[01:07:56] 是安全的
[01:07:57] 但是到了软件定义的时候
[01:07:58] 所有的逻辑都用软件实现的时候
[01:08:00] 就就出问题了
[01:08:02] 所以所以你看到这个软件定义
[01:08:04] 会给我们带来很大的麻烦
[01:08:05] 比如说现在智能驾驶汽车
[01:08:07] 智能驾驶汽车
[01:08:08] 首先它呃它在遇到紧急情况的时候
[01:08:10] 最好是能给你刹车
[01:08:12] 但是如果你在正常行驶的时候
[01:08:15] 他给你刹车
[01:08:15] 你又很很不爽
[01:08:16] 你用很高的速度
[01:08:17] 它突然刹到很低的速度的时候
[01:08:19] 你对你的
[01:08:19] 你基本上就等于是一个碰撞级的体验了
[01:08:24] 这这是一个很大的矛盾
[01:08:26] 然后随着我们的软件变得越来越智能
[01:08:29] 哼我也不知道最后世界会
[01:08:31] 会会会发生什成什么样
[01:08:33] 对
[01:08:34] 这甚至不是SARA25最后一个能杀人的bug
[01:08:38] 在这个bug修复以后
[01:08:40] 他说如果这个operator send a common at exact moment
[01:08:43] 需要一个特别好的时机
[01:08:44] 然后在counter overflow的时候
[01:08:47] The machine was skip setting up some of the beam accessors
[01:08:51] 又是一个
[01:08:52] 我说按下CTRL加C的时候的那种rise condition
[01:08:55] 所以在并发程序运行的时候
[01:08:57] 你如果你每一个线程只是说
[01:08:59] 看起来把它当成sequential program去去处理
[01:09:03] 它
[01:09:03] 看起来都可能挺对的
[01:09:05] 而且经过了精心的code review
[01:09:07] 但是如果你不考虑这个全局的系统状态的话
[01:09:09] 呃你你确实就有可能有问题
[01:09:12] 而全局的系统状态又非常的复杂
[01:09:14] 你你可能没有能力没有精力再去
[01:09:16] 再去再去考
[01:09:18] 自动驾驶聚生智能的底线
[01:09:19] 安全就会变得呃越来越困难
[01:09:22] 我刚才啊刚才提到确实是很危险的一个
[01:09:27] 一个小例子好
[01:09:29] 那既然有有数据数据
[01:09:31] 有有死锁
[01:09:32] 有数据竞争
[01:09:34] 不上锁不就不会死锁了吗
[01:09:36] 换换眼
[01:09:38] 如果我们把每一个共享内存访问都上锁
[01:09:42] 真是掩耳盗铃了
[01:09:44] 我每次SAM加加的时候
[01:09:46] 我都给SAM加一个SAM的锁
[01:09:49] 每次SAM加加都加一个SAM的时候
[01:09:51] 不就消除了所有的数据竞争吗
[01:09:53] 他确实不会产生这种weak memory model的这种行为了
[01:09:56] 但是你哪怕给每一次memory access上锁
[01:10:00] 你依然没有解决所有的并发里面的问题
[01:10:02] 当然当然了
[01:10:03] 呃我们回过头来思考一下
[01:10:06] 刚才那个伤人性命的呃并发bug
[01:10:09] 就是因为我们在编程的时候
[01:10:11] 太容易做顺序执行的假设了
[01:10:13] 我们的本质就是sequential creature
[01:10:16] 然后我们在编程的时候
[01:10:17] 一开始大一学编程的时候
[01:10:19] 你们的函数返回天然是带一个同步的函数
[01:10:22] 调用是同步的函数调用
[01:10:24] 你们甚至都没有讲过
[01:10:25] 在上课的时候没有教过你们函数调用是同步的
[01:10:28] 因为函数就自带一个all or nothing的原子性
[01:10:31] 我当我把控制流交给那个函数的时候
[01:10:34] eventually那个函数一定会把所有的事情都执行好
[01:10:37] 然后返回给我
[01:10:37] 这就是我们对函数的一个expectation
[01:10:40] 当我调用它的时候
[01:10:41] 它总会返回的
[01:10:42] 而且带着正确的结果回来
[01:10:43] 如果没有bug的话
[01:10:45] 所以THETC25也是的
[01:10:47] 刚才那个代码
[01:10:48] 如果我们那个模式的切换
[01:10:49] 你看我我在切换模式的时候
[01:10:51] 那个呃那个机械机械装置在开始运动
[01:10:54] 如果这个机械装置运动都是在一瞬间完成的
[01:10:57] 或者说你的所有的操作都是同步的
[01:10:59] 我机械装置这个开始运动的时候
[01:11:02] 我就不能执行任何指令了
[01:11:03] 当然这个对对操作员的体验很差对吧
[01:11:06] 你如果是瞬间完成的
[01:11:09] 就没有任何问题了
[01:11:10] 但是实际上它有一个异步的
[01:11:14] 在未来这件事情才完成的一个系统的语义
[01:11:18] 但因为我们在编程的时候
[01:11:19] 已经形成了所有的事情都是立即生效的
[01:11:22] 肌肉记忆
[01:11:22] 我做了这件事
[01:11:23] 我做了switch mode to x ray
[01:11:26] 那么模式模式就应该变过去的
[01:11:28] 而不是说等到一段时间以后
[01:11:31] 它才呃模式才会变过去
[01:11:33] 因为我们形成这样的记忆记忆
[01:11:35] 再加上现在所有的并发控制的机制
[01:11:37] 都是后果自负的
[01:11:39] 我们说lock unlock
[01:11:41] 你你自己没上好锁
[01:11:42] 那对不起
[01:11:43] 你就就错了
[01:11:44] 然后你的条件变量你没有做好
[01:11:47] 你也错了
[01:11:47] 所以这就带来了两种类型的呃并发bug
[01:11:51] 一个叫atomicity violation
[01:11:53] 一种叫order violation
[01:11:54] 然后TOMCITY就是你上锁
[01:11:56] 你可能就算是每一个共享内存都上了锁
[01:11:59] 但是如果你有一件很大的事情
[01:12:02] 比如说你就希望sum加加
[01:12:05] 看到的所有的值都是偶数
[01:12:07] 但如果你只是lock a sum加加on lok a啊A
[01:12:16] 然后你再LOKASAM加加
[01:12:19] 再UNLOKA好
[01:12:21] 如果你希望这个sum永远是偶数
[01:12:24] 你就可以在这lock b
[01:12:26] Unlock b
[01:12:28] 那么所有是这样写代码的
[01:12:29] 它都是偶数
[01:12:30] 但是你有一天就有可能有一个线程忘记了
[01:12:33] 你写了一个log c
[01:12:35] 然后你再lock a sam加加OOK
[01:12:41] 就是因为这把锁上错了
[01:12:43] 这个程序是没有任何data rise的
[01:12:46] data race的定义是要能同时发生的一对内存访问
[01:12:51] 至少有一个嗜血发生在两个线程里
[01:12:53] 它必须要能同时发生
[01:12:55] 然后这个是不可能同时发生
[01:12:57] 因为你你所有的sum都是用一把锁
[01:12:59] 正确的保护的
[01:13:01] 但是它还是一个ABA这叫ABA
[01:13:05] 我我本来这个A是希望是atomic的原子的
[01:13:08] 因为我我写代码的时候喜PENCIAL
[01:13:10] 我是sepal creator
[01:13:11] 我自然而然的会觉得我需要一把头
[01:13:14] 顺序的把它执行完
[01:13:15] 但是被别人强势插入
[01:13:18] 我就被打断了
[01:13:19] 然后这个程序
[01:13:21] 程序就错了
[01:13:21] 然后另一种是这个
[01:13:23] Order violation
[01:13:24] 就是你因为你条件变量或者信号量没有做对
[01:13:27] 或者同步没有做好
[01:13:28] 你你导致顺序出错了
[01:13:29] 那也是一个非常常见的啊并发bug
[01:13:32] 所以就有这样的argument叫threats
[01:13:34] Cannot be implemented as a library
[01:13:36] 唉这也是我们今天可以思考
[01:13:39] 就是你可以尤其是在有AI的时候
[01:13:40] 你完全可以让AI用更安全的
[01:13:43] 更安全的方式来实现并发
[01:13:46] 而不需要用底层的这样的线程库
[01:13:48] 当然因为我们是操系统课
[01:13:49] 你们还是学计算机专业的学生
