[00:00:00] 欢迎大家来上操作系统课
[01:04:20] 而操作系统就是一组
[01:04:22] 从软件来看就是一组API
[01:04:26] 然后这个API可以
[01:04:28] 应用程序可以通过调用这个API，去访问操作系统里各种各样的对象
[01:04:33] 包括比如说什么打开的文件，磁盘，显卡，显示器等等
[01:04:40] 也包括里面其他的软件
[01:04:43] 我们可以通过调用操作系统API，把另外一个软件给杀死
[01:04:48] 刚才就试图把vscode给杀掉。
[01:04:53] 所以操作系统是一个中间层
[01:04:55] 他把硬件作为一个抽象为上层的软件提供服务
[01:05:00] 然后这样的一个概念可以推广到各种各样的系统
[01:05:02] 比如说， 如果我们把很多台机器作为一个抽象
[01:05:07] 做一组API
[01:05:09] 来访问一个机器的集群的这个分布式系统
[01:05:13] 然后我们可以把GPU自己也做一个抽象
[01:05:16] GPU里有好多的核心
[01:05:17] 这就形成了 CUDA 这样的编程模型
[01:05:21] 我写一个高层的， 我只要说我要算什么，
[01:05:24] 然后它的编译器帮我把它编译成GPU上能执行的代码
[01:05:29] 然后再比如说我们把存储抽象就得到了存储系统
[01:05:35] 而如果我们想要去理解操作系统的话
[01:05:37] 我们就重新走一遍这个操作系统
[01:05:41] 底下和上面发展的历史，
[01:05:44] 你就会很清楚的
[01:05:47] 看到操作系统到底是什么？
[01:05:52] 那我们就可以从最早1940年的操作系统开始
[01:05:57] 你看我的这个终端还可以显示图片
[01:06:02] 1946年2月14日
[01:06:05] 一个新的时代诞生了，世界上的第一台计算机
[01:06:08] 这个计算机和今天我们的
[01:06:10] 取指令的这种计算机还不太一样，
[01:06:12] 现在我们叫冯诺依曼计算机
[01:06:15] 它是一个图灵机的数字电路的实现
[01:06:19] 它也是一个状态机的模型
[01:06:21] 它也有PC的概念
[01:06:23] 但是它真的是做了一个
[01:06:25] 像我让你们在数电课上画的一种状态图
[01:06:29] 如果让你们设计一个计数器，你们会画那个状态图吗
[01:06:36] 所以说我们有多少个状态
[01:06:40] 然后当我比如说X=00的时候
[01:06:42] X=01，X=10，X=11到这个状态
[01:06:48] 就这样的一个状态转移
[01:06:50] 你们应该是都画过图的
[01:06:54] 然后那个时候
[01:06:56] ENIAC基本上实现了一个真正由导线来连接的一个计算机
[01:07:04] 它当前比如说处于这个状态
[01:07:06] 然后这个状态上面的操作执行完了以后
[01:07:09] 它会根据接线来确定他下一个状态是什么
[01:07:16] 然后有趣的是
[01:07:18] 有人把整个ENIAC操作系统还原了，包括模拟器
[01:07:23] 如果你们对这个感兴趣，
[01:07:25] 完全在AI的帮助下
[01:07:26] 去了解一下
[01:07:28] 我觉得那是1946年的时候非常天才的设计
[01:07:32] 首先逻辑门这个东西那个时候已经有了
[01:07:35] 就是冯诺依曼计算机
[01:07:36] 当时用的二进制
[01:07:38] 然后二进制，那就跟我们今天的或非门没有本质的区别
[01:07:43] 只是我们今天用，不管是NP结也好
[01:07:47] 哪怕是74LS系列的电路板的电路
[01:07:51] 都比1940年的那种真空电子板要小得多
[01:07:55] 那个真空电子板一个就有这么大
[01:07:57] 一个三级管就有这么大
[01:08:00] 一个三级管可能和这个椅子一样大
[01:08:05] 可能比这椅子稍微小一点
[01:08:07] 一个三级板就有这么大
[01:08:10] 然后他为了把这些东西贴起来
[01:08:12] 也是用很粗的导线
[01:08:15] 那比如说你们现在要实现寄存器
[01:08:19] 或者要实现内存
[01:08:22] 那你们内存电容用的是DRAM
[01:08:26] 你们的寄存器用的是SDRAM
[01:08:27] SDRAM是6个晶体管
[01:08:29] 但那个时候
[01:08:30] 如果你想要用这种方式来
[01:08:35] 来构建电路实在是太贵了
[01:08:38] 工程上也太困难了
[01:08:40] 如果你想要存储很多的数据怎么办呢？
[01:08:45] 那时候有一个非常天才的发明，叫做延迟线
[01:08:50] 延迟线什么呢
[01:08:53] 如果你想要存储很多个Bit
[01:08:57] 你就想它这边有一根线
[01:08:59] 如果这有一根线，
[01:09:01] 然后你可以绕这根线，在这个线上调出一个波
[01:09:07] 你可以把它调的密一点，比如这个就是0，这个就是1
[01:09:11] 然后这个就是0
[01:09:14] 这个是1
[01:09:15] 这完全可以吧
[01:09:18] 你可以把这个波，相当于甩绳子，
[01:09:20] 里面有一根绳子，你甩这根绳子
[01:09:22] 你就可以把甩的快就是0，甩的慢就是1
[01:09:24] 这个波会慢慢往往前推进
[01:09:26] 然后你只要接一个放大器反馈回来
[01:09:30] 这个数据就会持久化保存在里面
[01:09:34] 接一个放大器
[01:09:35] 这里的数据进来
[01:09:37] 就会再从回到头上，回到头上
[01:09:39] 这样这个数据就不停的在里面流动
[01:09:42] 就把这个数据给暂时性的保存下来
[01:09:44] 然后当然你可以在这里加上一个读写的电路
[01:09:47] 加上一个读写的电路
[01:09:50] 如果你想要写入的时候
[01:09:52] 你就不再是把这个反馈得到的结果放进去
[01:09:54] 就把这里的结果放进去
[01:09:56] 你就可以写入了，所以延迟线
[01:09:59] 然后那个时候输入输出就是打孔的纸带
[01:10:01] 它可以读纸带上的指令
[01:10:05] 也可以往纸带上打孔，
[01:10:06] 都是机械的，一切自由
[01:10:09] 非常天才的设计
[01:10:11] 但是你能想象力那个时候有操作系统 吗？
[01:10:16] 那时候计算机硬件
[01:10:18] 他就刚刚是把这个模型给
[01:10:21] 这个计算的模型给实现出来了
[01:10:25] 一个状态机的模型
[01:10:27] 基本上是这个模型已经有了
[01:10:30] 然后/init再到下一个状态
[01:10:33] 这个硬件的模型已经有
[01:10:35] 那上面会运行什么样的软件呢
[01:10:39] 最早的一批软件就包括了打印平方数
[01:10:44] 打印素数表
[01:10:46] 当计算一些弹道，轨道这样的
[01:10:50] 有实际需求的问题
[01:10:54] 这其实解释了我们程序设计课上的那些经典情节的来源
[01:10:59] 你们应该都有疑问
[01:11:01] 为什么我们循环的第一个例子都是判断素数
[01:11:06] 这是因为它是有历史原因的
[01:11:09] 最早的软件就包括打印素数表
[01:11:13] 就是这个计算
[01:11:14] 因为它展示了这个计算机可以做的循环
[01:11:18] 可以做循环的能力
[01:11:20] 当然你今天的话
[01:11:22] 今天教科书上还在用这些例子
[01:11:27] 给在1940年代的时候，大家在真正的bugs战斗
[01:11:30] 今天当我们写bug的时候，写的不是这种bug
[01:11:34] 在194x年的时候
[01:11:37] 这是第一个BUG
[01:11:41] 它真的就是一个盒子卡在电器里。
[01:11:44] 然后那个继电器就不工作了
[01:11:46] 不工作那个程序就不能正常运行
[01:11:48] bug这个词是从这个时候得来的
[01:11:52] 那你们会想，1940年有操作系统吗，没有
[01:11:56] 1940年的硬件就是一个最原始的硬件。
[01:12:01] 那1940年的软件是什么呢？
[01:12:03] 是我们直接在打孔纸带上面打出来那个01序列
[01:12:07] 人先在纸上把这些东西都想好
[01:12:11] 然后把它打到纸带上，把纸带送到计算机上
[01:12:15] 那时候需要操作系统吗
[01:12:16] 我们把程序跑起来已经是个奇迹了
[01:12:20] 程序能运行起来了
[01:12:22] 所有的程序都直接用指针操作硬件
[01:12:25] 他只要有一条纸给你打孔
[01:12:29] 你怎么可能用
[01:12:30] 比如说在调用操作系统的循环用out这条指令
[01:12:33] 还用out去写一个8bit的数据到这个端口里
[01:12:37] 那他类似的提供一条指令
[01:12:38] 一条out那样的指令
[01:12:39] 然后他可以把一个字节的这个对应的电平送到打孔机上
[01:12:46] 然后打孔机就会根据那个电平
[01:12:47] 可以驱动那个打孔针和继电器就可以做到
[01:12:51] 然后在那里打一个孔
[01:12:52] 打完以后纸条再往里移动
[01:12:56] 那就全部都搞定了
[01:12:58] 所以1940年没有操作系统
[01:13:01] 其实我觉得有点像今天人工智能的Agents、MCP、Skills 所处的时代
[01:13:07] 所以读一读历史
[01:13:10] 每一个方面理论都会比较的有趣
[01:13:12] 历史总是相似的
[01:13:14] 我们做的每一件事情其实都在重复，只是1940年
[01:13:20] 但很快人们就意识到，
[01:13:23] 这样的一个结构，还有这样的软件
[01:13:27] 一开始可能只是很简单的软件
[01:13:29] 它可以用来做各种各样的事情
[01:13:32] 如果我可以算素数表
[01:13:34] 我只需要给每一个字符，比如说
[01:13:39] 我说A就是0，B就是1，C就是2
[01:13:44] 如果我能为每一个字符做一个数字的对应
[01:13:48] 我在这个内存里面放一个数组
[01:13:52] 然后这个数组里面，如果存放的不再是数字这样的整数
[01:13:56] 而是ABC这样的字母，我就可以处理字符串了
[01:14:00] 我可以处理字符串意味着我可以
[01:14:02] 开始处理这个现实世界中的真实需求了呢？
[01:14:06] 如果打孔纸带，我可以打出这种
[01:14:09] 你看像打孔纸带，就是这样的孔
[01:14:14] 那人类不好读
[01:14:15] 但如果我不是在打印一个bit的孔
[01:14:22] 而是我打一个，比如说有个8×8或者16×16的点阵
[01:14:29] 那我就可以打一个字符，人人可以看懂。
[01:14:34] 我们计算机就会干各种越来越多的事情
[01:14:37] 只要我的内存变得更大
[01:14:39] 只要我的CPU变得更快
[01:14:41] 我的IO设备
[01:14:42] 因为IO设备都是机械的
[01:14:46] 可以是磁带，可以是打孔机，打印机，键盘
[01:14:49] 我的计算机是真的可以用起来了
[01:14:52] 只要我能编程序
[01:14:56] 计算机就可以变得非常通用
[01:14:58] 可以做表格
[01:15:00] 等于人能想到的事情，你这样做都可以
[01:15:04] 都可以用编程来做
[01:15:06] 而1950~60年代的时候
[01:15:08] 我们的CPU和内存其实发生了非常大的变化
[01:15:14] 比如说那个时候开始有磁芯内存
[01:15:17] 不再是那种延迟线内存
[01:15:20] 磁芯内存就和我们现在的DRAM很像
[01:15:25] 你们还记得DRAM吗，DRAM是有行选通和列选通的
[01:15:29] 行列选通信号
[01:15:31] 然后行列选通信号上面每一个交叉点上面都有一个电容。
[01:15:36] 然后你就可以把它读走
[01:15:40] 然后在那个时候他已经可以内存做的更小
[01:15:44] 它不是一个电容
[01:15:49] 那时候还没有那么先进的集成电路支撑
[01:15:51] 而是一个一小块儿磁铁
[01:15:54] 然后这个磁铁可以在电磁感应下改变方向
[01:16:00] 然后这个磁铁的方向就是0和1
[01:16:04] 你说什么今天电容通电和放电的状态是一样的
[01:16:07] 你的一个bit
[01:16:08] 你的行选通和列选通信号，选到一个电容上面它是通电还是放电的状态
[01:16:14] 它只要有一个0和1的状态就可以表示一个bit
[01:16:16] 它就可以在二维的平面上面铺这个bit
[01:16:21] 然后CPU有更好的晶体管，CPU也变得更快了
[01:16:25] 那这个时候像打孔纸带
[01:16:28] 这些输入输出设备
[01:16:30] 它的速度就远远慢于CPU的速度了
[01:16:35] 这时候操作系统开始登上历史舞台了
[01:16:38] 甚至到了1950年代的后期
[01:16:41] 虽然我们还在使用打孔纸带
[01:16:44] 但是这个打孔纸带已经可以
[01:16:46] 刚才说我们可以表示字符了
[01:16:51] 这是一个Python的语句，抱歉我口胡了
[01:16:57] 这是一个fortran的一行代码
[01:17:00] 写一行fortran代码，它就是一个纸片
[01:17:05] 然后这纸片通过戳的方式
[01:17:07] 它有这种打孔器
[01:17:10] 所以你的编程，你先在纸上写好
[01:17:15] 比如x=y+1
[01:17:19] 那我知道X它是有一个编号的
[01:17:21] 比如说X可能是24
[01:17:23] 然后等于是28，我随便写的， 这不重要，
[01:17:27] Y是多少，然后24，
[01:17:30] 那这个又有一个二进制的吧， 就是0010，什么1101
[01:17:34] 然后对应这个二进制的地方，你就在这个地方打孔
[01:17:37] 大家看到这个地方是有个孔
[01:17:41] 然后穿孔以后，你的每一个字符抽孔，就是一张卡片
[01:17:45] 然后你把一个几十行的程序
[01:17:48] 或者甚至几百行的程序都给卡好
[01:17:53] 然后就可以送到计算机里
[01:17:56] 然后计算机会一张卡片读这个程序，执行这个程序
[01:17:59] 然后直接把结果写回这样的卡片上
[01:18:05] 甚至给打印机，就可以打一些比较复杂的东西
[01:18:11] 实际上fortran这样的编程语言已经足够的好用
[01:18:16] 所以那个时候就迎来了
[01:18:20] 自然科学工程，工程，军事等等这些计算机需求的暴涨
[01:18:25] 然后这个代码，我可以让AI帮我提取一下
[01:18:32] 比如说你看不明白的时候
[01:18:35] 完全可以让AI帮你解答
[01:18:37] 我觉得以后上课的终极
[01:18:42] 就是你戴一脑机接口
[01:18:44] 然后他能读到你内心所想
[01:18:47] 然后为你生成最适合你的东西
[01:18:58] 那种fortran已经很好用
[01:19:03] 就有操作系统
[01:19:07] 为什么会有操作系统呢？
[01:19:08] 刚才我说了，像这个fortran的代码
[01:19:11] fortran代码是一张一张的卡片
[01:19:13] 这个卡片是需要人送到计算机里的
[01:19:17] 他需要操作这个读卡器
[01:19:25] 我们计算机系统就有这样的操作员
[01:19:28] 然后这些操作员自然而然的，
[01:19:31] 和这些操作员相关的软件系统就叫操作系统
[01:19:34] 所以操作系统在繁体里面常常翻译叫作业系统
[01:19:39] 他是管理教务的，为什么呢？
[01:19:41] 因为那个时候计算机非常贵
[01:19:43] 那个时候一些50~60年的时候一台计算机在要是从5万到100万美元
[01:19:48] 通常整个学校只有一台，
[01:19:54] 那刚才说每一个院系，计算机系要用，然后大信息要用
[01:19:59] 国防部还想要用
[01:20:02] 你有那么多的任务
[01:20:05] 他就要排队
[01:20:07] 最好能自动执行下一个
[01:20:10] 下一个执行完的话，再执行下一个
[01:20:12] 那如果这个程序退出了，这个异常退出完
[01:20:15] 那我还可能要看到一些信息
[01:20:17] 然后这些都需要一些公用的软件
[01:20:21] 我1950年代可能再也不像1940年代
[01:20:24] 我的整个计算机的系统，整个计算机只执行一个程序
[01:20:29] 它可以运行完一个再运行一个
[01:20:33] 那就需要一个服务与软件切换的程序
[01:20:38] 所以那个时候也有很多这种作业调度的
[01:20:42] 你们如果看操作系统书的话
[01:20:45] 会看到很多经典讲操作系统的作业调度
[01:20:48] 为什么会有作业调度呢？
[01:20:49] 就是因为你在管理一个这么大的计算机
[01:20:54] 并且你手上有很多个程序的时候
[01:20:56] 你确实是可以稍微打乱一下他们的执行顺序的
[01:21:00] 比如说跟我关系比较好的人，我先让他吧
[01:21:04] 然后比如说这个比较短的
[01:21:07] 他们那个时候有很多比较平庸的策略
[01:21:10] 比如说让短的作业进来优先
[01:21:13] 你越快跑完那程序我先让你跑
[01:21:17] 这样可以把所有人的平均等待时间降低
[01:21:21] 你可以证明这平均等待时间最低的
[01:21:26] 当然这都是历史原因，因为计算机可能只有一个
[01:21:33] 一个计算机只能跑一个程序
[01:21:35] 所以就诞生了操作系统这样的改变。
[01:21:45] 这是1950~60年代的fortran程序，用于计算3个整数的和
[01:21:50] Large Language Model can explain everything
[01:21:54] 然后这里有一些你不太能理解的，比如说READ(5,10)
[01:21:59] 这个5和10是什么意思？
[01:22:01] 它说是从文件单元5按照标准格式10
[01:22:07] 我猜是十进制读取三个整数
[01:22:14] 这样的命令，这样的程序
[01:22:18] 某种程度上是操作系统为应用程序 提供的
[01:22:23] 因为我们在一台计算器下
[01:22:26] 它要跑好多个程序。
[01:22:28] 然后好多个程序，每一个程序
[01:22:32] 都会有一些需要复用的功能
[01:22:34] 比如说我们从这个计算硬件，里面读出数据
[01:22:38] 或者往打印机，在打孔纸带上面写数据
[01:22:41] 那这些公共的程序
[01:22:43] 再加上一些比如说作业开始，作业终止这样的通用程序下
[01:22:51] 所以在那个时候。
[01:22:53] 就有了操作系统概念
[01:22:56] 当我们的时间走到1965年到1970年的时候
[01:23:01] 计算机就变得更快了，
[01:23:02] 非常接近今天的计算机了，我们有集成电路了
[01:23:06] 有总线了，和你们上数电课学的东西很接近了
[01:23:12] 然后这个时候迎来了一个新的转折点
[01:23:15] 刚才我们从1950年代的时候，我们的程序是一个一个的跑
[01:23:18] 跑完一个程序再跑下一个
[01:23:21] 等到1960~1970年代的时候
[01:23:25] 计算机的内存，因为集成电路， DRAM开始生产了
[01:23:31] 我们的内存开始比程序更大了
[01:23:34] 在还是这种内存的时候
[01:23:36] 我们的内存是比程序小
[01:23:39] 就或者说内存几乎和程序一样大
[01:23:42] 程序几乎总是把内存用掉
[01:23:46] 那一次就跑一个
[01:23:48] 但当我们有更大的内存的时候
[01:23:50] 我们就可以把多个程序同时载入内存里
[01:23:55] 这带来了一个意想不到的好处
[01:23:58] 就是我们在1960年的时候
[01:24:04] 如果我们能把多个程序都载入到内存里
[01:24:08] 这就意味着P1可能在， 那个时候只有一个CPU才不能运行，
[01:24:13] 但是运行以后P1可能会执行一个write
[01:24:17] 当然我夸张一点，
[01:24:18] 我们今天的尺度来看，
[01:24:20] 比如说我P1之后我要写1GB
[01:24:24] 我今天的今天夸张一点，我写1TB
[01:24:28] 按照今天的给我1TB
[01:24:31] 那写1TB可能就要几分钟的时间
[01:24:36] 那这几分钟的时间
[01:24:38] 实际上我的P1都不需要再用CPU了。
[01:24:43] 因为我的数据已经在内存里了，我可以有另外一个部件
[01:24:46] 一点一点把这个数据写到内存里
[01:24:50] 这意味着什么呢？
[01:24:51] 现在P1让出CPU，他不要CPU了
[01:24:55] 我P2上就可以在CPU上执行
[01:24:59] 然后P2，如果我现在也在这儿，我也write一个1TB
[01:25:04] 我也让P3就可以了
[01:25:10] 我P3就可以执行了
[01:25:11] 所以当1960~70的时候
[01:25:14] 发生了关键的转折点
[01:25:16] 我们可以同时载入多个程序到内存
[01:25:19] 那操作系统就又变了
[01:25:23] 操作系统就要负责。
[01:25:25] 不像之前只需要负责载入load
[01:25:28] 只要能够载入加载程序，退出程序
[01:25:31] 我现在操作系统还需要在一个程序执行某一个操作的时候
[01:25:36] 换另外一个程序的CPU上执行
[01:25:39] 然后等到这个执行完了以后
[01:25:42] 比如说这个执行完了以后
[01:25:44] 然后这个写也结束了
[01:25:46] 结束以后，我的这个操作系统才需要继续恢复程序执行。
[01:25:52] 操作系统就有了切换和恢复的功能。
[01:25:58] 以前在1950年代的时候只需要加载和结束
[01:26:06] 现在它可以动态让出CPU
[01:26:11] 过一段时间我还可以恢复程序执行
[01:26:13] 这就和今天的操作系统越来越接近了
[01:26:21] 在那个时候，60~70年的时候
[01:26:23] 更多的高级语言和编译器就出现了
[01:26:25] 包括COBOL、APL、BASIC、PASCAL
[01:26:27] 然后1972年里程碑一直用到今天
[01:26:30] 我们今天讲代码的时候
[01:26:33] 也在用1972年的C语言
[01:26:37] 计算机科学家在今天难以想象的第一个算力下
[01:26:41] 开发各种各样的新兴起的程序
[01:26:43] 从游戏里到多媒体
[01:26:47] 这个是scan
[01:26:51] 一个可交互的图形界面
[01:26:54] 它是一个制播器一样的在这种显示器上
[01:26:57] 显示出来矢量图像的绘制
[01:27:01] 就跟今天SVT很像
[01:27:05] 它基本上就是一个交互式的SVT的
[01:27:08] 绘图系统，你可以这样理解
[01:27:11] 然后那个时候个人电脑也登到了历史舞台，
[01:27:14] 1975年的时候，8800的第一台
[01:27:17] 个人电脑诞生了
[01:27:22] 有很多传奇故事，当时微软的创始人，
[01:27:28] 他们应该是真的
[01:27:31] 他们在哈佛的大红星上
[01:27:34] 自己写了一个这个
[01:27:36] 第一台这个8800，没有被生产出来，
[01:27:40] 一台机器都没有，但是设计已经有了，图纸也有了
[01:27:43] 他们在大型机上写了一个这个全新的模拟器
[01:27:48] 然后就用那个便宜的模拟器
[01:27:52] 开发了第一个显示器
[01:27:55] 然后那个传奇故事是他们带着那个纸带
[01:28:00] 坐飞机从东海岸到西海岸在一个旅馆里
[01:28:04] 然后把那个纸带装到那个第一台8800机器上
[01:28:10] 成功的运行起来了
[01:28:12] 然后没想到我们在40年以后
[01:28:16] 我们在计算机系统基础也在写这个
[01:28:19] 所以在那个时候有很多英雄的故事
[01:28:23] 刚刚开始计算机硬件和软件都还比较简单
[01:28:27] 操作系统能够在多个进程之间切换开始
[01:28:32] 我们就可以主动的，在任何时候
[01:28:35] 这个时候，
[01:28:37] 比如说我的时间在这个时候，
[01:28:40] 我的P3还在运行这些
[01:28:43] 我可以通过给操作系统发送一个中断
[01:28:46] 我可以暂时打断这个P3的执行
[01:28:50] 我不是一定要等到我的
[01:28:52] 比如说我必须去执行一个很长的,我要写1GB的数据的时候再去
[01:28:58] 再去切换到另外一个进程，另外一个程序
[01:29:01] 而是我在任何一个程序在运行的时候
[01:29:04] 我随时随地都可以给他一个中断
[01:29:06] 然后我再把它切换到另外一个程序
[01:29:09] 然后等到这个时候，执行了1ms以后，我再给它一个中断
[01:29:14] 这个就叫时间片
[01:29:20] 如果我们能够
[01:29:22] 你写一个死循环，这就是为什么，你写一个死循环计算机 也不会卡死
[01:29:28] 你们肯定好奇的问题
[01:29:30] 在计算机系统基础课得到了解答
[01:29:33] 当我们的CPU可以实现
[01:29:37] 实现这个时分复用的时候
[01:29:39] 就是真正进入了现代操作系统
[01:29:41] 就是无限接近我们今天操作系统
[01:29:45] 所以你看到一路走过来，从最早的计算机这就是一个状态系统
[01:29:49] 到计算机有越来越多的时候
[01:29:55] 可以从一个程序切换到另外一个程序
[01:29:58] 再到我可以主动的从一个程序切换到另外一个程序，就是非常自然的
[01:30:03] 然后在这个历史发展的过程当中
[01:30:05] 软件也是越来越复杂
[01:30:08] 你就知道操作系统其实没什么
[01:30:11] 也就是一个支持程序运行的一个软件系统
[01:30:16] 我们应该还是可以学好它的
[01:30:19] 基本上就是刚才我说的模型，就是这个
[01:30:24] 把多个程序载入咱们内存
[01:30:27] 并且在多个程序中间来回切换
[01:30:29] 就是今天的现代操作系统的样子
[01:30:34] 所以基本上就是
[01:30:37] Unix奠定了在AI时代以前的计算机世界的基础
[01:30:42] 1973年的时候
[01:30:44] 这一套体系基本上已经完善了
[01:30:47] 有了信号 API
[01:30:52] 然后有了管道，
[01:30:53] 还有 grep 这样的应用程序
[01:30:57] 然后到1983年的时候，有了socket可以做网络连接
[01:31:00] 1984年的时候有了procfs
[01:31:03] 然后从那个时候开始，Unix衍生出了一整个大家族
[01:31:08] 从 1BSD、GNU 到 Windows、Linux
[01:31:14] 从Unix到Mac
[01:31:17] 再到 iOS、Android
[01:31:21] MacOS就是大家非常熟悉的故事了
[01:31:26] 当然觉得还有一个有意思的是，
[01:31:28] 如果我们想一想2030年以后
[01:31:32] 操作系统还回变成什么样的
[01:31:34] 我觉得我们从1970年到今天
[01:31:37] 操作系统经历了很大的变化
[01:31:39] 但是它的那个核心性的理念都没有变
[01:31:42] 他就是管理程序的一个系统。
[01:31:45] 几个最重大的变革
[01:31:49] 从执行完一个程序再执行另一个程序
[01:31:51] 到我可以切换，再到这个时分复用处理器
[01:31:56] 这几个三大里程碑之后
[01:31:59] 我们下一个里程碑会是什么
[01:32:01] 我觉得有可能在2030年的时候操作系统不再只是给人用的
[01:32:06] 我们还要给AI用
[01:32:08] 如果你把AI也看成是人
[01:32:11] AI视频有吓唬人的地方
[01:32:15] 那个时候的操作系统是什么样的我们也可以期待一下
[01:32:19] 所以我希望在这门课里面
[01:32:21] 把到今天为止的现代操作系统
[01:32:24] 为所有应用程序上层提供的接口讲清楚
[01:32:29] 然后去帮助大家解锁这个实现一切软件的能力
[01:32:36] 然后去拥抱这个新的时代
[01:32:38] 最后还有一点点时间
[01:32:40] 我们讲一讲怎么操作系统，
[01:32:43] 学这一门课我觉得现在都不那么痛苦了，
[01:32:46] 尤其是你有AI以后
[01:32:50] 真的,我觉得没有那么痛苦了
[01:32:53] 你更多的是边上课就能边去理解操作系统
[01:32:58] 以前我讲操作系统内核的时候
[01:33:00] 这些历史上面的东西我都会用大脑想
[01:33:05] 你能看到上下文的切换是在操作系统底层是怎么实现的
[01:33:08] 硬件上是怎么实现的
[01:33:11] 但是我无论如何，不管怎么样，我哪怕现在不去讲内核了
[01:33:15] 我还是会讲很多的有趣的
[01:33:17] 人类竟然可以想到要做这样的一些有趣的软件
[01:33:22] 我们想到给我一个游戏外挂
[01:33:24] 每个同学都有这样的想法。
[01:33:28] 所以学习，比如说学操作系统
[01:33:30] 我们其实学的是基本的动机
[01:33:34] 为什么需要这个东西，基本的方法
[01:33:36] 里程碑和走过的弯路
[01:33:39] 因为我们就讲这个操作系统
[01:33:41] 所以这其实也是挺迷的
[01:33:43] 我们就是讲怎么样用操作系统支撑起一切了不起的软件
[01:33:48] 当你能实现一切东西的时候，其实也是实现你童年梦想的途径
[01:33:53] 其实我的研究生
[01:33:56] 每一个过来找我的研究生， 我都会问他一个问题是，
[01:33:59] 就你自己最想做一个什么
[01:34:02] 如果你自己最想做一个什么
[01:34:04] 你今天晚上就有机会去做
[01:34:06] 我可能很愿意支持他
[01:34:09] 然后所以我希望大家，这个最后一点点时间
[01:34:12] 也希望大家忘掉你能在过去因为考试的压力
[01:34:16] 所学到的这种reward happy的本能
[01:34:19] 因为你们总会觉得这个东西考试有用的
[01:34:22] 在考试里好多要的，觉得考试是不好的，
[01:34:24] 就是比较觉我觉得，尤其在AI的时代
[01:34:28] 我觉得已经没有什么学不懂的东西了
[01:34:32] 其实所以比起大家来说
[01:34:34] 我现在更痛苦的是我没有时间比你们卷
[01:34:37] 所以你们迟早要会超过我的
[01:34:41] 我觉得再也不需要为了眼前的分数去损失那个更长期的
[01:34:45] 因为你们反正都找不到工作（爆了）
[01:34:48] 然后你们反正都找不到工作的话
[01:34:50] 你们不如把时间用在，
[01:34:52] 你们真正能够做一个有亮点的东西
[01:34:57] 也许反而能够让别人能看到你的价值
[01:35:03] 如果你在AI时代
[01:35:05] 真的你想如果我的这套系统
[01:35:08] 我真的有时间和他coding的话
[01:35:10] 我真的能把我的数字人做出来
[01:35:13] 那我觉得最大的就是这个颠覆性的，我再也不需要上班
[01:35:19] 我希望大家在这个时代里面好好想一想
[01:35:23] 今天的AI，今天的codex，今天的cc
[01:35:27] 到底能做什么？
[01:35:30] 但是最后还有一句话
[01:35:33] 你们今天在操作系统课上
[01:35:36] 我们还是有一个有一个约定
[01:35:39] 你们不能无限制,无节制的只用AI完成作业
[01:35:42] 我们的AIGC的policy
[01:35:45] 你在平时学习辅助的时候
[01:35:47] 你看我现在在给你们上课的时候
[01:35:48] 所有的辅助东西都是AI生成的，这是完全鼓励的
[01:35:51] 但是在你们做实验的时候
[01:35:53] 为了更好的理解操作系统
[01:35:56] 你们禁止直接用AI帮你们做作业
[01:36:01] 你们可以的是，
[01:36:03] 比如说我的作业是告诉你需要用这个操作系统API做这件事，
[01:36:07] 但你不懂，你可以问AI这个API 是怎么用的包括生成它使用的示例
[01:36:11] 但是你只仅局限于这个局部的代码的生成
[01:36:17] 然后你这个代码放到你的作业里和其他的部分怎么交互这些东西
[01:36:24] 我要求的是你手写，但是我没有办法
[01:36:27] 我真的没有办法阻止你使用AI
[01:36:29] 但是这个能力对于你们理解和掌控计算机的软件
[01:36:34] 是很有帮助的，下课
