[00:00:00] 我们先回顾一下我们之前学了什么
[00:46:37] 那就是两四种就是2bit特
[00:46:40] 所以一个88乘以2bit特的几
[00:46:43] 只要几个字节就可以保存
[00:46:45] 保存下来的一个一个图源
[00:46:47] 然后我们的图形是这样描述的
[00:46:50] 我们呃NES要描述的是一个背景
[00:46:55] 是一个背景
[00:46:56] 是是一个背景
[00:46:58] 然后背景是一个很大的
[00:46:59] 就是由规则的块组成的
[00:47:01] 一块一块一块一块一块
[00:47:02] 然后这个会比实际显示的区域要大一点
[00:47:05] 然后以及我们可以告诉我们的
[00:47:08] 那个时候的显卡你可以叫它显卡
[00:47:09] 我们要实际显示的区域其实是这一块
[00:47:12] 这样你就可以看就可以实现
[00:47:14] 像那个super mario brothers那种卷轴的效果
[00:47:17] 卷轴它它只要把这个屏幕从左边向右移
[00:47:21] 然后移到最右边的时候
[00:47:22] 把左边这些贴块给换掉
[00:47:24] 然后再移到最左边
[00:47:25] 就可以做出一个卷轴的动态卷轴的啊效果了
[00:47:29] 这也是为什么这些那个时候的游戏都只能往右
[00:47:31] 不能回头
[00:47:32] 早期的时候后来用了很多的编程的trick
[00:47:35] 实现了本周的啊卷轴的回头
[00:47:37] 然后在这个这个图片的实际的这个绘制区域上
[00:47:41] 我们还可以放很多个8×8的
[00:47:43] 当然这个位置就任意了
[00:47:44] 不像这个必须是规则排列的
[00:47:46] 这个888的小的叫sprite
[00:47:48] 叫精灵
[00:47:49] 叫小精灵
[00:47:50] 一个动态的前景加上一个卷轴的背景
[00:47:53] 就是就是你看到的
[00:47:55] 像比如说我们的塞尔达传说里面的这个
[00:48:00] 所以你看整个界面上面
[00:48:03] 能够变化的东西是不多的
[00:48:06] 你你能够在看到界面上
[00:48:09] 整个变化的东西是不多的
[00:48:10] 但是能够变化的是用这种贴块来贴块来实现的
[00:48:14] 但是你刚才看到了一个全局的动画
[00:48:17] 那个全屏动画你们能猜到是怎么实现的吗
[00:48:20] 换调色板
[00:48:21] 你看到的是它所有的东西都没有变
[00:48:24] 但是它的颜色发生变化了
[00:48:27] 你换一个
[00:48:27] 比如说上一个全黑的调色板
[00:48:29] 它就就变成变成全黑
[00:48:30] 但是你你显示的这些东西是完全没有变的
[00:48:33] 以及这个区域足够大
[00:48:35] 所以你可能可以容纳四帧的动画
[00:48:37] 你可以容纳四帧的动画
[00:48:38] 他就用这样的方式
[00:48:40] 一个非常简单的描述模型
[00:48:42] 来做各种各样神奇的
[00:48:45] 神奇的神奇的编程
[00:48:46] 然后为了在在那个时候省下这一点点的空间
[00:48:51] 甚至啊甚至他们做了这样的一个
[00:48:53] 很有趣的trick
[00:48:54] 你的每一个每一个贴块
[00:48:56] 每一个小精灵
[00:48:57] 它可以它可以在屏幕上的任意的X和Y的位置
[00:49:01] 这是对的
[00:49:01] 人也需要说这个小精灵是哪一个tile
[00:49:04] 它的调色板
[00:49:05] 它的调色板是什么
[00:49:06] 以及它有一个8bit的attribute
[00:49:10] 一个8bit特的属性
[00:49:11] 然后这这里面前有有两位是他选哪一个调色板
[00:49:15] 然后有几位是没有实现的
[00:49:17] 然后他有一个priority
[00:49:18] 相当于是ZZ轴的这个顺序
[00:49:20] 还有两个bit子代表这个水平翻转和垂直翻转
[00:49:26] 然后他就用这个机制做了很多很有意思的
[00:49:29] 变成trick
[00:49:29] 比如说如果你要画一个圆
[00:49:31] 如果你要画一个圆的话
[00:49:33] 你不需要四个tile
[00:49:36] 你只需要一个台
[00:49:37] 然后你把它做一个垂直翻转
[00:49:39] 然后它就变成了这个
[00:49:40] 你再把这两个分别做一个水平翻转
[00:49:43] 相当于做一个水平垂直翻转
[00:49:44] 你就得到了得到了一个圆
[00:49:46] 然后甚至那个你们看到的那个super mario brothers
[00:49:50] 是那个那个碰到就会死的蘑菇
[00:49:52] 那个蘑菇有两只脚
[00:49:53] 然后你你看到蘑菇是在向前走的
[00:49:56] 但是他那个动画并不是
[00:49:59] 并不是真的让他走起来的
[00:50:01] 而是呃蘑菇有两只脚
[00:50:02] 然后那个蘑菇的脚是一只脚会短一点
[00:50:05] 一只脚会长一点
[00:50:07] 然后它通过镜像翻转这两只脚
[00:50:10] 这两个角在两个贴块上
[00:50:12] 然后它可以交换这两个角的位置
[00:50:14] 然后做一个镜像的翻转
[00:50:15] 然后它只有两帧
[00:50:16] 一个两帧的动画
[00:50:17] 然后然后并且让它缓慢的向前移动
[00:50:19] 然后就给你一种他是在往前走的一种一种错觉
[00:50:22] 就是那个时候编程
[00:50:23] 哼编程了很多有趣的嗯有趣的事情
[00:50:27] 你们可以去去B站找一些这个
[00:50:29] 讲早期游戏开发的时候
[00:50:30] 他们是吃各种各样的
[00:50:32] 各种各样的trick
[00:50:34] 那回到图形渲染的本质
[00:50:38] 图形渲染的本质就是我们有一个描述
[00:50:41] 这是一个描述
[00:50:43] 描述那当然描述有很多种方法
[00:50:45] 你可以说也比如说有几个寄存器
[00:50:48] 它有一个这个XY的寄存器
[00:50:50] 比如说XY的寄存器
[00:50:52] 这两个可以在寄存器里
[00:50:53] 然后甚至也可以说是
[00:50:54] 我就把把一部分东西放到内存里
[00:50:56] 比如说我的spread buffer放到内存里
[00:50:58] 然后我可以去读写那块内存
[00:51:00] 做一个内存映射
[00:51:01] 这都是
[00:51:02] 这都是可以的
[00:51:03] 总之你只要描述一个数据结构
[00:51:05] 然后由另外一个硬件专门负责
[00:51:07] 把数据结构变成图形
[00:51:09] 那什么样的东西
[00:51:11] 什么样的硬件可以把一个数据结构
[00:51:15] 也就是一堆数据嘛
[00:51:17] 所谓的任何一个数据结构
[00:51:18] 你都可以也都是在内存里面平坦存储的
[00:51:22] 不管你是寄存器也好
[00:51:23] 内存也好
[00:51:24] 你都可以理解成这个
[00:51:25] 像就你们在做NEMU的时候
[00:51:26] 一个struct CPU state
[00:51:28] 只是这这次不是CPU state了
[00:51:31] 这是struck GPU state
[00:51:32] 一个GPU state
[00:51:33] 然后这GPU set里面有
[00:51:35] 比如说XY或者什么什么什么什么的东西
[00:51:38] 那GPU是什么呢
[00:51:40] GPU就是一个程序
[00:51:42] 它就是一个程序负责把这个state翻译成像素
[00:51:46] 但是它是一个embarrassingly parallel的程序
[00:51:49] 一个NES的GPU
[00:51:51] 它的工作原理大概就是这样的
[00:51:53] 它真的就是这样的
[00:51:54] 它是逐行扫描的
[00:51:56] 相当于是它的这个GPU的内部
[00:51:58] 有一个寄存器叫line
[00:52:00] 当然这是硬件上实现的
[00:52:01] 就是他他们在设计的时候
[00:52:03] 其实不是按照这个思路实现的
[00:52:05] 但他们是在硬件上面说我们有一个寄存器叫line
[00:52:07] 然后这个line是从0~1到一直逐行扫过
[00:52:10] 所有的这个呃部分
[00:52:12] 然后然后等到零零的事情做完才会做才会做
[00:52:16] 一才会做二
[00:52:16] 它是一个设计的时序的逻辑电路
[00:52:19] 然后好像做了这样的一件事儿
[00:52:22] 他有一个并行的
[00:52:24] 我我我这要作弊了
[00:52:25] 我用这个open mp的说
[00:52:27] 哎我好像这些事情都是并行做的
[00:52:30] 然后我可以扫过前台
[00:52:32] 前台的每64个surprise
[00:52:35] 比如说我可以先我先要确定这个
[00:52:37] 当我扫到某个像素的时候
[00:52:38] 我要先确定这个像素它的背景上是什么颜色
[00:52:40] 你只要做一个加法就行了
[00:52:42] 你只要做一个加法
[00:52:43] 就可以取出这个这个这个点上背景是什么颜色
[00:52:47] 然后取完背景是什么颜色以后
[00:52:49] 我就为每一个像素
[00:52:51] 为每一个spread去匹配
[00:52:56] 算出我这个像素上面到底叠了几个surprise
[00:52:59] 然后谁的优先级最高
[00:53:00] 我就取谁的颜色
[00:53:02] 就有点像今天的这个z buffer
[00:53:03] 就有点它一层一层一层一层一层一层的
[00:53:06] 然后你总是能只能看到最上面的一个
[00:53:08] 上面的会覆盖覆盖下面的
[00:53:10] 如果上面一个都没有覆盖
[00:53:11] 比如说我的所有的spread扫完
[00:53:13] 我都都和我当前这个像素没有交叉的话
[00:53:16] 那我就应该显示它背景上面的颜色
[00:53:18] 这样你就实现了图形的
[00:53:20] 图形的组合
[00:53:21] 只不过因为我说啊电路上面的逻辑门是并行的
[00:53:25] 所以你你可以在这里面并行的处理多个像素
[00:53:29] 它也未必是一次就可以处理完一行的像素
[00:53:32] 它可以它可以另外有一个寄存器
[00:53:35] 比如说叫chunk
[00:53:36] 然后你们都都实现过这种计数器的电路
[00:53:38] 对它
[00:53:38] 好像你可以用计数器来实现类似循环的效果
[00:53:41] 我行从0121直往后扫
[00:53:43] 然后我的chunk
[00:53:44] 比如说我把每一行分成十个CHK
[00:53:46] 我就0123456789
[00:53:48] 然后我每一个创客的时候
[00:53:50] 我我就知道我这个创客要要计算
[00:53:52] 比如说20个或者32个像素的值
[00:53:55] 然后我就可以定型的
[00:53:57] 并且计算了在如果你的逻辑是完全确定的
[00:54:01] 写死的我因为我的数据结构就是这样规定的
[00:54:05] 我逻辑是写死的
[00:54:06] 所以我可以理论上说
[00:54:08] 可以把这部分计算固化成电路
[00:54:10] 诶
[00:54:11] 你看这个想法一直都在反复的出现
[00:54:14] 比如说矿卡对不对
[00:54:15] 如果你能意识到
[00:54:16] 你看1983年那个NS的时候
[00:54:18] 我们做的这件事
[00:54:19] 在那个比特币热潮的时候
[00:54:22] 你就会想
[00:54:22] 我们应该把这个hash的部分固化到电路里
[00:54:26] 然后你可能就发大财了
[00:54:27] 这就是早期的pp
[00:54:29] 你你用你用这样的固定的电路来实现并行化
[00:54:35] 然后把画图这件事情
[00:54:37] 从CPU里面彻底给啊解脱出来
[00:54:40] 然后在这一个呃过程过程当中
[00:54:43] 呃游戏产业经历了长足的发展
[00:54:46] 这也很呃这也很很自然
[00:54:49] 因为娱乐就是我们的呃天性
[00:54:52] 所以所以在NES火了以后
[00:54:55] 他挣了大把的钱
[00:54:56] 他挣了大把钱以后
[00:54:57] 他就可以去雇世界上最好的工程师
[00:55:00] 软件的硬件的
[00:55:01] 然后去开发下一代的产品
[00:55:03] 因为对你来说
[00:55:04] 图形处理器
[00:55:06] 他做的事情是把一个数据结构变成一幅图像
[00:55:10] 没有人规定我们的数据结构一定要是这样的
[00:55:13] 一定要是一个这个快快紧密排好的背景
[00:55:18] 加上64个前景的块块
[00:55:21] 没有人规定一定要是这样的
[00:55:23] 任何的数据结构的描述都是可以的
[00:55:25] 只要你的CPU有足够的算力
[00:55:27] 能够生成一个这样的描述
[00:55:28] 在一个一帧的时间里面生成一个描述
[00:55:30] 第二你有一个好的硬件
[00:55:32] 可以把这个描述变成真正的图片
[00:55:34] 这就可以
[00:55:35] 所以你们马上就想到的是
[00:55:37] 你如果我们的CPU和GPU都发展了
[00:55:41] 我们可以不要再用固定大小的块块了
[00:55:44] 而是我可以用一个真正的贴图
[00:55:47] 有一个贴图
[00:55:48] 然后我这个贴图甚至是我可以对它
[00:55:50] 因为它有四个点嘛
[00:55:52] 我可以给他做一个线性变换
[00:55:54] 你就想象想象这一块贴图是一个那种黏黏的
[00:55:57] 有弹性的一小一一小张纸
[00:55:59] 然后你你揪着这个角
[00:56:01] 你不就把那个纸给拉大了吗
[00:56:02] 拉大以后你的这个像素不就全部都是相应的
[00:56:06] 也也跟着一起拉了吗
[00:56:08] 然后我可以把这个像素
[00:56:09] 把任何一个贴图放大缩小裁剪
[00:56:12] 然后拼到我的画布上
[00:56:14] 这不也是一个这不也是一个非常合理
[00:56:18] 非常非常合理的数据结构的描述
[00:56:20] 对图形的描述
[00:56:21] 我我不再是描述描述这样了
[00:56:24] 而是我说我有一个beat map
[00:56:26] 然后我要把这个beat map怎么样移到屏幕的X1
[00:56:29] Y1X2Y二
[00:56:33] 比如说移到起点
[00:56:36] 然后这是他的左上角
[00:56:38] 右上角
[00:56:39] 然后还可以X3Y3X4Y4
[00:56:43] 当然实际设计的时候不是这样的
[00:56:45] 我只是方便大家理解
[00:56:46] 你我我我就是把嗯ROM里面的bit特map锦衣
[00:56:51] number one要画的贴到屏幕上什么位置
[00:56:53] 然后bit map number two要贴到什么位置
[00:56:56] 然后按照这个顺序推
[00:56:58] 这也是一个massive parallel的这种问题
[00:57:00] 你可以对于每一个像素去迭代过每一个beat map
[00:57:03] 然后找到呃我对应的颜色
[00:57:05] 最上面的那个的颜色
[00:57:06] 然后你就可以把啊图形画出来
[00:57:08] 然后在那个时候就是在
[00:57:10] 即便是这样所谓的2D图形引擎
[00:57:12] 这是一个完全2D的二维的图形引擎
[00:57:15] 他们都能玩出各种各样的花
[00:57:17] 当然本来这样的2D图形引擎是为了设计
[00:57:20] 和实现这个2D就是比如说卷轴
[00:57:26] 马里奥
[00:57:27] 这什么金币这些二维二维的
[00:57:30] 图图形的
[00:57:31] 但是
[00:57:35] 哎看到刚才那个动画了吗
[00:57:37] 刚才那个动画就是我可以把它拉伸
[00:57:40] 我有个logo
[00:57:41] 我有个logo
[00:57:42] 然后把这个logo放大
[00:57:43] 就有了刚才的那个放大的放大特效
[00:57:48] 然后他还有一些其他的处理的流程
[00:57:50] 可以实现这个模糊的效果
[00:57:53] 你发现这是一个3D的
[00:57:59] 这是一个3D游戏
[00:58:04] 但是这个3D实际上是用二维模拟出来的
[00:58:07] 他把这个他只要把这个矩形往往这个地方挤压
[00:58:12] 往这个地方挤压
[00:58:13] 它就可以用2D模拟出3D
[00:58:16] 然后你看到他的这个3D的贴图是有点不对的
[00:58:19] 你你你在这里看出来有点不对
[00:58:21] 就是就是因为它其实没有深度的信息
[00:58:24] 他只是强行把它挤压成了这个样子
[00:58:26] 所以它不能转的
[00:58:27] 不能转的再大一点
[00:58:28] 它再大就要穿帮了
[00:58:31] 但是当你看到这个游戏
[00:58:32] 真实运行起来的效果的时候
[00:58:34] 呃你确实发现
[00:58:39] 还是做的很酷的
[00:58:40] 你看他把它旋转了旋转
[00:58:47] 你很难想象
[00:58:48] 我们竟然可以用这样一张一张图片的方式
[00:58:51] 贴出一个3D的游戏
[00:58:53] 当然在这个世界里面
[00:58:54] 当然其实他算好了整个三维世界的三维坐标
[00:58:57] 然但是最后它依然是用这个二维贴图的方式
[00:59:00] 把它硬生生地贴成了3D的样子
[00:59:02] 然后它可以让背景
[00:59:03] 你看它就相当于是背景的部分
[00:59:05] 它随着镜头的移动
[00:59:06] 它就会小一些
[00:59:07] 前景随着镜头移动就会啊就就会大一些
[00:59:12] Game boy advance
[00:59:13] 一个一个掌机
[00:59:14] 一个掌机上的非常有代表性的游戏对
[00:59:19] 所以啊所以啊本质上如果你要画图形
[00:59:22] 没什么难的
[00:59:24] 画图形无非就是你要定义好一个好的描述
[00:59:28] 描述方式或者一个描述语言
[00:59:32] 一个描述语言
[00:59:32] 然后这个描述的语言
[00:59:34] 可以帮助你构建一个游戏世界里面的场景
[00:59:38] 然后从2D到3D其实也很自然的
[00:59:40] 像你们知道像这种拉伸旋转都是线性变化
[00:59:43] 但是平移不是平移不是也不要紧
[00:59:46] 你可以给它加一个维度
[00:59:48] 变成齐次坐标系
[00:59:49] 这个这个这个trick你们应该讲过吧
[00:59:51] 这是一个XYZ
[00:59:53] 你在它三维的世界
[00:59:54] 你把三维的物体放到四维的空间里面
[00:59:57] 所有东西都变线性
[00:59:59] 就二维的东西
[01:00:00] 二维等你二维二维里面的一个一一个形状
[01:00:04] 所有的点的一个呃一个集合
[01:00:06] 你你没有办法成一个二维的呃矩阵
[01:00:09] 让它实现一个平移
[01:00:10] 你只能旋转拉伸这些
[01:00:12] 但是你把它放到三维三维空间里
[01:00:15] 给它加一个一的坐标
[01:00:16] 你就你就可以了
[01:00:17] 因为因为你可以构造这样的一个矩阵
[01:00:19] 然后这一行是000
[01:00:21] 然后这这这里面有任何一个T
[01:00:23] 然后你这一行乘以这一列的时候
[01:00:25] 它这这三个就消掉了
[01:00:27] 然后这个这边这边就变成了T
[01:00:31] 然后其他的这个变换都可以写在写写
[01:00:33] 写在这里
[01:00:34] 依然你依然可以做一个线性变换
[01:00:35] 然后你就可以用乘一个矩阵
[01:00:38] 乘一个4×4矩阵的方式
[01:00:40] 去实现三维世界里面的一切变化
[01:00:43] 你只需要在三维空间里面用XYZ去描述顶点
[01:00:48] 描述面
[01:00:49] 然后用刚才我们看到的那种方式
[01:00:50] 去描述一个贴图
[01:00:52] 然后描述光照
[01:00:53] 描述各种东西
[01:00:53] 你总之你都是描述描述完了以后
[01:00:56] 你有一个定义好的过程
[01:00:58] 会把这个描述变成一个你看到的3D3D世界
[01:01:02] 比如说一个像相机的投影
[01:01:04] 你在这个齐次坐标底下就是啊啊就是现行的
[01:01:08] 甚至啊甚至啊在非常非常早期的时候
[01:01:11] 你哪怕没有就是你哪怕没有贴图
[01:01:14] 你依然是可以做出这个3D的效果的
[01:01:16] 你只要做这个四呃4×4矩阵的运算
[01:01:20] 你就可以自己你真的就自己就可以
[01:01:23] 甚甚至我完全觉得你们上高中的时候
[01:01:25] 你们自己就可以实现一个这样的三维的引擎
[01:01:29] 因为这是线性代数的呵
[01:01:31] 呃基本的知识
[01:01:32] 你你你什么叫摄摄像机平移
[01:01:34] 什么叫摄像机旋转
[01:01:35] 让哪里平移
[01:01:36] 让哪里旋转
[01:01:37] 只要你有一些这个具体的像坦克的模型
[01:01:40] 飞机的模型
[01:01:40] 你就可以真的做一个啊3D的游戏
[01:01:44] 好当然了
[01:01:45] 从2D到3D
[01:01:48] 这是一个非常跨度非常大的大的变化
[01:01:50] 刚才我们说说
[01:01:52] 为什么那个呃游戏看起来有些时候会失真
[01:01:56] 就是因为当如果我们用一个非常
[01:01:59] 过度简化的方式
[01:02:01] 去把这样的一个贴图变成一个三角形的时候
[01:02:05] 或者变成一个梯形的时候
[01:02:07] 变成一个梯形的时候
[01:02:08] 那如果你就是捏着这两个东西
[01:02:11] 往往这挤它就被挤
[01:02:14] 这就被挤进去了
[01:02:15] 就被挤进去了
[01:02:16] 但是实际上这个透视效果是因为你的深度
[01:02:19] 导致的
[01:02:19] 是因为你你实际上是把这个纸
[01:02:22] 你你看起来像梯形
[01:02:24] 实际上是因为你把这个东西往后放了
[01:02:26] 往后放有一个近大远小的效果
[01:02:28] 所以你你会看到一个啊梯形的效果
[01:02:31] 但是如果你没有深度的信息的话
[01:02:33] 你你就没有办法复原出你
[01:02:35] 你就不知道我是把它挤进去的
[01:02:37] 还是因为深度把它
[01:02:39] 把它把它放下去了
[01:02:41] 所以所以所以需要很多的技术在在
[01:02:44] 就是就是因为游戏和这个动画的产产业
[01:02:48] 就是电影产业
[01:02:49] 对图形极致图形的需求
[01:02:52] 我们有了这个啊这样各种各样好玩的
[01:02:56] 好玩的技术
[01:02:58] 然后然后最重要的一件事
[01:03:01] 或者最重要的一个想法
[01:03:03] 对你们来说都太自然了
[01:03:04] 我们这是一个描述
[01:03:06] 当我们说NES的那个呃PPU的时候
[01:03:09] 它就是一个小的数据结构
[01:03:12] 它就是你你们会把它理解成是一个
[01:03:15] 它叫一个structure
[01:03:16] 这个struct sprite
[01:03:18] S比如说64好像你的
[01:03:22] 就是这就是我们PU里面的东西
[01:03:24] 然后PPU会执行一个固定的渲染流程
[01:03:27] 去把把图形给画出来
[01:03:29] 但是随着你要画的东西越来越复杂的时候
[01:03:33] 你就想一件事儿
[01:03:34] 我们能不能不再是做数据结构
[01:03:37] 而是直接有一个编程语言呢
[01:03:41] 因为反正因为反正都是描述了
[01:03:44] 我用这种方式来描述
[01:03:46] 和我写一段程序来描述
[01:03:48] 他帮我编译了以后
[01:03:49] 在我的GPU上并行的执行
[01:03:51] 有什么本质上做不到的呢
[01:03:53] 因为随着那个时候的图
[01:03:54] 图形处理器已经越来越复杂
[01:03:56] 要做矩阵的乘法
[01:03:57] 要要处理贴图
[01:03:59] 要要干很多的事情
[01:04:00] 它已经非常接近一个通用的通用的处理器了
[01:04:02] 只是它的并行度会比
[01:04:04] 通用的处理器要更更高一些好
[01:04:07] 所以就有了一个呃非常重要的概念
[01:04:09] 叫SHADER
[01:04:10] 叫着色器
[01:04:11] 所以这个名字也起的非常有时代的呵的特点
[01:04:14] 就是他们在图形渲染管线当中
[01:04:17] 发明的发明的东西
[01:04:19] 然后所谓的vertex shader就是说哈
[01:04:21] 比如说这个spread
[01:04:23] spread spread本来是一个主read in thread是XY
[01:04:29] 然后还有一些其他的其他信息
[01:04:31] 然后VERTECSHADER说是好
[01:04:33] 我们有一个VERVERTERSHADER
[01:04:35] 它就是一个程序P
[01:04:36] 或者你就理解成一个叫叫t vertex
[01:04:39] 这个t vertex会接收所有的vertex
[01:04:43] 或者有一个匹配的过程
[01:04:45] 哪些vertex它会接收所有的vertex
[01:04:47] 然后我我允许你修改
[01:04:49] 然后然后这个程序里面我有一条指令
[01:04:51] 比如说是this点X的赋值和this点Y的赋值
[01:04:56] 当然它也可以改其他的其他的信息
[01:04:59] 比如说顶点的颜色等等
[01:05:01] 诶这就这就意味着什么呢
[01:05:03] 我我可以先用CPU
[01:05:05] 构造出一个这样的基础的场景
[01:05:08] 你把这个程序要烧到
[01:05:09] 当然一般来说是是事先写
[01:05:11] 要经过一个编译的过程
[01:05:12] 呃烧到烧到GPU里
[01:05:14] 然后你的显卡在每看到一个顶点的时候
[01:05:18] 都会执行一个一段固定的程序
[01:05:20] 然后把这个顶点改掉
[01:05:21] 这可以用来实现什么killer application呢
[01:05:24] 因为你可以改顶点的坐标
[01:05:26] 你就可以实现顶点非常轻微的扭动
[01:05:30] 轻微的改动
[01:05:31] 然后这个改动可以实现
[01:05:33] 比如说水面的波纹
[01:05:34] 比如说毛发的摆动
[01:05:35] 本来这些东西是要在CPU里算的
[01:05:38] 但是因为你的头发很多
[01:05:39] 毛发很多
[01:05:40] 你的水面的波纹你还要算很多
[01:05:42] 但因为又是因为每一个顶点
[01:05:44] 你都是做相同的事情
[01:05:46] 你就去就决定跟你
[01:05:48] 就跟那个manner broth set一样
[01:05:50] 水面的波纹本质上和manner broth set一样
[01:05:52] 你有一个T
[01:05:53] 然后你你根据那个当前你你的坐标点
[01:05:56] 在整个水面的那个位置
[01:05:59] 以及可能上一个时刻你的水面的状态
[01:06:01] 你有一个波的方程
[01:06:03] 就跟manner broth set一样
[01:06:04] 你用这个VERTISSHADER程序
[01:06:06] 就可以改变这个点的坐标
[01:06:07] 然后你可以在CPU
[01:06:09] 不占用任何CPU的情况下
[01:06:11] 实现这个水波纹的效果
[01:06:13] Verity shader
[01:06:14] 所以所以这是他的key application
[01:06:16] 然后后来大家发现你光改顶点可以
[01:06:19] 那我能不能再做一个叫比如说像pixel shader
[01:06:22] 我每一个像素我等等
[01:06:24] 我这个word shader运行完了以后
[01:06:26] 我在每给每一个像素做一个后处理呢
[01:06:29] 哎我不知道你们有没有喜欢摄影的同学
[01:06:31] 就是你们如果用呃用专业模式
[01:06:34] 比如说你用你们相机的专业模式
[01:06:36] 拍出来那种ROG是所谓的ROG
[01:06:39] 所以raw格式的呃照片
[01:06:41] 然后那个roll格式的照片你看起来是灰蒙蒙的
[01:06:44] 因为在你的显示器上看起来是灰蒙蒙的
[01:06:46] 因为这个ROG是基本上是记录了
[01:06:47] 那个原始的传感器上面收到的那个光子的信息
[01:06:51] 它有它有红绿蓝三个绿光滤光片
[01:06:54] 然后绿了以后
[01:06:55] 你你可以你可以收到红绿蓝三色的光子的信
[01:06:57] 就收到大概是但那个收到多少光子
[01:07:00] 然后你为了把它变成人眼讨喜的呃方式
[01:07:05] 你们你们都喜欢在相机里面
[01:07:08] 比如说我现在对着大家呃可以拍一张
[01:07:11] 比如说啊我之前拍一张照片好
[01:07:14] 这个是然后我现在可以编辑这个
[01:07:17] 编辑这个照片
[01:07:18] 然后然后比如说
[01:07:20] 比如说嗯比如说我可以调整它的曝光
[01:07:23] 我可以让整个东西变亮和变暗
[01:07:26] 然后这其实就是一个对于每一个像素
[01:07:30] 每一个像素等到verd vertex顶点处理完了以后
[01:07:35] 我有pixels
[01:07:37] 那就是XYRGB
[01:07:41] 当然是肯定是要等到我的vertex shader执行完
[01:07:44] 就是顶点都算好了以后
[01:07:45] 他才会去着色
[01:07:46] 等它着色
[01:07:47] 着完了以后
[01:07:48] 我可以在着色上面再加入一个程序
[01:07:51] 然后然后这个程序就输入XYIGB
[01:07:53] 比如说我可以做的是R等于R乘以0.9
[01:07:58] G等于G乘以0.9等等等
[01:08:02] 你也可以
[01:08:03] 专业的同学
[01:08:04] 比如说你们会用light room调颜色的同学
[01:08:06] 你们会做一个蒙版
[01:08:07] 会做一个mask
[01:08:08] 然后你只对那个mask里面
[01:08:10] 你可以写一个程序叫if什么
[01:08:12] 它在mask里
[01:08:13] 你把这个mask调亮调暗
[01:08:15] 所有的你对照片的操作都是这样的
[01:08:19] 数值型的运算
[01:08:20] 不管你是拉高亮部
[01:08:22] 暗部
[01:08:22] 它都是相应的有一个数值型的公式来
[01:08:26] 来计算的
[01:08:26] 这就是fragment shader或者pixel shader干的事
[01:08:29] 它可以为每一个像素去修改它的颜色值
[01:08:31] 你可以调亮一点
[01:08:32] 调暗一点
[01:08:33] 然后呃你看你看起来觉得
[01:08:35] 那这就是就是做照片的P的处理
[01:08:38] 但其实不是的
[01:08:39] 它他可以干很多疯狂的事情
[01:08:41] 比如说他可以做一件事情
[01:08:42] 叫法线贴图
[01:08:43] 法线贴图是什么意思呢
[01:08:45] 我这里有一个有一个墙
[01:08:47] 一面墙
[01:08:48] 然后一面墙如果你要真实的模拟它的凹凸的话
[01:08:53] 呃比如一面砖头墙
[01:08:54] 或者就是那个门外的那个那个瓷砖砌的墙
[01:08:57] 这个瓷砖砌的墙是有缝的
[01:08:59] 它是一块一块砖
[01:09:00] 然后它是有缝的
[01:09:01] 然后这个缝是凹下去的
[01:09:03] 然后这个砖是凸出来的
[01:09:05] 然后你为了精确的描述这个几何特征
[01:09:07] 你需要就需要非常非常多的三角形
[01:09:10] 然后显可显存是扛不住的
[01:09:12] 但是你可以骗他
[01:09:13] 你可以骗他
[01:09:14] 你可以骗他
[01:09:14] 骗的时候是说好
[01:09:16] 你可以为每一个这个
[01:09:18] 每个像素都给它一个光反射的法线
[01:09:22] 发现就说哈如果光来了
[01:09:24] 它的反射的情况是什么样的
[01:09:26] 然后骗他
[01:09:27] 相当于就骗他
[01:09:28] 然后骗了以后呢
[01:09:29] 我在这个pixel shader里面
[01:09:31] fragment shader里面
[01:09:32] 我就根据这个法线的情况
[01:09:33] 根据光照和这个法线的夹角
[01:09:36] 你可以做一个inner product
[01:09:37] 然后你可以根据这个光线和法线的夹角去算出
[01:09:40] 我这光照到底是应该变强还是应该变弱
[01:09:42] 然后你就可以有
[01:09:43] 你看如果没有这个呃呃呃法线贴图的话
[01:09:47] 你看到左边就是一个平
[01:09:49] 就相当于一张纸
[01:09:50] 一个砖
[01:09:51] 你那个砖头墙我给他拍张照片
[01:09:52] 然后拍张照片以后
[01:09:53] 我把这张纸贴在贴在这儿
[01:09:55] 然后把这张纸移过来
[01:09:56] 给这张纸打光
[01:09:57] 你看到就是比较平面的效果
[01:09:59] 但是如果我有这个法线
[01:10:01] 我就可以在不增加任何多边形的情况下
[01:10:04] 没有增加任何多边形的情况下
[01:10:06] 我就可以有这种看起来非常真实的打光感
[01:10:09] 这光线打过来以后
[01:10:10] 你的因为有些地它的法线不一样
[01:10:12] 这个缝合这个呃面的法线不一样
[01:10:16] 所以所以它受到的光也不一样
[01:10:17] 就有这种非常真实的立体效果
[01:10:19] 当然你不能就你远看它基本上不穿帮
[01:10:21] 你近看它还是穿帮的
[01:10:23] 近看以后他的那个细微的那个细微的那种
[01:10:27] 就是就是因为
[01:10:28] 如果你真的非常近的去凑到那个瓷砖
[01:10:30] 那你可以看到那个凸的东西
[01:10:32] 会遮挡那个凹的部分
[01:10:34] 然后但这个东西法线是反反映不出来的是吧
[01:10:36] 它只能在打光上面骗你
[01:10:37] 所以所以远景上面
