[00:00:00] 上一节课我们讲了文件系统增删改
[00:48:51] 现在你你在你在本地复制了一份LINUX内核
[00:48:56] 然后这可能是你10年前复制的
[00:48:58] 然后10年前复制的时候
[00:48:59] 你已你在十在10年的过程中
[00:49:02] LINUX内核已经发生了翻天覆地的变化
[00:49:04] 你已经不可能跟它合并了
[00:49:06] 因为你也改了
[00:49:07] 他也改了
[00:49:07] 然你要解决所有的冲突
[00:49:08] 这这是不可能的
[00:49:10] 但是比如说LINUX内核里面有一个地方
[00:49:13] 给一个很老的代码打了一个安全补丁
[00:49:17] 这个安全补丁跟你是没有冲突的
[00:49:19] 你就把想把他拉过来
[00:49:21] 你就可以用git cherry pc
[00:49:23] 然后所以本质上你你可以这样想
[00:49:24] 你的任何一个提交
[00:49:26] 比如说一个呃从A到B的提交
[00:49:29] 它都是都是一个def
[00:49:32] 你从a apply一个ab的DF就到了B
[00:49:35] 你可以你可以这样看
[00:49:37] 你可以想A是一个tb
[00:49:38] 是一个tree
[00:49:38] 你可以你你可以记住A和AB之间的DF
[00:49:41] 然后你就可以把AB之间的DF给CHIPC过来
[00:49:44] 跳过了
[00:49:45] 然后呢我们怎么做一个REBASE呢
[00:49:47] 怎么做一个REBASE呢
[00:49:48] REBASE是这样的
[00:49:50] 我我的rebase
[00:49:51] 如果我要在这儿啊啊我我空间不够了
[00:49:54] 我画的不是不是特别的准确
[00:49:56] 呃我这样画
[00:49:58] AB好
[00:50:00] 这个叫德尔塔一
[00:50:01] 这个叫德尔塔二
[00:50:03] 那REBASE做的事情是先把C和D复制复制过来
[00:50:07] 先把C和D复制过来
[00:50:09] 然后他在这个状态上试图去cherry pick
[00:50:13] 从main到A的这个德尔塔DE
[00:50:15] 然后他会得到一个A撇
[00:50:17] 就好像是这个地方是一个补丁
[00:50:20] 你你修那个feature
[00:50:21] 如果他们都不冲突的话
[00:50:22] 诶
[00:50:23] 比如说C和D改了
[00:50:24] 改的文件和main和A之间改的文件就不是同一个
[00:50:27] OK那这个德尔塔就可以直接派出过来
[00:50:30] 它就它就replace德尔塔一就得到A撇
[00:50:34] 然后再replace德尔塔二就得到B撇
[00:50:37] 然后他就得到了一个
[00:50:39] 那这个就没有了
[00:50:40] 这个就没有了
[00:50:40] 得到一个什么假象呢
[00:50:42] 你在本地的时候
[00:50:43] 你你开发的是A和B
[00:50:45] 也就是你写的是德尔塔一和德尔塔二
[00:50:48] 然后在远端的时候
[00:50:49] 你看到的C和D
[00:50:50] 然后你他是把远端的插到你的前面去
[00:50:53] 就好像是虽然是你们俩是并并发并行开发的
[00:50:57] 但是好像是C和D语言
[00:50:58] 别人先做完
[00:50:59] 你在他的那个基础上接着做的
[00:51:01] 这样你就可以省掉一个那个呃merge的commit
[00:51:06] 把这个东西接到接到上来了
[00:51:08] 但这个机制是是你要慎用的
[00:51:10] 就如果你本地的那个提提交和和对面没有冲突
[00:51:14] 比如说改了不同的文件
[00:51:15] 基本上是没有
[00:51:16] REBASE是没有问题的
[00:51:18] 也可以设置
[00:51:18] 一般来讲我也是把REBASE设成我的merge的default
[00:51:22] 但是如果一旦CHAIRPC的发生冲突
[00:51:26] 基本上就要放弃REBASE
[00:51:28] 你就还是得merge merge
[00:51:30] 因而且你会发现的是
[00:51:31] 他每一个都是replace德尔塔
[00:51:33] 所以你可能resolve了这个冲突以后
[00:51:35] 你下一个又冲突了
[00:51:36] 然后如果你的两条线它打位置时间比较长的话
[00:51:39] 你就会会会变得非常非常痛苦
[00:51:42] 极度痛苦对
[00:51:43] 而且即便这个auto rebase它成功了
[00:51:46] 也可能隐藏这个逻辑的冲突
[00:51:48] 你还得回过头来看这个的地步
[00:51:50] 最好你要review这个地方
[00:51:52] 再review这个地府
[00:51:53] 再review这个地
[00:51:54] 这三个地府你最好都要都要review一下
[00:51:57] 确保它没有在自动合并的时候发生
[00:51:59] 你不想要的要的事情
[00:52:00] 对rebase reverse是一个非常危险的
[00:52:04] 危险的操作
[00:52:05] 好嗯很好
[00:52:06] 这就是git
[00:52:07] 基本上你你嗯你就已经超过
[00:52:11] 就知道这些
[00:52:11] 基本上已经超过90%的git的用户了
[00:52:15] 应该然后我在准备这个幻灯片的时候
[00:52:17] 我惊人的发现历史总是在重演
[00:52:20] 然后git
[00:52:21] 刚才我们说git是一个persistent data structure
[00:52:23] 它是为单线程设计的
[00:52:26] 也就是说它假设你的开发者就一次做一件事
[00:52:29] 还记得那个UNIX吗
[00:52:31] UNIX我们说最开始的它就是进程模型
[00:52:34] 没有线程
[00:52:35] 然后那只有操作系统里面有共享的状态
[00:52:37] 一个进程里面它就是一个执行流
[00:52:39] 然后当我们一个进程变成线程
[00:52:42] 引入了peace read的时候
[00:52:43] 我就打开了个魔鬼的盒子
[00:52:45] 我花了那么多多节课讲并发
[00:52:47] 讲并发bug
[00:52:48] 讲并发bug应该怎么应对
[00:52:51] OK就是为了把进程模型变成线程模型
[00:52:55] 然后git也是一个很像是UNIX单进程的模型
[00:52:59] 它只有一个工作区
[00:53:01] 一个head
[00:53:02] 你在本地工作的时候
[00:53:03] 你是一个线性的commit
[00:53:05] 你们自己不自知
[00:53:06] 你们的在做实验的时候
[00:53:08] 每一次make的时候都是在线性的往后加一个
[00:53:10] 往后加一个
[00:53:10] 往后加一个
[00:53:11] 然后直到你比如说你需要跟别人同步的时候
[00:53:13] 你才和别人merge一下
[00:53:15] 大部分时候这个模型都工作的很好
[00:53:17] 但是一旦你开始从单线程变成多线程的时候
[00:53:22] 事情就麻烦了
[00:53:24] 你你可以这样想
[00:53:26] 如果我现在正在正在一个分支上面工作
[00:53:28] 呃比如说我现在修到一半
[00:53:30] 修到一半
[00:53:31] 突然老板给我打电话说哎呀你你现在做做做事
[00:53:34] 不要干了
[00:53:35] 你切换到另外一个feature分支上去
[00:53:38] 把那个上面一个高危漏洞给修了好
[00:53:40] 那我我应该怎么办呢
[00:53:41] 我应该stash
[00:53:43] 我现在我现在做到一半的事情
[00:53:44] 我不能commit it
[00:53:45] 我我得stashstash变成一个stash好
[00:53:47] 然后我再上做一个上下文切换
[00:53:49] 我check out到那个那个分支上诶
[00:53:52] 你有没有感觉到开始并发了
[00:53:54] 因为我做了一半的东西被保存下来了
[00:53:57] 然后我切换到另一个地方工作
[00:53:59] 然后这时候我又做了一半
[00:54:01] 老板又打电话了
[00:54:02] 说你有一个我有个更高优先级的bug需要你修
[00:54:06] 那我就没办法
[00:54:07] 我再试再试
[00:54:08] 然后你发现这个stash是一个stack
[00:54:11] 它是一个线性的step
[00:54:13] 然后你发现它的设计在设计之初
[00:54:16] 就没有让你多线程工作
[00:54:18] 所以当你一定要多线程工作的时候
[00:54:20] 你会有一个呃sth hill
[00:54:22] 虽然还好
[00:54:22] 这个一般来说从人道主义的角度考虑
[00:54:25] 那老板一般不会做这么过分的事
[00:54:27] 所以你一般有个两个stash
[00:54:29] 那就同时MULTITAS两个事情
[00:54:31] 你可能还能管得过来
[00:54:32] 我觉得LINUX当年在设计这些的时候
[00:54:34] 应该是这样想的
[00:54:35] 但是但是但是呃在IJTICAI的时代又变了
[00:54:41] 当我可以有一下子放一大堆agent
[00:54:45] 在同一个项目的时候
[00:54:46] 在同一个机器上的时候
[00:54:48] 诶又变得麻烦了
[00:54:50] 当然我总是有个办法
[00:54:51] 就是我可以以进程的方式
[00:54:52] 我可以复制这个git repository好多份
[00:54:56] 我可以复制get repository
[00:54:58] 然后你们再分别工作
[00:54:59] 然后你再嗯你去GITHUB上面做同步
[00:55:02] 这这肯定是可以的
[00:55:03] 但是在2015年的时候
[00:55:04] 就为了解决这个
[00:55:06] 有multitasking的需求
[00:55:07] git做了一个很有趣的呃机制
[00:55:10] 叫做worktree
[00:55:11] Walk tree
[00:55:12] 还记得吗
[00:55:13] 我们说是PERCEL
[00:55:14] 我把它擦掉了
[00:55:14] Persistent data structure
[00:55:16] 所有的一切历史都是留着的
[00:55:18] 甚至比如说我在这里可以有一个哎算了
[00:55:21] 甚至我在这里可以有一个git
[00:55:24] 有个git reflog
[00:55:26] 就是除了你就你的git
[00:55:28] 比如说你git reset杠hard
[00:55:29] 那你你你那些没有ADD的那些东西就丢了
[00:55:33] 但是其他所有的东西
[00:55:35] 因为它是persistent data structure
[00:55:36] 所有的对象都留在文件系统里
[00:55:38] 只要你不做gt gg c
[00:55:40] 你哪怕有一个commit被
[00:55:42] 就是你你commit是一个孤没有任何引用的commit
[00:55:46] 这种你你把它整个都弄弄坏了
[00:55:48] 因为它是persistent data structure
[00:55:50] 你的tree object
[00:55:51] 你的blog object都实际上都在文件系统里
[00:55:53] 只要你不举行
[00:55:54] 都可以捞回来
[00:55:55] 然后你可以在这个git rap log里面
[00:55:57] 找到所有的历史
[00:55:59] 所以既然这是一个persistent data structure
[00:56:01] 我们为什么不能把数直接复制一份呢
[00:56:05] 没有道理
[00:56:06] 不能让我们把这个整个git repository
[00:56:08] 假装复制一份
[00:56:10] 因为复制是没有代价的
[00:56:11] 我是永远我是永远不修改的
[00:56:13] 所以我复制一个指
[00:56:14] 就只要只是一个指针指着这个位置就可以了
[00:56:16] 所以就有了get the worktree
[00:56:18] 所以你看
[00:56:19] 我如果现在
[00:56:20] 现在我在这个目录里
[00:56:21] 然后我现在我可以这样做
[00:56:22] 这样get worktree ADD
[00:56:26] 当然我现在ADD的时候
[00:56:27] 我就得得再换一个目录了
[00:56:28] 比如说我要换到它
[00:56:29] 它点点下面的
[00:56:31] 我要起一个分支的名字
[00:56:32] 比如说hot fix
[00:56:34] 我我被老板要求要hot fix
[00:56:36] 然后在这个时候我就可以创建一个git的
[00:56:40] worktree好
[00:56:42] 这时候我就有一个hot fix
[00:56:47] 我得有一个点点git
[00:56:49] 然后但这个点git
[00:56:51] 你你有发现有点不太对劲吗
[00:56:53] 它不是一个目录
[00:56:55] 刚才那个点get的是一个目录
[00:56:57] 就是那个原始的那个git是一个目录
[00:57:00] 目录目录里面有objects
[00:57:01] 就是就是那个persistent data structure
[00:57:03] 就存在那个目录里
[00:57:04] 但WALTREE不是的
[00:57:05] Walk tree
[00:57:06] 我可以直接cat它
[00:57:08] 所以你看又是一样的设计
[00:57:10] 跟那个什么head对吧一样
[00:57:12] 他head说是我是个reference
[00:57:13] 指向了某一个东西好
[00:57:14] 他说这个点可以说这是一个git的目录
[00:57:17] 实际上是是这个东西
[00:57:19] 那这个是什么呢
[00:57:21] 我也可以CD进来
[00:57:23] 这是你看到他是在这个worktrees下的
[00:57:26] 我的真实的点git worktree下的how to fix
[00:57:30] 一堆指针
[00:57:32] 没有object
[00:57:33] 它不需要成object
[00:57:34] 因为是persistent data structure
[00:57:36] 所有东西都是指针就可以了
[00:57:37] 所以我只要有一个head
[00:57:40] 指向一个合法的had
[00:57:42] Had
[00:57:42] 再指向一个合法的commit
[00:57:44] 这件事情就搞定了
[00:57:45] 这是president dr带来的一个免翻全免费的呃feature
[00:57:49] 当然当时是为了解决
[00:57:51] 这个老板不停的给我打电话的
[00:57:52] 这样的这样的需求
[00:57:54] 但是今天WORKY就成了这个agent特时代的一个
[00:57:58] 非常标准的标准的特性
[00:58:02] 这时候你会发现你们学那个SCP里面讲
[00:58:05] 那些functional programming的含金量还在上升
[00:58:09] OK历史总在重演好
[00:58:12] 那我git部分我就讲完了
[00:58:13] 你们用得到的feature
[00:58:14] 基本上都都有一个基本概念了
[00:58:17] 然后你用不到的feature
[00:58:18] 也可以在这个基本概念上再去
[00:58:21] 向AI询问了
[00:58:22] 那你接下来想
[00:58:23] 如果git是一个persistent data structure
[00:58:26] persistent data stru这么好
[00:58:28] 我们能不能把文件系统整个就搞成persistent
[00:58:31] data structure呢
[00:58:32] 没有道理
[00:58:33] 不能哎
[00:58:35] 所以就有一个
[00:58:36] 其实这个文件系统也有
[00:58:37] 也有十几十来年的历史了
[00:58:38] 是甚至更早
[00:58:39] 大概可能在十几年的时候
[00:58:40] 你基本上就可以在production里开始用了
[00:58:42] 它还有bug
[00:58:43] 那时候我们在长期用的时候
[00:58:45] 各种bug它会把你的文件系统整个就搞搞挂了
[00:58:48] 但是这个idea就是一样的
[00:58:51] 你可以直接这个呃这个文件写到b tf s betray
[00:58:56] 就是你们在数学课课上面学的那个betray
[00:58:59] 就是一个一个大块
[00:59:00] 一个什么4096叉树
[00:59:03] 它不是一个二叉树
[00:59:04] 它是一个非常多的多差数
[00:59:06] 而多叉树这个索引结构
[00:59:07] 它就可以把整个索引的层数啊压的压的非常浅
[00:59:11] 然后他就是一个和git一样
[00:59:13] Everything is a b tree
[00:59:15] 因为他要在快设备上构建
[00:59:16] 所以它和git台不一样
[00:59:17] git台因为有文件系统的抽象了
[00:59:19] 所以他可以直接往那个往那个点git
[00:59:21] Get it
[00:59:22] git下面的objects里面丢
[00:59:24] 但它但它不行
[00:59:25] 它要从零开始实现一个快设备上的persistent
[00:59:28] Data structure
[00:59:29] 然后他所有的一切他的volume
[00:59:32] 它的文件系统目录数
[00:59:34] 所有的东西都是以append only copy on write的方式做的
[00:59:38] persistent这个文件系统就和git一样
[00:59:41] 支持免费的快照
[00:59:43] 你需要
[00:59:43] 当然这是文件系统提供的
[00:59:45] 这个呃功能
[00:59:47] 你只要有只有一个文件描述符
[00:59:49] 然后你你给他做一个I/O control
[00:59:51] 叫b tf s I/O control的snapshot create
[00:59:55] 他就可以创建一个snap shot
[00:59:58] 而创建step shot
[00:59:59] 对于持久化的数据接口来说
[01:00:01] 根本就不是什么困难的事
[01:00:02] 他只是把这个指针给它一个名字记下来
[01:00:05] 当总有个当前指向当前的一个root的指针
[01:00:09] 然后我把这个指针记下来说吧
[01:00:11] 呃我创建了一个快照
[01:00:12] 然后这个名字是什么
[01:00:13] 就会git里面你创建一个新的这个tree object
[01:00:16] 然后它这个tree object指向了好多的blog object一样
[01:00:20] 恭喜你又发明了一个这个改变世界
[01:00:24] 一项改变世界的技术
[01:00:26] 呃我就我就不再讲了
[01:00:27] 因为我不讲操作系统内核
[01:00:29] 我我向大家承诺
[01:00:30] 我我我们只讲操作系统应用层的东西
[01:00:35] 但是你们依然也可以看到
[01:00:37] 即便是说我们就讨论一下操系统的API
[01:00:40] 哪怕只是增删改查的API
[01:00:43] 增删改查的AAPI
[01:00:44] 你都可以实现非常有趣的
[01:00:47] 应用像git这样的
[01:00:49] 应用好
[01:00:51] 然后get之后
[01:00:53] 我们还有一个你更更让你意想不到的
[01:00:58] 操作这个idea就比较神奇了
[01:01:00] 所有最早追溯到一篇那个union on f s的啊论文
[01:01:04] 他说我们的文件系统既然是数据结构
[01:01:07] 数据结构
[01:01:08] 那当然它是个目录树
[01:01:09] 我们还是还是尊重UNIX的这个
[01:01:13] 杠B杠home好
[01:01:15] 他就是一个一个这样的目录数
[01:01:17] 然后目录数除了增删改查监听以外
[01:01:21] 你还能不能为他设计和实现一个
[01:01:24] 更不一样的机制
[01:01:26] 这个很神奇的idea
[01:01:28] 他是这样想的
[01:01:29] 我现在啊允许你在任何一个比什么GROUNTAP
[01:01:32] 里面有两个目录
[01:01:34] 一个叫upper
[01:01:35] 一个叫lower
[01:01:37] 既可以有目录
[01:01:38] 也可以有文件
[01:01:39] 那我们简单起见
[01:01:40] 就比如说有一个A点TXT
[01:01:42] 有一个B点TXT好呃呃upper upper就一个A吧
[01:01:47] 然后lower有一个A点tx t low
[01:01:50] Lower
[01:01:50] 还有个B点TXT好
[01:01:52] 然后union fs想要干一件什么事呢
[01:01:56] 他想要创建一个虚拟的目录
[01:01:58] 然后这个虚拟目录随便随随随便放在哪
[01:02:00] 就比如说这叫MERCH
[01:02:02] 这个虚拟的目录
[01:02:03] 它他在访问上增删改查的意义上
[01:02:07] 就是一个普通的文件系统上的对象
[01:02:09] 就就是一个目录
[01:02:10] 但是呢我可以通过一个系统调用在LINUX里面
[01:02:14] 是是通过mount这个系统当中来来实现的
[01:02:17] 通过这个系统当中呢
[01:02:18] 我要把upper和lower拼起来
[01:02:24] 拼成一个叫merge的
[01:02:26] 然后你你可以从这个名字里面看到一个叫upper
[01:02:29] 一个叫lower
[01:02:29] 所以upper拼在上面
[01:02:31] 然后lower拼在下面
[01:02:33] 然后这个妹儿知道merge是一个假的
[01:02:36] 是个虚拟的
[01:02:37] 然后每当你要问这个merge里面要文件的时候
[01:02:40] 他就会先去upper里面看
[01:02:42] 如果upper里面有这个文件
[01:02:44] 它就会直接返回给merge
[01:02:46] 然后如果upper里面没有这个文件
[01:02:49] 它就会去lower里面找
[01:02:51] 再返回给merge的
[01:02:53] 如果LOL里面也没有
[01:02:54] 那这个merge里面也没有
[01:02:56] 就相当于他把这两个目录给叠起来了
[01:02:59] 然后叠起来以后就有一个什么什么效果呢
[01:03:02] 我的lower里面可以有好多文件
[01:03:04] 比如说是一个系统盘之类的东西
[01:03:06] 然后upper里面可以对lower做一个修改
[01:03:10] 在upper里面对lower做一个修改
[01:03:12] 然后修改了以后
[01:03:13] lower本身可以不变
[01:03:15] 这样我可以创建好多好多这种merge的目录
[01:03:18] 它就就可以有有趣的应用了
[01:03:21] 有两个就你哪怕只能叠一层low尔
[01:03:24] 叠一层up er
[01:03:25] 你你也可以有这样两个killer application
[01:03:28] 你有一个刻盘的工具
[01:03:30] 这个刻盘的工具可以burn一次
[01:03:32] 一次性可以burn一个目录
[01:03:34] 比如说一个600兆的目录
[01:03:36] 然后写到一张光盘里
[01:03:38] 然后现在你你的电脑上面有16个光驱
[01:03:43] 因为16倍你就可以
[01:03:45] 你有你挂16光驱
[01:03:46] 你就可以刻16倍快的
[01:03:48] 就增加16倍的带宽嘛
[01:03:50] 因为假设你的内存和CPU的带宽是是足够的
[01:03:53] 然后呃写光盘是相对相对比较慢的
[01:03:56] 但是你必须要用这个刻盘工具的
[01:03:59] 同时
[01:03:59] 你又需要为每一个光盘写入一个不同的CDKE
[01:04:03] 你会生成好多CDT
[01:04:05] 然后就把它打印出来
[01:04:06] 贴在比如说贴在光盘上面一起卖
[01:04:07] 然后相当于是我们在lower上面有600兆的文件
[01:04:12] 然后这600兆文件都是一样的
[01:04:13] 但是在这个UER上
[01:04:15] 你有一个一兆的文件
[01:04:17] 对每一个光盘都是不一样的
[01:04:20] 然后当我有这样的OLOR类FS以后
[01:04:23] 我就可以创建好多个up er
[01:04:25] upper1up二up er3
[01:04:27] 然后我用阿普一加罗尔
[01:04:29] 我就变成了第一张光盘
[01:04:30] up er2加low尔变成第二张光盘
[01:04:33] 这样我就省下了空间
[01:04:35] 因为我的刻盘工具必须要求是BEN
[01:04:37] 一个目录和一个驱动器
[01:04:40] 然后如果我希望并行
[01:04:42] 如果没有这样的有点FS的机制
[01:04:45] 那我就必须把这个目录拷贝多拷贝多少份
[01:04:48] 虽然可能操作系统内部在拷贝的时候
[01:04:51] 做了优化
[01:04:52] 拷贝了多拷贝多少份16份
[01:04:54] 然后为16份写入不同的这个
[01:04:58] CDT点EXE
[01:05:00] 然后再并行的做
[01:05:01] 但如果你有overlay的话
[01:05:03] 或者说你有这union s s的话
[01:05:04] 就可以可以
[01:05:06] 创建好多个同一个lower不同的up er
[01:05:08] 然后去去写它
[01:05:10] 然后还有一个呃KYLAK
[01:05:13] 而且今天大家都在用的
[01:05:14] 现在好多了
[01:05:15] 我觉得现在
[01:05:16] 尤其是我现在用回这个DEBAN以后
[01:05:20] 系统稳定很多
[01:05:21] 我以前用WTO的时候
[01:05:22] 如果有一段时间你做你没有升级了
[01:05:26] 然后你做一次APTDISTAGGRADE
[01:05:29] 你基本上电脑就一定要成专
[01:05:30] 就他有一个很大的概率
[01:05:32] 电脑会成砖
[01:05:33] 那怎么应对电脑成专呢
[01:05:36] 你可以把整个文件系统的根当成一个lower
[01:05:41] 呵呵对
[01:05:42] 听起来是有一点
[01:05:45] 刚才这个机制看起来不起眼
[01:05:46] 我可以把两个目录拼起来
[01:05:48] 拼成一个目录
[01:05:49] 但当我说我把整个文件系统的根
[01:05:52] 变成一个lower以后
[01:05:53] 等会好
[01:05:54] 然后我再把另外再在另外一个地方
[01:05:56] 比如说另外一个设备上
[01:05:57] 另外一个驱动器上
[01:05:59] 或者whatsoever
[01:06:00] 做一个upper
[01:06:01] 一个空的upper
[01:06:02] 然后这个upper也是挂到杠上的
[01:06:05] 相当于我的文件系统根就变成了旧的根
[01:06:07] 就变成了lower
[01:06:08] 然后我创建一个新的目录
[01:06:10] 放到另外一块盘上
[01:06:11] 它就是upper
[01:06:12] 然后我做一个APT第3upgrade
[01:06:15] 这就意味着我所有的lower是不变的
[01:06:19] 这个lower是不变
[01:06:20] 我所有的写入APD没什么神奇的APD
[01:06:23] 本质上如果你看他的s trace的
[01:06:25] 它就是写文件
[01:06:26] 写文件系统
[01:06:27] 所以所有的写入
[01:06:28] 因为这是跟所有的写入都会写到upper里
[01:06:31] 他改变的那个部分
[01:06:32] 比如说他会往什么u s r share
[01:06:35] 里面改一个什么东西
[01:06:37] 甚至会在etc下面先改一个配置文件
[01:06:40] 还有好多好多好多好多的东西
[01:06:42] 在system d里面它它会有很多triggers
[01:06:45] 比如它会在system d里面加一个什么东西
[01:06:47] 然后这都会写到
[01:06:48] 比如说刚ETCA下的system d下的什么
[01:06:52] 所有你对系统的持久状态的修改
[01:06:55] 都是反映在文件系统上的persistence
[01:06:58] OK然后好
[01:07:00] 这就意味着你的旧系统还在从来没有变过
[01:07:04] 然后你下次系统重启的时候
[01:07:06] 你挂载的时候也是的
[01:07:07] 你把lower和rapper都挂着
[01:07:10] 如果他成砖了
[01:07:11] 不要紧
[01:07:12] 你就回到那个init ram fs的那个模式上
[01:07:15] 做一个配置
[01:07:16] 把这个整个拿掉
[01:07:18] 你的这个系统又回来了
[01:07:21] 呃所以所以你看到这个机制看起来不起眼
[01:07:24] 你说哎我可以把两个目录拼凑起来
[01:07:27] overlay起来
[01:07:28] 但是他的能力是能力是非常大的
[01:07:32] 像现在我们有这个OVERLRT的工具
[01:07:34] 就可以做这件事
[01:07:35] 他他真的做到这件事
[01:07:36] 你你可以在里面长
[01:07:38] 如果你想要对系统做任何潜在摧毁性的操作
[01:07:43] 你都可以可以可以用它
[01:07:45] 对然后然后如果如果你试完了以后
[01:07:48] 说这个OK很好
[01:07:50] 可以用
[01:07:51] 没有没有出问题
[01:07:52] 你直接用一个r sink就可以
[01:07:54] 相当于把这个里面的所有的数据同步搬到
[01:07:58] 搬到你的这个lower这一层上
[01:07:59] 因为它是两个目录拼起来的嘛
[01:08:01] 你总是有办法访问这个lower的r sink过来
[01:08:04] 然后你就
[01:08:05] 你相当于就把这些修改给commit到你的磁盘上了
[01:08:10] OK好
[01:08:12] 所以LINUX也给了这样的呃机制叫overlay fs
[01:08:16] 而且他做的更彻底
[01:08:17] 它可以挂载不止一个lower
[01:08:20] 这就是docker的实现的一个非常关键的关键地方
[01:08:25] 它会一层一层
[01:08:26] docker里面本身就有一个呃概念叫layer
[01:08:29] 他会不停的创建layer
[01:08:30] 一会有一会我会讲的
[01:08:32] 不停创建layer
[01:08:33] 然后可以挂挂载好多个呃lower o类成一个
[01:08:36] 然后但是我只能挂一个upper
[01:08:38] 一个挂一个挂一个upper
[01:08:40] 然后我还需要给他一个临时的目录
[01:08:42] 叫叫啊work directory
[01:08:44] 然后有些比较有趣的行为
[01:08:46] 我可以就着就着例子来讲
[01:08:48] 我右边会实时监控这个OA类FS的情况
[01:08:52] 首先我的demo点SH就是刚才的一个一个mount
[01:08:56] 我有个lower的目录
[01:08:58] 有一个upper的目录
[01:08:58] 然后有一个work to
[01:08:59] 这个work directory是是给操作系统用的
[01:09:02] 它需要一个临时的目录
[01:09:03] 必须是空的
[01:09:04] 然后不空的话
[01:09:04] 他会他应该会会报错
[01:09:07] 然后只允许一个app可以有多个lower
[01:09:09] 然后有意思的
[01:09:11] 比如说比如说我现在可以开始干活了
[01:09:14] 我现在可以往额upper里面放一个文件
[01:09:19] 比如说A点TXT好
[01:09:22] 我可以往upper里面放文件
[01:09:23] 你会看到在upper里面
[01:09:25] 是啊是在的
[01:09:27] 然后同时我对UER的修改会访问到O
[01:09:30] 会反映到order类里
[01:09:31] 比如说我可以echo哎
[01:09:34] 你看到upper和overlay会同时更新这个修改
[01:09:40] 然后这个时候我可以进overlay
[01:09:42] 比如说overlay
[01:09:42] 然后OVERL
[01:09:44] 比如说我修改一点TXT
[01:09:48] 我把A点TXT改成456
[01:09:50] 你看到在over类里的修改
[01:09:53] 也会同样的反映到APER里
[01:09:56] 然后如果我试图修改一个lower点TXT
[01:10:02] 哎你看这里变了lower点TXT
[01:10:04] OVERLATE改了
[01:10:05] 但是lower的没有改
[01:10:07] 然后在upper里面多了一个lower点TXT
[01:10:11] 是我改过的
[01:10:13] 我可以再改一次
[01:10:15] 不要改成new lower
[01:10:17] upper里面会多一个
[01:10:19] 然后最有意思的是删除
[01:10:21] 你看如果我试图删除这个lower点TXT诶
[01:10:25] 删除的时候
[01:10:26] 我怎么样
[01:10:27] 再从怎么样让我使我找不到这个文件呢
[01:10:31] 在你HASHTABLE里面删除的时候
[01:10:33] 你需要一个tombstone
[01:10:34] 然后类似的
[01:10:37] 你看到lower里面这个lower点线是永远不变的
[01:10:39] lower是不会变的
[01:10:40] lower的多少层
[01:10:41] 无论你ORILY多少层
[01:10:42] 它都不会变
[01:10:44] 但是他在upper这一层里面
[01:10:46] 就产生了一个很有意思的对象
[01:10:48] 一个字符设备文件
[01:10:50] 然后这个字符设备文件你当然没有办法访问的
[01:10:52] 比如说你可以试图cat
[01:10:54] 你看他会说permission dennine
[01:10:56] 这是一个
[01:10:57] 这是一个假装出来的不存在的文件
[01:11:01] 这叫white out的呃文件
[01:11:03] 如果你删除
[01:11:04] 就会在LOL里面创建这个文件好
[01:11:07] 然后这样就可以实现一个
[01:11:10] 一个网吧管理器
[01:11:11] 你你想网吧里面的用户会任意的破坏你的电脑
[01:11:15] 你甚至可能愿意给他grant一个高的权限
[01:11:18] 但不要紧
[01:11:18] 你只要就像我刚才说的那种更新模式一样
[01:11:21] 你把你的系统都在lower里
[01:11:22] 然后给他一个UER
[01:11:24] 然后等他下机了
[01:11:25] 你就直接把它up删掉就就可以了
[01:11:28] 所以我们在做这个大规模的考试
[01:11:30] 竞赛管理的时候
[01:11:31] 也是这么做的
[01:11:32] 这个我我们可以把考试机器的杠
[01:11:34] home做成一个overlay
[01:11:36] 然后把机器做成O类以后
[01:11:38] 我我可以把这个A类的实际上的app
[01:11:40] 放在一个用户是访问不到的地方
[01:11:42] 然后呃相当于我上午场考试的同学来了
[01:11:45] 他就在上午场那个up里面工作
[01:11:48] 然后我直接把这个mt一个别的up er
[01:11:50] 下午场的考试又开始了
[01:11:52] 那下午场的考试的同学
[01:11:53] 是看不到上午的人的工作目录
[01:11:55] 但是实际上这工作目录还是存在我的系统里的
[01:11:58] 当我最后把这个U盘回收的时候
[01:12:00] 我还是可以看到所有的所有的东西
[01:12:03] 网吧的这个问题也搞定了
[01:12:05] 当然用它解决网吧的问题
[01:12:07] 就实在是太大材小用了
[01:12:09] 嗯你们知道的docker
[01:12:11] docker这个docker file是我的online judge的
[01:12:14] Docker file
[01:12:14] 然后docker范里面有有一些有一些
[01:12:18] 这就是一行一行的命令
[01:12:20] 其实它的设计也非常的UNIX
[01:12:22] 比如说他从一个从一个已有的镜像开始好
[01:12:25] 那我可以假设它有一个已有的已有的
[01:12:28] 比如说五方图22.04好
[01:12:32] 22.04
[01:12:34] 人在docker里面
[01:12:35] 这叫一个layer
[01:12:37] 接下来我会配置一些
[01:12:38] 比如说我要设置这个环境变量啊等等
[01:12:40] 以及这里有一个叫run
[01:12:43] 然后叫run的时候
[01:12:44] 每当我每当我运行一个run的时候
[01:12:47] 我都会在这个相当于启动一个虚拟机
[01:12:50] 然后啊当然这是容器容器
[01:12:52] 我不知道我这个学期有没有时间来讲了
[01:12:54] 然后它会创建一个upper
