[00:00:00] 上一节课的时候给大家讲了多处理器编程
[00:49:39] 然后如果我每一个都像我现在这样
[00:49:42] 在黑板上面推一遍
[00:49:45] 那这节课就就就完全结束了
[00:49:48] 所以我们做system
[00:49:50] 其实不仅是做system m
[00:49:51] 我觉得整个做computer science
[00:49:53] 都有一种这个要要要杀死自己的这种倾向
[00:49:58] 就就你看我我们想诶这个过程是可以自动化的
[00:50:02] 我们我们编程嘛
[00:50:05] 我编程就是我们说软件就是人类世界里的过程
[00:50:09] 在信息世界的投影
[00:50:10] 我们就是千方百计的想把我们在人类世界里面
[00:50:13] 做过所有的事情
[00:50:14] 能够自动化的在计算机室里再做一遍
[00:50:18] 最早先的就是普通的程序
[00:50:20] 循环你可以写一个循环程序
[00:50:22] 然后这个程序在运行
[00:50:23] 然后我需要手工写这个程序
[00:50:24] 然后到后来有了模型检验以后
[00:50:27] 我可以刚才我刚才给大家展示那个东西
[00:50:29] 叫一个model check
[00:50:30] 一个模型检查器
[00:50:32] 他做的是proof by brute force
[00:50:35] 我只要暴力的找遍所有这个程序可能的状态
[00:50:40] 然后一个一个看它对不对就可以了
[00:50:43] 所以它相当于是用一个程序操控
[00:50:45] 另外一个程序的执行
[00:50:47] 有些有点像套了一层虚拟机的
[00:50:49] 感觉这个技术在2007年的时候得了图灵奖
[00:50:52] 当然他们得图灵奖
[00:50:54] 是因为他们做了很多更困难的呃问题
[00:50:57] 比如说他们希望要做无限的状态空间
[00:50:59] 我们现在的这个算法的状态空间是有限的
[00:51:02] 但如果你想要做无限状态空间的话
[00:51:04] 你需要一些更复杂的呃技术处理
[00:51:06] 但就是因为有这样的技术
[00:51:08] 不管是模型检验也好
[00:51:09] 还是大圆模型也好
[00:51:10] 使得我们的智能被延伸了
[00:51:12] 所以我很喜欢电脑这两个字
[00:51:15] 这个电脑比computer这个词还要翻译的更好
[00:51:17] 虽然在以前没有AI的时候
[00:51:20] 大家觉得可能电脑没有那么像人脑
[00:51:23] 但是至少今天大家都非常确信的
[00:51:26] 电脑真的是真的是电脑是一个神来之笔的
[00:51:29] 翻译电脑可以是一种SCALLOL的智能
[00:51:32] 它可以无限复制
[00:51:33] 一旦这个智能有的时候
[00:51:35] 它就可以无限的复制
[00:51:36] 复制完了以后
[00:51:36] 每一个都能提供一样的呃服务
[00:51:39] 它是DETERISTIC的
[00:51:40] 但它又有人这样的
[00:51:42] 智能是件非常神奇的事情
[00:51:45] 他可以帮我们回答底下这些各种各样的额问题
[00:51:49] 所以我觉得这是我们做computer science的人的一个
[00:51:53] 叛逆的本质
[00:51:54] 我觉得也一直呃就就有时候我我讲到这的时候
[00:51:58] 我会想到
[00:51:58] 比如说以前每一个每个班上都有一个老师
[00:52:01] 总是要夸夸的这个好学生
[00:52:04] 我不知道每个同学是不是都想到了
[00:52:06] 班上那个最好的学生
[00:52:07] 也可能这样的学生就坐在这
[00:52:09] 就是男的
[00:52:09] 因为只有这样的同学
[00:52:11] 老师特别喜欢同学才能考上南大
[00:52:12] 然后他每次都会认认真真的完成老师的作业
[00:52:16] 工工整整的笔记
[00:52:17] 这个启发了思维
[00:52:18] 浪费了生命
[00:52:19] 就像这就像我我绝对在我在我开始写这个时候
[00:52:23] 每就因为我最开始早开始上课的时候
[00:52:25] 我在我在黑板上写
[00:52:27] 这个时候我就感到非常不适
[00:52:28] 因为第一个很容易错
[00:52:31] 我一般我一边要应对跟大家讲课
[00:52:33] 你看我今天就翻车了
[00:52:34] 我我一边要应对讲课
[00:52:37] 一边又要清楚的理清里面每一个逻辑步骤
[00:52:40] 所以很容易很容易错
[00:52:42] 然后我就会想
[00:52:43] 何必呢
[00:52:45] 如果我的智能是是可以被替代的
[00:52:47] 能能不能够被一个程序替代的
[00:52:49] 那是不是可以的呢
[00:52:51] 当我问出这个问题的时候
[00:52:52] 我就实现了model checker
[00:52:53] 后来后来的课上就有就有model check
[00:52:55] 你们也可以
[00:52:56] 也可以拿去用
[00:52:56] 而今天所以我今天是一直坚持让大家和AI对话
[00:53:01] 因为它是一种可以SCALABLE的智能
[00:53:04] 你你你拥有了它
[00:53:05] 你控制了它
[00:53:06] 你就可以以比之前快很多的效率
[00:53:10] 来学到更多新的东西
[00:53:13] OK好
[00:53:14] 这是这是一个证明
[00:53:15] 刚才我我说了这个协议
[00:53:17] 但是但是刚才的那个证明
[00:53:20] 包括这里的证明
[00:53:22] 还有我在嗯那个代码model check
[00:53:24] 那个Python代码里面的这段代码的证明
[00:53:27] 它都是有假设的
[00:53:29] 而且做了一些过度简化的假设
[00:53:32] 比如说你看只在这里才会发生一次切换县城
[00:53:36] 在这个地方才可能会切换到
[00:53:39] 另外一个另外一个地方
[00:53:42] 我们假设了load和store指令是瞬间完成
[00:53:44] 而且生效的
[00:53:45] 而且假设的指令按照程序书写的顺序去执行的
[00:53:49] 这是PETERSON算法的假设
[00:53:51] 然后我们刚才证明这个算法的正确性
[00:53:54] 也是在这个假设下
[00:53:56] 也是在这个假设下才成立的
[00:53:58] 所以根据我们上一节课的内容
[00:54:02] 所有这两个假设显然都是不对的
[00:54:05] 这两个假设不对
[00:54:07] 但PETERSON算法提出的时代
[00:54:09] 他们做这个假设是合情合理的
[00:54:11] 因为那个时候第一没有高性能的编译器
[00:54:13] 1965年
[00:54:14] 第二也没有多处理器的计算机
[00:54:17] 在他们眼里
[00:54:18] 他们所有的计算机都是符合这个模型的
[00:54:20] load store指令
[00:54:21] 他一条一条指令执行完了才会执行下一条指令
[00:54:24] 这就是他们那个时候的计算机的模型
[00:54:28] 所以在今天
[00:54:30] 我可以告诉大家的是
[00:54:31] 皮特森算法其实是错的
[00:54:33] 你是没有办法
[00:54:35] 直接
[00:54:36] 当然不是说你没有办法写一个对的P4的算法
[00:54:38] 比如说我这里其实给大家提供了一个呃正确的
[00:54:42] 这就是刚才实现了协议的代码
[00:54:44] 你们回去可以看
[00:54:45] 但是我加了很多的barrier
[00:54:48] 很多的barrier
[00:54:49] 如果你们在你们自己的PC上运行
[00:54:52] 自己P上运行
[00:54:53] 你看我现在
[00:54:54] 现在在这里把barrier定义成空的
[00:54:57] 也就是说这边都全部都是全部都是都是没有
[00:55:01] 都是没有BARRY的
[00:55:03] 那么这个程序它其实是不正确的
[00:55:05] 不正确
[00:55:06] 你会你会
[00:55:06] 你可以在你的计算机上观察到这个search fd
[00:55:09] 我有一个检查
[00:55:10] 每当有一个进程进入以后
[00:55:12] 就会有一个原子的计数器加一
[00:55:14] 有两个进程加一
[00:55:16] 它就会变成二
[00:55:17] 如果我看到二
[00:55:18] 就说明有两个进程同时进入了lock你你的房间
[00:55:22] lock的房间
[00:55:22] 那就错了对吧错了
[00:55:24] 所以呃你就会看到这个对
[00:55:28] 看到这里有一个shift file
[00:55:30] 但是我非常惊奇的发现这样的一个错误的代码
[00:55:35] 现在这个代码是错的
[00:55:36] 在我的这个错误
[00:55:38] 在我的我的系统上是没有办法复现的
[00:55:41] 上一节课我已经非常明确的给大家复现了
[00:55:44] 那个week memory model的行为
[00:55:46] 我我我
[00:55:47] 我证明这个多核之间
[00:55:48] 确实是有这种弱的内内存模型的
[00:55:51] 但是这个peter的算法我实现了一个错的
[00:55:54] 在我的这台机器上竟然是不能复现的
[00:55:57] 这就是并发最可怕的地方
[00:55:59] 你这个算法真的是错的
[00:56:00] 这个程序在你的在你的电脑上跑
[00:56:03] 它就crash了
[00:56:04] 它就叫search fail了
[00:56:05] 但是你可能有各种各样的机缘巧合
[00:56:09] 使得你对这个程序看起来可能是对的
[00:56:12] 也就是说
[00:56:13] 你很有可能在你们马上就要做的实验里面
[00:56:16] 你们跑了很多轮的测试
[00:56:18] 你们觉得你们的这个meloo free做的很对
[00:56:21] 但是交到OG上就是过不了
[00:56:23] 而且我还没有非常非常非常intensive的测试
[00:56:26] 你们的啊这个程序这是并发最难的地方
[00:56:29] 你你不知道
[00:56:31] 这是个状态空间
[00:56:32] 这个指数大的状态空间
[00:56:34] 这个协议到底对还是不对
[00:56:35] 到底为什么对它远远超出了我们呃我们的想象
[00:56:41] 甚至啊甚至皮特的算法有一个致命的缺陷
[00:56:44] 还记得刚才我们在啊讲的时候
[00:56:47] 有两个有两个牌子
[00:56:48] 一个是ALICE
[00:56:49] 一个bob
[00:56:50] 这就意味着ALICE需要知道对方是bob
[00:56:53] bob就需要知道对方是ALICE
[00:56:54] 他才能在上面写一个名字
[00:56:56] 写零或者一
[00:56:57] 但是在实际当中
[00:56:59] 我们用SPN可以释放出很多很多个线程
[00:57:04] 我可以释放100个线程
[00:57:05] 然后这个线程可以动态的再释放
[00:57:07] 再结束span再结束
[00:57:10] 我根本就不知道在任何时刻
[00:57:12] 系统里面还有多少个线程
[00:57:14] 所以这根本就不work
[00:57:16] Python的算法只适用于两个线程的同步
[00:57:20] 虽然它可以扩展呃互斥
[00:57:22] 虽然它可以扩展到
[00:57:24] 有扩展的方法
[00:57:26] 但是这就超出了我们的课程要讨论的啊内容
[00:57:30] 我们要的不是智力体操
[00:57:32] 我们需要的是absolutely correct的呃工程化方案
[00:57:36] 所以我我今天讲PC的算法
[00:57:38] 我不会考的
[00:57:38] 我我刚才只是跟你们开玩笑
[00:57:40] 我我我不会不会在这门课上面让你们做智力题
[00:57:46] 你们需要的是理解中间的复杂性
[00:57:49] 并且用合适的方式管控它
[00:57:51] 所以我真的要教你们的是
[00:57:53] 到底我们怎么样实现批正确的互斥
[00:57:58] 或者说啊对就是互斥
[00:58:01] 不是PC的算法
[00:58:02] 我我不想实现一个正确的PC算法
[00:58:04] 虽然我会实现PETERSON算法
[00:58:06] 做了一个错误的路线上的错误
[00:58:09] 就是试图在load和store上面实现互斥
[00:58:12] 也就是他的假设LOS是原子的
[00:58:15] 我们要要实现互斥
[00:58:16] 1965年的时候
[00:58:17] 这个假设可能还还勉强
[00:58:20] 但是计算机系统是我们自己造的
[00:58:23] 我们当然可以把它改造成
[00:58:26] 更容易实现互斥的样子
[00:58:35] 是是推翻这个问题的假设
[00:58:38] 而这才是真正的
[00:58:39] 我们systems人里面解决问题最好的思路去理解
[00:58:43] 去清楚地理解这个假设
[00:58:45] 并且在合适的
[00:58:46] 在工程意义上合适的情况推翻这个假设
[00:58:48] 一旦你的假设被推翻了
[00:58:50] 你就打开了一片全新的天地
[00:58:52] 所以我们要做的事情是把计算机系统改造成实
[00:58:55] 容易实现互斥的样子
[00:58:56] 这就是computer science和自然科学很大的一个不同
[00:58:59] 如果你要研究生生命科学
[00:59:01] 那对不起
[00:59:02] 这个人不是人
[00:59:03] 不是你造的
[00:59:04] 人是不知道怎么怎么做
[00:59:06] 我们不知道人是怎么怎么收敛到今天这一点的
[00:59:09] 但是反正它存在了
[00:59:11] 然后实验也可能是可重复的
[00:59:14] 最近好像有一个实验可以重复的笑话哈
[00:59:17] 呃实验
[00:59:18] 但至少呃大自然物理学是这实验是可以重复的
[00:59:22] 那它到底是什么
[00:59:24] 为什么我们不知道规则是他定的
[00:59:26] 我们只能理解它
[00:59:27] 只能理解这个规则
[00:59:28] 然后在这个规则的基础上再做我们能做的事情
[00:59:31] 但commerr science的规则全是我们自己定的
[00:59:33] 如果只要我们不违背这个物理极限
[00:59:35] 芯片电路的
[00:59:37] 电路的功底
[00:59:38] 软件不好解决的
[00:59:39] 我们就让硬件来帮忙
[00:59:40] 如果我们觉得互斥是件很重要的事
[00:59:44] 那我们就让计算机系统给我们添加一些指令
[00:59:47] 只要这个指令在电路意义上实现
[00:59:49] 不要太复杂
[00:59:51] 就比如这样操作系统
[00:59:52] 我们说给一条关中段的指令
[00:59:53] 它就能实现互斥了诶这就是我们要的
[00:59:56] 所以我们下一遍要做的事
[00:59:58] 就是在硬件上面增加一条指令
[01:00:01] 帮助我们实现多处理器上的互斥
[01:00:03] 那我们应该怎么样实现多处理器上的互斥呢
[01:00:07] 我们分析一下和刚才的协议
[01:00:10] 很有关系
[01:00:11] 我们再回到最初的时候的那个模型
[01:00:13] 我们说什么是互斥锁呢
[01:00:16] 互斥锁在acquire和release的时候
[01:00:19] 就是我们有一个桌子
[01:00:21] 桌子上有一把钥匙好
[01:00:23] 所谓的lock或者块
[01:00:26] 你需要把这个钥匙给拿过来
[01:00:29] 然后release就是把这个钥匙给放回去好
[01:00:33] 那么你马上就发现PETERSON算法
[01:00:36] 他做那个假设的时候面临的一个最大的挑战
[01:00:40] 面临最大挑战是他在假设的时候
[01:00:43] 我的一条指令要么做一个load
[01:00:45] 要么做一条store
[01:00:46] 这在现实意义上意味着什么呢
[01:00:48] 当我load的时候
[01:00:50] 就当我去看别人的时候
[01:00:52] 我的手必须背在后面不能动
[01:00:54] 刚才刚才我们说
[01:00:55] 我们先第一步是要要把手举起来
[01:00:58] 这是一个store
[01:00:59] 然后第二步是把这个一个store
[01:01:01] 然后一旦你你store完了以后
[01:01:04] 你就要你就只能观看
[01:01:06] 所以刚才的PON的算法在做设计和实现的时候
[01:01:10] 它的假设是你在load的时候
[01:01:14] 你的手必须是背在后面的
[01:01:15] 你只能看
[01:01:17] 然后你store的时候
[01:01:18] 你的眼睛是瞎的
[01:01:18] 你必须蒙起来
[01:01:20] 你在store的时候
[01:01:22] 这个而在物理世界当中
[01:01:25] 如果你想要实现acquire
[01:01:27] 或者说你要实现把桌子上的这个钥匙拿起来
[01:01:31] 这对人来说是一个再自然不过的过程
[01:01:34] 你你从来没有觉得这是一个困难
[01:01:36] 为什么你是一边漏的一边store的
[01:01:39] 你的手再拿过去的时候
[01:01:41] 你的眼睛是能看到他的
[01:01:44] 所以两个当两个同学伸手的时候
[01:01:46] 你们自然而然的就协互相协同一下
[01:01:49] 谁快谁慢
[01:01:50] 礼让一下对方就拿过来了
[01:01:53] 所以你所以我们在谈论这个QUE的时候
[01:01:57] 和p son算法的假设根本的假设是不一样的
[01:02:01] 因此如果想要解决这个问题
[01:02:03] 其实我们只需要能够有一条指令
[01:02:05] 帮我们完成一个low的一个store就可以了
[01:02:10] 所以如果我们写一个这个不正确的这个log
[01:02:13] 就是把我们刚才说的这个这个过程lock
[01:02:17] 就是说如果我们看到桌上有没有钥匙
[01:02:19] 我看能不能走
[01:02:20] 如果如果桌上有钥匙
[01:02:22] 我就把它拿走
[01:02:23] 如果桌上没有钥匙
[01:02:25] 我就go to retry
[01:02:27] 然后如果unlock的时候
[01:02:28] 我就是把钥匙放回到桌上
[01:02:30] 就这个过程
[01:02:31] 那这个代码直接运行
[01:02:33] 为什么不对呢
[01:02:34] 和我们那个山寨支付宝
[01:02:36] 昨天前两天那个支付宝例子是一样的
[01:02:39] 我有两个县城都想要扣100块钱
[01:02:42] 我在扣的时候
[01:02:43] 我都要判断这个钱够不够扣
[01:02:46] 如果不够扣
[01:02:47] 我就呃返回
[01:02:49] 然后如果我够扣
[01:02:50] 我就要把这个钱扣掉
[01:02:51] 跟这个代码是一模一样的
[01:02:53] 所以本质上是我刚刚看到桌子上还有钥匙
[01:02:59] 等我执行到这里
[01:03:00] 想要执行
[01:03:01] 把钥匙拿走的时候
[01:03:03] 钥匙已经被别人拿走了
[01:03:05] 我只要把这两句话合起来
[01:03:07] 我只要有一个非常小一小段时间的stop the world
[01:03:11] 这就是计算机系统给我们提供的原子指令
[01:03:16] 它未必一定是原子指令
[01:03:17] 还有一种办法是实实现一个很小
[01:03:19] 就真的是一个很小一段时间的stop the world
[01:03:23] 有两种实现的方式
[01:03:24] 像X86它有一个呃指令叫lock instruction
[01:03:27] 你可以在指令前面加一个lock
[01:03:30] 比如说你add1呃X然后你可以lock的ADD ex
[01:03:34] 这样呃他真的是有一把总线上面的锁
[01:03:38] 会把总线锁住
[01:03:39] 别人别人就不能访问内存了
[01:03:41] 这个时候我就可以对这个地址先做一个load
[01:03:43] 再做一个store
[01:03:44] 它是同一个内存地址
[01:03:46] 如果我把这个内存地址给锁住
[01:03:48] 彻底锁上
[01:03:49] 那就没有人可以打断我了
[01:03:51] 我就好像打到了stop the world的呃的效果
[01:03:55] 那只要实现了这个
[01:03:56] 那么啊K不管哪一个体系结构其实都都支持我
[01:04:01] 不就解决问题了吗
[01:04:03] 所以问题的解决比你想象的要简单
[01:04:07] 你不仅可以用它来实现刚才的这个lock unlock
[01:04:11] 甚至它提供了一系列非常高效的原子指令
[01:04:14] 你你只要只要有一条
[01:04:17] 比如说ADD一上SAM在前面加一个lock汇编
[01:04:21] 你就可以实现正确的sum加一
[01:04:24] 然后甚至这个行为
[01:04:25] 这个总线索都是在最早的80486
[01:04:28] 是支持这个lock指令的时候
[01:04:32] 画在这个图上的
[01:04:33] 它总线上真的有一个总线索
[01:04:35] 在执行译码器翻译码
[01:04:37] 除了lock的这个指定前缀的时候
[01:04:40] 他就会把总线给锁住
[01:04:42] 当然这个时间也给叉八六带来了很大的
[01:04:46] 很大的麻烦
[01:04:47] 对然后我们也给大家准备了
[01:04:50] 这样的这样的代码
[01:04:52] 这里的锁叫spin lock
[01:04:54] spin lock和mutex lock
[01:04:56] 它的使用的方法是完全一样的
[01:04:58] 你就可以理解成它是一个lock
[01:05:00] 就是叫spin lock
[01:05:02] spin lock和刚才那个music lock music unlock是一样的
[01:05:06] 斯spin lock实现的就是我刚才说的那个我试图
[01:05:12] 他是这样的试图
[01:05:14] 因为嗯我们在计算机世界里面
[01:05:16] 没有办法直接表达出一个钥匙
[01:05:19] 没有没有钥匙这个东西我们必须用变量
[01:05:21] 所以呃我就用两个不同的值
[01:05:24] 相当于我手上有一个值
[01:05:26] 我手上有一张纸
[01:05:27] 比如说这个纸上有一个零
[01:05:29] 或者这个纸上有一个零
[01:05:31] 然后另外一张纸这里有一张纸上有一个钥匙
[01:05:35] 有一个钥匙
[01:05:37] 然后我我可以做做的
[01:05:38] 我我我有好多种原子的操作
[01:05:40] 比如说我可以把这个值加一
[01:05:42] 刚才说有个TOMIC加一
[01:05:44] 还有一种原子操作时
[01:05:45] 我可以可以把两张纸上的内容做原子的交换
[01:05:49] 交换
[01:05:50] 交换交换
[01:05:51] 那交换我就可以把一个空的
[01:05:54] 空的东西和钥匙交换
[01:05:57] 比如说这是零
[01:05:57] 我这张纸上写着零
[01:05:58] 这里写的一
[01:05:59] 然后我交换原子的交换以后
[01:06:02] 零就被写进去了
[01:06:03] 钥匙就到我手上了
[01:06:04] 那只要我的这个exchange的指令是呃实现的
[01:06:09] 好像是stop the world
[01:06:10] 那无论有多少人来
[01:06:12] 只有我最先执行exchange那个人能把钥匙换出去
[01:06:16] 我每个人都拿着这个
[01:06:17] 我有好多好多人
[01:06:18] 每个人都拿着一张白纸
[01:06:19] 想要跟他交换
[01:06:20] 只有我最先执行交换的人
[01:06:22] 我才能把钥匙换到手上
[01:06:24] 然后剩下的人就只能换到我手上
[01:06:26] 那个白纸就是零
[01:06:27] 当然这个指令有一些变体
[01:06:29] 比如说啊他有个叫compare exchange
[01:06:31] 他可以先做一个比较
[01:06:32] 如果相等的时候再exchange
[01:06:35] 我可以先先做一个比较
[01:06:37] 先做一个比较
[01:06:38] 然后再呃再看
[01:06:41] 如果等于我要的值
[01:06:42] 比如说确实是一个
[01:06:43] 我先看一眼它是不是钥匙
[01:06:45] 如果是钥匙
[01:06:45] 我就再把它把它换过来
[01:06:47] 这样我就可以节省一次内存的血
[01:06:49] 如果我看到它不是钥匙
[01:06:51] 我就没有内存写入
[01:06:52] 我只有一次读
[01:06:53] 这样它性能就可以
[01:06:54] 就可以更好
[01:06:55] 但啊基本上就是就是你可以做一个这样的
[01:06:58] Atomic exchange
[01:06:59] 它会帮你编译成一个呃体系结构里相关的代码
[01:07:03] 不管是X86还是arm researfive
[01:07:06] 都反正编译器会帮你搞定的
[01:07:07] 这是一个编译器的building的function
[01:07:10] 我这里用了一个更强的内存模型
[01:07:11] 一个quire release的内存模型
[01:07:13] 这也没问题了
[01:07:14] 我就希望把lock的给换进去
[01:07:19] 并且把里面的结果拿出来
[01:07:22] 然后如果里面的结果是free
[01:07:25] 那么啊我就可以进入这个physical section
[01:07:29] 那么一样的
[01:07:31] 这个例子和这个例子和music
[01:07:35] lock的使用是完全一样的
[01:07:36] 嗯你可以看到我在这里有一个十十次的循环
[01:07:40] 然后都会做SAM加加
[01:07:41] 那它确实可以实现
[01:07:43] 多处理器上的1+1
[01:07:46] 相当于你可以手工实现一个new mutx log好
[01:07:50] 但是但是刚才的那个方法
[01:07:54] 有一个非常严重的性能问题
[01:07:57] 你想一想我们是怎么
[01:08:00] 我们是怎么实现互斥的
[01:08:03] 桌子上有一把钥匙
[01:08:05] 然后我们有好多人
[01:08:07] 每一个人都盯着这把钥匙
[01:08:10] 每一个人都都是一个Y1
[01:08:14] 每个人都Y1
[01:08:15] 以前
[01:08:15] 他都每一个人都试图去把里面的钥匙换出来
[01:08:20] 所以一旦有一个人
[01:08:23] 一旦有一个人已经把这个钥匙换走了
[01:08:26] 这个钥匙现在在他手上了
[01:08:27] 哎这个人很开心
[01:08:31] 他得到了钥匙
[01:08:32] 他可以继续执行了
[01:08:33] 但是所有的其他人他们在干什么
[01:08:37] 他们在死循环
[01:08:40] 因为现在这个上面桌子桌子上已经是白纸了
[01:08:43] 他就是拿白纸和白纸交换
[01:08:46] 但是他们每一个县城
[01:08:48] 每一个人都不知道
[01:08:49] 这个人什么时候才能把钥匙还回去
[01:08:51] 所以CPU就浪费掉了
[01:08:53] 所以你看除了获得锁的那个线程
[01:08:56] 它它它可以执行其他处理器
[01:08:58] 这样线程在空转
[01:09:00] 在浪费
[01:09:01] 在浪费
[01:09:02] 然后这叫一核有难
[01:09:03] 八合为官
[01:09:05] 最早的那些有几代处理器出来的时候
[01:09:07] 它内存通信缓存一致性有一些性能的问题
[01:09:11] 调度也有一些问题
[01:09:13] 我们经常会说一河有难八合为官
[01:09:15] 这就是一和有难八核围观是吧
[01:09:18] 其他的处理器都在都在围观
[01:09:21] 如果你的代码这个代码执行很久
[01:09:23] 你不如把CPU让给让给别的
[01:09:27] 线程去执行
[01:09:27] 那更好
[01:09:29] 第二个问题
[01:09:30] 这就更严重了
[01:09:31] 今天我们说了
[01:09:32] 操作系统可以关中断
[01:09:34] 应用程序不能专关中断
[01:09:36] 这就意味着我现在拿到钥匙的线程
[01:09:39] 它可能会被中断
[01:09:41] 中断以后
[01:09:43] 因为比如说我现在的这个树莓派
[01:09:45] 可能有四个CPU或者八个CPU
[01:09:46] 但是我的计算机系统里面
[01:09:48] 可能有100个可以运行的线程
[01:09:51] 当我拿着钥匙的线程被中断以后
[01:09:55] 我可能操作系统会换另外一个线程
[01:09:57] 再上来运行一会
[01:09:58] 因为我们要公平的造成一个并发的假象
[01:10:01] 我现在有100个线程都要运行
[01:10:02] 那怎么办呢
[01:10:03] 我只能只能把一秒钟切成1000份
[01:10:05] 然后把1000份里面的第一份给你
[01:10:07] 第二份给他
[01:10:08] 第三份再给别人
[01:10:09] 这样才能造成一个在长时间尺度上
[01:10:12] 这些程序是并发的假象
[01:10:14] 好这下就惨了
[01:10:15] 持有自旋锁的只有那个刚才那个在spin
[01:10:18] 在exchange
[01:10:20] 得到了钥匙的线程被切换出去了
[01:10:23] 现在在CPU上呢
[01:10:24] 你看等于它
[01:10:25] 等于它被换到另外的另外一个世界上了
[01:10:28] 你想想这操作系统就是这个世界的管理员
[01:10:31] 他可以把这个人切换
[01:10:32] 比如说把这个线程扔到磁盘上
[01:10:33] 也是有可以可能的
[01:10:34] 甚至把这个线程可以做一个快照扔到另外一个
[01:10:37] 扔到另外一台计算机上运行都是可以的
[01:10:39] 有个叫CREO的工具
[01:10:41] 你们有兴趣的同学可以试一试
[01:10:43] CREO工具
[01:10:44] 可以把一个进程做一个快照
[01:10:45] 然后这个快照可以把这块照
[01:10:47] 丢到另外一台电脑上运行好
[01:10:48] 它就消失了
[01:10:49] 它消失以后可能要一年以后才会回来
[01:10:53] 那这个时候系统里面所有的人
[01:10:55] 又有一个线程换上来
[01:10:57] 他也想要得到这把锁
[01:10:58] 这个时候
[01:10:59] 系统里面百分之百的资源都被浪费掉了
[01:11:02] 对啊这显然显然不是你想要的
[01:11:04] 显然不是你想要的
[01:11:05] 所以呃一方面我们刚才那个原子指令
[01:11:09] exchange交换的方式确实实现了
[01:11:13] 能够实现正互斥
[01:11:15] 但是如果我们能把现在我们比如说拿想拿钥匙
[01:11:20] 拿不到这件事告诉操作系统
[01:11:22] 操作系统就可以做出更好的决策
[01:11:25] 像像我我换了一次没换到
[01:11:27] 我就能告诉操作系统哎
[01:11:29] 告诉管理员我先去睡觉了
[01:11:31] 能不能等到钥匙回来了再把我叫醒
[01:11:34] 这样他们没有拿到钥匙的人都去睡觉了
[01:11:38] 这样真正需要CPU可以运行的人就可以上来
[01:11:41] 上来也行了
[01:11:42] 所以你只要想要告诉操作系统
[01:11:43] 那当然是一个呃CISCO
[01:11:47] 所以这是一个线程自己解决不了的问题
[01:11:51] 必须通过系统调用
[01:11:52] 所以理论上说
[01:11:53] 我们可以这样
[01:11:54] 我们可以实现一个cs call
[01:11:56] acquire和CISCORRELEASE
[01:11:59] CISCO的块
[01:12:00] 这样我们可以把锁的实现放到内核里
[01:12:03] 放到内核里以后呢
[01:12:04] 内核会关中断
[01:12:06] 当然内核其实内核的锁既要关中断
[01:12:08] 又要像刚才那样自旋
[01:12:10] 刚才那个呃不断的exchange
[01:12:13] 这叫自旋锁
[01:12:15] 剩下的工作都交给内核
[01:12:17] 然后在内核里面如果发现这个锁没有了没
[01:12:22] 不存在
[01:12:23] 现在还没有归还它
[01:12:26] 就可以直接把这个线程变成睡眠的状态
[01:12:28] 直到然而且可以给它做一个标记
[01:12:31] 告诉呃他这样操系统内核
[01:12:34] 就知道这个线程等的是哪一把锁
[01:12:36] 等到那把锁被release的时候
[01:12:38] 钥匙回来的时候再把这个线程给给唤醒
[01:12:40] 这是这是完全没有没有问题的
[01:12:43] 然后这个系统里面
[01:12:45] LINUX里不是用acquire和release这两个系统来实现的
[01:12:49] 而是它有一个非常有趣的机制叫PHICSX
[01:12:55] 大家可以去看手册
[01:12:58] 当然PHICS是一个非常复杂的
[01:13:02] 非常非常复杂难以理解的呃机制
[01:13:06] 你们你们回去可以看这两个
[01:13:09] article其中有一个有一个第二个叫叫叫FIDEX
[01:13:14] Are tricky
[01:13:15] 它里面就吐槽了这个PHYSX非常难用
[01:13:20] 对这里有一个吐槽说rusty russell
[01:13:23] 他发布了一些一些代码
[01:13:26] 然后这个代码实际上是错的
[01:13:29] 然后他还还这应该是KEREL的每TAINER嘛
[01:13:32] 然后他他说
[01:13:33] 我还我对不起我
[01:13:34] No disrespect
[01:13:36] 这个弄错是很正常的
[01:13:37] I got it wrong the first first time as well
[01:13:40] 然后你你可以去看这里
[01:13:41] 这里讲这个FTX是呃是是什么
[01:13:44] 然后应该应该怎么用
[01:13:46] 就跟那个p con算法一样
[01:13:48] 它它这个比PON算法还要更更复杂
[01:13:51] 因为它一部分在用户台
[01:13:52] 一部分在呃在内内河滩
[01:13:57] 当然我们可以大概了解一下所谓的FTX叫fast music
[01:14:02] use space的MUTEX
[01:14:04] 它叫快速的用户空间的啊互斥
[01:14:07] 他有两两个操作
[01:14:08] 一个叫up
[01:14:09] 一个叫叫down
[01:14:10] 一个叫up
[01:14:11] 一个叫那当它可以一部分在有个fast pass在用户台
[01:14:16] 相当于如果我1change这个如果我牵制这个钥匙
[01:14:20] 我拿到了
[01:14:21] 我就不需要进入内核了
[01:14:22] 我就直接可以继续了
[01:14:23] 所以在没有人争抢这把锁的时候
[01:14:25] 我不需要进入内核
[01:14:26] 我只要一限制就行了
[01:14:28] 然后如果我发生了
[01:14:30] 比如说我甚至发现不是
[01:14:31] 我就需要有一个绝对正确的slow pass
[01:14:35] 大概是这样
[01:14:36] 这里的难点在于
[01:14:38] 你不仅要在acquire的时候
[01:14:42] the fast pass想要不进入内核
[01:14:44] 你在release的时候
