[00:00:00] 啊今天我们来讲一讲大家很熟悉的
[00:53:55] 你们如果用修do要输密码的时候
[00:53:57] 你按那个密码是不显示的
[00:53:59] 所有的这些行为
[00:54:00] 也就是说这个行编辑还是在驱动里面还是正常工作的
[00:54:05] 但是我以以往的在正常的时候
[00:54:08] 你你每当按一个键的时候
[00:54:10] 它会立即回显一个字符
[00:54:11] 但我如果把回响关掉的话
[00:54:13] 这个这个回显它也它它也没有了
[00:54:15] 对所以本质上呃是操作系统搞的鬼
[00:54:18] 当你按下比如说CTRL加C或者CTRL加D的时候
[00:54:22] 是end of text或者end of transmission的时候
[00:54:26] 你你按下那个键CTRL加C
[00:54:28] CTRL加D的时候
[00:54:29] 这个字符会被操作系统解读成另外一个含义送给进程
[00:54:32] 然后取决于不同的你程序怎么配置这个终端的驱动
[00:54:37] 它会变成什么样的行为
[00:54:39] 就像我前面说
[00:54:40] 我如果配置成所有的字符串
[00:54:42] 你的驱动都不要管
[00:54:43] 直接送到我的
[00:54:44] 送到我的程序里
[00:54:46] 那么呃你就会看到刚才那样我我我问什么他都退出不了
[00:54:50] 然后比较有意思的是
[00:54:51] 你可以用STTY杠A又来用用
[00:54:53] 用这个命令可以看到当前的终端支持的呃一些一些命令
[00:54:58] 比如说比如说interrupt等于CTRL加C
[00:55:02] quit等于CTRL加杠
[00:55:05] 这个可能你们不知道
[00:55:06] 就在你们CTRL加C无法退出的时候
[00:55:09] 你们可以用CTRL加杠来退出一下
[00:55:14] 你看我这按的是CTRL加杠
[00:55:15] 所以你看到他收到的这里提示的terminate by sic quit
[00:55:20] 不一样
[00:55:22] 如果yes NO
[00:55:24] 我按CTRL加C
[00:55:25] 你看到是CTRL加C
[00:55:26] 但是我我如果是这个
[00:55:29] 你看到的是这个CTRL加杠secret
[00:55:32] 而且是你看到是看到是一个更
[00:55:36] 就当我yes按CTRL加C的时候
[00:55:38] 它是一个正常退出
[00:55:40] 它告诉我
[00:55:41] 你按CTRL加C退出了
[00:55:42] 但是呃在我yes的时候
[00:55:44] 我按CTRL加杠
[00:55:46] 它是一个异常的异常的退出
[00:55:48] 然后STY杠A还告诉你一些其他的吧
[00:55:50] 比如说CTRL加D也是有的
[00:55:51] 你看按到fire
[00:55:53] End of transmission
[00:55:54] end of f uf是CTRL加D
[00:55:57] 没有
[00:55:58] end of fly啊等等
[00:56:00] OK对
[00:56:02] 所以操作系统到底在CTRL加C的时候干了什么
[00:56:06] 我们现在解开了一个谜题
[00:56:08] 就是在行编辑的
[00:56:11] 在colonical mode底下
[00:56:12] 只有在这个模式底下
[00:56:13] 你按比如说CTRL加C
[00:56:18] 然后这个字符被操作系统知道
[00:56:20] 它才会试图去给你发送一个interrupt
[00:56:23] 这叫interrupt
[00:56:25] 在在这个是中端配置
[00:56:27] 就整个驱动是驱动程序配置的一部分
[00:56:31] 这个中终端interrupt是CTRL加C
[00:56:34] 你甚至可以把它把它改成另外一个按键
[00:56:36] 都是
[00:56:38] 都是都是可以的
[00:56:39] 好那这个问题解决了以后
[00:56:42] 更麻烦的更麻烦的是
[00:56:45] 我们知道操作系统里面的进程是一颗很大的进程树
[00:56:50] 比如说p s tree
[00:56:51] 你一个很大的进程数
[00:56:54] 下一个问题你们可能也想过
[00:56:57] 当我按下CTRL加C的时候
[00:57:00] 到底哪些程序要被杀掉
[00:57:02] 哪些进程要被杀掉
[00:57:04] 你越想这个问题越可怕
[00:57:07] 你想想看我我按下CTRL加C的时候
[00:57:11] 我在这按一下CTRL加Z
[00:57:13] 为什么为什么在这里的vs code安然无恙呢
[00:57:18] 或者说我在这里
[00:57:19] 我这儿也也开
[00:57:20] 我这儿有个yes
[00:57:21] 我yes
[00:57:22] 我在这肯定加C
[00:57:23] 我想我当时我说我这个时候真的想要杀掉这个yes
[00:57:28] 那为什么不是其他的程序呢
[00:57:31] 如果我的yes
[00:57:32] 这个yes又创建了一个紫禁城
[00:57:34] 你呃你马上就就想
[00:57:36] 这事情越想越可怕
[00:57:37] 如果如果是这样的一个一一个程序
[00:57:41] 我先fork
[00:57:43] 然后while true
[00:57:45] 然后yes
[00:57:46] Print yes
[00:57:48] 那我按下CTRL加C的时候
[00:57:50] 是杀掉一个还是杀掉全部
[00:57:53] 如果他杀掉的是全部
[00:57:55] 他到底应该杀掉谁
[00:57:57] 然后你你又知道这个fork我们也有专门有一段代码展示
[00:58:02] 如果我的进程的父进程死了
[00:58:05] 我这个进程就会变成一号进程的孩子
[00:58:09] 所以你们可能马上会想
[00:58:11] 因为我我我for款完了以后
[00:58:12] 他有一个父子关系
[00:58:14] 你就这样想
[00:58:14] 我现在可以创建一
[00:58:15] 我可以创建一大堆
[00:58:17] 然后我我就我可以创建一大堆进程
[00:58:19] 每个进程都不停的打印
[00:58:20] Yes
[00:58:21] 然后我现在比如说100号
[00:58:23] 他有一个孩子是101号
[00:58:25] 102号
[00:58:27] 这些都在不停的打yes
[00:58:28] 然后然后这时候又有
[00:58:29] 比如说我创建了103号
[00:58:31] 然后又创建了104号
[00:58:32] 但是103号进程死掉了
[00:58:34] 然后最后104号就变成了一的
[00:58:39] 一的孩子
[00:58:40] 那这个时候我按CTRL加C104号还能被杀掉吗
[00:58:45] 你们觉得应不应该被杀掉
[00:58:47] 应该
[00:58:48] 因为他都是都是由我fork出来的程序
[00:58:53] 不停的打印
[00:58:54] Yes
[00:58:54] 只是因为我的父亲104的父亲不小心被可能因为别的原因
[00:58:58] 他他提前结束了
[00:59:00] 那我按下CTRL加C的时候
[00:59:02] 我希望的是把所有这些东西就就这些东西杀掉
[00:59:06] 其他的什么东西都不能动
[00:59:08] 这件事情到底是怎么办到的
[00:59:10] 你越想这个这个越越可怕
[00:59:13] 到底还有什么东西
[00:59:16] 我不知道才能实现准精准的把这些进程给给杀掉
[00:59:20] 当然在讲一个CTRL加C是怎么把进程杀掉之前
[00:59:25] 如果啊如果一个应用程序收到了CTRL加C这个收所谓的
[00:59:29] 然后要充值
[00:59:30] 所谓所谓的interrupt
[00:59:31] 它实际上是收到了一个信号
[00:59:33] 这里我们有一个
[00:59:35] 就如果你假设只有一个进程
[00:59:37] 其实世界里面只有一个进程
[00:59:39] 世界还是比较对你比较温柔的呃这个这个代码是这样的
[00:59:44] 我们有很多
[00:59:44] 比如说sign int或者sea create
[00:59:46] 就是各种各样的信号
[00:59:48] 本质上它就是在程序运行的过程当中
[00:59:52] 你可以强行跳转到另外一个地方执行这个程序
[00:59:56] 正在运行
[00:59:56] 随便运行什么
[00:59:57] 比如说
[00:59:57] 我在Y21
[00:59:58] 我自己在在Y1再计算I等于I加一
[01:00:00] 我这个死循环
[01:00:02] 我也可以跳转到呃这个信号的handler
[01:00:05] 然后如果我比如说我现在现在现在的print f在打印
[01:00:08] 那也可以跳转到啊signal handler
[01:00:10] 所以我如果在程序开头的时候
[01:00:12] 我用signal
[01:00:13] 注册这样的一个
[01:00:14] 比如说呃我对西格西格int和secret我都注册一个同样的HANDA
[01:00:19] 同样的handler
[01:00:20] 而这handler会检查信号的编号
[01:00:23] 如果是sign int的话
[01:00:24] 我会呃我我会打印一个receive sigint
[01:00:28] 然后我就什么也不做
[01:00:29] 那如果是secret的话
[01:00:31] 我会呃打印一个receive secreate
[01:00:33] 然后执行exit
[01:00:34] 那注意exit时候我还用艾特exit
[01:00:36] 特别注册了一个clean up的函数
[01:00:39] 我希望在在结束的时候再打印一个啊at t x的clean up
[01:00:45] 然后然后剩下的就是我不断的从呃SDN里面里面读取好
[01:00:50] 那如果我运行这个程序的话
[01:00:53] 如果运行这个程序
[01:00:55] 那我我不断的输输入
[01:00:58] 我可以输入数据
[01:00:59] 然后这个时候我按CTRL加C诶
[01:01:02] 你就会看到有一段看起来像死代码的代码
[01:01:06] 也就是这个handler没有人去主动调用它
[01:01:11] 我的程序是不主动调用这个handler的
[01:01:14] 但是因为我在程序开头的时候
[01:01:16] 我用了signal说我希望在收到sign int这个信号的时候
[01:01:21] 我要去调用panda
[01:01:22] 所以无论我现在这个程序在干什么
[01:01:24] 你看我现在这个程序在正常的正常的运行
[01:01:27] 应该是sleep
[01:01:28] 我每每收到一个东西
[01:01:29] 我就会sleep1
[01:01:30] 所以所以我可以给他一下
[01:01:31] 给他好多这个程序还在运行的时候
[01:01:35] 我还是可以给它收到
[01:01:37] 收到是个int
[01:01:38] 他马上就能打印出来
[01:01:40] 然后如果我按CTRL加反斜杠
[01:01:41] 我给他一个西格quit诶
[01:01:43] 他就能够呃正常退出了
[01:01:45] 所以呃我们知道
[01:01:47] 当我们现在按下CTRL加C的时候
[01:01:50] 我呃教科书上当然说的是对的
[01:01:54] 操作系统也是这个驱动程序会给这个进程发送一个sign in interrupt
[01:02:00] 然后这个SIGNINT如果如果我们没有用
[01:02:03] 我可以改一下这个程序
[01:02:05] 如果我们没有用
[01:02:07] 没有用这个signal的handler
[01:02:09] 我把这这行注释掉
[01:02:11] 注释掉以后我再去运行它
[01:02:15] 哎你就看到和那个yes的行为一样了
[01:02:18] Seein int
[01:02:19] 我我说到sign int以后
[01:02:20] 默认的C信号的handler会说
[01:02:23] 对不起
[01:02:24] 我就呃退出吧
[01:02:26] 因为因为这是打断打断你
[01:02:28] 默认的行为就是你
[01:02:30] 你就可以正常的啊正常的退出
[01:02:33] 这是它的默认的默认的行为
[01:02:36] 然后和signal相相应的是
[01:02:39] 我可以有有另外一个
[01:02:43] 我开一个tmux
[01:02:51] 好呃现在我的signal这个程序正在正在运行
[01:02:57] 我我如果按CTRL加C的话
[01:02:59] 我就可以看到
[01:03:01] 他收到了一个是呃SIGINT
[01:03:04] 然后我们还有另外一个系统里面的呃程序我们可以用Q主动的
[01:03:13] 就是我我自己在另外一个程序上给另外一个进程发送信号
[01:03:17] 这个就也就是说这个西格int我给他发送信号
[01:03:20] 可以是终端这个终端给他发的
[01:03:23] 终端终端给他发的
[01:03:24] 也可以是另外一个进程给他发的
[01:03:25] 比如说我可以Q杠C1个int
[01:03:30] 编编号18834哎
[01:03:33] 你看到上面打出了一个receive sin好
[01:03:37] 我这个效果和效果和我按CTRL加C
[01:03:40] 在这个终端上面按CTRL加C是完全一样的
[01:03:42] 因为这他就是就是一样的同一份代码被调用
[01:03:46] 然后那个print f被执行
[01:03:48] 它就是代码完全一样的代码
[01:03:51] 这就是它的底层的操作系统的机制
[01:03:54] 但是这个没有回答那个最麻烦的
[01:03:59] 没有回答最麻烦的问题
[01:04:01] CTRL加C这个sign int到底发给谁了
[01:04:05] 你们想一想
[01:04:06] 如果你有两个程序
[01:04:08] 就你们写一个bug
[01:04:10] 它会不停的向终端输出打印
[01:04:14] 你按CTRL加C是不是无论你创建多少个进程
[01:04:17] 它都被杀掉了
[01:04:18] 如果你们在写代码的时候写过这个bug
[01:04:21] 你们就知道CTRL加C
[01:04:23] 它不是不是说你你你有个父进程
[01:04:26] 一个紫禁城
[01:04:27] 你父进程杀掉了紫禁城
[01:04:29] 还在不停的往外大数据
[01:04:31] 这不是你想要的
[01:04:33] 这不是你想要的
[01:04:34] 那UNIX为了确定到底应该杀掉谁
[01:04:39] 这个做了一个非常大费周章的设计
[01:04:43] 这个设计我今天就讲一下
[01:04:44] 你们且当听一下
[01:04:46] 呃不需要知道
[01:04:47] 不需要了解
[01:04:48] 因为这是一个我觉得某种意义上是一个历史的呃遗留问题
[01:04:52] 并且这个历史遗留问题应该被被解决掉
[01:04:55] 应该就这个设计应该被从世界上抹掉
[01:04:58] 但anyway
[01:04:59] 你需要的是就UNIX的设计者在在那个时代面临这样的一个问题
[01:05:04] 我按CTRL加C到底把谁杀掉
[01:05:07] fork会产生树状的结构
[01:05:09] 可能会有托孤的行为
[01:05:11] 会有这个104进程变成一的一的孩子
[01:05:15] 然后CTRL加C就应该终止所有前台的进程
[01:05:18] 但是又不能误伤后台所有的呃进程
[01:05:22] 然后所以就有了呃UNIX里面的session和process group
[01:05:26] 所以这个session和和那个什么所谓的logging session是稍微有一点不一样
[01:05:31] 但是它又又有很大的呃很大的关系
[01:05:36] 这个每当我们启动一个一个进程的时候
[01:05:40] 每当我们启动一个进程的时候
[01:05:42] 他都会继承他父进程的session
[01:05:45] 而刚才我们说你在登录的时候
[01:05:48] 你在登录的时候
[01:05:49] 或者说你在SSH在呃嗯在连接上去的时候
[01:05:56] 你都会有一个都会有一个一个session
[01:06:00] 然后这是一个session
[01:06:01] session可以可以很大
[01:06:02] 然后每一个session都有一个controlling term
[01:06:04] 有一个有一个控制终端
[01:06:07] 然后在session的基础上又有另外一个概念叫做进程组
[01:06:11] 叫process group
[01:06:12] 所以这是怎么
[01:06:13] 就是就因为你看啊我们的呃呃你们还不知道的是我们的share
[01:06:21] 我们比如说我们的bash有一个和windows里面多进程
[01:06:26] 多任务几乎完全相同的功能和模式
[01:06:31] 我先我先开一个BH
[01:06:32] 开一个BH
[01:06:33] 比如说呃你们在
[01:06:36] 我现在只有这个终端
[01:06:37] 你们在windows里面
[01:06:39] 如果你想要编辑一个文件
[01:06:42] 你们会怎么办呢
[01:06:43] 你直接双击它
[01:06:45] 双击它就意味着在我的
[01:06:49] 我这里我可以用WM打开一个文件一样的
[01:06:52] 这就相当于双击双击好打开了
[01:06:56] 那接下来呃可能我在上课的时候展示的时候
[01:06:59] 99%的情况我我不要
[01:07:02] 我就把它把它关掉
[01:07:03] 但是假设我现在现在
[01:07:05] 我是在batch里面做和windows一样的事情
[01:07:09] 你现在想要编辑另外一个文件
[01:07:11] 你会怎么办呢
[01:07:13] 你不会把它关掉的
[01:07:14] 你会把它最小化
[01:07:17] 那这里能最小化吗
[01:07:19] BH没有
[01:07:21] 我我甚至在只有一个VT100的时候
[01:07:25] 连鼠标这个东西都没有
[01:07:27] 这里也没有一个最小化的按钮
[01:07:30] 那我有可能把这个程序最小化吗
[01:07:32] 有的你按CTRL加Z哎
[01:07:37] 没了没了
[01:07:40] 但是这个程序没有没有终止
[01:07:42] 我还可以再比如说我再再去编辑另外一个文件好
[01:07:48] 我可以用一个叫jobs的命令
[01:07:51] 这个jobs就相当于你们在windows上面按alt tab on tab会得到那个窗口
[01:07:57] 会轮换那个窗口
[01:07:58] 或者windows加tab
[01:07:59] 你会轮轮换那个它那个窗口
[01:08:02] 然后轮换窗口的时候你就知道
[01:08:04] 我现在有两已经打开了两个
[01:08:06] 两个窗口
[01:08:07] 然后甚至我也可以
[01:08:08] 比如说我就一个yes
[01:08:09] 就不停的输出yes的诶
[01:08:11] 我也可以切换到后台
[01:08:13] 当然现在切换到后台以后
[01:08:15] 直接程序默认都都暂停了
[01:08:17] 都暂停在那里
[01:08:18] 但我也可以比如说让它
[01:08:20] 让这个程序继续在后台运行
[01:08:23] 在后台继续向后运行
[01:08:26] 比如说我用background哎
[01:08:30] 我让3号呃到后台继续运行
[01:08:33] 我可以把他挪到前台
[01:08:36] 然后把他杀掉
[01:08:37] CTRL加C
[01:08:40] jobs哎
[01:08:42] 这不就是和你的windows里面
[01:08:45] 你你启动一个应用程序
[01:08:48] 它有一个窗口
[01:08:49] 你再双击启动另外一个应用程序
[01:08:51] 然后你可以再几个程序之间切换
[01:08:54] 完全一模一样的嘛
[01:08:55] 我在这里可以开无数个窗口
[01:08:57] 然后我刚才我按CTRL加Z就把它最小化
[01:09:00] 然后我可以FG刚才那个比如说我可以FG百分百分号二或者一
[01:09:05] 我现在想回一
[01:09:07] 哎摁错了
[01:09:11] 我要我要我给他
[01:09:13] for gram到到前台来
[01:09:15] 他又回来了
[01:09:15] 然后我CTRL加Z他又回去了
[01:09:17] 这不就和你们windows里面操作窗口的逻辑一样
[01:09:20] 只不过我现在终端里面一次只能显示一个一一个应用
[01:09:25] 应用而已
[01:09:26] 而这个背后就是我刚才说的那个很讨厌的
[01:09:29] 什么session process group
[01:09:31] 然后这些这些概念的引入就是为了知道CTRL加C可以给谁
[01:09:40] 当然不不百分百绝对
[01:09:41] 当然它还有这个job control
[01:09:42] 他为了当然是为了job control
[01:09:44] 是为了能够实现一个像你在windows里面那样可以out the table来切换程序
[01:09:49] 这样的功能
[01:09:50] 来做的一整一整一整套机制
[01:09:52] 所以你看到的所谓的这个我在fork里面创建的好多好多个紫禁城
[01:09:59] 虽然在树状近成树的结构上
[01:10:02] 它已经没有父子关系了
[01:10:04] 但是因为我创建的时候
[01:10:07] 尤其是我是我在shell bash里面
[01:10:09] 我我启动一个新程序的时候
[01:10:11] 我会为它分配一个新的进程组
[01:10:14] 就像你在windows双击的时候
[01:10:16] 我会给它一个新的窗口
[01:10:17] 这是shell干的事
[01:10:19] 它会给你分配一个新的进程组
[01:10:21] 然后默认的时候每当你创建进程的时候
[01:10:25] 你的你创建出来的进程都会继承子进程的进程组
[01:10:29] 当然我们有一个系统调用
[01:10:31] 有一个系统调用
[01:10:33] 可以呃可以去改变自己的进程组哈
[01:10:36] 那这都是操作系统为我们提供的呃提供的API
[01:10:40] 然后就是因为这个隐藏的进程组
[01:10:42] 这个process group i DP g i id呃的存在
[01:10:47] 所以到底是哪一个应用程序就被分开了
[01:10:51] 然后分开以后你就可以终于知道
[01:10:55] 这个CTRL加C他的行为是什么
[01:10:58] CTRL加C的行为是
[01:11:01] 操作系统会给前台的进程组的所有的进程都发送seek int
[01:11:07] 你就知道
[01:11:08] 这个事情设计是正确的
[01:11:10] 他可以正确的把前台的进程至少呃如果如果他他不忽略SIGINT的话
[01:11:16] 他都会收到所有的进程都会收到啊sin
[01:11:21] 所以这是一个非常粗暴的
[01:11:23] 一个非常粗暴的呵呃呃解决方法
[01:11:26] 甚至还有更多的嗯粗暴和让你感到不舒服的地方
[01:11:30] 比如说你们有没有租过一些云主机
[01:11:33] 然后如果你们租云主机的话
[01:11:35] 比如说我我现在呃这样
[01:11:37] 这样
[01:11:38] 我的我的云主机
[01:11:39] 然后如果我的我的云主机上
[01:11:42] 如比如你现在在干什么
[01:11:44] 你你vi或者你再跑一个long running program
[01:11:48] Long long program
[01:11:49] 然后如果这个呃网络连接突然断了
[01:11:54] 而你这个程序就终止了
[01:11:57] 你你你跑了
[01:11:58] 我不知道你们有没有在云上面跑过
[01:12:00] 比如说再租一个以极低的价格
[01:12:02] 因为你们有学生的身份可以薅一个羊毛
[01:12:04] 然后以极低的价格租到GPU
[01:12:06] 然后你可以在GPU上面训练一个什么东西
[01:12:08] 就不用自己买了
[01:12:09] 然后你你跑一个要很长时间的程序
[01:12:11] 这很正常嘛
[01:12:12] 你跟你平时你在你自己的终端里面就是这样跑的
[01:12:15] 但是你没有想到的是
[01:12:16] 网络连接断了以后
[01:12:17] 你的程序也终止了
[01:12:18] 然后你必须从头开始再跑
[01:12:20] 在旁边你呃你很讨厌
[01:12:22] 然后这些全部都是和刚才我们看到那个图上有关的
[01:12:26] 是因为你在登录的时候
[01:12:28] 比如SH登陆的时候
[01:12:29] 或者你真的是TTY登录的时候
[01:12:31] 会引入一个叫session
[01:12:33] 一个最大的分组
[01:12:34] 紫禁城会呃继承父进程的session id
[01:12:38] 然后每一个session都会关联一个呃控制终端
[01:12:41] 然后当这个session的leader退出的时候
[01:12:43] 全体整个session里面所有的进程都会收到一个叫叫SIGHUP
[01:12:48] 就sick up
[01:12:49] 然后这个收到这个信号以后
[01:12:52] 进程默认的行为就是退出
[01:12:55] 所以你们知道有一个命叫NO help
[01:12:57] 就不要说说请你忽略的
[01:12:59] 我要忽略掉这个这个hand up的呃信号
[01:13:03] 才可以继续执行
[01:13:04] 或者用一个tmux
[01:13:05] 你用一个tmux tmux会
[01:13:08] 呃他不会收到那个呃sic hub的型号
[01:13:11] 所以它可以继续在在后台运行
[01:13:13] 然后在这个session里面又有了这个进程组
[01:13:15] 就是为了呃做做CTRL加C
[01:13:18] 然相应的也有一系列的操作系统的AAPI
[01:13:23] set sid get sid对
[01:13:27] 这是一个系统调用2号的手册
[01:13:30] CISCO他说create a session
[01:13:32] Set process group id
[01:13:34] 然后还有set pg id
[01:13:37] 还有tc set pgp group
[01:13:41] 这是什么
[01:13:41] We don't know
[01:13:42] 然后你你如果继续看
[01:13:44] 比如说操作系统
[01:13:44] 因为我们有crazy os嘛
[01:13:46] 最早时候我们讲的很简单
[01:13:47] 操作系统就是一个呃thwap the pro
[01:13:49] 然后你把东西写进去就行了
[01:13:50] 然后在进程里面还有呃u i d effective
[01:13:54] U i d save u i d
[01:13:56] 就随着UNIX系统的增长
[01:13:58] 我们为了为了解决各种各样的问题
[01:14:00] 他打了无穷多的补丁
[01:14:02] 然后等到2025年的时候
[01:14:04] 2026年的时候又发现这些补丁可能其实并不是那么需要的
[01:14:09] 比如说啊比如说呃刚才刚才我们呃刚才我们其实已经展示了
[01:14:15] 做这么多的呃麻烦都是为了实现
[01:14:21] 类似一个窗口管理器
[01:14:23] windows窗口管理器的一个呃呃java control
[01:14:27] 然后job control
[01:14:28] 刚才我们我们已经给大家演示了
[01:14:30] 就像你们的最大化最小化
[01:14:32] 关闭叉叉按钮
[01:14:33] 这些按钮全部都是可以
[01:14:35] 可以实现的
[01:14:36] 然后你最小化的时候
[01:14:37] 他会发一个six stop stop
[01:14:39] 然后你你在做进程的切换的时候
[01:14:42] 会用这个呃tc set pg group这个系统调用去标记哪一个进程是前台
[01:14:49] 哪一个进程是后台
[01:14:50] 还记得刚才我们有有前台和后台吗
[01:14:52] 然后只有前台的那个进程才会收到CTRL加C的SIGINT
[01:14:56] 在后台的是不会的
[01:14:58] 后台的进程可以继续运行
[01:14:59] 但我按CTRL加C永远只能影响前台的进程
[01:15:02] 然后如果我没有前台的进程
[01:15:03] 我我按CTRL加C没有没有任何的程序会受到影响
[01:15:06] 我后台进程还是照样的跑
[01:15:07] 我后台可以跑个yes
[01:15:09] Yes
[01:15:09] 不停的在呃不停的在输出
[01:15:11] 对这是一个非常难受的历史遗留问题
[01:15:15] 而且甚至它成为了POSIX标准的一部分
[01:15:17] 一旦它成为了标准的一部分
[01:15:19] 那就没有办法了
[01:15:20] 任何声称对POSIX兼容的人
[01:15:22] 必须实现这个机制
[01:15:23] 才能和上面的各种各样的软件
[01:15:26] 像BH啊这种东西保持兼容
[01:15:27] 如果你不实现这个机制
[01:15:29] 你可以说它不好
[01:15:30] 但是你不实现也没有办法运用这个开源生态里面所有的这些
[01:15:35] 已经依赖了这个标准接口的
[01:15:38] 这些这些软件
[01:15:39] 但其实如果你回头来想
[01:15:41] 你并不需要绑定进程到设备
[01:15:45] 对啊并不绝对的需要
[01:15:46] 比如说android
[01:15:47] 每个android有一个很有意思的设计
[01:15:51] 每一个app都是一个不同的用户
[01:15:54] 每个app都是一个单独的用户
[01:15:56] 这样实就借用了LINUX的权限隔离
[01:15:59] 我自己的我我作为一个用户
[01:16:01] 我不能访问随随便访问另外一个用户的任何东西都不能随便访问
[01:16:05] 除非另一个用户以某种方式啊允许我
[01:16:07] 然后所以呃你们看到android有一个呃功能叫做叫做强行终止
[01:16:13] 有有很多流氓应用程序
[01:16:16] 它会一直驻留在后台
[01:16:17] 除非你强行终止
[01:16:18] 但你就算强行终止
[01:16:19] 它也还可能有别的办法可以拉起来
[01:16:22] 然后然后这个代码我们也看过
[01:16:24] 所谓的强行终止
[01:16:25] 就是在在操作系统里面直接遍历所有UID
[01:16:29] 就这个用户属于这个用户的所有的进程
[01:16:32] 然后全部都杀一遍
[01:16:33] 这个强行终止给一个seek q
[01:16:36] 然后他就啊他就被删掉了
[01:16:37] 这个完全OK
[01:16:38] 然后你就不需要什么controlling terminal这些对
[01:16:41] 因为android本身它是一个面向面向我们图形界面的一个啊这样的程序
[01:16:46] 然后然后也有一些程序
[01:16:48] 比如说像step这种程序是在完全隔离的沙箱里面运行
[01:16:51] 我们完全可以一个一个程序提起来
[01:16:53] 就这样想吧
[01:16:54] 我不需要用process group
[01:16:56] 我们今天有容器有虚拟机
[01:16:58] 有有name space
[01:17:00] 有有c groups
[01:17:02] 我们就好像是当一个程序启动的时候
[01:17:05] 它就在一个虚拟机里
[01:17:07] 然后当你想要把他杀掉的时候
[01:17:08] 你就把这个虚拟机关掉
[01:17:10] 这就这也是一个有点像是
[01:17:14] 因为在虚拟机里创建的程序还是属于同一个虚拟机
[01:17:17] 继承了这个pg i d
[01:17:18] 但是因为在我们当时设计进程组
[01:17:22] 设计session的时候
[01:17:23] 还没有想到未来会有容器
[01:17:25] docker容器这样的东西
[01:17:26] 呃所以他被迫是做了一个work around的
[01:17:29] 但这个work work work around就最终活到了
[01:17:32] 活到了现在这
[01:17:35] 但如果有一个机会去重新设计一个
[01:17:38] 重新设计一个系统的话
[01:17:39] 你可以做的更好
[01:17:40] 这也是我觉得AI时代
[01:17:42] 可能呃所有的同学们都可以
[01:17:47] 呃都可以去突围的一个地方
[01:17:49] 因为呃比如说大厂或者为了维护了老代码的人
[01:17:53] 他必须要遵守旧的标准
[01:17:54] 但如果你你你能够有一个胆量说你要把旧的世界整个都破坏掉
[01:17:59] 你要建一个新的世界
[01:18:00] 新的秩序
[01:18:01] 我觉得呃这个呃可能是可能会有机会的
[01:18:04] 尤其是可以外部coding
[01:18:07] 好这是终端和job control
[01:18:10] 就算是我已经把终端的几乎所有你能够需要知道的东西
[01:18:15] 就全部都讲讲明白了
[01:18:18] 呃最后你们你们的first principle是你们回到终端
[01:18:23] 只是和计算机操作系统交换字符
[01:18:26] 其他所有的行为都是你可以定义的
[01:18:28] 或者说你作为操作系统设计者可以定义的
[01:18:30] 然后最终操作系统设计者
[01:18:32] 收敛到了这样的一个方案
[01:18:33] 仅此而已
[01:18:34] OK好
[01:18:37] 那有了终端以后
[01:18:38] 我们呃就可以讲一讲share share
[01:18:42] 也就是我们现在现在你看到这个以dollar
[01:18:47] 一个dollar
[01:18:49] 给你输入呃文件的
[01:18:52] 输入这样的呃命令的一个小小程序
[01:18:56] 然后这个程序真的是你们每一个人都能写得出来的
[01:19:00] 这个程序比你想的要简单
[01:19:02] 如果你你不要这种什么job control这种这种什么
[01:19:05] 你要你要呃收到CTRL加Z以后要把什么东西丢到丢到后台去
[01:19:10] 用那种系统再用的话
[01:19:13] 它是一个同步的流程
[01:19:14] 你只需要大概是这样
[01:19:16] 比如说呃你Y1
[01:19:17] 然后你用一个read系统调用
[01:19:19] 从呃从STN里面得到一个输入
[01:19:24] 当然你可以先先print f f一个
[01:19:26] 对可以这样
[01:19:27] 然后你可以用read系统再用读一个输入
[01:19:30] 然后你你你execute common好
[01:19:34] 你就可以实现一个shell
[01:19:35] 而最早的share真的就是这样的
[01:19:37] 我今天其实有一份示例的代码
[01:19:39] 就是呃就是一个最小最小最小一个zero dependency的unix shell
[01:19:45] 就没有任何的依赖
[01:19:47] 没有任何甚至连一个库函数都没有
[01:19:50] 一个库函数都不依赖的
[01:19:52] excel从XVUE里面偷偷出来的
[01:19:56] 然后这个shell
[01:19:58] 当然你们会知道这是一个命令
[01:19:59] 这个命令行的呃什么东西它可以运行命令
[01:20:03] 但其实呃在它是unix philosophy的载体
[01:20:08] 它是unix philosophy背后的编程语言
[01:20:11] 还记得unix philosophy
[01:20:12] 他说keep it simple stupid
[01:20:15] 他希望让每一个工具都能够做一件事情
[01:20:17] 并且把它做好
[01:20:18] 然后他要把工具连起来
[01:20:20] 用文本的接口
[01:20:21] 用管道把一个程序的输出交给另外一个程序做
[01:20:25] 做输入
[01:20:26] 然后背后这件事情呃相当大的程度是用unix shell的编程语言支撑的
[01:20:31] 你们有想过吗
[01:20:32] 这其实是一个编程语言
[01:20:34] 所以所以有一个呃挺挺有意思的
[01:20:38] 笑话吧
[01:20:39] 可能是程序员笑话就是当你当你坐在LINUX面前
[01:20:43] 就当你坐在VT100面前的时候
[01:20:45] 你按下的每一个字符都是在编程
[01:20:49] 所以你们就是编程的
[01:20:50] 就程序员就是编程的命
[01:20:51] 哪怕你你是好像是在在这个整理自己的文件
[01:20:55] 或者在什么
[01:20:56] 因为你的你输出的每一个命令
