[00:00:00] 好我我们前面已经讲了virtualization和concurrency
[00:47:49] 像像PC是是刚才说那个你看那个CPU的SPECIICATION
[00:47:53] 它会告诉你CPU上面有多少条
[00:47:55] P c i e lines length
[00:47:56] 比如说40条这样
[00:47:58] 然后它它会分成几个部分
[00:47:59] 比如说有些可以给显卡
[00:48:01] 有些十六十六条可以给显卡
[00:48:03] 然后四条可以给你的NNVME
[00:48:05] 这样分分完了以后
[00:48:06] 你的每一个这样的高速设备
[00:48:08] 都可以享受足够的啊带宽
[00:48:10] 它由CPU会负责这个总线和内存的连接
[00:48:14] 注意总线是可以DI刚才我提到总线是可以
[00:48:17] DMA的总线是可以和内存直连的
[00:48:19] 然后这里面就涉及到内存的一致性是吧
[00:48:22] 内存一直用我的CPU也会访问内存
[00:48:24] CPU有catch hirocky
[00:48:25] 然后那个
[00:48:27] 我们的PCIE总线也可以访问内存
[00:48:30] 然后为了让让整体的这个变得很一致
[00:48:33] 我们的PC是直接把PCIE类
[00:48:36] 放在CPU里的
[00:48:37] 然后这样像比如说如果是arm的系统的话
[00:48:39] 就不太一样
[00:48:40] 他们的内存PCIE都挂在一个高速的
[00:48:42] 总线上
[00:48:43] 然后由这个高速总线来完成
[00:48:45] coherence的
[00:48:46] 就内存的内存的一致性
[00:48:48] 当然这个比较细节的
[00:48:49] 你们暂时应该是用不到
[00:48:50] 不需要知道这些这些细节的
[00:48:52] 然后像比如说现在的这个PCIE
[00:48:54] 6.016的带宽可以到128G
[00:48:56] 就是说你可以得到一个800GBPS的网卡
[00:48:59] 这是一个非常离谱的速度
[00:49:01] 对哈
[00:49:01] 然后总线我刚才说也是自带自带DMA的
[00:49:05] 这样你就可以高速的
[00:49:06] 刚才我们说的总线总
[00:49:08] 你需要在CPU里面把大量的数据
[00:49:11] 比如说游戏里面
[00:49:12] 你就需要把那个场景的各种材质和贴图
[00:49:14] 你们看到那个游戏有些游戏加载的时候
[00:49:16] 那个读条很长
[00:49:17] 那个读条很长
[00:49:19] 其实并不是说GPU花了很大的代价
[00:49:21] 在算那个初始的场景
[00:49:23] 而是你需要把那些高清的贴图
[00:49:26] 可能很大的数据你要从你的硬盘上面读出来
[00:49:29] 读出来以后再从DMA传传送给这个呃游戏
[00:49:33] 所以如果你有一个高速的SSD的话
[00:49:35] 你的加载会会快很多
[00:49:37] 它需要它需要在显存和内存之间搬运
[00:49:39] 比较多的
[00:49:41] 数据当然也会执行一些计算
[00:49:42] 可能也会啊也会花一些时间
[00:49:45] 但相比来说
[00:49:45] 这个磁盘IO的时间会是呃会使更多的
[00:49:49] 然后包括现在像这个总线
[00:49:50] 它还支持供电
[00:49:51] 它默认支持一个75瓦的供电
[00:49:53] 所以你如果有一个更高功率的显卡的话
[00:49:55] 就需要6pin或者呃或者8ping的对
[00:50:00] 有6pin和8pin的
[00:50:02] 供电口
[00:50:04] 然后我们现在的这些真正高速的设备
[00:50:06] 像FPGA显卡网卡
[00:50:09] NMMME都是连在我们的PCIE总线上的
[00:50:13] 然后基于PCIE总线的物理层
[00:50:15] 还诞生了一种更呃夸张的协议
[00:50:20] 叫CXL叫computer express link
[00:50:22] 你可以认为它是下一代的这个另一种
[00:50:24] 数据中心里面常用的一种一种总线
[00:50:27] 它有它有三个protocol
[00:50:28] 一个是IO
[00:50:29] 一个是cash
[00:50:30] 一个是memory
[00:50:31] 所以你看到他的野心
[00:50:32] 就是它不再是把这个像像显卡
[00:50:36] 或者我们说的打印机这样的设备
[00:50:37] 这种canonical colonio device的model conneo device
[00:50:40] 就说哈
[00:50:41] 我的设备
[00:50:42] 本质上我是一个可能是一个比较慢的东西
[00:50:45] 或者是一个它和物理世界交互的东西
[00:50:48] 然后它通过register和我的
[00:50:52] host就是我的CPU交换数据
[00:50:54] 然后但是他的野心在于
[00:50:56] 他希望有一个总线
[00:50:59] 可以直接在远端和我共享内存
[00:51:02] 它允许
[00:51:04] 首先呃首先它可以在本地和一个显卡共享
[00:51:07] 共享一个呃高带宽的内存
[00:51:10] 以及它最夸张的feature是
[00:51:12] 它可以共享另外一台计算机上的内存
[00:51:14] 然后他们有一个高速网络互联
[00:51:17] 来实现数据的传送呃这就很离谱了
[00:51:21] 你就可以得到这个disagregated data center
[00:51:23] 就是呃就是你你你一个服务器
[00:51:26] 我一个CPU
[00:51:26] 然后我这个CPU本地当然肯定是有内存的
[00:51:28] 因为你只有本地的内存访问才够快
[00:51:31] 但我本地不需要那么大内存
[00:51:32] 但是我在呃远端可能只有16G的
[00:51:35] 一个共享的大的内存
[00:51:37] 然后这个16G的内存对我来说
[00:51:38] 每一个内存都是可以寻址的
[00:51:40] 都可以像内存一样访问的
[00:51:42] 我甚至可以把这个整个16G的内存
[00:51:44] 比如说我我分配多少
[00:51:45] 比如说我allocate
[00:51:46] 我要四个T的内存
[00:51:48] 然后这个allocate4个T的内存
[00:51:49] 就在我的地址空间里
[00:51:51] 虽然呃我访问的时候
[00:51:53] 如果比如说我我的MARYHARARI命中的话
[00:51:55] 可能就在我本地的内存就可以取走了
[00:51:57] 但是如果我呃是一个远端内存
[00:51:59] 它可能会有一次网络的round trip
[00:52:01] 就可能会有呃几百纳秒的这样的呃延迟
[00:52:06] 但只要你的程序写的够好
[00:52:08] 你就可以可以实现这种数据中心里面的
[00:52:10] 这个disagreeted memory
[00:52:12] 也是非常非常离谱的事情
[00:52:14] 你可以想象就是就是所以说我上节课说嘛
[00:52:17] 你在你去了真正的系统里面以后
[00:52:19] 你就你就会知道你教科书上
[00:52:21] 学的所有东西都错了
[00:52:22] 所以你能够留下来的
[00:52:23] 就是你分析这些问题的基本原理
[00:52:26] 他们是什么
[00:52:27] 然后你应该怎么怎么面对他们
[00:52:29] 出了问题以后
[00:52:30] 你应该怎么诊断这些
[00:52:31] 这这些这些事情
[00:52:33] 这是这是总线
[00:52:34] 所以我们又讲了一些很有意思的IO设备
[00:52:36] 道理来讲
[00:52:37] 他们都跟一个LE都没有本质的区别
[00:52:40] 就是交换数据
[00:52:41] 但是你只要能交换数据
[00:52:43] 我们就可以实现很多有趣更有趣的东西
[00:52:46] 比如打印机
[00:52:47] 摄像头总线
[00:52:49] 这样各种各样
[00:52:50] 真正使我们能够呃计算机系统
[00:52:53] 世界能够繁荣起来的
[00:52:55] 各种各样的IO式
[00:52:58] 那这都是底层的
[00:53:00] 就是我站的CPU看IO设备是什么
[00:53:04] 它就一堆寄存器
[00:53:05] 我可以我我可以读和写
[00:53:07] 但是我作为应用程序
[00:53:10] 应用程序不应该直接去访问这些寄存器
[00:53:14] 你想呢肯定不能
[00:53:16] 因为如果你去访问这些寄存器的话
[00:53:20] 我这我为什么不能让应用程序直接访问
[00:53:24] 总线或者设备的这些寄存器呢
[00:53:26] 是因为你只要访问你的一个程序
[00:53:29] 能访问你另外一个程序其实也要访问
[00:53:32] 你你比如说GPUGPU显然不是一个程序独享的
[00:53:36] 你每一个程序都会想要显示一些图形
[00:53:39] 但如果你希望让每一个程序自己去访问
[00:53:42] 这些设备它不管GPU还是终端还是什么
[00:53:45] 它就共享了
[00:53:46] 共享以后你就需要在程序之间同步
[00:53:48] 你们不能打架
[00:53:49] 因为因为本质上
[00:53:50] 这些设备暴露的是非常底层的接口
[00:53:54] 打印机暴露的接口就是你给我一个程序哎
[00:53:56] 我就可以把它执行了
[00:53:58] 然后你可以问我
[00:53:59] 我我现在是忙还是不忙
[00:54:00] 那你这样想
[00:54:01] 如果有两个程序同时都想要打印
[00:54:04] 他们就必须要先后
[00:54:05] 因为打印机一次真的只能打印一个作业
[00:54:08] 它叫先后排队
[00:54:10] 那这两个程序之间就要同步
[00:54:11] 如果你忘记同步
[00:54:13] 比如说有个data race
[00:54:15] 那你就就就好了
[00:54:16] 我写的数据把你的覆盖了
[00:54:17] 你写的数据把我覆盖了
[00:54:19] 结果打出来就是一些fade废的东西
[00:54:22] 然后你你也知道多线程之间
[00:54:24] 如果你把你把这种同步交给程序去做的话
[00:54:28] 程序员一定会写出bug
[00:54:29] 甚至还会写出这种伤人性命的并发bug
[00:54:32] 所以我们不应该做这件事
[00:54:33] 我们应该做一个抽象
[00:54:35] 做一个抽象抽象
[00:54:36] 我们希望在应用程序上面用一组API
[00:54:40] 一组API来访问我们说的这些对象
[00:54:44] 然后这些API其实大家都知道了
[00:54:46] 我们说我们把文件变成操作系统里面的对象
[00:54:50] 然后对象那everything is a fire
[00:54:52] 那么everything is a fire
[00:54:54] 所以我们的设备也被抽象想成了fire
[00:54:58] 这也是大家非常熟悉的
[00:54:59] 比如说呃我们在第一维底下
[00:55:02] 地位底下有好多好多的啊设备
[00:55:04] 然后每一个设备它都是啊一个一个一个file
[00:55:09] 这个fire我们用的就是文件的那些API
[00:55:12] Open read write
[00:55:13] 然后如果我们要要比如说要互斥的访问话
[00:55:16] 你可以用flock这样的机制给他
[00:55:19] 给它上锁
[00:55:20] 因为everything is a fire
[00:55:22] 所以其实你只要实现文件的操作
[00:55:27] 你的设备就可以被接入为文件系统
[00:55:30] 所以所谓的设备驱动程序
[00:55:32] 你你们经常会知道要要一个设备驱动程序
[00:55:35] 你的硬件才能跑
[00:55:36] 比如说你如果没有显卡驱动的话
[00:55:38] 它有个默认的驱动程序
[00:55:40] 然后这个默认的驱动程序的图形性能就很差
[00:55:42] 它可能能够正确地显示图形界面
[00:55:45] 但是你可能鼠标移来移去的时候
[00:55:46] 都感觉会有延迟
[00:55:48] 然后在你要显示一个比较复杂的图形的时候
[00:55:51] 你甚至感觉那个图形的显示也是有有滞后的
[00:55:55] 这就是因为你在没有设备驱动的时候
[00:55:58] 这个设备其实呃CPU是不知道应该怎么样
[00:56:02] 正确的把它变成这些API的
[00:56:04] 当然因为比如说像显卡这样的设备
[00:56:06] 它太重要了
[00:56:07] 如果呃如果这个显卡比如说没有驱动
[00:56:09] 他就拒绝给你提供服务的话
[00:56:11] 呃那你你可能在没有安装驱动的时候
[00:56:14] 你看到的是完全的黑屏
[00:56:15] 你就什么事也干不了了
[00:56:16] 所以这个显卡会会有一个模式
[00:56:18] 是可以把自己假装成一个非常老旧的
[00:56:21] 比如说叫VGA
[00:56:23] 一个标准VGA的显示器
[00:56:24] 这样这样我的显卡不论是N卡还是A卡
[00:56:27] 还是就是我第三方的一个国产卡
[00:56:29] 他都可以工作在一个
[00:56:31] 可能是8086时代就有的标准的模式
[00:56:34] 比如说它就是一个显卡
[00:56:35] 可以假装自己就是一个大的数组来一个free buffer
[00:56:39] 然后这个free buffer里面
[00:56:40] 每一个可以有一个颜色
[00:56:42] 比如说24bit it的真彩色
[00:56:44] 或者是RGB256色的一个颜色好
[00:56:47] 那如果显卡在默认就不做任何配置的时候
[00:56:50] 它启动的时候是在这个状态
[00:56:52] 那么所有的操作系统都可以认识这样的
[00:56:55] 这样的显卡OK它是一个frame buffer
[00:56:57] 所以它它可以至少可以显示一些基本的图形
[00:56:59] 虽然这个性能可能会相对来说要差一点
[00:57:01] 他没有DMA它没有三维显示
[00:57:03] 它没有
[00:57:04] 它不像我们说GPUGPGPGPU一样
[00:57:06] 可以加载一个扩大的kernel这些事情
[00:57:08] 但他不知道应该怎么做
[00:57:09] 直到它加载了一个设备驱动以后
[00:57:12] 它再创建可能创建一个新的设备
[00:57:15] 代表我的显卡
[00:57:16] 然后在这个显卡上面
[00:57:18] 就可以显示啊高性能的啊雏形了
[00:57:21] 所以本质上文件因为我们说IO设备
[00:57:25] input output的一个IO设备
[00:57:26] 本质上你的功能还是从里面读数据
[00:57:30] 或者往里面写数据的
[00:57:32] 所以把它变成一个structure fire
[00:57:34] 其实是个非常自然的呃呃自然的事情
[00:57:37] 当然这是一个非常巨大的
[00:57:39] 结构体定义了一个设备
[00:57:40] 完成了虚拟化以后的呃的的的接口
[00:57:44] 实际上实际上对于操作系统来说
[00:57:46] 我们还是经过了很多的二次开发
[00:57:48] 让设备变得更好用
[00:57:49] 比如说我会在persistence的这个部分里面会讲
[00:57:52] 我们确实可以把磁盘呃抽象成一个呃文件
[00:57:57] 磁盘抽象成一个文件
[00:57:58] 这里其实也是啊有的
[00:58:01] 比如说我在在这在我的系统里面
[00:58:03] 它叫m m c block
[00:58:05] 就是我的MMC
[00:58:06] 我是一个SD卡
[00:58:07] 一个存储卡
[00:58:08] 然后在你们的那个可能是MMMM
[00:58:10] MMMME的一个更高速的磁盘
[00:58:13] 那磁盘确实是可以抽象成一个呃字节序列的
[00:58:19] 你可以用字节序列的方式来呃来访问它
[00:58:22] 但是因为我们要在磁盘上面构造文件系统
[00:58:24] 才能更好地实现共享
[00:58:25] 所以我们还一般来说对于比较复杂的设备
[00:58:28] 我们都可以把它做一个二次开发
[00:58:30] 让这个设备变得啊变得更好用
[00:58:34] 然后设备驱动所干的事情就是把你的系统调用
[00:58:38] 比如说你对一个呃一个打开的设备文件做
[00:58:43] 一个read或者做一个write
[00:58:45] 那么相应的设备驱动会把会把你的系统掉
[00:58:48] 比如说你你希望从这个设备上面读取数据
[00:58:50] 或者写入数据
[00:58:51] 它会把它翻译成这个设备能够听懂的语言
[00:58:54] 比如说设备的寄设备有几个寄存器
[00:58:57] 它比如说一个设备
[00:58:58] 如果我要接受数据或者读出数据
[00:59:00] 我必须要等到我的status里面有数据
[00:59:03] 或者我的这个设备ready
[00:59:06] 我要等到设备ready id
[00:59:08] 我才能得到数据
[00:59:09] 那呃我们的设备驱动程序就会把它翻译成我要
[00:59:13] 比如说一个中断或等中断
[00:59:14] 或者是一个轮询的等待
[00:59:15] 我会不断的询问这个寄存器
[00:59:17] 你是有没有ready
[00:59:18] 有没有ready
[00:59:19] 有没ready
[00:59:19] 然后如果你ready了
[00:59:20] 我才会从里面取出一个数据
[00:59:21] 然后再返回给啊用户空间
[00:59:23] 所以设备驱动程序就是一个翻译
[00:59:25] 他会把系统调用
[00:59:26] 这些系统调用是文件系统的系统调用
[00:59:30] 翻译成设备能够听懂的数据
[00:59:31] 所以它就是一段呃非常普通的呃内核代码
[00:59:36] 比如说
[00:59:37] 比如说呃一个map或者一个reader或者write的实现
[00:59:41] 如果你们去看linux source code里面的像呃杠D为杠now
[00:59:46] 它其实就是实现了一个这个now read和write
[00:59:49] 它都是直接返回
[00:59:51] 它会实现一个read
[00:59:52] 然后这个read直接返回零
[00:59:54] 你因为你从那个空设备里面读不出任何的数据
[00:59:57] 所以他就直接返回零
[00:59:58] 然后对于这个d v now的write
[00:59:59] 它就会直接返回n write
[01:00:02] 呃write系统调用
[01:00:03] 而write系统调用里面有一个这个count count
[01:00:07] 然后呃你写了多少个字节
[01:00:09] 它就会返回给
[01:00:11] 返回给作为系统用的返回值返回出来
[01:00:13] 然后如果你要实现一个杠d EV now的话
[01:00:15] 呃它就不会执行任何实际的数据处理的操作
[01:00:18] 而是直接返回一个
[01:00:20] 你你写你给我多少数据
[01:00:22] 我就认为我都写了
[01:00:23] 但是写了以后这些数据都都消失了
[01:00:25] 就实现了一个数据黑洞的这样的
[01:00:28] 这样的设备
[01:00:29] 它是一个它是一个呃伪的设备
[01:00:32] 然后我们自己也可以实现呃一个设备驱动程序
[01:00:36] 然后我在这里就给大家实现了一个呃driver
[01:00:40] 一个向大家承诺过的核弹发射器
[01:00:43] 一个一一个核弹发射器
[01:00:45] 然后这个核弹发射器假装
[01:00:48] 假装会
[01:00:49] 会发射一个核弹
[01:00:50] 就是也就是说我会在日志当中
[01:00:52] 你能够看到一个一个好像核弹发射了
[01:00:56] 但是理论上说这个代码能够执行
[01:00:59] 我就可以像今天我刚开始给大家展示的那样
[01:01:01] 在那个GPL的那个灯上亮一个灯
[01:01:04] 我打印一个字符
[01:01:05] 本质上我打印一个字符和亮一个灯
[01:01:06] 是没有本质区别的
[01:01:07] 因为我在内核操作系统内核里面
[01:01:09] 我能够访问所有的这个memory map的这个寄存器
[01:01:12] 而这个寄存器也就意味着那一个
[01:01:15] 对应的继电器或者LED灯的那个寄存器
[01:01:18] 我也是可以访问的
[01:01:19] 我我我只要给继继电器一个电瓶
[01:01:22] 然后它就可以把我的物理
[01:01:24] 对物理世界的side effect不断的啊传递下去
[01:01:27] 然后我这是呃我的这个驱动做了一件什么事
[01:01:31] 你看我就一个launcher的read和一个launcher right
[01:01:33] 我可以从launcher
[01:01:35] launcher是一个设备
[01:01:36] 我可以支持从里面读数据
[01:01:38] 也可以支持往里面啊写写数据
[01:01:42] 然后当然这里面有一些初始化
[01:01:44] 我会注会在DEV里面
[01:01:46] 杠DEV里面注册这个啊这个设备
[01:01:48] 然后在exit的时候会清
[01:01:50] 完成一些清理
[01:01:51] 然后我的launcher的
[01:01:53] read是这样的
[01:01:55] 我会返回一个字符串
[01:01:57] 就如果你从我我做了这样的一个设备
[01:02:00] 这设备因为everything is a fire
[01:02:02] 反正是一个fire
[01:02:03] 然后我的一个
[01:02:07] 一个一个核弹核弹发射器
[01:02:09] 然后那这个fire如果我从这个fire里面读
[01:02:12] 我就总会读出这个字符串
[01:02:14] 叫this is dangerous
[01:02:15] 理论上说我可以送这个this is danger
[01:02:18] 那我就可以送任何
[01:02:19] 比如说我从核弹发射井
[01:02:21] 在我的一些传感器里面读取一些数据
[01:02:23] 然后把这个数据
[01:02:24] 数据送给他
[01:02:25] 当然我就这里就送了一个字符串
[01:02:27] 我就把这个字符串拷贝拷贝到用户台就行了
[01:02:30] 我在我在write的时候
[01:02:31] 我会做一个呃密码的校验
[01:02:35] 相当于是
[01:02:37] 你你核弹也不能直接就像我那led灯一样
[01:02:40] 我往里面写一个一
[01:02:41] 然后核弹就发出去了
[01:02:42] 所以我我会往里面写一个密码
[01:02:44] 然后我在我的驱动里面
[01:02:46] 会对这个密码做一个校验
[01:02:47] 就像实际当中
[01:02:48] 你不仅会有这样的软件的校验
[01:02:51] 比如说你需要把几个钥匙插进去
[01:02:53] 两把钥匙同时转一下
[01:02:54] 以及它的内部还有一些冗余的逻辑确保
[01:02:57] 比如说有些部件发生呃误短路
[01:03:00] 误短接的时候你的呃核弹不会错误的发射出去
[01:03:04] 但要做很多的检查
[01:03:05] 然后这里做了一个简单的检查
[01:03:07] 就是一个呃memory cacompare
[01:03:09] 如果我的呃我收到写入的这个password是正确的话
[01:03:12] 我就会啊会把这个核弹给
[01:03:15] 然后现在以前写驱动是一个
[01:03:18] 还是一个挺麻烦的事情
[01:03:19] 但今天就直接web code了
[01:03:21] 嗯我的我的旧的代码在新的kernel上面
[01:03:24] 不能编译
[01:03:25] 然后我直接让AI帮我fix
[01:03:26] 然后他就啊他就fix了
[01:03:28] fix以后他就可以用了
[01:03:30] 然后我可以用啊in mod来
[01:03:34] INSMOD来加载这个驱动
[01:03:36] 好它它看起来没有任何的问题
[01:03:37] 所以
[01:03:40] 这个时候加载完我的设备驱动
[01:03:43] 注意这是一个
[01:03:44] 这是实现了一个struct file operation的一个东西
[01:03:47] 我的杠DV里面就多出了两个文件
[01:03:52] 然后如果我看六颗星的话
[01:03:54] 你看这是一个字符设备
[01:03:56] 这是一个呃确实是一个设备
[01:03:58] 然后呃我们可以
[01:04:04] 啊OK需要对
[01:04:07] 然后我可以直接用cat命令打印这个哈啊NUK0
[01:04:12] 这是因为cat命令本质上它执行的系统要是open
[01:04:15] 他先open打开这个文件
[01:04:18] 然后得到一个文件描述符
[01:04:19] 然后调调得到文件描述符后执行一个read
[01:04:21] 然后执行一个read以后
[01:04:22] 他就会会
[01:04:23] LINUX就会帮我转到设备驱动程序的那个read
[01:04:27] 这个设备驱动程序是吧
[01:04:30] 有一个我的这个structify operations里面
[01:04:33] 我定义了这个设备的read
[01:04:34] 就要走到我的launch read的这个函数里
[01:04:39] 然后这个函数就会执行
[01:04:40] 然后你看到这是this is dangerous
[01:04:42] 所以在啊终端里你也看到了
[01:04:46] this is dangerous
[01:04:49] 如果我到我
[01:04:50] 我把错误的密码放到你写到milk里面
[01:04:54] 你看它就有一个
[01:04:55] 它就会在内核里面有一个日志
[01:04:58] 是incorrect the secret cannot launch
[01:04:59] 然后对应的你可以可以亮一个
[01:05:01] 如果你真的要做一个核弹发射器的话
[01:05:03] 你可以亮一个红灯
[01:05:04] 然后就说你的密码是是错误的
[01:05:06] 但是如果我在用户态里面执行一个
[01:05:11] 正确的密码
[01:05:13] 正确的程序
[01:05:14] 这个secret是我HOLCODE正确的
[01:05:16] 然后我同样也是open
[01:05:17] 然后做一个
[01:05:20] right right好
[01:05:22] 那我可以执行刚才诶我执行一个launch的程序
[01:05:27] 然后我在这时候再再看日志的话
[01:05:31] 你就看到这个刚才的
[01:05:33] 核弹发射
[01:05:34] 确实确实打印出来了
[01:05:37] 相当于密码正确的时候
[01:05:39] 核弹就发射
[01:05:39] 然后这个就是设备驱动程序
[01:05:41] 本质上所有的设备驱动程序都是
[01:05:46] 都是这样的
[01:05:47] 你想打印机
[01:05:48] 本质上打印机是接收你的各种各样的命令
[01:05:53] 接受干的各种命令
[01:05:54] 所以理论上说你可以把它封装成成这样的接口
[01:05:57] 但是但是你又觉得有点奇怪
[01:06:01] 你还是觉得有点担心
[01:06:02] 因为这个接口struct a file operation
[01:06:06] 本质上就是些什么read
[01:06:08] right
[01:06:09] 买map flock
[01:06:12] 这些
[01:06:13] 这些操作
[01:06:14] 这些操作
[01:06:15] 它的基本的假设都是你的这个fire的设备
[01:06:19] 实际上是一个字节流或者是一个字节序列
[01:06:25] 对于字符设备来说
[01:06:26] 它是一个字节流向终端这样的设备
[01:06:27] 然后对于呃比如说像磁盘来说
[01:06:31] 它是一个字节序列
[01:06:32] 那它确实可能可以按map
[01:06:33] 但是打印机显卡这些东西
[01:06:38] 他们不仅仅是数据的载体
[01:06:43] 他们更多的除了数据以外
[01:06:46] 还有一个很重要的功能是控制
[01:06:48] 所以那个canonical device里面
[01:06:50] 你看它有它有status
[01:06:51] 有command
[01:06:52] 有data
[01:06:53] 它有三类寄存器
[01:06:55] Status
[01:06:55] command和data状态命令和数据
[01:06:59] 然后然后这个everything is fire的抽象其实对应了
[01:07:03] 当然这是最重要的
[01:07:04] 就是data
[01:07:05] 比如说如果是打印机的话
[01:07:06] 我确实需要把一个程序从data里面送进去
[01:07:08] 然后比如说GPU的话
[01:07:09] 我确实是要把这个我我的各种贴图
[01:07:14] 我的GPU的kernel都送进去
[01:07:16] 所以所以data肯定是最核心的抽象
[01:07:19] 但是但是你的控制是怎么实现的
[01:07:23] 比如说打印机
[01:07:24] 如果打印机
[01:07:27] 你想让它停下来
[01:07:28] 你怎么办
[01:07:29] 你还是写数据吗
[01:07:30] 就你就觉得有点奇怪
[01:07:31] 你就得像mc escape code那样
[01:07:33] 去硬编码一些特殊的控制字符串
[01:07:35] 然后然后送给他
[01:07:38] 打印机你你希望让它停止
[01:07:40] 这个时候你应该怎么办
[01:07:41] 你希望让它亮一个灯
[01:07:43] 这个时候怎么办
[01:07:44] 所以这就是UNIX世界呃比较dirty的地方了
[01:07:50] 这里面有一个系统叫叫I/O control2control
[01:07:53] 如果你你你看他的手册的话
[01:07:56] 他告诉你这是I/O control system
[01:07:59] Called manipulates
[01:08:00] The underlying device
[01:08:01] Parameters of special files
[01:08:02] 他说我的control我的控制这个API
[01:08:07] 是可以用来对命设备发送一条设备相关的指令
[01:08:14] 他说many uh operating characterists of u character
[01:08:19] Special fes
[01:08:20] 比如说terminals may be controlled with without control requests
[01:08:23] 比如说你的终端想要改变一个大小
[01:08:25] 或者改变一个模式
[01:08:26] 你都是可以用啊l l l o control来的
[01:08:30] 然后那么这意味着所有的非数据的
[01:08:35] 不是这种data的
[01:08:36] 设备的功能全部都是用I/O control实现的
[01:08:39] 所以仅仅这一个API就包含了巨量的复杂性
[01:08:44] 所有整个设备驱动世界里面
[01:08:46] 所有的复杂性都在这
[01:08:47] 然后I/O control这个系统在用
[01:08:50] 它的参数是以不加解释的方式
[01:08:53] 就这些东西是以不加解释的方式
[01:08:55] 直接送给设备驱动的
[01:08:56] 因为我们的应用程序
[01:08:58] 它可以写一个奇奇怪怪的结构体
[01:09:00] 然后我们的设备也是甚至是
[01:09:03] 是总线上的
[01:09:04] 你在你的总线的设计者在设计这个总线
[01:09:08] 设计这个接口的时候
[01:09:09] 甚至不知道这个设备会有什么样的功能是吧
[01:09:12] 这现在是一个GPU
[01:09:13] 下次可能是一个我自己发明的GPU
[01:09:15] 也可能我自己又开发了一个GPUFP
[01:09:18] FPGA的联合体
[01:09:19] 或者任何一个
[01:09:20] 比如说核弹发射器都是连到我的总线上的
[01:09:23] 那这个时候怎么和这个设备对话
[01:09:25] 那就只有这个应用程序和设备驱动
[01:09:28] 是知道的是吧
[01:09:29] 我的厂商会发布一个应用程序
[01:09:31] 你们你们有没有买过那种
[01:09:32] 比如说能支持宏编程的鼠标这样的东西
[01:09:35] 然后它会随机附带一个应用程序
[01:09:38] 然后那个应用程序你可以做配置
[01:09:40] 然后配置完以后
[01:09:41] 应用程序又会和设备驱动再通信
[01:09:44] 然后这个设备驱动
[01:09:45] 会把这些配置给给升级
[01:09:47] 而所有的这一切都是用呃I/O control来实现的
[01:09:51] 它包含了比如说像打印机的卡纸清洁
[01:09:53] 自动装订
[01:09:55] 这些各种各样的配置的呃功能
[01:09:58] 然后你们的键盘可能有跑马灯
[01:10:00] 然后你你你的你的键盘
[01:10:02] 或者说你你打个比方
[01:10:04] 如果你想给一个TTY
[01:10:05] 你自己做了一个TTY
[01:10:06] 你想给这个TTY做一个跑马灯
[01:10:09] 那TTY它本质上还是一个终端
[01:10:11] 所以你还是得
[01:10:13] 从里面读数据
[01:10:14] 往里面写数据还是一个终端
[01:10:16] 但是如果你要支持这个跑马灯
[01:10:18] 那对不起
[01:10:18] 你就需要用I/O control
[01:10:20] 然后你你需要加一个额外的
[01:10:22] 特别的字段
[01:10:24] 然后这个字段等于特别直的时候
[01:10:25] 就是一个跑马灯的控制
[01:10:26] 两岸或者啊或者或者怎么跑
[01:10:29] 然后再比如说你磁盘的一个呃健康状况
[01:10:33] 它的缓存控制这些配置全部都适用
[01:10:36] IO control实现的
[01:10:37] 所以这是一个水面下的
[01:10:39] 冰山arguments return
[01:10:41] And the semantics of fire control
[01:10:42] vary according to the device driver
[01:10:45] In question
[01:10:45] 所以所以比如说啊一个核弹发射器
[01:10:48] 刚才刚才我展示的那个核弹发射器基于password
[01:10:52] 你完全也可以用I/O control来实现核弹的发射
[01:10:56] 你可以不用read和write
[01:10:57] 你可以用I/O control来说说
[01:11:00] 用l control写入一个特定的字符串
[01:11:02] 来
[01:11:03] 像像这个呃内核询问
[01:11:06] 核弹发射器的状态
[01:11:07] 也可以按CTRL写一个密码
[01:11:09] 然后呃把这个核弹发射出去
[01:11:12] 而且实际上对于核弹来说
[01:11:15] 用l control是正确的
[01:11:16] 更正确的方式
[01:11:17] 只是刚才那个驱动我用来展示了
[01:11:20] 我可以用来
[01:11:21] 我可以用偶尔right的这个structure file里面的
[01:11:24] read和write的operation
[01:11:25] 我就得到了一个读写设备的能力好
[01:11:28] 所以IO control就是一个完全堆叠的石山
[01:11:32] 因为设备的复杂性是无法降低的
[01:11:34] 你看NVIDIA每一代新的GPU就有额外的功能
[01:11:37] 然后每一个功能某种意义上来说都需要有开关
[01:11:41] 能够能够控制
[01:11:42] 所以它就需要在用户
[01:11:44] 在呃应用程序这一次发布一个
[01:11:46] 比如说控制程序
[01:11:47] 允许你把DISS打开或者关闭
[01:11:51] 然后呃还有各种各样的feature
[01:11:53] 都可以打开和和关闭
[01:11:54] 因为这个系统就有这么多功能
[01:11:56] 所以这其实是一个UNIX很大的负担
[01:11:59] I/O control有有有非常复杂的hidden specifications
[01:12:02] 你觉得呃比如说像UNIX
[01:12:05] everything is a fire是一个非常干净的抽象
[01:12:07] 但你回头想一想
[01:12:08] PROCFS里面的1万个文件
[01:12:10] 你如果要做一个
[01:12:12] 你一开始的时候你一一第一感觉是
[01:12:15] 额LINUX系统也就300条
