[00:00:00] 今天我们来讲并发算法和并发的数据结构
[00:48:21] 而且他没有工具去去提高了
[00:48:23] 所以对于这样的任务来说
[00:48:26] 对于这种embarrassingly parallel
[00:48:27] 包括以很多这种科学计算当中的程序来说
[00:48:30] 我们不希望把太多的自由交给开发者
[00:48:34] 而是我们要提供一套尽可能简单的编程机制
[00:48:38] 不要用线程同步也受限
[00:48:40] 比如说你去传递消息或者啊或者怎么样
[00:48:43] 所以有了像MPI
[00:48:45] open m p
[00:48:46] 这样你们你们不太用的
[00:48:47] 因为如果你们写system程序的话
[00:48:49] 你会发现这个东西并不是特别的好用
[00:48:51] 但是如果你写一个比如说数值计算模拟的程序
[00:48:54] 那你会发现这个open m p是非常好用的
[00:48:56] 比如说你要创建128个线程
[00:48:59] 你有一个for循环
[00:49:00] 你可以直接创建128个线程来诶
[00:49:04] 运行这个for循环
[00:49:06] 然后我们有有这样的一个啊代码的例子
[00:49:09] 就是实现manor broth set
[00:49:11] 我要画一个6400×6400的
[00:49:15] Mander brother set
[00:49:16] 这个还挺大的是吧
[00:49:18] 挺大的
[00:49:19] 6400×6400
[00:49:20] 然后每一个像素XY额都会都会执行一个id
[00:49:25] 不用不用care
[00:49:26] 这是一个什么值
[00:49:27] 这是一个反正执行一个程序
[00:49:29] 然后然后我们的每一个t worker
[00:49:36] 每一个t worker
[00:49:37] 就相当于是便利整个这个图像的空间
[00:49:41] 然后如果有一些像素是属于我自己的
[00:49:45] 我就会把这个像素给画上去求解
[00:49:48] 然后画上就picture的XY等于ma bra的XY
[00:49:51] 就这样的一个简单的任务
[00:49:53] 当然我我还有一个线程
[00:49:56] 叫monitor
[00:49:57] 它会实时追踪渲染的进度
[00:50:00] 所以你能看到
[00:50:01] 实时追踪渲渲染的啊进度
[00:50:04] 那按照常理
[00:50:07] 如果我们用我们的线程库的话
[00:50:08] 我们就for i等于零
[00:50:09] I小于NSPI加加
[00:50:10] 然后spt worker
[00:50:12] 我创建n stg thread个t worker好
[00:50:15] 这事情就就搞定了
[00:50:17] 但是我也可以用另外一个方式
[00:50:20] 这其实也定义了一个计算图
[00:50:23] 这这里我在74行到77行
[00:50:25] 我定义一个计算图
[00:50:26] 就是说啊我有若干个t worker
[00:50:29] 做完了以后
[00:50:30] 我要把它装印起来
[00:50:31] 我定义了一个这样的计算图
[00:50:32] 但我也可以用这种方式来去定义计算图
[00:50:35] 我说我要parallel
[00:50:37] 你n rag的个线程
[00:50:39] 我要把这个循环给B行化
[00:50:42] for ini等于零
[00:50:43] I小于SI加加我
[00:50:45] 我这是一个顺序的
[00:50:47] 注意我这是一个顺序的循环
[00:50:49] 我在写这个代码的时候
[00:50:51] 我日我不知道我系统有多少个CPU
[00:50:53] 我我甚至不知道任何并发编程
[00:50:55] 我只要加上这句话
[00:50:57] 如同魔法一般
[00:50:58] 我的程序就自动的并行化了
[00:51:00] 呃我们来先看一眼make five
[00:51:03] 然后在这里我加了一个f open mp
[00:51:12] 好如果我manner brt1
[00:51:14] 你就看到他是从左到右一点一点
[00:51:18] 当然它不是不是那个完整的
[00:51:19] 是一个我中间某一个从某一个局部放大的
[00:51:22] 那个manner bro
[00:51:23] 就跟刚才刚才那个看到的
[00:51:25] 非常像
[00:51:27] 这是一个一个一个线程的情况
[00:51:32] 它1.11点算下来
[00:51:33] 那我创建了一个线程
[00:51:34] 然后扫过所有的像素
[00:51:37] 然后呃属于我要计算的像素
[00:51:39] 我就就全是全是油给我画的
[00:51:41] 大概花了18秒
[00:51:43] 但如果我创建16个线程
[00:51:49] 你会非常明显的感觉到速度变快了
[00:51:54] 三秒钟
[00:51:56] 三秒钟
[00:52:00] 然后我们可以看
[00:52:01] 最后生成的这个结果
[00:52:06] 这是一个6400×6400的一个
[00:52:09] 有有非常精细的啊形状的
[00:52:15] And the broad set
[00:52:16] 所以你可以看到一个好的编程语言支持
[00:52:20] 对于人类来说是多么的有用
[00:52:25] 一个从未接触过
[00:52:26] 一个学过C语言
[00:52:28] 一个物理系的同学
[00:52:29] 他学过C语言
[00:52:31] 会写一点C程序
[00:52:32] 会会写这种计算的C程序
[00:52:34] 它不需要知道任何线程概念
[00:52:36] 不需要来上我的操作系统课
[00:52:38] 他只需要记得师兄告诉他的一个魔法的一句话
[00:52:42] 或者看一些文档和手册告诉你
[00:52:44] 这样你就可以利用好你那个超级计算机里面的
[00:52:48] 128个线程
[00:52:50] 可以翻128倍
[00:52:51] 非常好用
[00:52:52] 当然实际当中
[00:52:54] 不管是open m p还是MPI都有
[00:52:56] 都有比这个好得多的
[00:52:59] 编程机制
[00:53:00] 就是它还有同步机制
[00:53:01] 可以给你做这个共享啊等等
[00:53:05] 你们可以去你们可以去试一试
[00:53:06] 或者说你们可以就多
[00:53:09] 你们的武器库里面就多了一个prompt
[00:53:11] 你们知道
[00:53:12] 比如说你们现在写了一个C程序
[00:53:14] 你现在需要把它并行化
[00:53:16] 你可以让你可以prime AI说帮我把它改成并行的
[00:53:20] AI会倾向于我认为
[00:53:22] 我认为AI会倾向于用P12的来写它
[00:53:26] 默认情况下
[00:53:26] 因为它不会默认
[00:53:27] 你可能安装了open mp或者或者怎么样
[00:53:29] 如果你只给他一个pro时候
[00:53:30] 我想要利用好我现在CPU里面的多个线程
[00:53:33] 只有多个CPU的资源
[00:53:34] 那它我觉得他大概率给你一个peace read的实现
[00:53:38] 但是如果你的prompt里面多了一个
[00:53:40] 你可以用open mp的话
[00:53:41] 你就可以在尽可能少的改变你代码的
[00:53:45] 把你的代码mess up的情况下
[00:53:47] 比如说说那个T恤
[00:53:49] 他可能会会加入一些同步啊什么
[00:53:51] 然后那个代码变得你自己就看不懂了
[00:53:53] 但是OOMP的时候很有可能你能够
[00:53:56] 你能够保持你代码的干净和干净和整洁
[00:53:59] 然后让编译器来
[00:54:00] 做这些dirty work
[00:54:03] 这是高性能计算里面的背景编程
[00:54:05] 当然了
[00:54:06] 高性能计算是一个是一个很大的产业
[00:54:09] 是一个很大领域
[00:54:10] 真正困难的地方
[00:54:11] 包括呃你怎么搭建机房的网络
[00:54:13] 高速
[00:54:15] 高速的网络
[00:54:15] 然后怎么中和在机柜之间
[00:54:17] 节点之间的这种网络的不对称
[00:54:21] 你你现在像比如说我现在
[00:54:23] 现在我写这个程序的时候
[00:54:24] 我假设的是
[00:54:25] 我每一个shamemory access都是差不多代价的
[00:54:28] 我我我这样
[00:54:29] 我才能让每一个线程它运行的速度差不多快
[00:54:32] 基本上差不多时候能够结束
[00:54:33] 但是呃实际上是做不到这一点的
[00:54:36] 你们的CPU之间它访问内存的速度是不一样的
[00:54:40] 然后在多个计算机的集群里
[00:54:44] 计算机和计算机之间的通信的速度和带宽
[00:54:47] 也是不一样的
[00:54:48] 同一个机柜内它的带宽就大了
[00:54:50] 然后机柜和机柜之间它的带宽
[00:54:53] 总带宽就没有那么大
[00:54:54] 延迟也增加了
[00:54:55] 然后甚至是更远的机柜
[00:54:56] 它还需要经过更多交换机的时候
[00:54:58] 那啊你你的延迟也更大了
[00:55:01] 你怎么样解决网络通信的问题
[00:55:02] 甚至网络通信不会不可靠
[00:55:04] 要怎么管理功耗
[00:55:05] 怎么管理散热
[00:55:06] 怎么管理稳定性
[00:55:07] 存储容错软件工具链
[00:55:09] 这些都当然我没有办法在这门课上讲
[00:55:11] 但是呃呃我觉得到今天你完全可以去试一试
[00:55:14] 比如说有有同学就对超级相机
[00:55:15] 如果特别感兴趣的话
[00:55:17] 你们就可以自己
[00:55:19] 去找一些这种hp c上面的workload
[00:55:21] 然后呃在你自己的电脑上运行一下
[00:55:23] 然后
[00:55:24] 找一点感觉
[00:55:25] 甚至做一些优化
[00:55:27] 在AI的帮助下都可以去试一试
[00:55:28] 你可能就入门了
[00:55:30] 这个高性能计算和和合并性编程
[00:55:34] 然后我们的实验里面诶大家应该看到了
[00:55:36] 我们发布了那个呃GPP点C
[00:55:38] 就是呃GP点C
[00:55:40] 然后我希望的是大家不要去偷看那个
[00:55:42] 因为我我的实验是抄来的嘛
[00:55:44] 啊不能让超载
[00:55:45] 我我给了他credits了
[00:55:46] 呃我我裁剪了这个android capacy的那个LM点C
[00:55:51] 它有一个ChatGPT2的
[00:55:53] 对这这这是这是原本的代码
[00:55:55] 然后这个原本的代码里面有有这么几行
[00:55:59] 在第20行到22行有这个
[00:56:02] 如果你的当前的编译环境里面有open mp的话
[00:56:06] 它就会启动open m p
[00:56:08] 然后如果没有的话
[00:56:10] 这20行到20行就好像不存在一样
[00:56:13] 好像不存在一样
[00:56:14] 它条件变异会不满足
[00:56:15] 也就是说这GPT点C在没有open m p的时候
[00:56:18] 完全就是一个单线程的程序
[00:56:20] 就跟我刚才那个minor bra是一样的
[00:56:22] 然后有了open mp以后
[00:56:25] 他就加了五行的代码
[00:56:27] 就实现了一个并行的GPT的推理
[00:56:30] 所以你们不要看那个代码加在哪了
[00:56:32] 如果你们如果你们偷看了
[00:56:34] 你们偷看了加载
[00:56:35] 你马上就知道你的那个你的那个GP点心
[00:56:38] 应该呃应应该怎怎怎么优怎呃怎么优化了
[00:56:42] 对吧哈
[00:56:43] 你们需要在这个实验里面
[00:56:45] 自己找到整个LM推理里面
[00:56:47] 就至少是GP2的这个推理里面
[00:56:49] 哪一个部分是最可以并行化的
[00:56:52] 哪一个循环是最可以并行化的
[00:56:53] 你只要把那个循环
[00:56:54] 就我们给了一个顺序执行的程序嘛
[00:56:57] 然后你要把它里面的这个计算图给提取出来
[00:56:59] 然后你会看到在哪一个地方是顶层的
[00:57:02] 有有好多好多这个可以划分子任务的
[00:57:05] 在LM点C里面
[00:57:07] 它就是一个open m p的这个PRIMA
[00:57:10] 然后在你们你们需要用线程库来实现
[00:57:13] 实现这个同步
[00:57:14] 所以啊曾经啊OOMP这样的机制
[00:57:17] 对于非专业人士来说是非常友好的
[00:57:19] 我只需要写串行的程序
[00:57:21] 而我而且我只要里面有一两个可以并行的
[00:57:23] for循环
[00:57:24] 不管它是一层的还是二层的
[00:57:26] 我们的系统都可以自动的利用好多处理器
[00:57:28] 系统里面的
[00:57:29] CPU当然你现在的话我觉得又变了
[00:57:32] 现在你现在
[00:57:33] 你你你已经不需要人类友好的编程机制了
[00:57:35] 因为反正没有人会去读代码了
[00:57:38] 我们所有人都是做harness engineering
[00:57:39] 都是说你你只要给我那个东西最终是对的
[00:57:42] 我根本就不care你是怎么实现的
[00:57:44] 也不care我能不能维护它
[00:57:46] 因为我们谁也不写代码了
[00:57:49] 然后所以你们你们可以直接交给AIA证
[00:57:51] 但是你要把它那个显示进去做
[00:57:52] 你要确保最后AI交给你那个东西是你要的
[00:57:55] 而不是他他幻觉了一个什么东
[00:57:57] 他想的很烦心的东西
[00:57:58] 那不是你要的
[00:57:59] 所以我们安排其实其实我们安排了很多的实验
[00:58:01] 帮助大家去构建
[00:58:03] computer systems里面那些重要的概念
[00:58:05] 比如说我们用SPERF
[00:58:06] 这是一个PROFILER
[00:58:07] 然后你们在这个实验
[00:58:08] GB点C里面
[00:58:09] 你又又可以呃再次要体验这个PROFEDER
[00:58:13] 让你找到这个并行计算里面最intensive的部分
[00:58:15] 你可以用trace
[00:58:16] 可以用PROFEDER
[00:58:18] 但你用了以后
[00:58:19] 你就你就会对这个工具产生一些印象
[00:58:21] 下次就会告诉原来你也用一下
[00:58:23] 而不要让它呃直接去帮你逃课
[00:58:26] 因为你们其实因为AI对这个
[00:58:29] 大圆模型非常清楚
[00:58:30] 所以如果你直接让它并行化
[00:58:32] LM点C就是并行化
[00:58:33] GP点C它马上就给你搞定
[00:58:35] 就所有的这些作业
[00:58:36] 你都可以直接把作业的要求告诉AI
[00:58:40] AI马上就能帮你搞定
[00:58:42] 但如果你这样做了以后
[00:58:43] 你就会出现这个在期中考试期期末考试的时候
[00:58:46] 你你你不知道该说什么的
[00:58:48] 这个情况因为你你没有建立正确的概念
[00:58:52] 你需要清楚的知道发生了什么
[00:58:55] 为什么AI能知道
[00:58:57] 至少你要知道为什么AI能能知道
[00:58:59] 嗯嗯你才能才有可能能驾驭它
[00:59:02] 我我我知道这是我目前现在是这样想的
[00:59:04] 但是未来我们是不是也可能完全不需要这样
[00:59:06] 我也不知道这个是呃并行算法的部分
[00:59:10] 好变形算法完了以后
[00:59:12] 我们再呃再回到另外一个
[00:59:14] 其实比并行算法更难一点的问题
[00:59:16] 是并行的数据结构
[00:59:18] 那我们还是回到SAM加加
[00:59:19] 刚才我们的那个高性能计算里面
[00:59:21] 不管是可以划分的任务
[00:59:23] 还是这种embarrassingly parallel的呃任务
[00:59:26] 他们的这个应用场景
[00:59:28] 如果如果回到这个sum加加的例子里面的话
[00:59:31] 都是问题规模很大
[00:59:32] 然后这个需要串行化的sum加加都足够少
[00:59:36] 它不是瓶颈
[00:59:37] 可能这个里面有一些sum加加
[00:59:38] 这里面每一个里面有一个SAM加
[00:59:40] 但是相比于这个计算图里面
[00:59:42] 一个节点里面的海量的计算来说
[00:59:44] 那个都是非常少的一部分
[00:59:45] 所以所以它天生就是可以并行的
[00:59:47] 但是但是如果就是有很多的并行的
[00:59:51] 数据结构操作的
[00:59:52] 或者说就是我们的那个程序
[00:59:54] 就是我们上课的时候讲的这个这个例子
[00:59:58] 如果这个程序就是长这样
[01:00:00] 你不就没办法了吗
[01:00:02] 如果这个程序就长这样
[01:00:03] 那是不是现实中也有这样的程序呢
[01:00:06] 答案是
[01:00:07] 肯定的
[01:00:08] 比如说操作系统内核
[01:00:10] 操操作系统内核里面有大量的数据结构
[01:00:13] 比如说你在你的每一个进程或者
[01:00:17] 访问文件的时候
[01:00:18] 它不管是要访问我这个进程相关的数据结构
[01:00:21] 还是访问这个文件相关的数据结构
[01:00:22] 我都需要上锁
[01:00:24] 因为两个两个不同的CPU上的两个线程
[01:00:26] 同时访问同一个数据结构里面的field的
[01:00:30] 那就是data race
[01:00:31] 所以我不上锁这个超系统内核就就就错了
[01:00:34] 而操作系统内核里面无穷的这种data race并发bug
[01:00:36] 所以所以我们有那个share sc tx的
[01:00:38] 操作系统里面
[01:00:39] 也有操作系统内核是一个需要
[01:00:41] 就是黑非常频繁的并行的数据结构操作
[01:00:44] 还有比如说数据库
[01:00:46] 比如说你们是人人都去刷热搜
[01:00:48] 给同一个帖子点赞的时候
[01:00:50] 这个也很有可能
[01:00:52] 虽然现在有办法
[01:00:53] 现在其实有些办法
[01:00:54] 它它它可以可以用更巧妙的方式来呃实现
[01:00:59] 不要嗯不要去上同一把锁
[01:01:02] 但是如果它实现的就是比如说有个点赞数加一
[01:01:05] 就是一个点赞数
[01:01:06] 相当于我要上锁
[01:01:08] 然后那个点赞数加一解锁
[01:01:09] 然后所有的读者都要去读那个点赞数
[01:01:12] 读那个点赞数
[01:01:13] 那这个也也相当于是一个sum加加的
[01:01:17] sum加加的问题
[01:01:18] 你们所有人都去刷什么热点来了
[01:01:20] 所有人都在刷
[01:01:21] 这也是一个呃并行的sum加价
[01:01:23] 然后再比如说网络游戏的服务器
[01:01:25] 你们都挤到很多人挤到同一个位置的时候
[01:01:28] 你你要的移动
[01:01:29] 你要移动
[01:01:30] 它要移动
[01:01:31] 你们两个人想要移到同一个位置的时候
[01:01:32] 那必须要有上锁的保护
[01:01:34] 或者至少要有一些同步
[01:01:36] 我们才能决定
[01:01:37] 比如说到底由谁来走路走
[01:01:38] 走到哪个位置
[01:01:40] 然后再比如说量化交易的时候
[01:01:41] 你们可能会会有这样的
[01:01:44] 各种各样的代码等等好
[01:01:46] 然后这就有意思了
[01:01:47] 如果你想要让SAM加加变得更快
[01:01:51] SAM加加你已经觉得不可能更快了
[01:01:53] 因为这就是sum sum加加就是我要的
[01:01:57] SAM加加就是我要的
[01:01:58] 它怎么还可能变得更快呢
[01:02:00] 答案是真的
[01:02:01] 有可能我们可以放松其他线程
[01:02:04] 看到sum加加的及时性
[01:02:06] 前面我说
[01:02:07] 我们的那个上锁上一把互斥锁
[01:02:10] 它有一个非常好的保证
[01:02:11] 就是release acquire的这个semantics
[01:02:14] 我有一个release
[01:02:16] 有一个acquire
[01:02:18] 那我在这里有一个sum加加
[01:02:21] 想想我这里有个load sum
[01:02:23] 比如说等于100
[01:02:24] 然后store sum等于101好
[01:02:30] 那么这就意味着所有的所有人
[01:02:34] 所有人在这个release完了以后
[01:02:36] 只要有点快
[01:02:37] 他就一定百分之百能看到这个101
[01:02:39] acquire之后一定能看到这个101
[01:02:41] 但是这个可见性就是
[01:02:43] 我看到这个修改及时的反映给所有人
[01:02:47] 是需要付出代价的
[01:02:48] 因为从电路的意义上
[01:02:50] 我们的每个CPU都是独立的
[01:02:52] 每个CPU都是独立的
[01:02:53] 然后它每个CPU都有独立的l one cash
[01:02:56] 它都是有缓存的
[01:02:57] 如果没有
[01:02:58] 如果没有缓存的话
[01:02:59] 你们如果让每一条指令都去访问内存
[01:03:01] 那个内存是非常非常慢的
[01:03:03] 你的CPU是不可能运行在什么3G赫兹
[01:03:06] 5G赫兹
[01:03:06] 这是这是它是办不到的
[01:03:08] 所以它所有的指令和数据都是从缓存里面
[01:03:12] 离自己很近的
[01:03:13] l y s ram的缓存里面走的
[01:03:15] 然后他们可能会有共享L9K
[01:03:17] 然后然后才是才是这个ram好
[01:03:21] 那么这就意味着
[01:03:23] 如果我一个store
[01:03:24] 我store给比如说sum等于101
[01:03:26] 我想要让其他人看见它所需要的代价
[01:03:30] 就是在总线上
[01:03:31] 它至少需要在总线上绕一圈
[01:03:33] 不同的机位有不同的实现方式
[01:03:35] 可能是一个环形
[01:03:36] 可能是一个目录缓存
[01:03:38] 我必须要让这个sum等101
[01:03:41] 传播到其他的每一个CPU上
[01:03:42] 他们才能看见
[01:03:43] 所以这是一个很大的代价
[01:03:45] 以及我还需要比如说在
[01:03:47] 因为他们是同一个开同一个地址嘛
[01:03:49] 同一个sum
[01:03:50] 我我可能还需要一些额外的协议
[01:03:52] 要让别人知道我改过了这个内存地址
[01:03:54] 所以这些都是开销
[01:03:55] 这些都是开销
[01:03:56] 如果如果你想要让你的SAM加加变得更快
[01:04:00] 你还可以走另一条路线
[01:04:02] 你可以不要着急
[01:04:04] 让别人看到这个101怎么做呢
[01:04:08] 我在这里可以做一个sum local
[01:04:11] 我为每一个线程创建一个sum
[01:04:13] 然后我所以我我为每个线程的时候
[01:04:15] 我都是把sum加加
[01:04:17] 把some local加加
[01:04:18] 不是sum加加
[01:04:19] 然后每当我local的sum加到100的时候
[01:04:23] 我就把这个100加回到sum里
[01:04:26] 并且上锁
[01:04:27] 然后我再把我本地的sum变成零
[01:04:30] 相当于相当于什么呢
[01:04:32] sum确实我确实想知道一个全局的sum
[01:04:35] 但是对于所有人来说
[01:04:39] 没有人能够看到一个真实准确的sum
[01:04:43] 因为当我看到一个sum
[01:04:44] 我漏的它
[01:04:45] 我不管是上锁还是不上锁
[01:04:46] 我load和SAM等于一百零一百零一的时候
[01:04:49] 当我执行下一条指令的时候
[01:04:51] 我已经不知道SAM是多少了
[01:04:52] 我看到的SAM永远是旧的值
[01:04:55] 除非我是上了锁
[01:04:56] 然后sum等于sum加一
[01:04:57] 所以如果我希望要比给别人看的话
[01:05:00] 如果希望要给别人看的话
[01:05:02] 呃只要比如别人要知道多少人点赞
[01:05:04] 我是允许这个多少人点赞
[01:05:06] 稍微有一点出入的
[01:05:07] 稍微晚一点不要紧
[01:05:09] 那我完全可以用一个县城本地的SAM加一
[01:05:12] 隔一段时间再把它加回到本地
[01:05:16] 诶
[01:05:16] 这样我不就绝大部分又变成了
[01:05:18] 绝大部分的计算是本地的
[01:05:20] 只有少部分是上锁的吗
[01:05:21] 是一个SLOOPY的
[01:05:23] 比较松散的这个counter点赞
[01:05:26] 实际上现在你们的点赞都是这样实现的
[01:05:28] 你们的点赞你们看到点赞都是比较松散的
[01:05:31] 不是不代表那个真实精确的点赞
[01:05:34] 它可能需要延迟一会才才有精确点的
[01:05:36] 当然我这个实现嗯是也是overly simplified
[01:05:40] 你你可以做
[01:05:40] 比如说是是
[01:05:42] 要么你可以是sum加加
[01:05:44] 要么是达到一个值或者是
[01:05:47] 比如说每过一毫秒
[01:05:49] 或者time out
[01:05:50] 一毫秒我可以设置一个一毫秒的time out
[01:05:52] 如果在一毫秒的time out里面也没有到达值
[01:05:55] 我也会把这个sum加回去
[01:05:57] 这样我可以保证的是
[01:05:58] 我在任何人读这个sum都是一毫秒之内的
[01:06:01] 真的是这样
[01:06:02] 这个时候你就会觉得这个SAM还是可以用的
[01:06:05] 完全可以用
[01:06:06] 所以你可以通过牺牲可见性
[01:06:08] 牺牲这个强的SERIALIZABILITY
[01:06:10] 来实现一个更高效的并发数据结构
[01:06:12] 而而这种就是这种把尽可能多的计算留在本地
[01:06:16] 就是并发数据结构优化的
[01:06:18] 一个非常关键的地方是
[01:06:19] 你们实现那个my lock里面非常关键的
[01:06:22] 关键的一点好
[01:06:24] 既然我都讲到sr local了
[01:06:25] 你们是不是也不喜欢那个sam local
[01:06:28] 刚才很难看吧
[01:06:29] Sam local
[01:06:30] 然后我还要我还每次都要写一个sum local of tid
[01:06:34] sum加等于sum local t id
[01:06:36] 然后sum local of
[01:06:38] TID等于零
[01:06:40] 我不喜欢他
[01:06:41] 你也不喜欢他
[01:06:43] 语操操作系统的设计者也不喜欢它
[01:06:46] 编程语言的设计者也不喜欢他
[01:06:47] 没有人喜欢它
[01:06:48] 所以我们就有了一个叫thad local的keyword
[01:06:50] 这个keyword从C加加11开始有
[01:06:53] 然后C23也正式应用
[01:06:54] 所以C语言里面也有sr local了
[01:06:56] 以前你需要有什么杠杠thread
[01:06:58] 现在你你可以直接写SLOCAL了
[01:06:59] 然后string local类型的变量会自动得到一份
[01:07:03] 在线程创建的时候得到一份拷贝
[01:07:05] 然后这12logo可以是任何类型
[01:07:07] 包括是你可以
[01:07:09] 你可以是个STRUCT
[01:07:09] 然后可以是个指针
[01:07:10] 你可以给它赋初值
[01:07:12] 你就只要定义一个stray local int sum local就可以了
[01:07:15] 然后你可以呃这个在t sum里面做sam local
[01:07:18] 然后每个线程都有自己的sam local
[01:07:21] 如果你在函数的作用域里
[01:07:23] 在一个大括号的作用里面定义
[01:07:25] 就非全局的作用里面定义一个sr local int的话
[01:07:27] 编译器会直接报错
[01:07:28] 对不起它
[01:07:29] 它它不允许你有一个
[01:07:32] street local应该是每一个线程一个的
[01:07:34] 然后如果你定义在这里t sum的函数里
[01:07:37] 就意味着每一个战争
[01:07:39] 每次函数调用战争上要有一个
[01:07:40] 那这两个定义本身是冲突的
[01:07:43] 他们俩的含义是冲突的
[01:07:45] 所以所以这个地方它会
[01:07:47] 它它会报错
[01:07:48] 这样的
[01:07:49] 我有一个甩local int x等于100
[01:07:51] 然后好我会在这里X加加
[01:07:54] 如果这里写成int
[01:07:56] 比如说你当这是data race了
[01:07:58] int x等于100
[01:07:59] 那你可能看到100 011百零二
[01:08:00] 100 031百零四
[01:08:01] 而如果当我如果我是string local int的话
[01:08:05] 你应该是看到四个101
[01:08:08] 而且因为我这里对X做取地址了
[01:08:11] 第十行的时候
[01:08:12] 我会把X的地址给取出来
[01:08:13] 我取了X的地址以后
[01:08:14] 你应该认为应该看到是
[01:08:16] 每一个t worker都看到不同的X的地址
[01:08:20] 当然你完全可以相信编译器
[01:08:22] 可以相信我上课
[01:08:23] 它确实打印出的地址是不一样的
[01:08:25] 线程1234它的每一个
[01:08:28] 你看到不一样了
[01:08:29] 不一样了
[01:08:30] 然后它的值加一以后都是101
[01:08:32] 所以你确实看到额选local
[01:08:34] 他他是在
[01:08:36] 是在起作用的
[01:08:36] 非常好
[01:08:37] 那它是怎么实现的呢
[01:08:38] 怎么实现的
[01:08:39] 首先编译器是知道每一个变量定义
[01:08:43] 到底定义成成什么样的
[01:08:45] 包括你可以定义什么const volatile
[01:08:48] 这些编译器都知道每个变量它的modifier是什么
[01:08:50] 然后我们的背景如果看到看到一个这样的int x
[01:08:56] 全局的int x那对这个X的访问
[01:08:58] 它就是通过RIP相对的寻址
[01:09:01] PC相对的寻址来访问
[01:09:02] 然后如果是看到这里站上的一个
[01:09:06] 战争里面的一个变量Y
[01:09:08] 那他就会用RSP相对的性质
[01:09:11] 那么如果是一个thread local
[01:09:13] 也是的12local就说我要相对于线程
[01:09:17] 我是相对于全局
[01:09:19] 这是相对于全局的数据区的一个offset
[01:09:22] 这是相对于当前战争变量的一个offset
[01:09:26] 那我这里就是应该是相对于这个线程的局部
[01:09:28] 存储的一个offset
[01:09:29] 但寄存器不够用了
[01:09:31] 在X86里面
[01:09:32] 他们就偷用了FS的寄存器
[01:09:34] 所以如果你们在在你们的机器上面编译
[01:09:37] 我的这个演示代码的话
[01:09:39] 并且你用o b j dump去看的话
[01:09:40] 你会看到他会
[01:09:42] 他会把这个访问翻译成一个FS的
[01:09:44] 相对于某11个常数的偏移量的一个load
[01:09:47] 或者或者或者store
[01:09:49] 然后我们可以
[01:09:51] 可以直接AI启动
[01:09:54] 可以这样
[01:09:56] 我把GC换成muscle GCC
[01:09:58] 然后我可以加一杠static是吧
[01:10:01] 我用muscle的G7C和杠static
[01:10:03] 可以编译出更干净的代码
[01:10:06] 它能运行吗
[01:10:08] 诶它能运行
[01:10:09] 然后它能运行
[01:10:10] 还是你看到这个地址不太一样
[01:10:13] 地址地址不太一样
[01:10:14] 但是行为还是一样的
[01:10:16] 我可以你说我应该让他干嘛呢
[01:10:30] It's just a matter of prompt
[01:10:32] 在现在你可以只要你会提问
[01:10:35] 你愿意花一分钟的时间提一个好的问题
[01:10:40] 剩下的事情就交给AI
[01:10:42] AI可以帮你生成各种各样的东西
[01:10:44] 他开始读了
[01:10:44] 他他读了ERF
[01:10:46] 在AI思考的过程当中
[01:10:48] 我再提一个问题
[01:10:50] stad local是支持初值的
[01:10:53] 其实你可以这样
[01:10:54] 十十local int x等于42
[01:10:56] 那么问题来了
[01:10:57] 这个share local int x等于42
[01:11:00] 谁赋的值
[01:11:01] 这个和数据区不一样
[01:11:03] 这个和数区不一样
[01:11:04] 你看如果我们的数据区
[01:11:06] 如果是数据区有点data的话
[01:11:08] 比如说你有一个点data x等于42
[01:11:10] 你那EF文件里面
[01:11:12] EF文件里面有一个地方是42
[01:11:14] 然后在loader load的时候
[01:11:16] 你会把ERF文件整个搬到内存里
[01:11:18] 不管是卖还是你直接一个字节一个拷贝都可以
[01:11:20] 但是这个42就会搬到内存里
[01:11:22] 他只要搬一次就够了
[01:11:24] 这是全局的INTEX等于42
[01:11:27] 然后局部变量里面的int x等于42
[01:11:30] 如果你个全局的X等于42
[01:11:32] 它是由ERF班的Y等于42
[01:11:36] 编译器会在这个函数的头部编译出
[01:11:39] 编译出一个move指令
[01:11:43] 会把42写到Y里
[01:11:44] 你们都都知道这个行为
[01:11:46] 都在计算机系统基础课上看过这个汇编的行为
[01:11:48] 然后如果你是一个thread local int x等于42
[01:11:53] Z等于40
[01:11:55] 他在ERF里吧
[01:11:57] 他应该要在ERF里
[01:11:59] 他至少要在某一个至这个42
[01:12:02] 至少要在某一个地方
[01:12:03] 至少在某个地方
[01:12:05] 但是内存里面等于42
[01:12:07] X等于42
[01:12:08] 又在
[01:12:08] 就必须要在每一次线程创建的时候
[01:12:11] 都要被执行一遍
[01:12:13] 因为每你每创建一个新的线程
[01:12:15] 它就有一个42的拷贝
[01:12:16] 每创建一个新的线程就有一个42的拷贝
[01:12:18] 所以其实是
[01:12:20] 带来了相当大的麻烦呢
[01:12:22] 但这些问题你你都可以直接问到
[01:12:25] AI甚至啊我可以
[01:12:27] 我一会儿如果他他没有回答的话
[01:12:29] 如果他没有回答的话
[01:12:30] 我甚至可以直接追问
[01:12:32] 直接来追问他
[01:12:34] 就就是线程创建的时候的
[01:12:36] 这个42是到底由谁写的
[01:12:40] 我觉得课堂的这个flow被打断
[01:12:42] 是一个比较糟糕的事
