[00:00:00] 今天我们来讲应用视角的操作系统
[00:51:25] 我的文件描述符就我要往哪里输出
[00:51:27] 往哪里写
[00:51:28] 然后呃我写的地址是什么
[00:51:32] 我要写多少个字符
[00:51:33] 相当于一个buffer
[00:51:34] 一个缓冲区
[00:51:35] 我要把这个缓冲区送到操作系统里面去
[00:51:37] 然后我执行
[00:51:39] 要把X8里面存上系统这样的编号
[00:51:42] 然后调用这个s v service
[00:51:44] 这个这个software interrupt的指令
[00:51:46] 产生一个软件中断
[00:51:48] 然后就进入操作系统
[00:51:50] 执行了
[00:51:50] OK那如果我们编译运行的话
[00:51:53] 还是一样的
[00:51:53] 你看会GCC可以
[00:51:56] assembled可以链接
[00:51:57] 那如果我执行这个minimum
[00:51:59] 我就会有啊这个hello os world的呃输出
[00:52:03] 然后如果我我打印它的返回值的话
[00:52:05] 确实是一
[00:52:06] 你们回去可以试试
[00:52:07] 如果呃如果把这里的返回值
[00:52:10] 如果你们的话
[00:52:11] 你们要改那个X86的代码
[00:52:13] 把这个X8的
[00:52:16] 把这个X0系统调用的参数
[00:52:18] 比如说把这个常数改成十
[00:52:20] 你会看到呃函函数调用
[00:52:23] 这个整个程序的返回的编编号就会变成
[00:52:28] 变成10K
[00:52:30] 这就是
[00:52:34] 系统调用指令
[00:52:35] 我们的手册里面其实有
[00:52:40] 有这个系统调用的文档
[00:52:42] 你看呃它规定了各个呃体系结构下
[00:52:48] 如果你想要做一个请求操作系统的事情
[00:52:51] 应该怎么样传递参数
[00:52:53] OK你只要把合适的参数传到呃这个计算器里
[00:52:57] 那么我们就可以呃去请求操作系统了
[00:53:00] 而这个API就是操作系统和整个应用程序
[00:53:03] 之间的接口
[00:53:04] 这是区别于所有其它指令
[00:53:07] 一条最特别的指令
[00:53:09] 因为其他你见过的所啊几乎啊我我这里不说的
[00:53:12] 绝对我还是简化一点
[00:53:13] 呃像像你们做的什么数据移动指令
[00:53:17] 访存指令
[00:53:17] 这些指令它本质上都只能改变这个当前进程的
[00:53:22] memory和register
[00:53:24] 包括在这里你的所有的赋值
[00:53:25] 分支循环
[00:53:27] 你都只能改变这个抽象的这样的一个
[00:53:30] C语言的状态里面
[00:53:31] 这些变量这些变量的值
[00:53:33] 但是你不能改变另外一个进程的状态
[00:53:36] 你的程序是做不到的
[00:53:37] 没有一条指令可以做到
[00:53:38] 只有cs call可以
[00:53:40] 但是做cs call的前提是
[00:53:42] 你要把你的控制权完全的交给操作系统
[00:53:44] 所以我打一个比方
[00:53:46] 有两个比方可以解释这件事就有点像什么呢
[00:53:48] 呃你先跟你的手术医生签好contract
[00:53:52] 说你要干什么
[00:53:53] 然后呃然后你你签好了以后
[00:53:56] 你呃你就躺在床上
[00:53:58] 眼睛一闭
[00:53:59] 然后等你醒来的时候
[00:54:01] 你已经像我
[00:54:02] 我醒来以后我就变成女生了
[00:54:03] 这样这个就你你你会和操作系统签签好一个
[00:54:09] 先签好一个contract
[00:54:10] 然后这个是contract代表要做什么
[00:54:12] 然后当当你执行系统调用的时候
[00:54:15] 执行这个CISCCOT的时候
[00:54:17] 你会看到假设我在这里执行一条
[00:54:21] 对我在任何一个状态上执行一个额
[00:54:24] CISCO或者那个SBC或者wristof five
[00:54:27] 是依靠这个时候后面的执行
[00:54:31] 对于对于这个程序来说是完全看不见了
[00:54:34] 因为是操作系统的代码才执行操作系统
[00:54:37] 它也看不见
[00:54:37] 它也访问不了
[00:54:39] 但操作系统会根据它的contract contract
[00:54:41] 就因为因为事先会把像刚才那样
[00:54:44] 会把各种参数写到寄存器里
[00:54:46] 操作系统知道你想要干什么
[00:54:48] 操作系统会检查你做这件事情合不合理
[00:54:51] 有没有越权
[00:54:51] 如果如果越权的话
[00:54:53] 他会拒绝你
[00:54:53] 他会返回一个失败
[00:54:54] 然后如果合理的话
[00:54:55] 他就会把这件事情做了
[00:54:56] 做了以后再返回
[00:54:58] 当然在做这个期间
[00:54:59] 比如说我我要执行一个read这样的系统调用
[00:55:02] 那就可能会从操作系统里面
[00:55:03] 会把一些数据搬到这个进程的地址空间里
[00:55:06] 如果比如这里有个Buff
[00:55:07] 然后我这里呃我执行的是一个read的CISCO
[00:55:11] 那么操作系统就可能在返回的时候
[00:55:14] 就会把呃Buff给你填上
[00:55:16] 比如说哎我从键盘里面读了一个hello
[00:55:18] 然后读到五个字符
[00:55:19] 它的返回值函数的系统当中的返回值就是五
[00:55:23] 然后那个buffer里面也相应的填上了呃内容
[00:55:25] 这就是呃这就是啊系统耐用
[00:55:29] 甚至
[00:55:29] 你想我可能一觉醒来可能什么事也没有发生
[00:55:32] 也可能我变成女生了
[00:55:34] 也可能就我再也醒不过来了
[00:55:36] 如果我如果这个CISCO是一个exit的话
[00:55:41] 当我调用操作系统的时候
[00:55:43] 我这个程序就永远不会再回来了
[00:55:45] 这个程序所有的资源
[00:55:47] 所有的这些
[00:55:48] 这些东西都在操作系统里面不存在了
[00:55:50] 这个进程就没有了
[00:55:51] 呃这是这是一个理解啊
[00:55:54] 有点像你就麻醉了
[00:55:55] 做过全身麻醉
[00:55:56] 然后你就什么也不知道了
[00:55:58] 呃或者你可以这样理解
[00:55:59] 就是你嗯呃在一个科幻幻想的世界里
[00:56:04] 有一个全能的上帝
[00:56:05] 你想要做什么事情
[00:56:06] 你只要对天祈祷
[00:56:08] 然后你你祈祷完了以后
[00:56:10] 下一秒钟这事情你就突然实现了
[00:56:13] 你是不是你
[00:56:14] 你是对这个呃操作系统做的事情没有感知的
[00:56:17] 他就是你你CISCO把控制权交给操作系统
[00:56:20] 操作系统把这件事情呃完成
[00:56:23] 然后你就回来了
[00:56:25] 对所以基本上这是就这一页slice
[00:56:27] 这页幻灯片是整个操作系统课最重要的
[00:56:30] E slice
[00:56:30] 他讲了
[00:56:31] 就当然你需要我
[00:56:33] 我今天前面那一大堆课上讲的内容
[00:56:36] 到底什么是程序
[00:56:38] 什么是程序
[00:56:38] 然后程序是怎么样从高级变成低级的
[00:56:42] 然后刚才我说的什么东西是真正不可优化的
[00:56:46] 对于这样的程序来说
[00:56:49] 当然这个也不是绝对的严谨
[00:56:51] 因为呃你们后面随着学习操作系统
[00:56:53] 你们还会发现
[00:56:53] 可能应用程序和操作系统可以共享内存
[00:56:56] 那就比较麻烦
[00:56:57] 但如果你假设
[00:56:59] cs call是唯一和操作系统的接口的话
[00:57:01] 那么呃实际上只除了cs call之外
[00:57:05] 所有东西都是可以优化的
[00:57:06] 只要你对于所有的输入
[00:57:09] 它产生的cs cod序列都是完全相同的
[00:57:12] 你这个优化就是对的
[00:57:13] OK你只需要到这个cs cod程度好额
[00:57:18] 这我就讲清楚了什么是程序
[00:57:20] 我们通过一个最小的hello world程序
[00:57:23] 你真的看到我是在写汇编
[00:57:25] 我就用两个系统调用
[00:57:26] 我就得到了一个真正能直接在操作系统
[00:57:29] 第一条指令就是就是我的
[00:57:31] 我写的这样的程序
[00:57:33] 我为了防止大家不相信
[00:57:34] 我还是在用GDB调试一下
[00:57:37] 我从第一条诶啊我要先倒了
[00:57:44] 对这就是我刚才写的
[00:57:46] 40000是我现在这个二进制文件的
[00:57:51] 呃二进制文件的那个头部
[00:57:53] 你看我二进制文件加载的地址
[00:57:55] 就是400078
[00:57:56] 然后我我会把这个指针指针给X1
[00:58:01] 系统内的编呃呃文件描述符给X0
[00:58:04] 然后呃需要打印的大小给X2
[00:58:09] 把系统量的编号给X8
[00:58:11] 然后我做一个SV0C零
[00:58:13] 你看当我把这一条指令单步调试完
[00:58:15] 我是单步调试的
[00:58:16] 这条指令执行完会到下一条指令
[00:58:18] 这个hello world已经打出来了
[00:58:20] 操作系统做了很多的事情
[00:58:21] 可能执行了呃几万条指令
[00:58:24] 但是他anyway把这个东西给给打印出来了
[00:58:27] 嗯然后接下来我继续单步执行
[00:58:33] 我我这个这个就是system exit
[00:58:36] 然后当我最后一次执行这个SSVC的时候
[00:58:39] 这个程序就退出了
[00:58:40] 所以就像你你麻醉以后
[00:58:42] 你就再也没有醒来
[00:58:43] 执行exit以后再也没有醒来
[00:58:45] 所以这样我就确实是呃做了一个最小的
[00:58:49] 操作系统上面的啊程序
[00:58:51] 而
[00:58:54] 实际上我们操作系统上所有的程序
[00:58:59] 都和这个MINAL是没有本质区别的
[00:59:01] 所有的程序都共享完全相同的一套system call
[00:59:06] 也就是说你看到的像比如说这样的一个桌面
[00:59:10] 就就你甚至是你看到我
[00:59:12] 我现在这里展示的这个桌面
[00:59:14] 我我这有有可以显示图形的终端
[00:59:16] 对你看上面还有什么窗口管理器
[00:59:18] 刚才打开的vs code
[00:59:20] 在操作系统的面前
[00:59:22] 众生平等
[00:59:23] 所有的程序
[00:59:25] 所有的运行进程都是它看起都是一样的
[00:59:27] 当然你可能会有些调度策略区别
[00:59:29] 他会说哎你这个进程优先级比较高
[00:59:31] 我我有时间应该也会讲讲的
[00:59:33] 有一个机制叫nice
[00:59:34] 越好的人
[00:59:35] 他得到CPU就越少
[00:59:37] 呃他可能会把资源向一些进程倾斜
[00:59:39] 有些呃有些这样
[00:59:42] 其他其他做的有意思的事情
[00:59:44] 但是呃从概念上你看到的所有程序都是一样的
[00:59:48] 而且这个程序都和你的minimal
[00:59:50] 刚才那个最小的程序啊是是完完全一样的
[00:59:55] 当然呃我们还是回顾一下
[00:59:58] 这个世界上到底有什么样的应用程序
[01:00:01] 你们马上就能想到的
[01:00:03] 平时你每天用的
[01:00:04] 你没有没有v vs code copilot
[01:00:06] 没有cursor
[01:00:07] 你就没有办法编程了
[01:00:08] 没有color code
[01:00:08] 我现在觉得没有COCCODE
[01:00:09] 我已经不会呃不会编程了
[01:00:12] 但虽然我觉得现在的编程
[01:00:15] 还不是进化到完全体
[01:00:18] 呃为什么呢
[01:00:18] 因为我我很少
[01:00:19] 我很少调前端
[01:00:20] 我也很少web code前端
[01:00:22] 那因为我为了上课
[01:00:23] 我就被迫要
[01:00:24] 被迫要调前端
[01:00:25] 然后被迫要调强前前端以后呢
[01:00:28] 我我就在在调我的网页的前端
[01:00:32] 啊大家不要不要担心
[01:00:33] 这个这样式还不是特别好
[01:00:36] 就只是一个勉强能用的状态
[01:00:38] 我还会持续的优化它的
[01:00:39] 然然后当时我调这个cs s的时候
[01:00:42] 因为因为这个框架是next js
[01:00:44] 然后next js有一个非常好的特性
[01:00:46] 是我我对这个代码库的任何修改
[01:00:49] 都会立即直接反映到这个上面
[01:00:51] 也就是说如果我的color code改了我的CSS
[01:00:54] 我下一秒钟就他刚把那个文件改完
[01:00:57] 我就能立即看到那个展示的效果
[01:00:59] 所以我调就简直是太舒服了
[01:01:01] 我一上来就是
[01:01:02] 一开始就是什么也没有的一个光板
[01:01:03] 你就想想没有任何样式的一个
[01:01:05] 却只有文字的那个光板
[01:01:06] 然后我就先说让我做一个什么样的幻灯片的
[01:01:09] 这个他他又给我做了一个
[01:01:10] 但是不对
[01:01:11] 什么是什么
[01:01:13] 幻灯片和幻灯片之间的那个间隔不对
[01:01:15] 我说还能把这个间隔拉大一点
[01:01:17] 当我按下回车以后
[01:01:18] 几秒钟这个间隔就就被我修复了
[01:01:21] 我可以及时看到我的程序最终的样子是什么
[01:01:24] 所以大概就3分钟我就把这个东西调好了
[01:01:26] 嗯好像对于后端编程现在还做不到
[01:01:30] 就是如果我要我要开发一个GCC cloud
[01:01:32] 这样的东西
[01:01:33] 现在还做不到
[01:01:34] 我最多只能说我让我我我在cloud code里面
[01:01:36] 我说你每次每次改完以后都运行一遍测试用例
[01:01:39] 然后你给我
[01:01:40] 我可以看到这测试用例通过没有
[01:01:41] 但如果测试用例没有通过的话
[01:01:42] 呃还得让他自己去修
[01:01:46] 就这样的各种各样的应用程序
[01:01:48] 你能想到平时用的GCC cloud node js g DB
[01:01:51] 我今天上课的时候也一直在一直在用
[01:01:54] 包括你们日用的更应用层的软件
[01:01:56] 我现在直播推流的OBS
[01:01:58] 你们看电影的VRC
[01:02:00] 刚才打开的FIREFOX
[01:02:01] 这些都是你们一开始可能会有一点吃惊
[01:02:05] 这些东西和minimal点
[01:02:06] 刚才写写的那个面板点是真的一样吗
[01:02:10] 就真的他们真的是一样的
[01:02:11] 我我上这门今天上课就是为了劝说服大家
[01:02:15] 唉他们真的还是呃还是一样的
[01:02:18] 而整个这样的应用生态
[01:02:20] 它不不完全我不完全是这个呃一个程序
[01:02:26] 然后你直接就跟他对话了
[01:02:28] 实际上我们的整个应用世界所应用
[01:02:33] 从应用视角来看操作系统
[01:02:35] 所谓的操作系统就是一组AAPI
[01:02:37] 然后这AAPI今天讲的就是一条这个
[01:02:39] CISCCALL指令
[01:02:41] X86上是cis call
[01:02:42] 然后呃rs five上是一靠
[01:02:45] 或者是这个SBC好应用程序就只能看到这个
[01:02:50] 但是呢我们有一层一层一层的很多的应用程序
[01:02:54] 比如说在这个AAPI之上直接构建
[01:02:59] 就直接使用这个APHR
[01:03:01] 直接使用这些API
[01:03:03] 然后就能独立工作的一部叫CORE youtus
[01:03:07] 我还是非常建议
[01:03:08] 大家呃至少和AI对话一下
[01:03:13] 就以前以以前我们上课的时候
[01:03:15] 我总是鼓励同学们哎呀
[01:03:17] 去这些软件的官方网站
[01:03:20] 去读一下
[01:03:21] 它有它有手册
[01:03:23] 它有很多手册
[01:03:24] 然后这手册还会告诉你
[01:03:25] 比如说COTUS里面有哪些工具
[01:03:26] 你们看到的LS啊
[01:03:28] LS呃这种很基本的命令行工具
[01:03:32] 经常会看到coco的也会调用的命令行工具
[01:03:35] 然后你就可以去网站上便利
[01:03:38] cortiles beauties里面有的有的工具集
[01:03:41] 但是今天因为你有AI了
[01:03:42] 所以呃他会很耐心的给你解释
[01:03:46] 什么是QUTUS
[01:03:47] QUTUS里面有常用的LSCP拷贝文件的move
[01:03:52] 移动文件的打印文件的grab
[01:03:54] 其实grab grab是一个单独的项目
[01:03:57] 但是如果是比如说busy box这样的
[01:03:59] 也也会呃也会也会带一个这样的啊grab
[01:04:03] 然后包括呃呃系统系统工具
[01:04:08] 那打比方
[01:04:09] 如果你对呃这里的任何一个讲解的东西有兴趣
[01:04:15] 比如说bin youtus
[01:04:16] 你们嗯我刚才上课的时候
[01:04:18] 其实展示了很多工具
[01:04:19] 我我用我用GCC编译
[01:04:21] 编译以后
[01:04:21] 我用LD把它链接了
[01:04:24] 那LD这个link就是这个binary utilities
[01:04:27] 里面的一部分
[01:04:29] 所以所以我就可以说哎你能不能
[01:04:36] 如果你想知道binary utilities
[01:04:39] 到底可以帮助我们做什么
[01:04:41] 你再也不要去这个
[01:04:44] 再也不要去去找那个官方文档了
[01:04:48] 你只要加一个cloud skill
[01:04:49] 说你你能能去读网页的
[01:04:53] skill模型真的很强
[01:04:55] 他对世界上已经有的东西
[01:04:58] 尤其是在开发者之间广泛使用的东西
[01:05:02] 他的了解比我还要好
[01:05:04] 为什么呢
[01:05:04] 因为他把那些文档
[01:05:06] 开源项目里面所有的用法全部都读了一遍
[01:05:09] 他知道的比我还多
[01:05:11] 对我来说我都要
[01:05:12] 可能我有只有一个我自己的理解
[01:05:14] 然后我我在需要的时候会去看那些手册
[01:05:16] 但是大模型真的是把所有东西都看过了
[01:05:18] 呃然然后你可以问他
[01:05:19] 你看马上就告诉你binary tc可以干什么
[01:05:23] 上计算机系统基础课的时候
[01:05:24] 这个用的很多
[01:05:26] 如果你要分析一个ERF文件
[01:05:29] 然后它还有一些有意思的功能
[01:05:30] 比如说strings
[01:05:31] 它可以从二进制文件中提取可打印的字符串
[01:05:37] 原来二进制文件里面还有这个
[01:05:38] 你还可以用size来查看文件中的各个大小
[01:05:41] 当然这些都是比较早期UNIX时代就已经存下来的
[01:05:44] 呃的工具
[01:05:48] 但是anyway
[01:05:49] 就是我们现在你想学任何一个呃东西
[01:05:52] 都不再需要像以前那样
[01:05:55] 恒成直对着那个英文的东西
[01:05:56] 因为我知道大家对于大大量的文件
[01:05:59] 一个很大的手册
[01:06:01] 你你第一反应就是我不想读
[01:06:02] 我明天再读吧
[01:06:03] 明天又说后天再读吧
[01:06:04] 然后就这这辈子就不会去读它了
[01:06:05] 这是这对他来说很正常
[01:06:07] 但AI给我们一个好的起点
[01:06:09] 你总是可以呃现在就开始呃去做一些事
[01:06:13] 只要只要你对这里面的东西呃有兴趣对
[01:06:18] 所以它是一层一层的
[01:06:20] 它有这样各各种各样的呃utilities
[01:06:23] 然后在这些utility的基础上
[01:06:24] 还有很多后台的demon
[01:06:26] 我们的系统想要运行
[01:06:29] 想要运行
[01:06:30] 比如说你们都你们如果有一个U盘
[01:06:34] 现在插到你的电脑上
[01:06:36] 它会自动在你的桌面上创建一个图标
[01:06:40] 自动在桌面上创建一个图标
[01:06:41] 然后你双击那个图标
[01:06:42] 那个U盘里面内容就可以
[01:06:44] 你就可以看到那个U盘内容了
[01:06:46] 但是如果你是一个呃真正什么也没有的
[01:06:49] 这个操作系统真的什么也没有的操作系统
[01:06:54] 你插上U盘
[01:06:55] 它是不会有反应的
[01:06:57] 所有就你在操作系统里面
[01:06:59] 事件里面看到的
[01:07:00] 所有的一切
[01:07:01] 都是由某一个程序和操作系统交流过以后
[01:07:06] 由他做的
[01:07:08] 所以如果啊如果我们现在
[01:07:11] 就如果我们比如说现在看当前系统里面
[01:07:14] 所有的程序的话
[01:07:15] 你会发现有很多很多的程序哎
[01:07:17] 这里有一个比如说叫BLUETOOTHD管蓝牙的
[01:07:20] 然后再再比如说这个crown job
[01:07:22] 它是管定时的工作
[01:07:23] 比如说你可以设置一个
[01:07:24] 每天或者每每几天做一次
[01:07:26] 全系统的备份的这样的程序等等
[01:07:29] 然后再再比如说你乘你刚才那个我提到的
[01:07:34] U盘的挂载
[01:07:35] 就是由这个叫u disk d完成的
[01:07:38] 这个D是demon的意思
[01:07:40] 有他在后台看他在后台
[01:07:43] 然后台他也会提供很多的服务
[01:07:45] 包括比如说我们的窗口管理器
[01:07:48] 他也是某种程度上
[01:07:49] 虽然你在前台能看到它
[01:07:50] 但它也是一个这样的
[01:07:52] 也是给你提供服务的程序
[01:07:54] 这些程序有可能
[01:07:55] 它大部分时候是自己自己独独立工作
[01:07:58] 然后有的时候也会也会和这些
[01:08:02] 工具程序交互
[01:08:06] 然后在这些很多很多程序之上
[01:08:10] 才是我们看到的application
[01:08:15] 所以虽然虽然我们说所有的你看到的一切程序
[01:08:20] 都是和
[01:08:21] minimal点点S刚才写的那个最小的程序一样
[01:08:24] 它是它是一个它就是一个这样的普通的程序
[01:08:27] 但是它可以调用系统调用
[01:08:30] 但他一方面可以直接直接请求OS的API
[01:08:33] 比如说他可以直接C4exit
[01:08:35] 另一方面他也可以请求操作系统
[01:08:37] 去和某一个demon通信
[01:08:39] 也就是说如果你想要显示一个图形界面
[01:08:42] 你不是直接去
[01:08:44] 不是问直接问操作系统出来
[01:08:46] 我能不能往
[01:08:48] XY这个坐标上面画一个这样的pixel
[01:08:51] 如果这样就乱套了
[01:08:52] 如果每一个程序都试图占用
[01:08:54] 都好像自己拥有整个屏幕
[01:08:56] 然后每个程序都直接向屏幕上面输出
[01:08:58] 那最后怎么把他管起来呢
[01:09:01] 所以我们在操作系统之上又做了一层
[01:09:04] 一层一层的抽象
[01:09:05] 比如说
[01:09:07] 比如说我现在用的这个窗口管理器
[01:09:09] 底下就有一个图形层叫VLA
[01:09:15] 然后所以我的应用程序
[01:09:16] 如果想要显示一个窗口的话
[01:09:17] 它就会通过一个库
[01:09:19] 可能GTK这样的库
[01:09:20] 然后这个库会把我想要显示什么发给sweet swe
[01:09:24] 在会把它显示什么发给微line
[01:09:25] 那微L真正在和操作系统去去通信
[01:09:28] 去把把图形针直接给直接给显示了
[01:09:32] 这是一个很漫长的过程
[01:09:33] 然后呃我们年复一年年复一年
[01:09:36] 有些软件呃被创造出来了
[01:09:39] 有些软件死掉了
[01:09:40] 很多很多年以后终于到了
[01:09:42] 我们今天看到你
[01:09:43] 你想要做一个任何一个应用程序都很简单的
[01:09:45] 呃时候
[01:09:47] 我们有各种各样的呃的工具程序
[01:09:51] 日常你会看到COLLCODE经常调用
[01:09:53] 我们有各种各样帮你支撑
[01:09:55] 比如说你可以配置网络
[01:09:57] 配置磁盘
[01:09:59] 在后台自动更新啊等等
[01:10:02] 刚才我们说
[01:10:03] 所有这些应用程序它和呃minimal点S
[01:10:08] 都是一样的
[01:10:09] 如果我用fire来查看的话
[01:10:13] 他是一个ELF的64B
[01:10:15] 当然因为我只是一个树莓派
[01:10:17] 他是arm的
[01:10:18] 它是arm架构的
[01:10:19] 所以它是一个arm
[01:10:19] 如果你们看到是一个X8664的呃一个架构
[01:10:22] 它和我们系统里面的
[01:10:25] 其他的程序
[01:10:25] 比如说呃u s r bin下的
[01:10:28] 比如说啊a s assembler也是一样的
[01:10:33] 它也是一个这个ERF64bit的ash cutable
[01:10:37] 也是也是arm64的
[01:10:39] 所有这个世界里面
[01:10:40] 你看到的整个世界里面所有的程序都是一样的
[01:10:42] 都是都是同一个东西
[01:10:44] 同一种东西都是同一种东西
[01:10:46] 但是呃也也是
[01:10:50] 但是啊它们的复杂程度肯定是不同的
[01:10:54] 你看像像我们的这个minimal就很小
[01:10:59] 能打印hello world minimal就就很小好
[01:11:04] 接下来如果你想要了解一个二进制文件
[01:11:10] 除了你在上课的时候知道
[01:11:12] 我们可以用o b j dump来来查看
[01:11:16] 我们用o b j dump这个命令就可以查看这个
[01:11:18] 二进制文件
[01:11:20] 你之外你有没有想过
[01:11:22] 你也可以自己hack这个文件
[01:11:25] 如果你想hack这个二进制文件
[01:11:27] 你可以做什么
[01:11:29] 我们来让他试一试
[01:11:31] 我说这是一个MINAL的binary
[01:11:35] 这是一个binary file change to return value
[01:11:42] 试试看看他看看他会会怎么样
[01:11:47] 哎你看他很聪明
[01:11:49] 他首先运行了这个程序
[01:11:52] 然后现在返回值是一
[01:11:54] 接下来他开始调用call ut
[01:11:56] u call utus里面的
[01:11:58] 他开始调用COUTUS里面的工具了
[01:12:01] 他首先用了一个叫hx stomp的工具
[01:12:04] hx stomp可以把一个任何一个文件文本文件
[01:12:10] 当然也可以把它的二进制
[01:12:12] 它就实际的字节序列给打印出来
[01:12:14] 我可以诶
[01:12:19] 我就可以在命令行里面直接执行这个命令
[01:12:21] HACKDOWN
[01:12:23] 然后他还会干很多
[01:12:26] 他会把很多工具给给集合起来看
[01:12:28] 开始开始开始读
[01:12:29] 让他找hello world
[01:12:31] 他找到了这个hello world所在的位置
[01:12:39] 他想了一会儿
[01:12:41] 他找到了AAI的能力
[01:12:45] 就真的是出乎意料
[01:12:46] 他找到了在某一个位置有一条return指令
[01:12:51] move指令设置了返回值是一
[01:12:53] 你看他还能读懂arm的这个机器码
[01:12:55] 这我人都读不懂
[01:12:57] 然后他知道这个将其反反改成42
[01:13:01] 然后他又写了一个这样的指令
[01:13:05] 写了一个写一个命令
[01:13:06] 然后我允许它运行
[01:13:09] 然后他还想再
[01:13:11] 再来一次哎他做错了
[01:13:16] 但做错他应该是有办法可以额可以改回来的
[01:13:21] 对
[01:13:21] 所以你你可以看到这个计算机世界里面
[01:13:23] 是没有任何的魔法的
[01:13:24] 然后当我们说我们有一个汇编或者
[01:13:26] 一个C的代码
[01:13:27] 然后它变变成一个binary file
[01:13:29] 一个二进制文件
[01:13:30] 然后这个二进制文件就是一个字节序列
[01:13:33] 一个字节序列
[01:13:34] 然后这个字节序列里面有每一个字节
[01:13:36] 都对应了我程序里面的某一个某一个部分
[01:13:40] 它都是存在一个合理的解释的
[01:13:42] 然后如果你真的改它
[01:13:45] 你就可以把它
[01:13:47] 你就真的可以把它改改改对
[01:13:50] 所以在额
[01:13:55] 在AI的时代好
[01:13:56] 他这次修对了
[01:13:58] 我就很惊讶
[01:13:59] 很吃惊啊
[01:14:00] 我可以直接让他用命令行的工具
[01:14:02] 去hack这个binary
[01:14:03] 然后他就直接给做对了
[01:14:06] 所以我很有危机感
[01:14:07] 我很有危机感
[01:14:08] 我觉得很快我就可以不用来上课了
[01:14:10] 他只要知道他唯一就是他想不到
[01:14:13] 我还有这种骚操作
[01:14:14] 呃对
[01:14:16] 所以我我就我就我就想起一些我以前的
[01:14:18] 我以前的经历
[01:14:19] 我以前
[01:14:20] 刚才我给大家展示的是一个二进制的逆向
[01:14:23] 就在你们学了计算机机机系统基础课以后
[01:14:25] 完全可以做的事情
[01:14:26] 然后我想到几十年以前
[01:14:28] 我我在还就五块钱就可以买一张
[01:14:30] 游戏光盘的时代
[01:14:31] 我在这个人畜无害的这个
[01:14:35] 大富翁四上面找到了一个隐藏的神秘文件夹
[01:14:39] 然后里面有非常神秘的游戏
[01:14:41] 然后这个游戏
[01:14:42] 但是难度太高了
[01:14:44] 难度太高了
[01:14:45] 然后但是难度太高
[01:14:46] 我我就很惊奇的发现
[01:14:48] 这个呃有一个文件叫game点SA
[01:14:51] 然后这个game点save里面有一串神秘的这个
[01:14:56] 什么0X000X00X010X零零
[01:15:00] 然后这个这个就代表进度
[01:15:03] 然后当我把这个binary fire hack过
[01:15:06] 就当我把一个字节从零零改成零一的时候
[01:15:08] 就像我刚才那样
[01:15:09] 刚才里面有一个某是一个零一
[01:15:11] 里面有一个零一
[01:15:12] 然后我把这个零一改成呃呃呃四二是多少
[01:15:15] 是二八吗
[01:15:16] 然后呃把它改成另外一个数字以后
[01:15:20] 这个程序的行为就变了
[01:15:23] 哎这是我我我很早以前的第一次的这个
[01:15:27] 二进制逆逆向
[01:15:29] 但今天真的真的世界世界变了
[01:15:32] 实际上是我在做过那一个二进制逆向以后
[01:15:35] 我就再也没有二进制逆向
[01:15:36] 直到我后来可能要到接近读PHD的时候
[01:15:39] 我才我才做过1.2进制的逆向
[01:15:42] 但现在世界真的变了
[01:15:43] 我觉得叫叫curiosity
[01:15:45] all you need
[01:15:47] 只要你知道这个世界上有什么
[01:15:48] 你知道这个世界是由
[01:15:50] CISCO上面一层一层的工具构建起来的
[01:15:53] 然后你你就可以问
[01:15:55] AI有哪些工具
[01:15:56] 然后然后你又知道这些工具组合起来
[01:15:58] 可以干什么
[01:15:59] 你就可以让AI带着你干
[01:16:02] 而只要你能干成的事情
[01:16:04] AAI都能干
[01:16:06] 所以我我觉得如果我要穿越回去
[01:16:08] 跟我过去的我自己
[01:16:10] 那时候我还挺小的
[01:16:11] 不是很大
[01:16:12] 如果有人能告诉你同样的方式
[01:16:14] 我我去HK一个呃存盘文件的方式
[01:16:17] 我也可以去hack windows binary
[01:16:19] 任何一个windows的可执行文件
[01:16:21] 也可以用同样的方式来呃来hack
[01:16:24] 而且如果你觉得它太复杂了
[01:16:26] 就这个东西太复杂
[01:16:27] 我们一定有今天像让我们用AI一样
[01:16:29] 我可以一点一点把这个文件给分开
[01:16:31] 1.1点把它弄清楚
[01:16:33] 在今天在coding agent的辅助下
[01:16:37] 每一个人就你们哪怕是初学者
[01:16:40] 刚刚来这上操作系统课的初学者
[01:16:42] 你们和顶尖人类的差距都已经几乎是零了
[01:16:45] 就刚才那个逆向能力
[01:16:47] 刚才那个逆向能力
[01:16:48] 虽然说说如果你是一个比较资深的这个
[01:16:53] 对arm直升机比较熟悉的
[01:16:54] 那当然当然这个是一个很简单的事情
[01:16:57] 但是他做的很快
[01:16:58] 他也知道他懂得在正确的时候调用呃正确工具
[01:17:02] 而且他做的非常呃非常快
[01:17:04] 一切工具我们说所谓代码它是可以自由组合
[01:17:09] 无限复用的
[01:17:10] 一旦有一个好的工具被拿过来
[01:17:12] 马上AI也可以学会
[01:17:13] 学会怎么用
[01:17:14] 只要呃只要你能给出正确的prompt
[01:17:17] 所以这是一个我觉得是一个变化
[01:17:20] 世界发生了呃很大的变化
[01:17:23] 所以同样的呃在操作系统这门课上
[01:17:28] 我觉得更重要的比起我教的什么概念
[01:17:30] 比如什么是system call
[01:17:31] 什么是fire
[01:17:32] 什么是file descriptor
