[00:00:00] 我们上周讲了一点版本管理
[00:51:47] 然后再把这个任务给分下去
[00:51:48] 而而且就算是人做了这样的沟通
[00:51:52] 你也都知道
[00:51:53] 你有的时候你想就你你的你的室友
[00:51:57] 向你请教一个数学问题
[00:51:58] 明明你会做
[00:52:00] 你就怎么都没办法给他讲明白对吧
[00:52:03] 你除非你是一个很好的老师
[00:52:04] 能够共情别人就共情
[00:52:07] 别人在哪里会能站站在别人的角度去去思考啊
[00:52:11] 就是沟通的成本就是很高的呃
[00:52:13] 所以也是大厂和小厂对
[00:52:16] 尤其是初创初创公司
[00:52:17] 初创团队为什么效率可以更高
[00:52:19] 就是当软件系统大了以后
[00:52:21] 人多了以后
[00:52:21] 他沟通的效率呃变低了以后
[00:52:24] 它产出的速度也就也就降下来了
[00:52:27] 所以可能你一个100个人的团队呃
[00:52:30] 他不可能达到一个十人团队效率的十十倍
[00:52:34] 可能有两倍
[00:52:35] 三倍就已经就已经挺挺不错了啊
[00:52:37] 所以团队没有办法变大
[00:52:39] 没有办法变大呃
[00:52:40] 所以我们需要git的各种各样的best practice
[00:52:43] 快照对吧
[00:52:45] 快照
[00:52:45] 然后小步的前进
[00:52:47] 你你改一个title也要做一个commit
[00:52:49] 然后你你你做一个什么也要一个commit
[00:52:51] 一个commit
[00:52:51] 然后都可以
[00:52:52] 然后这些小的commit每个都可以追溯
[00:52:54] 因为一旦出问题了以后
[00:52:56] 你需要回溯到那个人做事commit那个时间
[00:53:00] 然后然后那个人是有记忆的
[00:53:02] 开发者会会回想起来哦
[00:53:04] 那天我们当天早上开了一个会
[00:53:07] 然后我收到要做这个需求
[00:53:08] 然后呢做这个需求时候沟通发生了一个问题
[00:53:10] 大家找到那个时候的沟通记录文档
[00:53:12] 然后再说啊
[00:53:13] 我们这个地方应该应该怎么修正
[00:53:15] 所以你看有了get it by sec的
[00:53:16] get it blame这些啊哈
[00:53:18] 专门为人来来这个设计的特性
[00:53:22] 但是你想一想
[00:53:24] 如果是由agent team或者agent swarm来实现你的项目
[00:53:28] 我们还需要get blame吗对吧
[00:53:32] 就是因为人可以blame
[00:53:34] 就是你这个事情我blame你多了
[00:53:36] 你就该被开掉了是吧
[00:53:38] 实习生你你就背锅了
[00:53:41] 但如果agent没有坐牢的
[00:53:43] 被坐牢的
[00:53:44] 被开除的能力的时候
[00:53:48] 这个这个模型就变了
[00:53:50] 我们再也不需要blame了
[00:53:51] 我们的项目只要前进就可以了对吧
[00:53:55] 然后我们前进
[00:53:56] 有的时候也不需要知道到底是哪一个
[00:53:58] 提交引入这个错误
[00:53:59] 我只要知道这个地方错了
[00:54:01] 我也不要再也不要管他
[00:54:02] 历史上是怎么造成这个错误的
[00:54:04] 我只要把这个错误修了就行了
[00:54:06] 因为agent之间的communication
[00:54:09] 而且尤其尤其现在更好玩的是
[00:54:11] 我们的每个A证都是相同的模型
[00:54:14] 这也就是说它们是完全相同的克隆体
[00:54:17] 同一个事情让他们来做
[00:54:19] 他们大概率会收敛到
[00:54:20] 就虽然模型还是有不确定性
[00:54:23] 还是会收敛到相同的结果
[00:54:25] 对啊
[00:54:25] 同样的prompt做做同一件事
[00:54:27] 可能有点细微的差别
[00:54:28] 但是最终的那个方向性的东西
[00:54:30] 可能收敛到相同的结果
[00:54:32] 所以我们再也不要blame了
[00:54:34] 那我们的get it永远就是一个
[00:54:36] 就或者说我们的项目
[00:54:37] 就永远就是一个向前进的过程
[00:54:39] 每次哈我现在在就快照肯定还是需要的
[00:54:42] 因为因比如说这个方向走错了
[00:54:44] 我们对吧
[00:54:45] 你你如果没有保留历史的上的某一个snapshot
[00:54:49] 那一下子往前走了好多以后再回去
[00:54:51] 可能他的代价比你一点一点在再往前修
[00:54:55] 要修要好
[00:54:55] 所以保留快照肯定还是还是需要的
[00:54:58] 那我们就是不断的大步向前
[00:55:00] 也永远几乎永远不要看过去
[00:55:03] git的这个committer里面只是留了一些lessons
[00:55:06] 或者我们大部
[00:55:07] 我们这个项目到底经历了什么样的
[00:55:09] 什么样的演化
[00:55:10] 然后不停的就往前走
[00:55:11] 往前走往前走
[00:55:12] 合并啊
[00:55:13] 合并合并合并
[00:55:14] 所以就说历史的价值可以从谁写错了
[00:55:18] 变成我怎么把它修好
[00:55:20] 只要保存
[00:55:21] 我只要能知道我从现在开始怎么样能够往前进
[00:55:24] 往前进这件事情就可以了
[00:55:26] 所以你再再想再想
[00:55:28] 这个时候
[00:55:29] 你在计算机学科学到的那些知识又又起作用了
[00:55:34] 我又回到讲操作系统的时候
[00:55:36] 讲并发
[00:55:36] 讲并发
[00:55:37] 那呃数据库就是就现在的这个git的模型
[00:55:43] 更像是数据库里面的并发控制
[00:55:46] 也就比如说我们有两条SQL对吧
[00:55:50] 然后这个SQL它都是一个transaction
[00:55:54] 它是一个很大的SL
[00:55:57] 都是一个很大的传
[00:55:58] 在坑中间可以混任何代码
[00:56:00] 然后你可以先比如说你先一个select select一个什么
[00:56:03] 你先读一下
[00:56:04] 那我这里也可以select select
[00:56:08] 然后那我先读完以后
[00:56:09] 我可以做代码的计算
[00:56:12] 比如说我就是Python代码或JAVASCRIPT代码
[00:56:15] 然后这个代码是图灵完备的
[00:56:16] 你永远不知道他会根据我看到的结果算出什么
[00:56:19] 我甚至也可以从外面
[00:56:20] 比如说说根据我当前的时间再算一个什么东西
[00:56:22] 然后算完以后我再update
[00:56:27] Update
[00:56:28] 然后update的时候就会产生冲突
[00:56:30] 这也就是说这个就可能产生死锁
[00:56:32] 也可能产生冲突
[00:56:33] 就是说这个update可能可能
[00:56:36] 这个这个如果这个update读它
[00:56:38] 这个update要读它
[00:56:40] 那就会产生一个循环依赖
[00:56:43] 有可能是产生这种呃数据的依赖
[00:56:45] 也可能是产生就是我我我要锁你
[00:56:48] 我要锁你的对象
[00:56:49] 你要锁我对象产生死锁
[00:56:50] 然后这个时候呃就会导致这个traction的BT
[00:56:53] 可能比如说这个traction sq
[00:56:56] 说这个就不能进行下去了
[00:56:57] 对不起
[00:56:58] 因为我检测到一个循环的依赖
[00:57:00] 所以对不起我
[00:57:01] 我我这个这个就就就不能做了
[00:57:03] 我要回滚
[00:57:04] 相当于他要roll back啊
[00:57:05] Roll back
[00:57:06] 然后其实get it的模型有一点
[00:57:09] 像这种这种乐观的并发控制
[00:57:11] Of of of mist optimistic
[00:57:13] 为什么他是乐观的呢
[00:57:15] 他就说我假设这两个transaction不会冲突对吧
[00:57:19] 我在执行的时候
[00:57:20] 我会假设厂家是不会冲突
[00:57:22] 这个假设在数据库系统当中是大概率是成立的
[00:57:25] 为什么呢
[00:57:26] 我们想想教务系统
[00:57:28] 你们每一个同学他读的都是你读
[00:57:33] 写的都是你自己那块数据对吧
[00:57:36] 你就就说我选课选的是我的课
[00:57:38] 我查看课表
[00:57:39] 查看的是我的课表
[00:57:40] 那所以所以说这个一个全局的这个冲突
[00:57:44] 是不太可能有的
[00:57:45] 我两个同学哪怕同时开始选课
[00:57:47] 我也是读我的
[00:57:48] 写我的这两个就可以就过学知道哦
[00:57:51] 哦mistake的
[00:57:54] 那of of git也也是这样
[00:57:56] 就说我假设这个呃我我这样开发
[00:57:59] 我我我们已经事先开过会了
[00:58:00] 今天早上开过会了
[00:58:01] 所以我可以顺着这条路先做这个
[00:58:03] 另一个人做这个
[00:58:04] 然后我合并的时候大概率不会产生冲突
[00:58:06] 不管是merge也好
[00:58:07] 还是REBASE也好
[00:58:08] 这个都能都能顺利的呃顺利的完成
[00:58:12] 但是但是啊这这就这是这是就古法编程时代的
[00:58:19] 就像我用SQL来做一个比方
[00:58:21] 但是如果我们agent的快了1000倍对吧
[00:58:25] A证的快了1000倍
[00:58:26] 那如果我们的这个主威镇呢又没有呃
[00:58:32] 可能协调的时候就一下子又分了好多任务出去
[00:58:35] 他们就真的有可能会更频繁的触发这个对吧
[00:58:40] transaction的bot
[00:58:41] 然后触发这种OLBOT在AI时代也不是什么大问题
[00:58:46] 就是agent的
[00:58:47] 反正出错了
[00:58:47] 或者出了conflict
[00:58:49] 他就修
[00:58:49] 他能修好
[00:58:51] 但是是不是在agent的时代
[00:58:53] 我们可以换一种并发控制的方式
[00:58:55] 你想想我们在操作系统里面
[00:58:57] 这是在数据库里面做的
[00:58:59] 我们在操作系统里面学的并发控制
[00:59:01] 你们是用什么做并发控制啊
[00:59:03] 上锁锁和这个数据库里面的这个transaction
[00:59:08] 是是有点不一样的
[00:59:10] 你是你是lock一个对吧
[00:59:13] 我我上课时经常说一把大锁保平安对吧哈
[00:59:17] 做实验你们就知道做过实验
[00:59:19] 你们就知道了
[00:59:22] 当我想要访问资源可能冲突的资源的时候
[00:59:26] 我会先把它锁住
[00:59:29] 说我先要跨了一把锁
[00:59:30] 然后这把锁一旦跨时候
[00:59:32] 别人想要再再lock的时候
[00:59:34] 那对不起
[00:59:35] 这个这个上锁的就必须要等到等到快以后对吧
[00:59:39] 一个release的快啊的关系建立起来
[00:59:42] 就必须是先一后二
[00:59:45] 而不是这种optimistic的
[00:59:46] 大家先先往前跑跑了再说
[00:59:49] 我必须是我先要知道我
[00:59:51] 我我我必须在使用这个资源之前
[00:59:54] 我要declare
[00:59:57] 我要declare
[00:59:58] 对这个资源的使用用上锁的方式
[01:00:02] 所以你看这是就是只有你你在这个操作系统课
[01:00:05] 数据库
[01:00:06] 数据数据库课
[01:00:07] 你真的把这些东西学会了
[01:00:09] 你回来想的时候
[01:00:10] 软件工程里面哦
[01:00:11] 这些概念又再再再再再做一次
[01:00:14] 所以所以想想现在如果agent他的动作非常快
[01:00:19] 我们其实应该用更加偏向这种啊
[01:00:23] 悲观的并发控制
[01:00:25] 也就是说我我我今天要做什么事
[01:00:28] 或者我有个主agent
[01:00:30] 我规划
[01:00:30] 然后规划完了以后
[01:00:31] 我就立马把这个项目的某一个部分给锁上
[01:00:35] 我可以把这个get it
[01:00:36] 就就说我我应该在一个git ripple
[01:00:39] 或者一个快照上
[01:00:40] 我支持一个锁的操作
[01:00:41] 把这些scope说好
[01:00:43] 我现在锁住了
[01:00:44] 我要我要我要我现在做一件事
[01:00:46] 需要这些他先上锁
[01:00:48] 然后上锁以后做做完以后commit
[01:00:50] 然后另外一边也可以上锁
[01:00:53] 但是如果一旦他想要干的事情
[01:00:55] 被另外一一个人锁上了
[01:00:57] 他就必须等到这个锁前面人释放了
[01:01:00] 他才能才能才能再再上锁
[01:01:03] 这样不就几乎避免了所有的冲突嘛
[01:01:05] 对吧
[01:01:05] 在文就比如说打个比方
[01:01:06] 我可以在文件级上锁呃
[01:01:09] 我就避免了两个A证它会同时写同一个测试
[01:01:13] 往同一个
[01:01:13] 比如说测试或者一个配置里面里面做做更改
[01:01:16] 然后但是又因为agent数量足够多
[01:01:19] 这个速度足够快
[01:01:21] 我还是可以保证整体项目的进度可以往前推
[01:01:23] 因为也许还有别的agent可以继续运行
[01:01:26] 这也就跟操作系统里面
[01:01:28] 我们其实现并发程序对吧
[01:01:29] 我经常说说啊
[01:01:32] 如果你一把大锁保平安了对吧
[01:01:34] 或者你哪怕是锁锁拆拆桥了
[01:01:37] 我们互斥锁
[01:01:38] 它的本质是不要并行
[01:01:42] 不要并罚
[01:01:43] 他和这个多处理器并行是根有根本矛盾的
[01:01:46] 他不就要把一个并行能并发的程序退回
[01:01:49] 退回一个串行程序
[01:01:51] 但是当这个系统里面有好多独立的对吧
[01:01:54] 不冲突的线程在运行的时候
[01:01:56] 我即便每一个线程都持有了一把锁
[01:01:58] 他还是可以继续高效的
[01:02:00] 即便是悲观的
[01:02:01] 他依然可以是呃
[01:02:03] 可以是高效的对吧
[01:02:04] 就是这些知识关联关联起来让你看清楚
[01:02:07] 可能对吧
[01:02:08] 我觉得呃在A证的时代
[01:02:10] 我们又可以重新设计一个呃版本控制的系统
[01:02:13] 所以我觉得这就在在A证时代
[01:02:15] 软件工程呃肯定是要发生很大的变化的
[01:02:18] 你从这first principle出发对吧
[01:02:19] 我们要管理快照
[01:02:20] 我们要管理版本
[01:02:21] 我们要管理change
[01:02:22] 我们还要管理飞快的change对吧
[01:02:26] 那答案是什么
[01:02:27] 可能对吧
[01:02:28] get it可能是一条线
[01:02:30] 如果我们用一种像这样的方式来管理软件
[01:02:32] 那可能又是另外啊另外一条线对吧
[01:02:36] 所以你你发现这个学操作系统
[01:02:38] 学数据库这些东西有用
[01:02:40] 你还是虽然痛苦对吧
[01:02:42] 你怀怀疑在AI时代我学这种东西对吧
[01:02:44] AI都会写了数据库对吧
[01:02:46] 这个是C口查询
[01:02:48] 我早就早就不写任何SQL查询了
[01:02:51] 那我们还有没有可能呃学数据库是有用的
[01:02:56] 答案是有用的
[01:02:57] 你还是去呃去好好学习对吧
[01:02:59] 当然数据库里面也有这种adversary lock这样的
[01:03:02] 这个呃机制也是为什么我喜欢上课的原因
[01:03:06] 就是我我我我如果我不来上操作系统课
[01:03:10] 我不上这个生成式软件工程课
[01:03:12] 可能就不会让我去对啊
[01:03:14] 我在备课的时候会把这些事情在脑袋里面
[01:03:17] 再过一遍
[01:03:18] 是不是地球上所有人都都错了
[01:03:20] 因为因为我要讲给你们的时候
[01:03:22] 我必须要共情
[01:03:23] 我的听众要考虑到你们是一个呃
[01:03:26] 只能只能接受这个比较平实朴实逻辑的啊
[01:03:30] 听众不能直接就说哎
[01:03:31] 这个什么事故系统是怎么设计的等等的
[01:03:33] 我必须要把那个那个最顶层的idea啊提炼出来
[01:03:38] 然后试图让大家共情
[01:03:40] 当然这可能我做的也不够好
[01:03:41] 这个哼嗯你们可以在AI的帮助下
[01:03:44] 再再来再来重新理解一下
[01:03:48] OK好呃
[01:03:52] 版本控制
[01:03:53] 那版本管理
[01:03:53] 基本上其实我就我就我就讲完了对吧
[01:03:55] 从呃历史动机到过去get讲到现在啊
[01:04:01] 这这次再讲到未来可能发生的事情
[01:04:04] 但是但是版本控制本质上还是一个工具
[01:04:07] 不管是不是
[01:04:08] 哪怕是我刚才那种
[01:04:09] 比如说基于乐一种乐观或者悲观锁的版本控制
[01:04:12] 真正困难的实际上是在进度
[01:04:16] 也就是团队的呃管理呃
[01:04:20] 我们为什么现在觉得还需要软件工程
[01:04:23] 就是因为我们现在没有办法做到一句话
[01:04:26] 就直出一个高质量的产品
[01:04:28] 如果斩杀线到了到了这个就就老板
[01:04:31] 老板有一个想法就说呃对吧
[01:04:35] 就说我要做一个agent用的微信
[01:04:40] 我随随口说一说一个啊
[01:04:42] 或者说做一个AI时代的微信
[01:04:44] 然后这个微信是一个社交爆款
[01:04:46] 然后以后以后这些人社交
[01:04:48] 可能也也就不要用微信了
[01:04:49] 就用我
[01:04:50] 当然你可能有个更具体的想法
[01:04:52] 比如说为什么你有一些思考
[01:04:54] 然后如果这时候AI直接就能出那个
[01:04:57] 微信级的产品
[01:04:58] 那软件工程就已经死了对吧
[01:04:59] 那我我我们就就就就就就都死了
[01:05:02] 呃但是呢现在这个斩杀线暂时还没有到
[01:05:05] 所以呃至少没有到这个团队管理啊
[01:05:09] 这这这一层面呃
[01:05:12] 所以呃我们可能还呃还还还要学
[01:05:17] 但是呃我我觉得嗯可能也许有一天
[01:05:21] 真的我也要被被被被拆掉
[01:05:23] 因为呃摩尔定律本质上也是用skin log它
[01:05:26] 它现在还是成立的
[01:05:28] 模型
[01:05:28] 肯定会更强更小更快
[01:05:30] 然后呃也许算力就有一天能够唤出我们的我
[01:05:36] 我们的智能
[01:05:37] 但今天至少AI还不知道怎么做团队的管理
[01:05:42] 因为每当你多一个人的时候
[01:05:44] 这个沟通的关系都是平方级的上升的
[01:05:48] 因此现在软件工程团队里面
[01:05:51] 最难招的其实不是码农
[01:05:53] 是那个能把任务分解的那个team leader对吧
[01:05:58] 也就最难招的是那种
[01:06:01] 能把那种国民级的应用的那种对吧
[01:06:03] 他说我要我要去造一个微信
[01:06:05] 然后那个微信他还能够分出对啊
[01:06:08] 我就一个100人的团队
[01:06:09] 能分出十个小团队
[01:06:11] 然后十个人十个team leader干
[01:06:13] 最后加起来我拼起来还能成为一个一个团队
[01:06:16] 这这个人人最稀缺
[01:06:17] 然后接下来那个能够带领小团队的人
[01:06:20] 其实也很也很稀缺对吧
[01:06:22] 这个人月神话里面那里面就是人之人
[01:06:25] 人之间两两之间就是平方级的沟通沟通关系呃
[01:06:31] 然后就算是你能把你你份内的事情做好
[01:06:36] 就因为这个平方级的沟通关系
[01:06:37] 别人也在做他的事
[01:06:39] 你不百分之百知道别人在做什么事的时候
[01:06:41] 或者你对这个整体的团队了解不是很好的时候
[01:06:46] 你你你还是就这样
[01:06:47] 最后就会各种冲突
[01:06:49] 然后你你写的测试我过不了
[01:06:51] 就就经常会发生啊
[01:06:53] 发生发生这样的事情
[01:06:55] 嗯嗯那么呃如果我们想要管一个团队的话
[01:07:04] 或者说你你们在今天在想要在毕业的时候
[01:07:08] 能够具有一定的团队管理能力
[01:07:10] 你现在就可以当成是那个主agent的对吧
[01:07:13] 就像我刚才那样
[01:07:14] 刚刚才当然刚才我给了一个不好的示范对吧
[01:07:17] 我说我说我我今天创了两个slave
[01:07:19] 你你现你现在
[01:07:20] 你现在也可以立即拥有这个
[01:07:22] desk v4的这个slave
[01:07:24] 然后然后你你可以去想
[01:07:26] 如果你要尽可能最大化两个或者
[01:07:29] 三个或者更多agent
[01:07:30] 你应该怎么把这个呃任务给给给给分解
[01:07:36] 然后你应该怎么样确定一个提交的策略
[01:07:41] 什么时候你的agent应该提交
[01:07:43] 什么时候他应该合并对吧
[01:07:45] 然后你你就可以把刚才我们讲的
[01:07:48] 所有的版本控制的概念带到你的开发流程里
[01:07:51] 所以呃重要是这句话
[01:07:54] 版本控制是工具
[01:07:56] 它是由蒸馏了人类过去软件工程很多年的经验
[01:08:02] 得到的是我们要人类要这样开发
[01:08:05] 然后在这个工具上
[01:08:06] 你可以开发出属于你自己的
[01:08:08] 软件工程的直觉和经验啊来做
[01:08:13] 然后这里面就有好多比如说学东西还是有用的
[01:08:15] 一些意外呃
[01:08:18] 除了比如说我
[01:08:19] 我可能后面后面再讲
[01:08:20] 怎么怎么来做这个软件管理啊
[01:08:25] 最近我看到一个蛮有意思的题目
[01:08:29] 啊大概就是这样的啊
[01:08:31] 这样的我又带了这个模型
[01:08:33] 但淘宝好脑游很喜欢的
[01:08:35] 淘宝好友好多游啊
[01:08:36] 作为一个面试题
[01:08:38] 这好像是应该是呃
[01:08:41] 因为我不知道为什么就在网上刷到了
[01:08:43] 是小一般是小学生考级的题目
[01:08:46] 哈洛塔都会低V的
[01:08:49] 会好会现有个额外的要求
[01:08:52] 就是你的所有的盘子的移动只能往一个方向
[01:08:56] 就就比如说我现在我现在两简单一点
[01:08:59] 两两个盘子
[01:08:59] 两个盘子
[01:09:00] 我我现在移移过来
[01:09:03] 这个方向移是可以的
[01:09:05] 是可以的呃
[01:09:07] 这个方向移是可以的
[01:09:10] 这个方向移也是可以的
[01:09:13] 这个方向移也是可以的
[01:09:14] 就是我要啧往只能往一个方向移动
[01:09:19] 当然折过折过来就就折回去
[01:09:21] 我我不允许的事
[01:09:23] 就是你三个盘子的时候
[01:09:24] 你就能看出啊
[01:09:26] 哦三个盘子的时候就可以看出问题了
[01:09:29] 如果我要移三个盘子的话
[01:09:31] 我希望的是先把呃两个移到中间对吧
[01:09:36] 假设两个已经移到中间了
[01:09:38] 那这时候这时候我下一个就是从
[01:09:40] 把这个盘子从这里移到这里就对了对吧
[01:09:43] 这是汉诺塔的正常的译法
[01:09:46] 但是在这个限制下
[01:09:48] 你是做不到的
[01:09:51] 在这个限制下
[01:09:52] 你不能把它移到这儿
[01:09:54] 就你只能往一个方向
[01:09:55] 比如说往那个方向方向移动好
[01:09:58] 你很难想象小学生要做这样的题对吧
[01:10:01] 然后他要输出这个真想想
[01:10:04] 如果现在是你们
[01:10:05] 你们就在保研的这个机制或者是对吧
[01:10:10] 保研机制就是小学生难度嘛
[01:10:12] 这个呃你就碰到这个题了
[01:10:15] 你要输出方案或者输出这个数数字呃
[01:10:19] 反正人也不是很大
[01:10:20] 但是你你确实需要一个额
[01:10:23] 需要一个方需要理解这个问题
[01:10:26] 诶对吧对吧嗯
[01:10:31] 那那当然我
[01:10:32] 我讲的不是这个这个汉诺塔的故事啊
[01:10:34] 我讲的不是这个汉诺塔的故事
[01:10:35] 这个这个汉诺塔的故事是呃
[01:10:37] 你你递归的时候
[01:10:40] 你现在要要把它移过来对吧
[01:10:42] 你你为了移过来
[01:10:44] 你你只能你还是先还是一样的
[01:10:47] 你先要把它移到这个
[01:10:51] 你你需要的是先把它移到这里
[01:10:53] 然后让这个最大的盘子向右移一个
[01:10:56] 然后再把它移到这里
[01:10:59] 再让向右的盘子移到这
[01:11:01] 再把它移到这里
[01:11:04] 所以就相当于是你考虑这个考虑最大的盘子
[01:11:08] 那个最优解
[01:11:09] 他考虑最大的盘子总是向右移一个
[01:11:12] 再向右右移一个的好啊
[01:11:15] 那当然我我这个拆开拆开来讲
[01:11:17] 是因为呃
[01:11:21] 我能用这个吗
[01:11:22] 呃在这啊
[01:11:25] 我准备了一个小例子
[01:11:38] 我准备这个例子啊
[01:11:40] 我我写了一个啊这样的这个程序好嗯
[01:11:45] 没问题
[01:11:46] 就他就是就是我刚才说的说的那个
[01:11:48] 就是我我我我得把
[01:11:50] 如果我的下一个目标不是目标的话
[01:11:53] 我我只有最大的盘子
[01:11:54] 我总是向右移一个
[01:11:56] 再向右移一个
[01:11:56] 所以它是它是最优的
[01:11:58] 就是我我最大的盘子的那个移动是最最最少的
[01:12:02] 最就是这是不可避免的
[01:12:04] 然后呃呃剩下的也就基于inductive就归纳法
[01:12:09] 我这个也是也是也是也是最优的
[01:12:11] 有点难对吧
[01:12:12] 你很难想象小学生那样可以做做做这样的题
[01:12:15] 但这不重要
[01:12:16] 重要的是呃我们现在要推出这个产品
[01:12:21] 比如说我现在要把这个东西卖给小学生
[01:12:24] 那我怎我
[01:12:25] 我怎么样才能最好的把这个产品卖给小学生呢
[01:12:28] 当然是提供付费的增值服务
[01:12:31] 比如说这个小学生在这个呃
[01:12:35] 他可以在这里写代码嘛
[01:12:36] 对吧
[01:12:37] 我我我这个代码是可以可以随时编辑的
[01:12:39] 比如说呃我可以再再写一个对吧
[01:12:41] 他就错了对啊
[01:12:43] 我我我的可视化是是随随代码来来运动的
[01:12:48] 比如说说错了
[01:12:48] 他就我就可以找到
[01:12:50] 比如说对找到找到我这条语句
[01:12:55] 试图把一个蓝色的移到就小的
[01:12:58] 移到啊移到大的上
[01:12:59] 然后然后同学们就能找到bug
[01:13:01] 那如果我要挣钱的话
[01:13:03] 我要提供增值服务
[01:13:05] 就现在现在还只是一个就是就是一个纯粹的你
[01:13:11] 你可以这个playground
[01:13:12] 然后你可以呃可以可以写代码
[01:13:14] 然后可以可以可以运行它
[01:13:16] 然后到这个时候我就要提供一个AI助教
[01:13:20] 比如说这个小朋友呃
[01:13:22] 当然这个是不是不太好啊
[01:13:23] 这个开玩笑的
[01:13:25] 这个我我们还是尽可能以一个便宜的成本
[01:13:27] 提供给小朋友们
[01:13:29] 这个呃
[01:13:32] 当你实在做不下去的时候呃
[01:13:35] 你就可以点一个这个叫我要助教
[01:13:38] 然后这个时候deep pick的token就开始燃烧
[01:13:41] 然后这样我可以收取
[01:13:42] 比你比这个deep pick原价更贵的token费对吧
[01:13:46] 然后然后记在你的你的你的账户上呃
[01:13:50] 呃这样
[01:13:50] 然后因为因为我的prompt是是我独门的对吧
[01:13:53] 我作为一个有经验的老教师呃
[01:13:55] 我可以把我自己蒸馏成prompt
[01:13:57] 然后然后然后然后我可以敏锐的知道
[01:13:59] 这个小朋友的问题在哪里
[01:14:01] 然后给他提供一个个性化的指导
[01:14:03] 好
[01:14:05] 我就这个时候我就涉及到要做一个信息系统了
[01:14:09] 要做一个信息系统
[01:14:10] 那做这个信息系统啊
[01:14:13] 因因为我我我有我
[01:14:15] 我让学生来来做这个事
[01:14:17] 我自己没有时间
[01:14:18] 我我我我竟然有这么大的这个市场的钱
[01:14:21] 我竟然都不想挣这个呃
[01:14:23] 然后然后学生学生在设计
[01:14:25] 然后我看了那个学生和AI聊完那一版设计
[01:14:27] 然后我也让那个GTT起呃
[01:14:30] 来
[01:14:30] 就是大概梳理了一下下需求
[01:14:33] 好
[01:14:33] 这个是GP的
[01:14:34] 原原话他说叫一个API应用
[01:14:36] 一个关系数据库
[01:14:37] 一个对象存储
[01:14:38] 然后需要异步点点评时再加后台任务进程
[01:14:42] 数据库关系和记录呃
[01:14:44] 呃大课程包与完整轨迹存放对象存储呃
[01:14:47] 任务量小时
[01:14:48] 数据库任务表就够用
[01:14:49] 这是一个非常正常的
[01:14:51] 就是就如果如果是你们上软件工程课
[01:14:54] 那那太正常了
[01:14:55] 你看GPT嘛
[01:14:56] 它是一个语言模型呃
[01:14:58] 但我不喜欢这个设计
[01:15:02] 我不喜欢这个设计
[01:15:03] 为什么呢
[01:15:04] 因为呃
[01:15:08] 我不知道你们有没有用过overleaf
[01:15:09] 就跟别人协作过文档
[01:15:12] 然后oor leaf是有一个功能的
[01:15:14] 它可以把它当成是一个git ripple导出
[01:15:17] 然后你可以直接这个时候我我最喜欢这个功能
[01:15:21] 是因为我要给学生改论文
[01:15:22] 然后给学生改论文
[01:15:24] 我我就可以直接agent启动
[01:15:26] 就我可以把那个那个论文克隆到本地
[01:15:28] 我就不需要忍受那个网页界面了
[01:15:31] 然后我就可以打开我的codex对吧
[01:15:33] 然后让codex去去帮我帮我直接起subversion的
[01:15:37] 给每一个给每一个点text文件都去修复
[01:15:41] 里面的这个语法错误
[01:15:42] 我可以我可以给一个这个我很长的prompt
[01:15:44] 让它让他遵循质量论文就改好了
[01:15:46] 我说学生好文化结束了
[01:15:47] 这个改呃也已经改好改好了
[01:15:50] 然后我们说这个pickle playground
[01:15:52] 我我我可以
[01:15:53] 我难道不是应该我在我的学生每改改一次对吧
[01:15:58] 呃对啊
[01:15:59] 比如说呃OK我不知道这样行不行啊
[01:16:06] 可以这个我难道不是学生每改一次
[01:16:10] 比如说我现在idol了
[01:16:12] 或者我点运行了
[01:16:13] 或者我切换了
[01:16:14] 我就自动做一个git提交嘛
[01:16:18] 然后我就可以把AI的点评
[01:16:20] 比如说当我申请AI助教的时候
[01:16:23] 他转圈圈
[01:16:23] 我就可以在这个git提交上面产生一个分叉对吧
[01:16:29] 这是一个一个comment
[01:16:33] 咳GBT没有算的是
[01:16:35] 我产生一个这个东西的成本
[01:16:38] 远远大于把这个把剩下的东西
[01:16:41] persist下来的成本对吧
[01:16:44] 就这个成本是忽略不计的
[01:16:46] 而而当我用这个呃数据库的时候
[01:16:49] 我确实得到了一些好处
[01:16:50] 比如说总体压缩的可能更小了
[01:16:52] 效性能更高了
[01:16:53] 但是这其实其实不是我我要的
[01:16:57] 因为我的本质
[01:16:58] 我的需求是呃版本管理
[01:17:02] 所以我甚至就在最早期的时候
[01:17:05] 甚至最早期的时候
[01:17:06] 我可以把我的代码库和这个东西连在一起
[01:17:09] 连连在一起的来关系
[01:17:10] 就把它放在我的代码库里
[01:17:12] 然后直到我对吧
[01:17:13] 就是我我我的代码库呃
[01:17:18] 对
[01:17:19] 就就我的我的小朋友的代码
[01:17:22] 就直接存在我的代码库里
[01:17:24] 然后我我可以把探索性的在这上面创建
[01:17:27] git的历史记录
[01:17:28] 然后直到我认为整个的比如说文件目录的格式
[01:17:32] commit message的格式
[01:17:34] 然后我怎么样使用这些文件都都收敛了
[01:17:37] 然后我再把它迁移到数据库
[01:17:39] 这都是啊
[01:17:40] 这都是可以的
[01:17:41] 我觉得这个就就就还是挺好玩的啊
[01:17:44] 你你们学任何东西都是有用的
[01:17:46] 你学git对吧
[01:17:47] 是是有用的
[01:17:47] 你你学这个mod agent的管理
[01:17:50] 你会啊
