[00:00:00] 上一节课我们讲了虚拟化的最后一次课
[00:50:54] 那我现在咳咳
[00:50:55] 每一个县城
[00:50:56] 每个县城里面
[00:50:58] 读写读了什么变量
[00:51:00] 写了什么变量
[00:51:00] 它读的值是什么
[00:51:01] 写的值是什么
[00:51:02] 我现在都有了
[00:51:03] 比如说我现在T2读出来X等于零
[00:51:06] 然后T2又写了X等于二
[00:51:09] 然后T1又读出了X等于二
[00:51:12] T1又读出来X等于二
[00:51:13] 哎但我这X等于二
[00:51:14] 我不能拖到最前面
[00:51:15] 对不对
[00:51:15] 我先要我还要把这个拨过来
[00:51:20] 这时候我就可以保证
[00:51:22] 我就可以保证每一次读都读到了
[00:51:24] 最近写进去的值
[00:51:26] 相当于这个事件是按照一个123456
[00:51:28] 这样的全局的顺序
[00:51:30] 顺序来的
[00:51:31] 那我可以换一个
[00:51:32] 我可以新建新建一个新的PUZ
[00:51:34] 这个是这个是不对的
[00:51:36] 这个是不对的
[00:51:37] 为什么不对呢
[00:51:38] 是因为我T1首先读出Y等于零
[00:51:41] 这个是对的
[00:51:42] 然后再读出Y等于二是不对
[00:51:44] 所以我就必须要把T2的这个Y等于Y
[00:51:47] 写入等于二
[00:51:48] 要挪到前面去好
[00:51:49] 这个时候他就对了
[00:51:50] 就这样的一个小游戏
[00:51:52] 你们可以随机几次
[00:51:53] 随机几次
[00:51:54] 你会碰到一些比较难的哎
[00:51:56] 怎么绕都绕不过去的这个呃题目
[00:51:59] 为什么会遇到这种怎么绕也绕不过去的题目呢
[00:52:02] 就是因为刚才那个问题是NP
[00:52:04] 完全的10n p complete
[00:52:06] 就是说我给你每一个线程
[00:52:07] 它呃看到的一个顺序的读和写的历史序列
[00:52:12] 你先要把它组合成一个全局的顺序
[00:52:15] 这件事情本身就是NP难度
[00:52:17] 也就是说求这个最小值
[00:52:19] 求这个sum的最小值
[00:52:20] 它本身就是NP难的
[00:52:22] 需要你不断的呃不断的尝试
[00:52:24] 问题的答案是2K是二
[00:52:27] 为什么呢
[00:52:28] 因为我可以构造这样的一个这样的一个
[00:52:31] 读写的顺序
[00:52:32] 首先啊我有一个我有一个T1
[00:52:34] 甚至啊我不管有多少个线程
[00:52:36] 我需要构造的是有一个线程在最后
[00:52:39] T1等于在最后一次循环的时候
[00:52:42] T漏的
[00:52:45] 漏了一个一
[00:52:46] 然后store一个二一个
[00:52:50] 这是这是我想这是我想要的
[00:52:53] 对我现首先让线程二漏的一个漏的一个零
[00:52:59] 我不着急
[00:53:00] 我让他一会在这store一个相当于sleep
[00:53:04] 等到这个时候再store1
[00:53:06] 然后接下来我就让线程一去去
[00:53:09] 把他的所有的三次的循环都三次循环都写完
[00:53:13] 我可以比如说load
[00:53:15] 这个时候我也是load0store1
[00:53:20] Load1
[00:53:23] Store2
[00:53:26] 但是我这索二完了以后
[00:53:29] 我还让他做一次load1
[00:53:30] 然后load1以后
[00:53:31] 我就再让它延迟很长很长的时间
[00:53:34] 最后再store2
[00:53:36] 然后我我在这个之前
[00:53:38] 把其他所有的线程都跑完就行了
[00:53:40] 无论你有多少个线程
[00:53:42] 我都可以用一个这样非常极端的方式
[00:53:44] 让它能够呃最后得到一个一个二
[00:53:49] 但这个不重要
[00:53:50] 这个细节不重要
[00:53:50] 你们呃它就是个智力游戏
[00:53:53] 就像我刚才刚才那个verifying
[00:53:54] Sequential consistency
[00:53:55] 我可以
[00:53:56] 我我可以放上这个例子
[00:53:58] 让大家让他去排
[00:54:00] 也就是说确定性丧失的后果
[00:54:04] 使我们从一个这样的顺序执行的
[00:54:09] 只有cs call是不确定的
[00:54:12] 这样的一个程序
[00:54:13] 变成了每一步你都不知道他会选谁的
[00:54:16] 这样的一个模型
[00:54:18] 这也正好是
[00:54:20] 确定性的图灵机和不确定性的图灵机的区别
[00:54:23] NPNP问题
[00:54:24] non deterministic的图形机和determinate图印机
[00:54:27] 然后这是单线程的模型和non deterministic
[00:54:30] 多线程的模型
[00:54:31] 它们之间都有这种非常深刻的呃理论上的关联
[00:54:35] 这就是呃确定性丧失的后果
[00:54:38] 而这个后果其实困扰了人类很多年
[00:54:42] 就这个一实现1+1比你想象的要困难
[00:54:45] 在1960年代的时候
[00:54:46] 大家争先在共享内存上实现原子性
[00:54:49] 也实现互斥
[00:54:50] 也就是说他们想在1960年的时候
[00:54:53] 这个模型就已经提出来了
[00:54:54] 大家都想实现
[00:54:56] 并并发的控制
[00:54:58] 实现正确的1+1
[00:54:59] 而且只实现两个线程的1+1
[00:55:02] 但是几乎所有的实现都是错的
[00:55:04] 只有到DECKER的算法的时候
[00:55:06] 最早的第一个第一个算法的时候
[00:55:08] 才才真正提出了一个对的
[00:55:10] 能做1+1的算法
[00:55:12] 然后后来在这里有一个很有意思的
[00:55:14] 这个后来PETERSON的
[00:55:17] 呃论文里面的一段话
[00:55:19] Reformulation
[00:55:20] 什么什么算法
[00:55:22] Unfortunately the authors
[00:55:23] Believe the correct solution is incorrect
[00:55:25] 就甚至是那些做科研的人
[00:55:28] 写到论文里面的算法都是错的
[00:55:31] 你说实现1+1
[00:55:32] 因为你们面对的是一个np complete的
[00:55:34] 一个很巨大的空间
[00:55:36] 你想要证明呃一个东西是正确
[00:55:38] 没有那么容易
[00:55:39] 而就是这样的
[00:55:41] 我说你们打开了一个魔鬼的盒子
[00:55:44] 并发性打开了魔鬼的盒子
[00:55:46] 它改影响了计算机系统里面你看到的一切东西
[00:55:49] 所有的我们过去讨论的东西
[00:55:52] 全部都某种意义上错了
[00:55:55] 你们想一想
[00:55:56] 还记得这个print f的例子嘛
[00:55:59] 我们print f有print f
[00:56:01] 有fork的时候
[00:56:03] 我们在终端上面看到的那个hello的数量
[00:56:05] 和在我管道里面
[00:56:07] 管道给另外一个进程的时候
[00:56:08] 看到那个数量是不一样的
[00:56:10] 那个例子
[00:56:10] 当时我就说我瞎了吗
[00:56:11] 我没有瞎
[00:56:12] 我反复验证
[00:56:13] 最后我才知道
[00:56:14] print printf里是有一个缓冲区的
[00:56:18] print f是有缓冲区的
[00:56:19] 然后这个共享内存的多个线程
[00:56:22] 是共享这个缓冲区的
[00:56:24] 你想的
[00:56:25] 我有两个线程
[00:56:26] 它都print f
[00:56:27] 它打到了同一个缓冲距离
[00:56:28] 我一个打A1个打B
[00:56:29] 他是打到同一个缓冲区离的
[00:56:31] 这就意味着两个线程它是同时执行这个Buff
[00:56:34] 等于position
[00:56:35] 加加等于CH
[00:56:36] 所以我说并发影响了计算机系统
[00:56:38] 世界里面的一切
[00:56:39] 是你做任何一个API的时候
[00:56:41] 你都会考虑到不能像以前一样了
[00:56:44] 我我只能写一个直接写一个Buff
[00:56:45] position加加
[00:56:46] 因为你1+1做不对
[00:56:47] 就是因为你1+1做不对
[00:56:49] 所以你这个也做不对
[00:56:50] 1+1做不对
[00:56:51] 因为你你执行那么多个sum加加
[00:56:53] 最后你看到的sum不是那个正确的值
[00:56:56] 就意味着你如果每次sum加加往Buff里面
[00:56:59] position加加
[00:57:00] 往Buff里面写一个字符
[00:57:02] 你最后写的就是乱七八糟的两个线程
[00:57:04] 写100万
[00:57:05] 各写100万字符
[00:57:06] 你不会得到200万个字符交错在一起
[00:57:08] 你会有些是空的
[00:57:09] 有些是覆盖掉了的一个乱七八糟的字符串
[00:57:12] 非常的危险
[00:57:14] 你马上就有点害怕
[00:57:15] 哎呀那print f还能用吗
[00:57:17] 啊那是系统的设计者帮你兜了兜了这个底
[00:57:23] 系统的设计者在这个attributes这个手册里面
[00:57:26] 他告诉你
[00:57:26] print f是线程安全的
[00:57:28] 或者说这一个系列的print f都是啊线程安全的
[00:57:32] 但有一些是不线程安全的
[00:57:34] 比如说对它是安全的
[00:57:36] 但是它不保证这个原子形应该这么说
[00:57:39] 他也是他也是safety的
[00:57:41] 就memory copy
[00:57:42] 你在两个线程里面对同一块内存的memory copy
[00:57:47] 就会出现像sum加加那种
[00:57:49] 虽然不会把内存给损坏掉
[00:57:51] 但是最后那个结果可能是是有一部分是这个的
[00:57:55] 有现成的
[00:57:55] 有一部分是那个线程啊写入的
[00:57:58] 但依然是可以调用的
[00:57:59] 它不会导致呃导致问题
[00:58:02] 所以说并发影响了计算机系统世界里面的一切
[00:58:05] 你要非常的小心
[00:58:07] 在实现任何东西的时候
[00:58:08] 一旦这个程序是多线程的
[00:58:10] 都非常小心
[00:58:10] 但是系统调用操作系统帮你做好了足够的准备
[00:58:15] 几乎所有的系统调用你都是可以
[00:58:17] 在多个线程里面正确使用的
[00:58:19] read write都是没有问题的
[00:58:20] 只是他们的行为可能会有微小的呃改变好
[00:58:25] 这是我主要就是这个不确定性
[00:58:28] 是并发程序带来的最主要的问题
[00:58:31] 然后我们在后续的课程里面就讲并发的部分
[00:58:35] 主要也是说我们怎么样去控制
[00:58:37] 怎么样去理解并发程序的呃不确定性
[00:58:40] 但是啊并发程序给我们带来的麻烦远远不止
[00:58:45] 不确定性
[00:58:46] 因为我们的系统里面有很多其他的部分
[00:58:49] 都会互相产生呃影响
[00:58:52] 今天我一直讲的时候是一个simple c的模型
[00:58:55] 我们说呃C语言的程序是由一个战争
[00:59:00] 组成的
[00:59:01] 然后它有一个全局的变量
[00:59:03] 每次都会从top frame的地方取一个
[00:59:06] 取一条指令或者取一条语句
[00:59:09] 啊继续继续执行
[00:59:11] 这个是这是clear cut的
[00:59:12] 非常清楚的
[00:59:13] 甚至甚至我我我一直在想
[00:59:15] 我们是不是可以web code一个simple c的
[00:59:17] 解释器就找一个同学做做毕业设计
[00:59:21] 或者就做一个呃hobby project
[00:59:23] 但是是一个fully function的
[00:59:25] 它可以它可以解释执行任何新程序
[00:59:27] 就你你甚至是我可以在操作系统上面
[00:59:30] 直接把一个有图形界面的
[00:59:32] 一个复杂的新程序也给
[00:59:33] 直接在源代码层面就给他解释起来
[00:59:36] 就做一个真正真正可用的
[00:59:38] 然后我们就可以在上面做很多好玩的东西嘛
[00:59:40] 就像调试器一样
[00:59:41] 但是但是世界没有simple c那么简单
[00:59:45] 所有人都想要极致的性能
[00:59:48] 因为为什么呢
[00:59:49] 性能就是钱
[00:59:50] 如果你的程序能快一倍
[00:59:53] 就意味着你解决同样的问题
[00:59:55] 只要少一半的计算机
[00:59:57] 就意味着你的成本可以降低到1/2
[01:00:00] 这是一件多么可怕的事情
[01:00:01] 你就想在deep pk把token打到白菜价之前
[01:00:06] 你用OpenAI的模型是非常贵的
[01:00:09] 但所有人都要感谢DP pk
[01:00:11] 把把模型的价格砍成白菜价
[01:00:14] 你们没有这个感觉
[01:00:15] 就你们没有大量的使用token
[01:00:17] 一旦你们开始大量使用token的时候
[01:00:18] 你会发现大模型其实还是很贵的
[01:00:21] 所以所有人都想要极致的性能
[01:00:24] 在今天甚至性能更重要了
[01:00:26] 而我们为这个编译优化奠基的francis island
[01:00:29] 2006年获得了图灵奖
[01:00:31] 在编程语言领域获得同一奖就更多了
[01:00:34] 这是一个非常非常极致
[01:00:35] 性能是一个非常非常重要的话题
[01:00:38] 编译器在编译器看来
[01:00:41] 我们有一个simple c的程序写成
[01:00:45] simple c可以说啊X加加
[01:00:48] 可以执行一条语句X加加
[01:00:50] 然后再执行一条语句X加加
[01:00:52] 再执行一条以及X加加
[01:00:55] 在编译器看来
[01:00:57] 所有的这种纯粹的计算都是可以优化的
[01:01:00] 因为他们都是确定deterministic的
[01:01:03] 所有的这种计算一旦这个初始状态确定了
[01:01:06] 我做纯粹的计算
[01:01:08] 它到的目标状态都都确定了
[01:01:10] 所以说编译器就很想把它直接编
[01:01:13] 优化成一条X加等于三
[01:01:16] 他可以把三个X加加优化成一个X加等于三
[01:01:18] 但有一种东西是不能优化的
[01:01:20] 什么是不能优化的呢
[01:01:22] system call
[01:01:23] 当你这地方执行SYSTECALL的时候
[01:01:26] 比如说cs考
[01:01:27] 这时候X会送到cs考里的时候
[01:01:30] 那么对不起
[01:01:31] 这个X就不能再优化
[01:01:32] 就优化是不能跨过system call的边界的
[01:01:35] 因为你你你后面可能还有X加加
[01:01:38] 还还有X加加
[01:01:40] 还有X加
[01:01:41] this is靠之前的X加加
[01:01:42] 他都可以合并成X加等于三
[01:01:44] 但如果我我后后面还有X加
[01:01:46] 我把这个X加等于三变成X加等于四
[01:01:48] 那我cs call的结果就错了
[01:01:50] 我输出那个字符就错了
[01:01:53] 那就不是我想要的结果了
[01:01:55] 所以在编译器看来
[01:01:57] system call是不可优化的
[01:01:59] 绝对不可优化的东西
[01:02:01] 他能在这个范围上做任意的修改
[01:02:04] 而就是这样的这种编译优化
[01:02:08] 在并发程序的意义上带来了非常大的麻烦
[01:02:11] 为什么呢
[01:02:12] 因为所有的优化
[01:02:14] 比如说把这个X加加X加加X加加
[01:02:17] 它都是针对DETERISTIC程序假设的编译器
[01:02:21] 假设我不需要管别人
[01:02:23] 在
[01:02:23] 在这个时候还会有一个别人会把X写成别的值
[01:02:27] 因为如果如果你的编译器要考虑
[01:02:29] 任何一个别的线程能把我的值改了
[01:02:31] 它就不能做任何优化了
[01:02:34] 他就绝对不能把我X等于X加一
[01:02:36] X等于加一
[01:02:37] 如果我这个中间还有一个X等于零
[01:02:40] 他还说我要处理这种情况
[01:02:42] 他就不能把它优化成X加二了
[01:02:45] 诶那么这不就带来更大的麻烦了吗
[01:02:49] 因为编译器假设的是程序的顺序执行
[01:02:54] 然后你实际上又确会有别的线程来改变这个值
[01:02:59] 那编译优化和并发在一起会发生什么呢
[01:03:04] 一段最简单的程序
[01:03:05] 你很聪明
[01:03:07] 你很聪明
[01:03:07] 你说你想实现drain
[01:03:09] 你想实验join
[01:03:10] 你想实验join呢
[01:03:11] 这个时候我们就要用到并发编程里面一个
[01:03:15] 我我也会反复讲到一个很重要的视角
[01:03:18] 把县城想象成人
[01:03:20] 每一个县城都是一个人
[01:03:22] 那人有自己的大脑
[01:03:24] 你们读不到我的想法
[01:03:25] 我也读不到你的想法
[01:03:26] 能够互相读想法是一件很危险的事情
[01:03:29] 也就是在我们的simple c的模型里面
[01:03:31] 我的这个局部的private的东西
[01:03:33] 我别人是不能访问的
[01:03:35] 当然如只要我不把这个指针
[01:03:38] 只要我不把我指向我
[01:03:39] 我这个线程不把主动的把我指向我自己
[01:03:42] 堆栈的指针泄露给别人
[01:03:43] 别人是不能读到我的头脑里的思想呢
[01:03:47] 那我们就把每个线程想象成是自己
[01:03:49] 然后我们自己有一个自己的小的memory
[01:03:51] 就是我们自己的站
[01:03:52] 我们自己的这个memory是说我们的
[01:03:56] 脑子里面的memory
[01:03:57] 头脑里面的memory
[01:03:58] 是自己的债
[01:03:59] 然后我们的物理空间就是全局的变量
[01:04:02] 那我们的每一个县城
[01:04:03] 我们所有的人在教室里面
[01:04:05] 都是共享这个教室的空间的
[01:04:08] 我我我们俩可以同时对一个物体发生发出动作
[01:04:13] 我可以拿这个东西
[01:04:14] 你也可以拿这个东西
[01:04:15] 这是可以
[01:04:16] 可以同时呃同时发生的
[01:04:19] 那我们就可以这样实现这样的一个协议
[01:04:22] 比如说我想要等到呃某一件事情
[01:04:26] 比如说你把什么东西算好以后
[01:04:28] 我再继续
[01:04:29] 那我可以写这样的一份代码
[01:04:31] 我给一个同学一个旗子
[01:04:33] 这个旗子就叫一个变量叫flag
[01:04:35] 然后这个flag开始的时候等于零
[01:04:37] 然后呢我在这里执行一个代码
[01:04:39] 就是while flag not flag
[01:04:41] 我就等待好
[01:04:43] 那我到这的时候
[01:04:44] 我flag肯定第一次
[01:04:46] 到这时候flag肯定是零
[01:04:47] 相当于我就看着这个同学
[01:04:49] 如果这个同学你旗子还没有举起来
[01:04:51] 我就要不停的等等
[01:04:53] 直到这个同学把旗子举起来了
[01:04:55] 我会发生什么呢
[01:04:56] 有一个同学在有一刻flag等于一
[01:05:00] 他就把旗子旗子举起来了
[01:05:02] 旗子举起来以后
[01:05:03] 我的这个条件就成立了
[01:05:05] 我的while循环就退出了
[01:05:08] 好我就继续执行了
[01:05:09] 所以所以我我我的程序就可以
[01:05:12] 等到那个同学把flag等于一举起来以后
[01:05:14] 我再执行
[01:05:15] 哎好没问题
[01:05:17] 这个这个程序看起来挺对的
[01:05:19] 也应该能够实现我们想要的功能
[01:05:23] 但是它实现不了
[01:05:25] 为什么呢
[01:05:26] 在编译器的意义上
[01:05:28] 编译器认为没有人可以改这个flag
[01:05:31] 所以这是一个循环
[01:05:33] 如果没有人可以改flag
[01:05:35] 你想想如果这里有个循环
[01:05:38] 我如果我我这里这里这里有个循环
[01:05:41] 有一个
[01:05:41] 比如说X加一
[01:05:42] 比如说sum加等于X加一
[01:05:45] 编译器很聪明的
[01:05:47] 他知道这个X在循环里面没有没有改过
[01:05:50] 所以他就可以把这个东西
[01:05:51] 提到循环的外面去
[01:05:53] 它可以写T等于X加一
[01:05:56] X加等于T
[01:05:57] 而且他也会把这个T直接放到一个寄存器里
[01:06:00] 这样甚至呃反正这个代码就变得更快了
[01:06:03] 它会编写
[01:06:04] 会不断的1.1.1点改写这个代码
[01:06:07] 做等价的改写好
[01:06:09] 那如果我们改写这个while not flag
[01:06:11] 会发生什么呢
[01:06:13] 他发现flag
[01:06:14] 他可以直接直接把这个while循环改写成这样
[01:06:18] 他可以依附flag
[01:06:21] 那我就什么也不做
[01:06:23] 如果我现在不是flag
[01:06:25] 又没有人能改flag意味着什么呢
[01:06:27] 我不需要再读
[01:06:28] 我永远不需要再读了
[01:06:29] 我这里就是个死循环
[01:06:31] 因为flag不会改
[01:06:33] 所以我可以把它提到循环的外面外面去
[01:06:36] 先做一个判断
[01:06:36] 如果flag是举起来了
[01:06:38] 我就什么也不用做了
[01:06:39] 我就出去了
[01:06:40] 否则我就再也没有人能把旗子举起来了
[01:06:43] 诶这不就死循环了吗
[01:06:45] 所以你们会看到很多
[01:06:47] 甚至是以前
[01:06:49] 当然这是上一个时代的论文了
[01:06:51] 呃在AI的时代再也不会有人犯这样的错误了
[01:06:53] 很多有经验的系统程序员都会
[01:06:56] 都会写这种AD hoc synchronization
[01:06:58] 他觉得这样好像还挺快的
[01:07:01] 在某一次编译的时候
[01:07:03] 它就出现了出现了问题
[01:07:05] 让我们来看看
[01:07:06] 编译优化到底给我们带来了多大的影响
[01:07:11] 我们还是回到求和
[01:07:14] 刚才我们说这个求和是得不到正确的结果
[01:07:20] 我这次把O1和O2分别编译了两个版本
[01:07:25] 我们来看看会发生什么
[01:07:30] 这次变了很奇怪
[01:07:34] SAM变成了N
[01:07:36] 而且我运行好多次SAM都是N
[01:07:38] 然后如果我用O2SAM又奇迹般的对了
[01:07:45] 为什么呢
[01:07:47] 同一份代码完全相同的代码
[01:07:49] 在不同的编译优化下
[01:07:51] 他们的行为差距非常的大
[01:07:53] 为什么呢
[01:07:54] 我们让他读汇编
[01:07:55] 然后在AI开始是计算的时候
[01:07:59] 我我跟大家介绍一下
[01:08:01] 如果你想要控制编译器的优化行为
[01:08:05] 你有
[01:08:06] 你有两种两种办法
[01:08:07] 当然你呃这不是我们操作系统课上推荐的方法
[01:08:10] 所以呃所以你们不需要知道
[01:08:12] 不需要掌握
[01:08:13] 超系统课告诉你们是不要不要跟share memory做游戏
[01:08:18] 你们所有的
[01:08:20] 我后面会讲到
[01:08:21] 这种两个线程同时访问同一个内存地址
[01:08:25] 叫做呃race condition
[01:08:27] 数据竞争
[01:08:27] 数据竞争在C1和C加加里面是undefined的
[01:08:30] 笔记者是未定义行为
[01:08:31] 非常非常危险的未未定义行为
[01:08:33] 当然你在确信这个代码会编译成什么样的
[01:08:36] 二进制的时候
[01:08:38] 你还是可以有的时候还是可以利用这个特性的
[01:08:40] 但你可以通过插入一些这个不可优化的
[01:08:43] 叫compiler barrier
[01:08:45] 这叫compiler barrier
[01:08:46] 刚才我们说
[01:08:47] 这个simple c x加加X加加
[01:08:51] 这两个东西编译器是可以优化的
[01:08:53] 但编译器如果碰到
[01:08:55] 比如说碰到CISCO
[01:08:56] This is call
[01:08:57] 就是一个barrier
[01:08:58] 它就这个这个代码就不能优化了
[01:09:01] 同样的
[01:09:01] 如果你有刚才一个compiler barrier
[01:09:04] 这个ASM的cloud club memory
[01:09:07] 这个叫club memory
[01:09:08] 说这段汇编会它是一个空指令
[01:09:12] 我要告诉编译器
[01:09:13] 我的这一段长度是零的
[01:09:16] 它可能会修改任意的内存
[01:09:18] 所以你在内存的意义上不可优化
[01:09:21] 这样它就这个优化就不能跨过这个边界
[01:09:24] 后面X加加就不能合并了
[01:09:26] 不能合并
[01:09:26] 你用一个compiler barry
[01:09:28] 第一个叫编译器的BARRY
[01:09:29] 还有一种就是
[01:09:30] 你可以把一个变量标记成不可优化
[01:09:32] 你你不能不能通过合并的方式把它优化掉
[01:09:37] 你可以把它标记成word台
[01:09:38] 你在访问一个这个memory map的register的时候
[01:09:42] 通常也需要这个volatile的关键字
[01:09:44] 你想呢如果我要从我要从一个设备上面读数据
[01:09:48] 我要先读一个字节
[01:09:49] 把那个字节扔掉
[01:09:51] 我先如果我的这个指针指向一个内存映射的
[01:09:54] 输入输出的端口
[01:09:56] 我先读一个字节
[01:09:57] 把它扔掉
[01:09:57] 然后我再读一个字节
[01:10:01] 再再读一个字节
[01:10:02] 把它读到我真正要的变量里
[01:10:04] 那编译器如果没有bd tile的话
[01:10:07] 它就会把这两次development这两次内存的读合并
[01:10:11] 但它是不能合并的
[01:10:13] 所以你可以用volatile来啊来指定它
[01:10:15] 但我们告诉你们
[01:10:17] 你们不要
[01:10:18] 不要play with shared memory
[01:10:20] 因为他确实是确实是非常的
[01:10:25] 行为非常的复杂
[01:10:26] 尤其是你对编译器还不是非常了解的时候
[01:10:30] 你不知道编译器到底会对你做什么
[01:10:33] 对以前我都会把这些汇编汇编捞出来给大家讲
[01:10:37] 现在我也不需要了
[01:10:38] AI的解释
[01:10:39] 应该是没有问题的
[01:10:40] 然后在O1的时候
[01:10:42] 编译器做了循环优化
[01:10:44] 它会先漏的
[01:10:45] 他先把sum读到寄存器里
[01:10:48] 然后他会做一个循环
[01:10:50] 不停的把寄存器加1+1加1+1
[01:10:52] 相当于他把那个内存内存的load和store
[01:10:56] 一次load提到了循环的前面
[01:10:58] 一次store提到了放到循环的后面
[01:11:00] 然后中间有个很长时间的循环
[01:11:02] 会不停的在寄存器中加1+1加1+1加一
[01:11:06] 那这就很危险了
[01:11:07] 因为2load和store时间差的非常长
[01:11:10] 在O1的时候等于我们这儿有一个load sum
[01:11:14] 然后中间有个非常长的时间
[01:11:16] 有一个store sum
[01:11:17] 然后这里也有一个load sum
[01:11:20] 然后经过非常长时间
[01:11:21] 有一个store su
[01:11:23] 这就跟我们那个山寨支付宝的例子一样
[01:11:26] 在山寨支付宝的时候
[01:11:28] 两个线程上来都先读到
[01:11:29] 我的钱其实是够的
[01:11:30] 然后他就哗哗哗往后做了
[01:11:32] 然后最后就会互相覆盖
[01:11:35] 不管谁覆盖谁
[01:11:36] 最后都只得到一份NO2的时候
[01:11:39] 整个循环都被优化掉了
[01:11:41] 循环都没有了
[01:11:43] 直接变成了一个logo
[01:11:44] 一个store
[01:11:45] 那两个线程
[01:11:47] 当然这这有一个加加等于N
[01:11:49] 有个加等于N
[01:11:50] 两个线程执行这一小段代码
[01:11:53] 都只要几纳秒或者几十纳秒的时间
[01:11:56] 而线程创建是有先后的
[01:11:58] 操作系统也会有先后
[01:11:59] 这两个代码能够互相碰撞到一起的
[01:12:03] 概率是非常低的
[01:12:04] 所以你就得到了一个看起来正确的结果
[01:12:07] 这才是最危险的
[01:12:08] 你用杠偶尔编译一下以后
[01:12:10] 你经过了测试
[01:12:11] 这个程序完全正确
[01:12:13] 你测试了100万次
[01:12:14] 这个程序都完全正确
[01:12:16] 你很开心
[01:12:17] 然后你把这个程序交付了某一天
[01:12:20] 你的客户这个程序就挂了
[01:12:22] 你不知道为什么
[01:12:24] 这就是并发和非确定性带来的可怕的嗯地方
[01:12:28] 它会和各种机制互相交织
[01:12:32] 带来你很难理解的行为
[01:12:35] 所以我们的编译器
[01:12:36] 它打破了你的程序
[01:12:38] 实际上是按照你写的那个simple c的语句
[01:12:42] 12345往后执行的
[01:12:44] 可怕的还在后面
[01:12:46] 还有更可怕的事情
[01:12:47] 更可怕的事情是
[01:12:48] 不仅你们的GCC
[01:12:50] 就刚才那个SAM有一层编译编译器
[01:12:53] 已经在从点C到点S的这个过程当中
[01:12:55] 大杀四方了
[01:12:56] 它会它会做内联
[01:12:58] 它会把把别的函数直接放到代码
[01:13:02] 直接粘贴到你调用的那个位置上
[01:13:04] 然后这个时候所有的你的调用参数里面
[01:13:06] 有有常数的
[01:13:08] 你就全部可以把常数给粘贴进去了
[01:13:10] 然后一边粘贴它
[01:13:11] 就一边在改写改写改写等价的改写
[01:13:13] 这个程序就越写越高效
[01:13:15] 越写越高效
[01:13:17] 有些代码就成了死代码
[01:13:19] 也被删掉了
[01:13:20] 还没完
[01:13:21] 我们的呃CPU的运行的模型是这样的是吧
[01:13:26] 你们写NEMU都都都知道好
[01:13:29] 我们有register
[01:13:30] 有memory好
[01:13:32] 那我就就fetch decode e s e c好
[01:13:38] 他又到下一个状态了
[01:13:39] 这是这是DEDETERMINISTIC的
[01:13:41] 对不起
[01:13:42] 这样的CPU太慢了
[01:13:44] 还记得刚才我画了一个
[01:13:47] 画了一个这样的例子
[01:13:48] 我说我说有个状态
[01:13:50] 我要X加加
[01:13:51] 我要X加加
[01:13:54] 我要X加加
[01:13:56] 编译器可以把它合并成一个X加等于三
[01:13:58] 我们的CPU也是一个编译器
[01:14:00] 这就意味着
[01:14:02] 比如说啊呃我可以move把IX写到一里
[01:14:08] 然后我再把二写到RBX里
[01:14:11] 好这两条指令
[01:14:14] 相当于RX等于一和RBX等于二
[01:14:17] 这两条指令确实可以不用顺序执行
[01:14:21] 不用一定要顺序执行
[01:14:23] 我是不是可以先执行这个再执行
[01:14:25] 这个没有没有
[01:14:26] 因为因为如果你的程序是顺序程序
[01:14:28] 这两个的结最终的调换指令
[01:14:30] 顺序的结果一定是一样的
[01:14:32] 它只论结果
[01:14:34] 处理器只论结果
[01:14:35] 它只在比如像中断
[01:14:36] IO的时候
[01:14:37] 他能够保证正确的数据送到外面就可以了
[01:14:40] 和这个程序和编译器
[01:14:42] 保证正确数据送到system call里面是一样的
[01:14:46] 这下处理器也干了一件非常牛逼的事情
[01:14:50] 它不仅可以调换他们两个的顺序
[01:14:53] 而且可以让这两条指令在一个时钟周期里执行
[01:14:57] 也就是说你们的处理器不是
[01:14:59] 人家就没有任何道理阻止你的主
[01:15:03] 处理器可以同时抵扣的不止一条指令
[01:15:07] 你的你的缓存一个cash line64个字节
[01:15:11] 我我我现在反正我取指令的时候
[01:15:13] 我都把一个这条指令给取出来了
[01:15:16] 我为什么不顺便把其他的指令
[01:15:18] 也全部都译码了呢
[01:15:19] 这个时候我们的CPU
[01:15:22] 不是刚才看的那个memory和register一个简化的模型
[01:15:26] 而是CPU有一个很复杂的internal
[01:15:28] 然后这个internal他手上可以抵扣的好几
[01:15:32] 好多条指令
[01:15:33] instruction1inst刷12
[01:15:34] inst刷成三
[01:15:35] 然后他会做一个动态的数据流分析
[01:15:38] 知道
[01:15:39] 我已指令二要等指令一的结结果
[01:15:42] 指令三要等指令二的结果
[01:15:43] 然后等等
[01:15:45] 动态的
[01:15:46] 再把编译器里面的事情在电路上面做一遍
[01:15:48] 非常神奇的操作
[01:15:50] 然后他就可以做到我
[01:15:51] 我一个周期可以执行两条指令
[01:15:54] 甚至四条指令
[01:15:55] 八条指令都是有可能的
[01:15:56] 现代的现代的处理器
[01:15:58] 而且有的指令执行的慢
[01:16:01] 他也不要紧
[01:16:02] 如果一条指令
[01:16:02] 比如说一条load或者store的指令
[01:16:04] 这个呃执行的很慢
[01:16:06] 导致比如说cash miss了
[01:16:08] 他可以继续去取后面剩下的指令
